Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-10,23.099,23.727,23.011,23.455,18512838
2013-12-11,23.984,25.622,23.917,24.501,44348276
2013-12-12,24.701,25.177,23.993,23.993,21289329
2013-12-13,24.142,24.792,24.061,24.727,12915910
2013-12-16,25.097,25.232,24.839,25.087,17582153
2013-12-17,24.957,25.069,24.463,24.606,11553460
2013-12-18,24.501,24.727,24.088,24.727,12388424
2013-12-19,24.598,24.976,24.343,24.626,7041722
2013-12-20,24.663,24.976,24.647,24.82,12419936
2013-12-23,24.849,24.976,24.56,24.683,8093196
2013-12-24,24.511,24.756,24.511,24.746,3070159
2013-12-26,24.626,24.849,24.487,24.634,4884077
2013-12-27,24.463,24.606,23.485,23.512,14296058
2013-12-30,23.455,23.804,23.238,23.359,9440702
2013-12-31,23.359,23.804,23.219,23.804,7498891
2014-01-02,23.637,24.342,23.627,23.908,9617391
2014-01-03,24.275,25.216,24.052,25.023,14467425
2014-01-06,25.097,25.642,25.077,25.482,12136919
2014-01-07,25.642,25.834,25.141,25.37,11898686
2014-01-08,24.868,26.097,24.839,26.048,17046248
2014-01-09,26.621,27.905,26.586,27.736,26157256
2014-01-10,27.386,28.123,27.104,27.67,16468135
2014-01-13,27.51,27.837,26.943,27.007,11612791
2014-01-14,27.104,27.376,27.066,27.217,10464683
2014-01-15,27.245,27.753,27.056,27.191,10924135
2014-01-16,27.28,27.707,27.056,27.66,7953754
2014-01-17,27.623,28.3,27.502,28.3,12585165
2014-01-21,28.772,29.037,28.472,28.904,11764296
2014-01-22,28.972,29.453,28.896,29.414,8737005
2014-01-23,28.896,29.659,28.867,29.554,12491691
2014-01-24,29.244,29.395,28.195,28.659,14594660
2014-01-27,28.688,29.101,27.027,28.452,18581724
2014-01-28,28.583,30.357,28.3,30.128,26215696
2014-01-29,30.394,31.488,30.263,31.092,22860171
2014-01-30,31.449,32.244,31.299,31.864,15821202
2014-01-31,31.251,32.127,31.112,31.63,12962153
2014-02-03,32.008,32.505,31.159,32.018,20979809
2014-02-04,32.09,32.41,31.659,32.1,12066310
2014-02-05,31.989,32.027,31.488,31.864,15378844
2014-02-06,31.787,32.919,31.771,32.677,13958778
2014-02-07,32.845,33.657,32.667,33.63,18388339
2014-02-10,34.061,34.08,33.353,33.542,12542206
2014-02-11,33.542,33.601,32.42,33.118,12717144
2014-02-12,32.892,32.998,32.393,32.705,9956636
2014-02-13,32.119,33.034,32.109,33.025,8922033
2014-02-14,32.855,33.165,32.261,32.437,7750256
2014-02-18,32.732,32.949,32.244,32.345,7519193
2014-02-19,32.288,33.081,32.155,32.61,7700304
2014-02-20,32.457,33.63,32.457,33.62,9853020
2014-02-21,33.732,34.363,33.703,34.1,8296185
2014-02-24,34.126,34.561,33.96,34.551,7446882
2014-02-25,34.533,35.023,34.42,34.883,9537177
2014-02-26,34.993,35.147,34.487,34.643,11155496
2014-02-27,34.77,34.835,34.259,34.468,6009020
2014-02-28,34.052,34.864,34.006,34.815,8476714
2014-03-03,34.1,34.314,33.299,34.034,10074733
2014-03-04,34.478,35.314,34.478,35.203,12454822
2014-03-05,35.446,35.85,35.363,35.693,9328072
2014-03-06,36.089,37.078,36.089,36.587,14859234
