Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,30.9981,31.3695,30.9981,31.2761,666056.97317091
2005-02-28,31.2859,31.2859,30.72,31.0515,614138.57104875
2005-03-01,31.2013,31.4891,31.2013,31.387,899870.28708032
2005-03-02,31.3034,32.1153,31.0603,32.0413,1405943.8292542
2005-03-03,32.0413,32.3447,31.9208,31.9839,953901.25874545
2005-03-04,32.0589,32.335,31.8926,32.2056,943353.83875371
2005-03-07,32.3271,32.4487,31.9936,32.1512,1253425.3591835
2005-03-08,32.1512,32.1785,31.4891,31.5183,854112.6890294
2005-03-09,31.3131,31.3782,31.0885,31.1643,745402.78133107
2005-03-10,31.1828,31.3413,30.9602,31.0244,511914.47812055
2005-03-11,30.9981,31.425,30.969,31.3695,1315404.693764
2005-03-14,31.3597,31.3695,30.5167,30.5918,2806209.2279112
2005-03-15,30.6296,30.7297,30.546,30.6383,733394.87022395
2005-03-16,30.6383,30.8124,30.4147,30.7667,764713.14801511
2005-03-17,30.5557,30.7929,30.2931,30.6909,606188.15110374
2005-03-18,30.7006,30.7667,30.5264,30.7483,739558.75983978
2005-03-21,30.7006,30.758,30.018,30.018,1151527.3054692
2005-03-22,30.0472,30.9066,30.0472,30.2387,1200687.23071
2005-03-23,30.1465,30.3865,30.0919,30.2203,1000792.2801831
2005-03-24,30.2203,30.8124,30.2203,30.5557,583306.7807911
2005-03-28,30.4886,31.3695,30.4245,31.2577,2453950.0845442
2005-03-29,31.2013,31.2013,30.7394,30.8124,1311020.1348732
2005-03-30,30.8493,31.0788,30.7929,31.0691,961364.16264209
2005-03-31,31.1546,31.3131,30.969,31.0885,982779.89926499
2005-04-01,31.1546,31.4055,31.0982,31.248,1160942.330589
2005-04-04,31.3218,31.6797,31.2013,31.6262,708082.09075865
2005-04-05,31.6262,31.9665,31.6164,31.8926,513703.06547947
2005-04-06,31.8926,32.1153,31.5892,31.5892,902142.27642813
2005-04-07,31.6164,31.6797,31.3695,31.6262,543232.75591171
2005-04-08,31.6797,31.7176,31.2946,31.3695,224723.29948846
2005-04-11,31.3958,31.5086,31.3413,31.4347,387299.61647272
2005-04-12,31.425,31.9567,31.1828,31.772,596291.7810247
2005-04-13,31.6894,31.8479,31.0885,31.1546,731609.36840964
2005-04-14,31.2664,31.4347,30.6112,30.6636,774119.94501601
2005-04-15,30.758,30.8124,30.1104,30.1659,1266078.1491142
2005-04-18,30.0472,30.4147,30.0093,30.1756,869363.50752159
2005-04-19,30.6636,31.4988,30.6636,31.4443,1966372.3252774
2005-04-20,31.528,31.528,30.9981,31.0341,978236.94908425
2005-04-21,31.8926,31.9752,30.9981,31.4794,1031131.411818
2005-04-22,31.4891,31.8381,31.0691,31.4794,573411.43922693
2005-04-25,31.598,32.1969,31.528,32.1969,1139353.803468
2005-04-26,32.051,32.6442,32.0034,32.4585,1109011.5862884
2005-04-27,32.4769,33.1439,32.4769,32.9864,1577445.5982803
2005-04-28,32.791,33.0244,32.6258,32.9592,1982759.6527008
2005-04-29,33.0147,33.1633,32.7268,32.8852,1917371.8198412
2005-05-02,32.9776,33.3481,32.5694,32.7073,1064233.1343938
2005-05-03,32.791,33.0244,32.6899,32.7453,1014256.5683462
2005-05-04,32.9203,33.3384,32.9028,33.2547,1707735.8049807
2005-05-05,33.283,33.8342,33.1993,33.8099,874558.53612991
2005-05-06,34.018,34.1687,33.7808,33.9003,948543.72478768
2005-05-09,33.9266,34.0647,33.5474,33.7321,810788.55716087
2005-05-10,33.6865,33.8809,33.4123,33.5474,571140.47839399
2005-05-11,33.5474,33.6038,33.0505,33.3752,550530.06891429
2005-05-12,33.4035,33.4395,32.755,32.755,1169537.6293576
2005-05-13,32.6607,32.9396,32.5694,32.7453,1034376.3762328
2005-05-16,33.005,33.1916,32.8571,33.1342,935563.86712842
2005-05-17,33.2732,34.0841,33.2276,33.7711,1289283.5016109
2005-05-18,33.9003,34.2339,33.6486,33.9995,1384687.5124361
2005-05-19,35.7506,36.6908,35.7506,36.0335,4140759.7259801
2005-05-20,36.052,36.8891,36.0151,36.6373,2006775.4749151
2005-05-23,36.4866,36.8891,36.4487,36.6548,1324164.5549117
2005-05-24,36.6548,36.7005,36.3465,36.5061,1178459.9958548
2005-05-25,36.543,36.6189,36.3757,36.4487,841129.74582553
2005-05-26,36.9066,36.9066,36.5158,36.5906,1120372.5615424
2005-05-27,36.543,36.5819,36.0792,36.3018,820040.04841641
2005-05-31,36.4574,36.6548,36.0054,36.5235,1960692.8661652
2005-06-01,36.5819,37.1264,36.4321,37.0787,1092624.2588649
2005-06-02,37.1555,37.9022,37.1176,37.5978,2212840.4861471
2005-06-03,37.737,37.7837,37.3509,37.5901,1166455.1702922
2005-06-06,37.7934,38.3582,37.7934,38.1716,1279384.0459873
2005-06-07,38.1532,38.7617,38.1355,38.5751,1348828.341494
2005-06-08,38.8181,38.8268,38.4583,38.5294,1224867.6153035
2005-06-09,38.4875,38.9114,38.3582,38.892,836099.27959642
2005-06-10,38.8268,39.1321,38.7617,38.9493,583792.23980973
2005-06-13,38.9018,38.9844,38.6022,38.6683,890617.76730991
2005-06-14,38.753,38.93,38.5935,38.753,1334716.0889629
2005-06-15,38.753,38.7617,38.3388,38.5751,1180571.5368828
2005-06-16,38.5751,38.7908,38.5381,38.7053,1033404.4296807
2005-06-17,38.715,39.0932,38.6314,39.0028,1464192.7404012
2005-06-20,39.0028,39.0583,38.5381,39.0028,645449.64923581
2005-06-21,39.103,39.7631,39.103,39.6154,652752.10481273
2005-06-22,39.7807,40.2891,39.7807,40.0753,811281.21578359
2005-06-23,40.0558,40.085,39.6251,39.7535,1339745.5266772
2005-06-24,39.7262,39.7446,38.8268,39.0398,1321570.6404095
2005-06-27,39.0398,39.4656,39.0204,39.3723,844540.30113441
2005-06-28,39.4754,40.3534,39.4754,40.1472,389411.1575008
2005-06-29,40.1666,40.7073,40.1472,40.2046,725279.88789973
2005-06-30,40.2133,40.2416,39.697,39.7807,700130.64229876
2005-07-01,39.8983,40.6879,39.8983,40.4652,799267.13358724
2005-07-05,40.4652,40.8345,40.2989,40.4262,810141.62130763
2005-07-06,40.4262,40.6879,39.6338,39.6882,899870.28708032
2005-07-07,39.6882,39.6882,39.0932,39.3723,929887.49356095
2005-07-08,39.4102,39.7262,39.3539,39.6154,660542.07643802
2005-07-11,39.6601,39.8274,39.3539,39.4015,680174.36827638
2005-07-12,39.4384,39.6882,39.1885,39.6882,629228.94122121
2005-07-13,39.6882,39.8983,39.4569,39.7262,537388.73442044
2005-07-14,40.4933,40.6139,40.1959,40.261,1035679.5045731
2005-07-15,40.3271,40.399,40.0013,40.0656,925178.95248614
2005-07-18,40.1044,41.0534,40.0753,40.9794,790668.74927414
2005-07-19,40.9794,41.3061,40.6519,41.2771,926965.48281531
2005-07-20,41.1282,41.2964,40.7782,41.101,400443.0079963
2005-07-21,41.2585,41.2585,40.6703,40.8899,532362.38225081
2005-07-22,40.9794,41.3305,40.6703,40.8628,456425.07236979
2005-07-25,40.8705,40.9707,40.261,40.5487,672060.41446703
2005-07-26,40.6703,40.8151,40.2794,40.6139,976613.95261941
2005-07-27,40.7617,40.8899,40.4933,40.7967,696723.1725345
2005-07-28,40.9794,42.784,40.926,42.5157,1076568.1132295
2005-07-29,42.542,42.8121,42.3134,42.4981,1156393.2093191
2005-08-01,42.5079,42.8765,42.4885,42.5507,943838.26925748
2005-08-02,42.8297,44.1239,42.6265,43.699,1360185.2026884
2005-08-03,43.699,43.976,43.5871,43.7174,865306.01635948
2005-08-04,43.3295,43.3295,42.542,42.8491,3219960.1898103
2005-08-05,42.8491,42.9329,42.4535,42.7082,527168.38215736
2005-08-08,42.822,43.1369,42.3514,42.3611,581361.85917194
2005-08-09,42.3611,42.3902,41.591,42.2133,2008562.0052443
2005-08-10,42.2765,43.5871,42.2765,42.8675,1687941.0077928
2005-08-11,41.1359,41.2771,40.0013,40.678,4544451.8124507
2005-08-12,39.9362,40.539,38.8365,40.4652,2638763.9215325
2005-08-15,40.3534,40.7335,39.8186,40.6976,1204261.3198832
2005-08-16,40.5945,40.5945,39.559,39.7262,1973837.2862037
2005-08-17,39.7262,40.4933,39.3276,40.4078,1493395.3631048
2005-08-18,40.3087,40.4262,40.085,40.3621,1490638.9432532
2005-08-19,39.3539,39.7446,39.1963,39.5415,1900659.4817189
2005-08-22,39.5415,39.5415,38.229,38.9493,1546943.9612959
2005-08-23,39.0028,39.3188,37.8187,38.2737,2643949.6935069
2005-08-24,38.3028,38.8181,38.2193,38.4019,1723152.214367
2005-08-25,38.4019,38.6683,38.1716,38.2737,1209616.7968113
2005-08-26,38.3028,38.3845,37.5736,37.6922,1512706.7583037
2005-08-29,37.6922,38.2737,37.6922,38.0217,1048491.7143085
2005-08-30,37.9936,38.2095,37.5978,37.6552,1314918.2062304
2005-08-31,37.5639,37.9509,37.1079,37.5541,1738728.0435581
2005-09-01,37.2653,37.5056,36.5158,36.5819,1352234.7827434
2005-09-02,36.7948,36.8599,35.732,35.8625,1550834.833049
2005-09-06,36.0238,36.4866,36.0238,36.2921,1359860.1919895
2005-09-07,37.1361,37.8468,36.8978,37.6455,1683396.0005823
2005-09-08,37.6455,37.6455,36.7287,37.1264,1543209.4238029
2005-09-09,37.1176,37.7185,37.0602,37.487,952278.26228061
2005-09-12,37.5056,38.9018,37.5056,38.505,1319947.6439448
2005-09-13,38.505,38.5478,37.737,37.7837,1152499.2520213
2005-09-14,37.8565,38.1629,37.4306,37.4676,522139.97295799
2005-09-15,37.2556,37.7087,37.2556,37.5639,922906.96313833
2005-09-16,37.5639,37.6261,37.0981,37.3412,1146011.3802214
2005-09-19,37.3314,37.5444,36.2387,36.3281,1040872.4761517
2005-09-20,36.4487,36.9717,35.7884,35.945,658918.05145832
2005-09-21,35.5114,35.5853,34.824,34.9174,1879564.6417354
2005-09-22,35.2867,36.2387,34.9533,36.052,943353.83875371
2005-09-23,36.1366,37.0146,35.8439,36.5819,658271.1156051
2005-09-26,37.4404,37.7185,35.7506,36.052,1176030.6437318
2005-09-27,36.1269,36.1269,35.4269,35.7223,979051.53286128
2005-09-28,35.7223,35.8245,34.9262,34.9533,803708.26079586
2005-09-29,35.036,35.3986,34.6208,35.3695,1160128.7753269
2005-09-30,35.4073,36.0715,35.3889,35.7594,821227.98309125
2005-10-03,35.7594,36.2105,35.732,36.052,901818.29424409
2005-10-04,36.5061,36.9806,35.8245,35.8342,1041138.861503
2005-10-05,35.7787,36.0238,34.8152,34.8988,945732.793648
2005-10-06,35.0087,36.5061,34.9825,35.8819,1019507.1367575
2005-10-07,35.7223,36.0889,35.4073,35.8625,429327.81960506
2005-10-10,35.8342,36.0238,35.4627,35.8158,459289.48628271
2005-10-11,35.9547,36.5333,35.6222,35.8245,719550.03155903
2005-10-12,35.316,35.3238,33.8342,34.4078,1553865.8663709
2005-10-13,34.4175,34.4263,33.8342,34.159,1107881.2484463
2005-10-14,34.2057,35.4726,34.1872,34.6393,1603081.3314147
2005-10-17,33.9752,34.3534,33.8002,34.2241,772551.45983928
2005-10-18,34.3534,34.436,33.6486,34.0841,797103.13830079
2005-10-19,34.0841,34.7618,33.6038,34.7336,911551.13045879
2005-10-20,34.7336,35.5658,34.4739,34.6568,976454.53281456
