Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,19.457,19.8746,19.457,19.8746,2967964.9821928
2005-02-28,19.7198,20.583,19.6842,20.1921,5887596.4251445
2005-03-01,20.2149,20.5224,20.0473,20.2219,2311738.0734545
2005-03-02,20.2307,20.2307,19.9252,20.0889,1918074.1024259
2005-03-03,20.0473,20.1266,19.7715,19.8419,1572371.7113488
2005-03-04,19.953,20.2705,19.827,20.0473,2928865.9119289
2005-03-07,19.9977,20.2149,19.827,20.1434,2435618.6612669
2005-03-08,20.0055,20.1841,19.9887,20.0125,1874294.7964389
2005-03-09,19.953,20.0889,19.8349,19.8885,2491165.5898759
2005-03-10,19.8568,19.8746,19.5751,19.7198,1567181.4176294
2005-03-11,19.5195,19.5988,19.2843,19.328,3467289.5839589
2005-03-14,19.3359,19.4332,19.1405,19.3439,2626440.8330007
2005-03-15,19.4946,19.5423,18.8855,18.952,5896206.9298933
2005-03-16,19.0056,19.0621,18.8647,18.9888,4699649.1757483
2005-03-17,19.0472,19.1484,18.831,18.9272,4131494.9690593
2005-03-18,18.9272,18.9272,18.5949,18.699,2996565.5267063
2005-03-21,18.8141,19.0681,18.7536,18.9748,3155749.9904043
2005-03-22,18.9818,19.5561,18.9818,19.1871,5990854.9448055
2005-03-23,19.077,19.2675,19.0224,19.203,3631410.3203978
2005-03-24,19.203,19.328,19.1087,19.2843,2467888.3976893
2005-03-28,19.3439,19.5988,19.3439,19.4182,2185832.3739539
2005-03-29,19.2426,19.4738,19.0919,19.0919,3183592.504062
2005-03-30,19.1405,19.4391,19.1087,19.4094,1874166.77793
2005-03-31,19.4094,19.5988,19.0849,19.0849,2705021.0130155
2005-04-01,19.7357,19.9162,19.2208,19.3131,4901104.9478796
2005-04-04,19.1237,19.3359,19.0681,19.2426,4044435.326864
2005-04-05,19.3131,19.6782,19.2754,19.6454,2987963.0861157
2005-04-06,19.6395,19.8647,19.6395,19.7357,2948984.9782225
2005-04-07,19.7565,19.7963,19.3677,19.6692,3905494.9239093
2005-04-08,18.7714,18.9679,18.2149,18.7298,17766178.837663
2005-04-11,18.7298,18.7298,17.9788,18.4461,4299408.883837
2005-04-12,18.5442,18.5442,18.2477,18.5244,3792494.9013343
2005-04-13,18.7228,18.7298,18.2069,18.2724,4929065.3998486
2005-04-14,18.2942,18.4768,17.9629,18.0671,6333268.1674216
2005-04-15,17.8697,17.9937,17.7487,17.7814,8516950.4352378
2005-04-18,17.8608,17.9788,17.7427,17.834,6805513.3264847
2005-04-19,17.7665,18.0433,17.6634,17.7347,4486308.8507036
2005-04-20,17.7814,17.9143,17.2843,17.3082,8390537.7018003
2005-04-21,17.3856,17.6455,17.1872,17.3538,8907573.2106649
2005-04-22,17.3538,17.3856,16.8479,17.1872,8187821.9049751
2005-04-25,17.1634,17.3082,17.0989,17.2675,4792912.171517
2005-04-26,17.1474,17.2923,16.954,17.0314,3106275.3728005
2005-04-27,16.7546,17.0919,16.6267,16.966,4912237.5180558
2005-04-28,16.8717,17.1336,16.8311,17.085,6272401.9185646
2005-04-29,17.1872,17.3687,17.0007,17.1474,4805945.8669514
2005-05-02,17.1088,17.4173,17.0681,17.3598,4353059.7272866
2005-05-03,17.5443,17.6216,17.3538,17.4659,4031021.6079819
2005-05-04,17.4262,17.591,17.2843,17.4659,3716192.8459662
2005-05-05,17.3459,17.5363,17.1088,17.2457,4022163.1303734
2005-05-06,17.1872,17.4173,17.0989,17.3856,3502340.4468858
2005-05-09,17.3459,17.4659,17.2457,17.4511,3375173.7146716
2005-05-10,17.33,17.4967,17.2397,17.2755,2868634.7155177
2005-05-11,17.2457,17.4729,17.2308,17.3211,3152713.8349017
2005-05-12,17.2923,17.6216,17.2923,17.3776,2416002.5968311
2005-05-13,16.5949,17.591,16.5949,17.4262,5354996.0832404
2005-05-16,17.4967,17.5047,17.2308,17.3926,1126196.9672139
2005-05-17,17.2595,17.4511,17.2457,17.4262,1600210.1929274
2005-05-18,17.3598,17.9629,17.3459,17.7814,6034002.2224061
2005-05-19,17.704,18.0978,17.704,18.0115,3574088.269
2005-05-20,17.8985,18.2229,17.8985,17.9541,3320758.7922476
2005-05-23,17.8985,18.1981,17.7992,17.9867,2960754.616884
2005-05-24,17.8062,18.0026,17.6693,17.9143,5312604.8204562
2005-05-25,17.9541,17.9541,17.6216,17.6554,3440084.1387864
2005-05-26,17.7992,18.326,17.7913,18.2069,4482891.6637336
2005-05-27,18.1901,18.4391,18.1831,18.2556,4427088.6981067
2005-05-31,18.091,18.3975,18.091,18.3975,4253726.4365522
2005-06-01,18.3667,18.5394,18.2556,18.4589,3005931.0382517
2005-06-02,18.4927,18.8072,18.4461,18.6822,1969451.8613275
2005-06-03,18.5394,18.6505,18.3747,18.5394,2357038.4812521
2005-06-06,18.3975,18.7378,18.334,18.706,2609735.929618
2005-06-07,18.7714,19.0621,18.699,18.8935,3106524.35368
2005-06-08,18.8935,18.9272,18.5442,18.6505,1893781.834346
2005-06-09,18.6663,18.7228,18.5165,18.7149,2270739.8939719
2005-06-10,18.7149,18.9183,18.6573,18.9183,1453298.3697488
2005-06-13,18.8141,19.0532,18.7714,18.8499,2103580.9859908
2005-06-14,18.7854,18.823,18.3915,18.4391,3078814.89863
2005-06-15,18.4391,18.6187,18.1128,18.1673,2746526.2264349
2005-06-16,18.1743,18.5394,18.1365,18.454,3532333.0666814
2005-06-17,18.454,18.7536,18.3082,18.6663,2229993.7194282
2005-06-20,18.6425,18.9888,18.4927,18.8499,4063167.3579744
2005-06-21,18.8072,18.9679,18.7913,18.8717,1881253.1568089
2005-06-22,18.8717,18.952,18.8072,18.8935,2525334.435517
2005-06-23,18.8409,18.8499,18.1743,18.1743,3466658.563592
2005-06-24,18.2308,18.2397,17.8846,18.0978,3003523.8870764
2005-06-27,18.1128,18.1743,17.8608,17.9541,1286393.482746
2005-06-28,18.1058,18.4302,18.076,18.3826,1562503.1979456
2005-06-29,18.2874,18.3429,17.8608,17.8776,2836749.0346219
2005-06-30,17.827,18.1058,17.827,17.9143,5573147.6865766
2005-07-01,17.9371,18.3975,17.9282,18.3975,2118006.7567071
2005-07-05,18.3826,18.3975,17.9867,18.2804,3736820.9622361
2005-07-06,18.2556,18.6822,18.2477,18.6505,3462102.3142987
2005-07-07,18.6187,18.6573,17.5443,17.5443,6358447.4928862
2005-07-08,18.8499,19.2506,18.7298,19.1335,12395490.910894
2005-07-11,18.9748,19.3002,18.9679,19.1405,4087328.5834862
2005-07-12,19.1405,19.1643,18.6743,18.7626,4508706.0416438
2005-07-13,18.6663,18.7298,18.5244,18.5869,3840579.4596957
2005-07-14,19.3359,19.3359,18.5691,18.6663,4158827.424721
2005-07-15,18.6107,18.6822,18.4391,18.5691,3098683.9760243
2005-07-18,18.5442,18.9183,18.5394,18.8002,2853826.9053141
2005-07-19,18.9679,19.5195,18.961,19.4094,5968077.7304176
2005-07-20,19.1237,19.4262,19.0849,19.3855,3958643.7735207
2005-07-21,19.3191,19.7506,19.2843,19.6395,3939155.7275939
2005-07-22,19.4391,19.6306,19.2843,19.5988,3239771.4610575
2005-07-25,19.4391,19.7427,19.203,19.6395,3129432.6106362
2005-07-26,19.5195,19.7883,19.3607,19.7506,2563424.4780059
2005-07-27,19.7565,19.8349,19.6058,19.7963,4011914.5935225
2005-07-28,19.7655,19.8349,19.7427,19.7655,4798605.4670943
2005-07-29,19.6395,19.8121,19.6147,19.7883,4423924.5240952
2005-08-01,19.5988,19.8349,19.5661,19.7565,2783474.1825412
2005-08-02,19.7565,20.1584,19.7565,20.1584,3910934.1985082
2005-08-03,20.0403,20.2992,19.9977,20.2387,3448564.6089867
2005-08-04,20.0541,20.3081,19.9322,19.9977,3078814.89863
2005-08-05,19.8201,19.9887,19.7565,19.8746,3616222.4867466
2005-08-08,19.7793,19.9322,19.6226,19.7565,2887740.7219573
2005-08-09,19.7427,20.1266,19.7357,20.072,2601891.5198832
2005-08-10,20.072,20.2307,19.9401,20.0631,2174823.7902077
2005-08-11,19.9977,20.1434,19.8647,19.9322,3259009.518085
2005-08-12,19.7357,19.9074,19.6692,19.8647,1820260.9054824
2005-08-15,19.7963,19.945,19.7278,19.8349,1205784.1589641
2005-08-16,19.7198,19.9074,19.7198,19.8201,2334388.2773533
2005-08-17,19.7793,19.7793,19.457,19.6534,3436790.9382462
2005-08-18,19.6395,19.8568,19.6395,19.8349,2044105.8043959
2005-08-19,19.8201,19.9074,19.7109,19.7715,1533399.6515742
2005-08-22,19.8041,19.9074,19.4897,19.6534,2744122.0993188
2005-08-23,19.6226,19.7883,19.5195,19.5195,1944649.5352515
2005-08-24,19.5284,19.6534,19.4391,19.4897,2620239.4954669
2005-08-25,19.4897,19.827,19.4391,19.7506,1603880.3928561
2005-08-26,19.5988,19.692,19.4391,19.4818,1962238.4719595
2005-08-29,19.3607,19.4897,19.2923,19.3607,2698696.6970716
2005-08-30,19.3439,19.3607,19.1732,19.2923,2099784.7835929
2005-08-31,19.2605,19.3439,19.0919,19.2843,3450080.6706985
2005-09-01,19.3607,19.9252,19.3191,19.692,3176759.1381417
2005-09-02,19.692,20.0185,19.6454,20.0055,1989192.9202129
2005-09-06,20.0055,20.3508,19.9977,20.3171,2681862.7671601
2005-09-07,20.3508,20.4301,20.2307,20.3826,2880403.3461594
2005-09-08,20.3608,20.5055,20.2705,20.3875,2907102.7654147
2005-09-09,20.3666,20.4222,20.1336,20.2387,2570760.8457841
2005-09-12,20.2149,20.5055,20.1514,20.3171,2465357.260084
2005-09-13,19.9977,20.0978,19.8488,19.8488,2761837.0384963
2005-09-14,20.1127,20.2487,19.8488,20.2219,2477377.8956646
2005-09-15,19.8349,20.1841,19.8349,20.0889,2206960.4680224
2005-09-16,20.1921,20.9509,20.0541,20.7615,10498417.892047
2005-09-19,20.6355,20.7694,20.1672,20.3875,3583199.759567
2005-09-20,20.3508,20.6186,20.199,20.3826,1461521.7949115
2005-09-21,20.3964,20.4301,20.1127,20.1921,3024153.011366
2005-09-22,19.7565,20.0333,19.4897,19.9162,2378929.6462753
2005-09-23,19.8349,19.9887,19.6614,19.9074,1032810.9930351
2005-09-26,19.8041,19.9887,19.7198,19.9887,1642859.508769
2005-09-27,19.9887,20.0541,19.7565,19.8419,1714981.3062123
2005-09-28,19.8121,19.9322,19.5988,19.7883,2170648.5723817
2005-09-29,19.5988,19.8647,19.4818,19.7963,2607713.8419891
2005-09-30,19.7565,20.3171,19.7427,20.1196,2207088.4865313
2005-10-03,20.0185,20.2307,19.9401,20.1742,2483703.2196283
2005-10-04,20.5383,20.5383,19.9887,20.0403,3193966.0353625
2005-10-05,20.0333,20.1514,19.7198,19.7198,1320811.3092667
2005-10-06,19.692,19.953,19.5561,19.953,2807011.4438245
2005-10-07,20.7536,21.2902,20.6752,21.077,10025290.715698
2005-10-10,20.583,20.9163,20.2069,20.2565,4969814.5984517
2005-10-11,20.3508,20.3608,19.8419,19.9629,3941682.8331201
2005-10-12,19.6782,20.0273,19.6614,19.8201,2625426.7651271
2005-10-13,19.3945,19.7565,19.3945,19.7565,2204813.3859439
2005-10-14,20.1127,20.325,19.9887,20.1672,4128331.8030676
2005-10-17,19.953,20.1672,19.9322,20.1584,2418155.7270281
2005-10-18,20.1514,20.5383,20.0125,20.3608,4167810.8967791
2005-10-19,20.5224,20.8786,20.2992,20.7972,3907773.048556
