Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,2.25089,2.2585,2.22149,2.2585,625698.52323084
1983-04-07,2.2585,2.28759,2.2585,2.27309,514308.26248618
1983-04-08,2.27309,2.3169,2.23649,2.2585,1074340.9012231
1983-04-11,2.2585,2.27309,2.25089,2.2585,353816.32014027
1983-04-12,2.25089,2.2585,2.22149,2.25089,185042.27634803
1983-04-13,2.23649,2.25089,2.16308,2.17808,1172230.049342
1983-04-14,2.17808,2.2071,2.12639,2.19229,608821.11885162
1983-04-15,2.2071,2.2071,2.15578,2.17808,2486233.9444189
1983-04-18,2.17808,2.2071,2.11169,2.17808,2318071.0996442
1983-04-19,2.17808,2.25089,2.15578,2.19229,1915459.2042099
1983-04-20,2.22149,2.2585,2.2071,2.23649,1454855.3675016
1983-04-21,2.49301,2.5149,2.44909,2.4636,5539250.0702906
1983-04-22,2.44909,2.61011,2.44909,2.5299,2278177.9471874
1983-04-25,2.5149,2.5883,2.4342,2.4636,1262755.4149365
1983-04-26,2.4636,2.5299,2.3976,2.5149,2709017.5066993
1983-04-27,2.5149,2.5736,2.44909,2.50761,2078405.0649993
1983-04-28,2.50761,2.5299,2.4782,2.50761,458150.93186182
1983-04-29,2.49301,2.5149,2.44909,2.4782,675410.39025258
1983-05-02,2.4418,2.4564,2.4124,2.4418,592861.01979719
1983-05-03,2.4418,2.4418,2.39049,2.4418,456613.3051461
1983-05-04,2.4418,2.471,2.4124,2.4418,417335.40609504
1983-05-05,2.4418,2.471,2.3976,2.3976,418565.91290642
1983-05-06,2.4124,2.4418,2.3169,2.4124,2270202.9656454
1983-05-09,2.4124,2.427,2.3754,2.3976,804908.56218783
1983-05-10,2.4124,2.471,2.4124,2.471,442195.9007926
1983-05-11,2.4782,2.50761,2.471,2.471,863828.95835409
1983-05-12,2.49301,2.5516,2.4782,2.5516,2111854.7810475
1983-05-13,2.5736,2.63202,2.5516,2.5883,2290145.4874857
1983-05-16,2.5736,2.60281,2.5365,2.60281,688609.45095921
1983-05-17,2.60281,2.63202,2.5736,2.5736,1141853.5595312
1983-05-18,2.5883,2.63202,2.5664,2.5664,2002304.1989377
1983-05-19,2.60281,2.60281,2.5365,2.5664,845110.86174301
1983-05-20,2.5736,2.5883,2.471,2.5365,379290.04104943
1983-05-23,2.50761,2.5664,2.49301,2.5516,464904.52896582
1983-05-24,2.5516,2.5883,2.5365,2.5664,750596.99178054
1983-05-25,2.5883,2.61791,2.5736,2.60281,566784.20864685
1983-05-26,2.61791,2.76421,2.61791,2.74222,1666589.7084057
1983-05-27,2.77872,2.82271,2.76421,2.77872,747836.9670298
1983-05-31,2.80851,2.80851,2.74981,2.77872,1014805.2516512
1983-06-01,2.77872,2.82271,2.76421,2.82271,1196165.1299385
1983-06-02,2.83771,2.87421,2.82271,2.87421,2939471.9714085
1983-06-03,2.87421,2.87421,2.79372,2.80851,741077.28834353
1983-06-06,2.83771,2.83771,2.76421,2.79372,361488.23616611
1983-06-07,2.80851,2.83771,2.77872,2.80851,505408.88044009
1983-06-08,2.79372,2.79372,2.69811,2.71281,439433.84884776
1983-06-09,2.69811,2.72761,2.65431,2.71281,794474.59421716
1983-06-10,2.72761,2.74222,2.68371,2.72761,677562.25677693
1983-06-13,2.74981,2.76421,2.74222,2.74981,807367.54861652
1983-06-14,2.74981,2.77872,2.74222,2.76421,491600.64791001
1983-06-15,2.74222,2.74981,2.69811,2.72761,242424.03220153
1983-06-16,2.74981,2.74981,2.66901,2.68371,720830.68739013
1983-06-17,2.68371,2.68371,2.65431,2.68371,356274.29297191
1983-06-20,2.71281,2.72761,2.65431,2.71281,830381.26949996
1983-06-21,2.74222,2.77872,2.71281,2.77872,581210.73537374
1983-06-22,2.80851,2.82271,2.77872,2.80851,772383.24664372
1983-06-23,2.80851,2.80851,2.77872,2.79372,549596.64357217
1983-06-24,2.79372,2.82271,2.77872,2.79372,506328.21295897
1983-06-27,2.79372,2.82271,2.74981,2.82271,246410.50937549
1983-06-28,2.82271,2.82271,2.74981,2.76421,403528.18716201
1983-06-29,2.77872,2.82271,2.74981,2.76421,307786.85117929
1983-06-30,2.74222,2.76421,2.71281,2.74222,510322.79890928
