Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,1.04035,1.05998,1.02665,1.05998,3285865.6964214
1983-04-07,1.05998,1.0798,1.05366,1.0798,3869362.1551717
1983-04-08,1.0798,1.0798,1.06659,1.0798,879275.77013201
1983-04-11,1.0798,1.0798,1.05998,1.05998,1048683.6265026
1983-04-12,1.06659,1.07349,1.04035,1.06659,1374045.8375301
1983-04-13,1.0798,1.08631,1.07349,1.07349,1914514.0067699
1983-04-14,1.0798,1.09972,1.0798,1.09972,4557726.5709798
1983-04-15,1.11275,1.11275,1.08631,1.09321,704499.89762687
1983-04-18,1.0798,1.08631,1.07349,1.08631,3423002.5891544
1983-04-19,1.07349,1.08631,1.06659,1.07349,4253876.9837359
1983-04-20,1.07349,1.09972,1.07349,1.09321,1691327.6328839
1983-04-21,1.09972,1.11964,1.0798,1.0798,1855361.3892332
1983-04-22,1.0798,1.08631,1.0798,1.0798,1172374.1153899
1983-04-25,1.07349,1.08631,1.05998,1.05998,1925274.3745862
1983-04-26,1.0798,1.08631,1.05998,1.0798,4799729.3928085
1983-04-27,1.06659,1.0798,1.05366,1.05366,2140388.4446478
1983-04-28,1.05998,1.07349,1.05366,1.06659,2882524.2801032
1983-04-29,1.0798,1.09972,1.05998,1.09972,2253316.5377564
1983-05-02,1.09972,1.13296,1.08631,1.12635,3915070.3968249
1983-05-03,1.11275,1.13296,1.09972,1.12635,3514425.1563476
1983-05-04,1.13296,1.13967,1.12635,1.13296,2299029.8493153
1983-05-05,1.15929,1.18611,1.13967,1.17902,4676041.9458645
1983-05-06,1.17902,1.22576,1.17902,1.21255,10494875.107473
1983-05-09,1.21896,1.2588,1.19933,1.25219,3215956.7669929
1983-05-10,1.2588,1.27192,1.2588,1.2588,5821521.2256005
1983-05-11,1.2588,1.26531,1.24548,1.24548,3073439.6903518
1983-05-12,1.24548,1.24548,1.18611,1.19933,8768586.4189978
1983-05-13,1.19933,1.20565,1.19933,1.19933,3258975.9306731
1983-05-16,1.19933,1.19933,1.17281,1.18611,1118592.5559311
1983-05-17,1.17281,1.19242,1.15297,1.15929,2014003.8078818
1983-05-18,1.15929,1.18611,1.15297,1.18611,3562827.5458793
1983-05-19,1.17281,1.17902,1.15929,1.15929,618451.4304551
1983-05-20,1.166,1.17281,1.15929,1.17281,610387.23847969
1983-05-23,1.15929,1.17281,1.15297,1.17281,717941.23156702
1983-05-24,1.15929,1.18611,1.15297,1.18611,2312476.2531612
1983-05-25,1.18611,1.19933,1.17902,1.18611,497447.99157851
1983-05-26,1.19933,1.22576,1.19933,1.19933,6300149.7272931
1983-05-27,1.19933,1.19933,1.15929,1.17902,2358188.5507388
1983-05-31,1.15929,1.17902,1.15297,1.15929,435604.26810659
1983-06-01,1.14618,1.17281,1.13967,1.166,2780351.4849052
1983-06-02,1.18611,1.18611,1.15929,1.166,1556887.929973
1983-06-03,1.17281,1.17902,1.15929,1.17281,790544.30887411
1983-06-06,1.17281,1.17902,1.15929,1.166,559290.7010693
1983-06-07,1.17281,1.17281,1.14618,1.14618,3530562.6661286
1983-06-08,1.13967,1.15297,1.13296,1.15297,984147.78311437
1983-06-09,1.15297,1.15297,1.14618,1.15297,556603.65105863
1983-06-10,1.15297,1.19242,1.14618,1.18611,1906448.8008134
1983-06-13,1.19242,1.19933,1.17281,1.19933,1142791.2157442
1983-06-14,1.20565,1.21255,1.19242,1.19933,903480.51383188
1983-06-15,1.19933,1.2588,1.19933,1.2588,2215673.5020599
1983-06-16,1.27862,1.33159,1.27862,1.33159,2973949.8892398
1983-06-17,1.31185,1.31185,1.29845,1.31185,1199264.8951193
1983-06-20,1.31817,1.3381,1.30525,1.30525,1054053.6705994
1983-06-21,1.30525,1.30525,1.29194,1.30525,1244972.1227913
1983-06-22,1.31185,1.31185,1.29845,1.31185,4033391.8555965
1983-06-23,1.31185,1.31817,1.29845,1.29845,1618732.667426
1983-06-24,1.28543,1.28543,1.26531,1.27192,1312194.0022091
1983-06-27,1.27192,1.27192,1.24548,1.24548,723321.41547518
1983-06-28,1.24548,1.2588,1.24548,1.2588,583494.43078802
1983-06-29,1.24548,1.2588,1.23908,1.25219,228555.40400165
1983-06-30,1.2588,1.27862,1.2588,1.27192,564672.91293972
1983-07-01,1.27192,1.32518,1.27192,1.31817,1406307.6753373
1983-07-05,1.31185,1.31185,1.25219,1.2588,2059715.0914784
1983-07-06,1.2588,1.28543,1.2588,1.28543,720634.36546451
1983-07-07,1.27862,1.30525,1.27862,1.29845,855075.0823567
1983-07-08,1.29845,1.31185,1.29845,1.29845,618451.4304551
1983-07-11,1.30525,1.31185,1.30525,1.31185,623828.57241984
1983-07-12,1.31185,1.31817,1.31185,1.31185,2551792.024979
1983-07-13,1.31185,1.31185,1.28543,1.30525,3371915.1775743
1983-07-14,1.30525,1.31185,1.29845,1.29845,5022910.6967888
1983-07-15,1.28543,1.28543,1.26531,1.26531,543163.33109962
1983-07-18,1.25219,1.25219,1.23908,1.23908,1465464.3487987
1983-07-19,1.23908,1.23908,1.19933,1.21896,2315165.331134
1983-07-20,1.23908,1.32518,1.23908,1.32518,1505798.4904304
1983-07-21,1.33159,1.33159,1.27862,1.27862,1379417.9095892
1983-07-22,1.29194,1.30525,1.27862,1.27862,1449327.8529988
1983-07-25,1.27862,1.27862,1.2588,1.26531,470561.26777367
1983-07-26,1.26531,1.27862,1.26531,1.27192,820125.18055758
1983-07-27,1.25219,1.29845,1.19933,1.19933,2675480.485904
1983-07-28,1.19933,1.22576,1.19933,1.19933,1683269.5247954
1983-07-29,1.18611,1.18611,1.166,1.17281,4213543.8560851
1983-08-01,1.17281,1.18611,1.15929,1.166,833567.52847886
1983-08-02,1.17281,1.17902,1.166,1.166,1029857.0387486
1983-08-03,1.166,1.18611,1.15929,1.18611,551229.55103729
1983-08-04,1.18611,1.18611,1.15297,1.15929,968015.343239
1983-08-05,1.15297,1.15297,1.13296,1.13967,1718222.4685379
1983-08-08,1.13296,1.13296,1.11275,1.11275,1438576.6110127
1983-08-09,1.11275,1.12635,1.0798,1.0798,4450169.535949
1983-08-10,1.0798,1.09321,1.0798,1.09321,1511171.5764707
1983-08-11,1.09972,1.10654,1.09972,1.09972,2463056.5077966
1983-08-12,1.10654,1.10654,1.09321,1.09972,346872.8068487
1983-08-15,1.11275,1.11275,1.09321,1.09321,750209.15326116
1983-08-16,1.08631,1.09321,1.0798,1.09321,3258975.9306731
1983-08-17,1.0798,1.11275,1.0798,1.11275,2285587.5013939
1983-08-18,1.11275,1.12635,1.09321,1.09321,1180437.2933842
1983-08-19,1.08631,1.12635,1.08631,1.11275,790544.30887411
1983-08-22,1.11964,1.13296,1.11275,1.11275,500136.05557033
1983-08-23,1.11275,1.11275,1.09972,1.10654,123687.44694384
1983-08-24,1.0798,1.09321,1.07349,1.09321,1371352.7036326
1983-08-25,1.09321,1.09321,1.07349,1.0798,271582.67953095
1983-08-26,1.08631,1.09321,1.0798,1.0798,906166.5498614
1983-08-29,1.07349,1.08631,1.07349,1.08631,484007.6716195
1983-08-30,1.0798,1.0798,1.07349,1.0798,2046263.6177269
1983-08-31,1.0798,1.09321,1.07349,1.0798,3342336.3338531
1983-09-01,1.0798,1.09972,1.0798,1.0798,3111084.7540106
1983-09-02,1.0798,1.10654,1.0798,1.09972,2196851.9842116
1983-09-06,1.11275,1.15297,1.11275,1.14618,2489946.2735448
1983-09-07,1.15297,1.19933,1.15297,1.19933,3791384.9778432
1983-09-08,1.19933,1.19933,1.18611,1.18611,3100326.4141566
1983-09-09,1.17281,1.18611,1.166,1.166,1570327.2359508
1983-09-12,1.17902,1.17902,1.14618,1.15929,1656375.7031225
1983-09-13,1.15297,1.15297,1.13967,1.14618,712560.03367774
1983-09-14,1.13967,1.14618,1.12635,1.14618,1218079.3150996
1983-09-15,1.14618,1.14618,1.13296,1.13967,336118.52291921
1983-09-16,1.13967,1.13967,1.11964,1.13967,449050.67195243
1983-09-19,1.13967,1.15297,1.12635,1.13967,1312194.0022091
1983-09-20,1.15297,1.15929,1.14618,1.15297,2299029.8493153
1983-09-21,1.15297,1.15297,1.11964,1.13967,1352525.1018975
1983-09-22,1.13967,1.13967,1.11964,1.13967,1970978.5603149
1983-09-23,1.13967,1.13967,1.11964,1.13967,2503388.6214662
1983-09-26,1.13967,1.13967,1.11964,1.12635,2046263.6177269
1983-09-27,1.13967,1.13967,1.12635,1.12635,1823091.4395768
1983-09-28,1.11275,1.12635,1.11275,1.11964,553918.62901023
1983-09-29,1.11275,1.11964,1.09972,1.10654,537784.1611726
1983-09-30,1.11275,1.11275,1.09321,1.09321,817434.07462236
1983-10-03,1.09321,1.11275,1.08631,1.11275,1258418.5266372
1983-10-04,1.11275,1.12635,1.11275,1.12635,3603158.6455678
1983-10-05,1.13967,1.13967,1.12635,1.13296,906166.5498614
1983-10-06,1.11964,1.17902,1.11964,1.166,1806955.9577581
1983-10-07,1.17902,1.17902,1.15929,1.17281,1997865.2841197
1983-10-10,1.17902,1.18611,1.17902,1.17902,107559.06299302
1983-10-11,1.18611,1.19933,1.18611,1.18611,696429.62176465
1983-10-12,1.18611,1.19933,1.17902,1.17902,1688643.6248167
1983-10-13,1.17902,1.19242,1.166,1.17281,1210018.1650676
1983-10-14,1.17281,1.19933,1.17281,1.19933,803987.67077654
1983-10-17,1.19933,1.19933,1.19242,1.19933,629208.75632799
1983-10-18,1.20565,1.20565,1.166,1.17902,3990359.5101614
1983-10-19,1.166,1.166,1.13967,1.14618,1930652.5305322
1983-10-20,1.14618,1.15297,1.14618,1.14618,2027445.141822
1983-10-21,1.14618,1.15929,1.13967,1.13967,1567640.1859401
1983-10-24,1.12635,1.12635,1.11275,1.11964,1624108.7954096
1983-10-25,1.12635,1.12635,1.11275,1.11275,1000278.1950275
1983-10-26,1.11275,1.12635,1.11275,1.12635,865830.38026732
1983-10-27,1.11275,1.11275,1.09972,1.11275,2390453.4304894
1983-10-28,1.09972,1.11275,1.09321,1.09321,4498571.9254808
