Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,1.2935,1.33223,1.2935,1.31926,16008.480425989
1970-01-05,1.31926,1.33223,1.30028,1.33223,27346.464306751
1970-01-06,1.33223,1.34501,1.32594,1.32594,21751.22775725
1970-01-07,1.32594,1.33223,1.31297,1.33223,11963.633058569
1970-01-08,1.32594,1.32594,1.31297,1.31297,25324.040623041
1970-01-09,1.31297,1.33223,1.30638,1.32594,26106.356424234
1970-01-12,1.31926,1.31926,1.30028,1.31297,18177.397575723
1970-01-13,1.31297,1.31297,1.27434,1.27434,24706.529971122
1970-01-14,1.27434,1.28063,1.25507,1.27434,58734.724033714
1970-01-15,1.27434,1.27434,1.26126,1.26785,36512.479090569
1970-01-16,1.26785,1.2935,1.26126,1.26126,36203.215106742
1970-01-19,1.26785,1.2935,1.26785,1.28711,19580.275976044
1970-01-20,1.28711,1.28711,1.26126,1.26126,30768.714443573
1970-01-21,1.26126,1.2935,1.26126,1.27434,34807.457916576
1970-01-22,1.28063,1.31926,1.28063,1.31297,39309.080049583
1970-01-23,1.31297,1.31297,1.26126,1.26126,18486.661559551
1970-01-26,1.26126,1.27434,1.25507,1.25507,18645.362814409
1970-01-27,1.24868,1.24868,1.22921,1.24199,19734.907967957
1970-01-28,1.24199,1.24199,1.20995,1.22273,41489.187672416
1970-01-29,1.22273,1.22273,1.19039,1.20995,40561.395720935
1970-01-30,1.20995,1.21624,1.19737,1.19737,23612.91555463
1970-02-02,1.20995,1.24199,1.20995,1.21624,42265.399579192
1970-02-03,1.21624,1.22921,1.19039,1.22273,36670.163029691
1970-02-04,1.24199,1.24868,1.21624,1.2354,33094.298216693
1970-02-05,1.2354,1.2354,1.21624,1.22273,20352.418619875
1970-02-06,1.22921,1.25507,1.22921,1.2354,23612.91555463
1970-02-09,1.2354,1.26785,1.22921,1.22921,23775.686072433
1970-02-10,1.22921,1.22921,1.20366,1.20995,56558.685673826
1970-02-11,1.20995,1.21624,1.19039,1.21624,37913.322859417
1970-02-12,1.21624,1.21624,1.20366,1.21624,27187.763051893
1970-02-13,1.21624,1.22273,1.20366,1.22273,43038.559538759
1970-02-16,1.22273,1.24199,1.19039,1.19039,35271.353892317
1970-02-17,1.19039,1.21624,1.18409,1.19737,35114.68726893
1970-02-18,1.20366,1.2354,1.20366,1.2354,26106.356424234
1970-02-19,1.2354,1.24199,1.22273,1.22273,27815.446861173
1970-02-20,1.22273,1.2354,1.20995,1.2354,20198.803943697
1970-02-24,1.2354,1.24868,1.22273,1.22273,27968.044221614
1970-02-25,1.24199,1.31297,1.24199,1.30638,33717.912763028
1970-02-26,1.30638,1.31297,1.28063,1.30028,43818.840708481
1970-02-27,1.31297,1.33223,1.31297,1.31297,34339.492677891
1970-03-02,1.31297,1.37705,1.31297,1.37126,41333.538364766
1970-03-03,1.37126,1.38325,1.35159,1.35798,28440.078723244
1970-03-04,1.35798,1.38325,1.35159,1.37126,36982.478960728
1970-03-05,1.37126,1.38325,1.35159,1.35159,71004.5691289
1970-03-06,1.35159,1.36437,1.31926,1.31926,34180.791423032
1970-03-09,1.31926,1.33853,1.31926,1.31926,22060.491741078
1970-03-10,1.31926,1.33853,1.31297,1.31297,21598.630396809
1970-03-11,1.31297,1.31926,1.31297,1.31297,19264.908097799
1970-03-12,1.31297,1.31297,1.30028,1.31297,31696.506395053
1970-03-13,1.31297,1.32594,1.2935,1.31926,21290.383728718
1970-03-16,1.31926,1.33853,1.31297,1.31926,16314.692462608
1970-03-17,1.31926,1.32594,1.2935,1.31297,22219.192995936
1970-03-18,1.31297,1.31926,1.30638,1.31297,27034.148375715
1970-03-19,1.31297,1.31297,1.30028,1.30028,28741.204181181
1970-03-20,1.30638,1.31926,1.30638,1.31926,23775.686072433
1970-03-23,1.31926,1.31926,1.30028,1.31297,13523.178082275
1970-03-24,1.31297,1.33853,1.31297,1.31926,22837.720963589
1970-03-25,1.31926,1.38325,1.31297,1.37705,135645.82832741
1970-03-26,1.37705,1.37705,1.34501,1.35159,47703.969505307
1970-03-30,1.35159,1.37126,1.35159,1.35798,57025.633596776
1970-03-31,1.35798,1.37126,1.34501,1.35798,46460.809675582
1970-04-01,1.35798,1.37126,1.35159,1.37126,30614.08245166
1970-04-02,1.37126,1.37126,1.35159,1.35159,32789.103495811
1970-04-03,1.35798,1.39033,1.35798,1.39033,26878.499068065
1970-04-06,1.39033,1.39642,1.38325,1.39033,23309.75546522
1970-04-07,1.38325,1.38325,1.36437,1.37705,20511.119874734
1970-04-08,1.37705,1.38325,1.36437,1.37126,17710.449652774
1970-04-09,1.37126,1.39033,1.37126,1.38325,20044.171951785
1970-04-10,1.38325,1.38325,1.36437,1.37705,16472.37640173
1970-04-13,1.37705,1.38325,1.36437,1.37705,23931.335380083
1970-04-14,1.37705,1.37705,1.35798,1.37126,38067.954851331
1970-04-15,1.37126,1.37126,1.35159,1.36437,26571.269715711
1970-04-16,1.36437,1.37126,1.33223,1.35159,18645.362814409
1970-04-17,1.33853,1.33853,1.31926,1.31926,17091.92168512
1970-04-20,1.31926,1.33223,1.31297,1.31926,19112.310737358
