Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-07-19,0.167915,0.175291,0.167915,0.171553,1167707.3790686
1984-07-20,0.171553,0.175291,0.171553,0.171553,2618490.7620249
1984-07-23,0.171553,0.171553,0.16413,0.16413,1786939.9611603
1984-07-24,0.16413,0.171553,0.16413,0.16413,849240.24714319
1984-07-25,0.16413,0.16413,0.160383,0.160383,1150016.9131666
1984-07-26,0.160383,0.16413,0.160383,0.160383,866929.69342183
1984-07-27,0.16413,0.16413,0.160383,0.160383,150382.21527137
1984-07-30,0.160383,0.160383,0.156734,0.156734,911167.07403423
1984-07-31,0.156734,0.167915,0.156734,0.167915,1008471.7738592
1984-08-01,0.167915,0.175291,0.16413,0.175291,1866561.332447
1984-08-02,0.175291,0.179065,0.175291,0.179065,4210815.205795
1984-08-03,0.179065,0.186471,0.179065,0.186471,4343512.0532812
1984-08-06,0.190276,0.193963,0.186471,0.193963,14720180.59779
1984-08-07,0.193963,0.201477,0.190276,0.19773,4060442.1671341
1984-08-08,0.19773,0.201477,0.193963,0.19773,12437841.315851
1984-08-09,0.193963,0.201477,0.193963,0.201477,6749692.7535203
1984-08-10,0.205115,0.212628,0.205115,0.212628,7103551.0134837
1984-08-13,0.208822,0.212628,0.205115,0.205115,3565041.8267333
1984-08-14,0.208822,0.208822,0.208822,0.208822,2945807.2053949
1984-08-15,0.208822,0.212628,0.205115,0.212628,2662723.0445202
1984-08-16,0.208822,0.220081,0.208822,0.220081,4520442.2028864
1984-08-17,0.220081,0.220081,0.216433,0.216433,1468473.8488582
1984-08-20,0.216433,0.220081,0.216433,0.216433,1079247.9121947
1984-08-21,0.220081,0.220081,0.216433,0.216433,3255421.9670056
1984-08-22,0.220081,0.220081,0.216433,0.216433,3662341.4284413
1984-08-23,0.220081,0.220081,0.212628,0.216433,1786939.9611603
1984-08-24,0.216433,0.216433,0.212628,0.212628,636932.22460418
1984-08-27,0.212628,0.216433,0.212628,0.212628,849240.24714319
1984-08-28,0.212628,0.216433,0.212628,0.216433,849240.24714319
1984-08-29,0.216433,0.220081,0.212628,0.216433,707704.28444624
1984-08-30,0.216433,0.220081,0.216433,0.220081,2344258.971465
1984-08-31,0.220081,0.220081,0.220081,0.220081,6236614.1826982
1984-09-04,0.220081,0.220081,0.220081,0.220081,3043113.9444666
1984-09-05,0.220081,0.223897,0.220081,0.220081,3556198.6330291
1984-09-06,0.223897,0.223897,0.220081,0.223897,3034264.633022
1984-09-07,0.223897,0.223897,0.220081,0.220081,1388862.6738055
1984-09-10,0.220081,0.220081,0.220081,0.220081,2052333.6561329
1984-09-11,0.220081,0.223897,0.220081,0.223897,583853.68953433
1984-09-12,0.223897,0.231409,0.220081,0.231409,2839646.0567617
1984-09-13,0.231409,0.231409,0.227545,0.227545,1194243.0779217
1984-09-14,0.231409,0.231409,0.223897,0.223897,1866561.332447
1984-09-17,0.223897,0.223897,0.212628,0.212628,1963866.0322719
1984-09-18,0.216433,0.216433,0.212628,0.216433,1654250.2510377
1984-09-19,0.216433,0.216433,0.212628,0.212628,1309247.4202592
1984-09-20,0.208822,0.212628,0.205115,0.205115,946546.98621489
1984-09-21,0.208822,0.212628,0.205115,0.208822,1592326.483017
1984-09-24,0.208822,0.216433,0.208822,0.212628,2919261.310308
1984-09-25,0.212628,0.216433,0.212628,0.216433,822700.46979658
1984-09-26,0.220081,0.220081,0.212628,0.216433,1972718.4025867
1984-09-27,0.216433,0.220081,0.216433,0.216433,690005.66155705
1984-09-28,0.216433,0.216433,0.212628,0.212628,822700.46979658
1984-10-01,0.212628,0.216433,0.208822,0.212628,1265009.0200234
1984-10-02,0.216433,0.216433,0.212628,0.212628,495388.10492008
1984-10-03,0.212628,0.212628,0.208822,0.208822,663470.98232742
1984-10-04,0.212628,0.212628,0.208822,0.208822,230000.52768782
1984-10-05,0.216433,0.216433,0.212628,0.216433,1309247.4202592
1984-10-08,0.216433,0.220081,0.216433,0.216433,1203085.2520026
1984-10-09,0.216433,0.216433,0.212628,0.212628,707704.28444624
1984-10-10,0.216433,0.216433,0.216433,0.216433,681160.42860604
1984-10-11,0.216433,0.220081,0.216433,0.216433,1539242.8498301
1984-10-12,0.220081,0.220081,0.220081,0.220081,2370802.8273052
1984-10-15,0.220081,0.223897,0.220081,0.223897,1150016.9131666
1984-10-16,0.220081,0.223897,0.220081,0.223897,380381.7233358
1984-10-17,0.220081,0.220081,0.220081,0.220081,831550.80086456
1984-10-18,0.220081,0.223897,0.220081,0.223897,937697.6747703
1984-10-19,0.223897,0.231409,0.223897,0.227545,3529659.875306
1984-10-22,0.208822,0.212628,0.208822,0.212628,361890.85306875
1984-10-23,0.212628,0.216433,0.212628,0.216433,1367146.7347403
1984-10-24,0.216433,0.216433,0.216433,0.216433,530770.05634752
1984-10-25,0.216433,0.216433,0.216433,0.216433,1962256.0469313
1984-10-26,0.216433,0.216433,0.212628,0.216433,289511.86675628
1984-10-29,0.216433,0.216433,0.212628,0.212628,2348277.3072643
1984-10-30,0.212628,0.216433,0.208822,0.216433,2565413.2465783
1984-10-31,0.216433,0.216433,0.216433,0.216433,434279.01599177
1984-11-01,0.216433,0.220081,0.216433,0.220081,6288883.1367925
1984-11-02,0.220081,0.223897,0.220081,0.223897,3908439.7702882
1984-11-05,0.223897,0.227545,0.223897,0.227545,2147225.9270054
1984-11-06,0.231409,0.238842,0.231409,0.238842,3112270.9208511
1984-11-07,0.235018,0.238842,0.231409,0.235018,4583974.9366244
1984-11-08,0.238842,0.238842,0.238842,0.238842,723783.74538428
1984-11-09,0.238842,0.24256,0.238842,0.238842,3924526.36859
1984-11-12,0.24256,0.24256,0.238842,0.238842,1584276.5563138
1984-11-13,0.238842,0.238842,0.235018,0.238842,377970.31400678
1984-11-14,0.235018,0.238842,0.235018,0.238842,562937.13521075
1984-11-15,0.238842,0.24614,0.238842,0.24614,2163312.5253072
1984-11-16,0.24614,0.24614,0.24256,0.24256,4624183.7852035
1984-11-19,0.235018,0.238842,0.235018,0.235018,2710174.2780736
1984-11-20,0.235018,0.238842,0.235018,0.235018,2887096.2706914
1984-11-21,0.238842,0.238842,0.231409,0.235018,780079.19226512
1984-11-23,0.235018,0.238842,0.235018,0.238842,1230432.5710779
1984-11-26,0.238842,0.238842,0.238842,0.238842,2235700.6882302
1984-11-27,0.235018,0.24256,0.235018,0.24256,1045467.7891208
1984-11-28,0.238842,0.24256,0.238842,0.24256,1447574.6281323
1984-11-29,0.238842,0.24256,0.238842,0.238842,3297239.7813019
1984-11-30,0.238842,0.238842,0.231409,0.231409,2541281.8196906
1984-12-03,0.231409,0.231409,0.223897,0.227545,2026600.4008917
1984-12-04,0.227545,0.227545,0.223897,0.227545,1560161.4434005
1984-12-05,0.231409,0.231409,0.216433,0.216433,1423448.2993615
1984-12-06,0.216433,0.223897,0.216433,0.223897,1439526.7406761
1984-12-07,0.223897,0.223897,0.223897,0.223897,3031851.1844463
1984-12-10,0.220081,0.220081,0.212628,0.216433,1922045.1591054
1984-12-11,0.212628,0.216433,0.212628,0.216433,868537.63951562
1984-12-12,0.220081,0.223897,0.220081,0.223897,715742.99529186
1984-12-13,0.223897,0.231409,0.223897,0.227545,1013301.729881
1984-12-14,0.231409,0.238842,0.231409,0.238842,2404577.8522622
1984-12-17,0.235018,0.235018,0.231409,0.231409,2195482.6630406
1984-12-18,0.235018,0.238842,0.231409,0.238842,3265072.7024386
1984-12-19,0.238842,0.238842,0.235018,0.238842,6103924.4725757
1984-12-20,0.235018,0.235018,0.231409,0.231409,1833584.6726081
1984-12-21,0.231409,0.231409,0.227545,0.227545,1503870.0750132
1984-12-24,0.227545,0.227545,0.227545,0.227545,1922045.1591054
1984-12-26,0.227545,0.227545,0.227545,0.227545,2903183.8886166
1984-12-27,0.227545,0.231409,0.227545,0.227545,434279.01599177
1984-12-28,0.227545,0.227545,0.227545,0.227545,1286730.0572056
1984-12-31,0.227545,0.231409,0.227545,0.231409,2798635.7841942
1985-01-02,0.231409,0.235018,0.231409,0.231409,1889882.1587358
1985-01-03,0.231409,0.231409,0.227545,0.227545,739870.34368608
1985-01-04,0.227545,0.231409,0.227545,0.231409,1608413.0813187
1985-01-07,0.235018,0.235018,0.231409,0.235018,1125891.6040192
1985-01-08,0.238842,0.238842,0.235018,0.235018,4222073.8873218
1985-01-09,0.235018,0.238842,0.235018,0.235018,1246515.0908861
