Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,41.8024,41.9646,40.9944,40.9944,78505.06174748
1984-09-10,41.1555,41.3167,41.1555,41.1555,45699.587784039
1984-09-11,41.4799,41.8024,41.4799,41.4799,169752.66153968
1984-09-12,42.4521,42.9357,42.4521,42.4521,146757.90423784
1984-09-13,43.1009,43.1009,43.1009,43.1009,129761.07159765
1984-09-14,43.1009,43.5855,43.1009,43.5855,96516.12961286
1984-09-17,43.4204,43.4204,43.4204,43.4204,301413.00812769
1984-09-18,43.4204,43.4204,42.7746,42.7746,98713.469719565
1984-09-19,42.7746,42.9357,42.4521,42.4521,85240.519546784
1984-09-20,42.1297,42.1297,42.1297,42.1297,218223.33934718
1984-09-21,42.1297,42.4521,41.1555,41.1555,311960.24063988
1984-09-24,41.1555,41.8024,40.8322,40.8322,77183.605822198
1984-09-25,40.8322,40.9944,40.6719,40.6719,87728.80376021
1984-09-26,40.8322,40.9944,40.8322,40.8322,163451.58532629
1984-09-27,40.8322,40.8322,40.5077,40.5077,153488.27560172
1984-09-28,40.5077,40.9944,40.5077,40.6719,259380.74029026
1984-10-01,40.6719,40.6719,40.6719,40.6719,156862.61686742
1984-10-02,40.8322,40.8322,40.8322,40.8322,199039.33947113
1984-10-03,40.8322,40.8322,40.0182,40.0182,94025.81082526
1984-10-04,40.5077,40.5077,40.5077,40.5077,172678.37920027
1984-10-05,40.5077,40.8322,40.3436,40.8322,45553.098443592
1984-10-08,40.8322,40.8322,40.8322,40.8322,442897.29610944
1984-10-09,41.1555,41.3167,41.1555,41.1555,114822.21073331
1984-10-10,41.1555,41.3167,40.9944,41.3167,150708.02999448
1984-10-11,41.4799,41.6401,41.4799,41.6401,202405.54244016
1984-10-12,42.1297,42.1297,41.6401,42.1297,147779.26047263
1984-10-15,42.1297,43.1009,42.1297,43.1009,159788.33452802
1984-10-16,43.1009,43.4204,43.1009,43.1009,184687.45325567
1984-10-17,43.1009,43.1009,42.9357,43.1009,118633.98544618
1984-10-18,43.1009,44.7218,42.9357,44.7218,254105.08945999
1984-10-19,45.6941,46.3389,45.0423,45.5289,328218.52285534
1984-10-22,45.5289,45.5289,45.0423,45.0423,101644.2738156
1984-10-23,43.9099,44.8801,43.1009,43.1009,282817.00018763
1984-10-24,42.6113,43.1009,42.1297,42.4521,303908.41335073
1984-10-25,42.4521,43.1009,42.4521,42.4521,292921.7128172
1984-10-26,41.4799,41.6401,40.6719,40.6719,379331.0952263
1984-10-29,40.6719,41.3167,40.6719,41.1555,139431.40264132
1984-10-30,41.8024,41.9646,41.1555,41.8024,248834.52506517
1984-10-31,42.4521,43.1009,41.9646,42.7746,317966.30359821
1984-11-01,42.9357,43.2632,42.6113,43.1009,327047.62541885
1984-11-02,43.1009,43.5855,42.9357,43.5855,214709.62975061
1984-11-05,43.7467,43.7467,43.4204,43.7467,50818.576402994
1984-11-06,43.9099,45.5289,43.9099,45.5289,375818.40291683
1984-11-07,45.6941,45.8534,45.0423,45.5289,275641.05707989
1984-11-08,45.3677,45.8534,45.0423,45.8534,158469.930464
1984-11-09,43.5855,43.5855,42.9357,43.1009,1555408.5575601
1984-11-12,43.1009,43.1009,42.6113,42.9357,232430.77079636
1984-11-13,42.9357,43.2632,42.7746,42.7746,292046.84592287
1984-11-14,42.6113,42.7746,42.6113,42.6113,226722.77295436
1984-11-15,42.6113,42.7746,42.6113,42.7746,91978.01192026
1984-11-16,42.7746,42.7746,42.1297,42.291,190250.99633139
1984-11-19,42.1297,42.1297,40.8322,40.8322,324847.23345088
1984-11-20,40.8322,41.3167,40.8322,40.9944,281496.56154943
1984-11-21,41.1555,41.1555,40.9944,41.1555,64740.150180893
1984-11-23,41.3167,41.6401,41.3167,41.6401,136061.13052395
1984-11-26,41.8024,41.9646,41.3167,41.4799,193916.28170383
1984-11-27,41.3167,42.291,41.3167,42.1297,79967.920577778
1984-11-28,42.4521,42.7746,42.291,42.291,148656.16194114
1984-11-29,42.291,42.291,42.1297,42.1297,36615.21410215
1984-11-30,42.1297,42.1297,40.8322,40.9944,108232.22498736
1984-12-03,40.9944,40.9944,39.5365,39.858,341105.51566633
1984-12-04,39.858,40.3436,39.858,40.0182,172239.92846603
1984-12-05,40.1823,40.3436,39.858,39.858,109405.15699802
1984-12-06,39.858,40.1823,39.3734,40.1823,209877.51609004
1984-12-07,40.1823,40.1823,39.858,39.858,131526.06469261
1984-12-10,40.1823,40.6719,40.0182,40.5077,207239.6906749
