Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,21.4952,21.7133,21.4585,21.6776,478877.65113599
2005-02-28,21.6063,21.6846,21.4813,21.6122,686676.80005099
2005-03-01,21.6122,21.7133,21.4952,21.6965,813510.85354619
2005-03-02,21.6965,21.8809,21.5746,21.7917,463683.1427274
2005-03-03,21.8651,21.8948,21.6776,21.8293,385893.10953596
2005-03-04,21.8225,22.1109,21.8225,22.0613,557906.24100356
2005-03-07,22.0019,22.0396,21.7688,21.9315,593137.53029797
2005-03-08,21.9374,22.0167,21.8879,21.9374,608472.23363977
2005-03-09,21.9374,21.9542,21.6489,21.6915,652687.09322262
2005-03-10,21.6638,21.7828,21.5686,21.7133,444888.95290426
2005-03-11,21.7828,21.8809,21.6063,21.6489,349283.06863221
2005-03-14,21.6568,21.9959,21.6568,21.8135,416980.07522925
2005-03-15,21.7828,21.8512,21.5032,21.6063,450146.76719792
2005-03-16,21.6409,21.6409,21.4099,21.5459,423060.90438261
2005-03-17,21.5459,21.6063,21.3535,21.4506,402882.91996693
2005-03-18,21.4952,21.5299,21.0639,21.2076,506649.35966772
2005-03-21,21.0986,21.1779,20.8567,20.9875,791132.11125812
2005-03-22,21.0639,21.1125,20.7516,20.7734,439229.71714717
2005-03-23,20.7734,20.9291,20.6653,20.7357,428583.97959306
2005-03-24,20.6872,20.9678,20.6872,20.8091,338230.86663146
2005-03-28,20.8458,21.0986,20.8091,20.8379,486754.79090838
2005-03-29,20.937,21.0848,20.8091,20.8885,647168.05239874
2005-03-30,20.8885,21.2076,20.8379,21.1472,437015.84751844
2005-03-31,21.1472,21.1849,20.8091,20.8458,483028.02631696
2005-04-01,20.8458,21.0986,20.6802,20.8002,529723.02504198
2005-04-04,20.7853,20.8656,20.4483,20.7656,287933.16070197
2005-04-05,20.7734,20.7734,20.5642,20.5919,536220.4046084
2005-04-06,20.5919,20.8002,20.584,20.7149,382163.31915461
2005-04-07,20.7149,20.7299,20.477,20.6872,736002.2188178
2005-04-08,20.6257,20.6505,20.3451,20.5562,640117.96187262
2005-04-11,20.6257,20.7299,20.3907,20.4483,449310.64058188
2005-04-12,20.4423,20.584,20.2052,20.477,641779.12054165
2005-04-13,20.5562,20.6346,20.1002,20.1537,559432.24772259
2005-04-14,20.1657,20.2341,19.9536,20.1657,368765.12136506
2005-04-15,20.1657,20.2786,19.9813,19.9813,348445.93341953
2005-04-18,20.005,20.2132,19.9813,20.0467,461882.79772181
2005-04-19,20.0833,20.131,19.9813,20.0913,327865.51894377
2005-04-20,20.2282,20.2559,19.8286,19.9197,362410.96252177
2005-04-21,20.0833,20.1924,19.7602,20.1924,550310.49969423
2005-04-22,20.1924,20.5919,19.998,20.2639,738350.23179989
2005-04-25,20.2639,20.584,20.2282,20.4126,622433.22835545
2005-04-26,20.4126,20.4343,20.1389,20.3075,654488.44682486
2005-04-27,20.0833,20.2559,19.3417,19.7909,1468551.0027341
2005-04-28,19.7979,20.2639,19.7155,20.0754,1127425.4637407
2005-04-29,20.2559,20.4483,19.9763,20.1537,935511.71193392
2005-05-02,20.124,20.3133,20.0199,20.1924,540917.43916922
2005-05-03,20.0833,20.4483,20.0833,20.2786,425271.74822142
2005-05-04,20.3759,20.7357,20.3223,20.4958,779385.99476782
2005-05-05,20.3976,20.481,20.0605,20.3133,821944.73866485
2005-05-06,20.3133,20.352,20.0913,20.2559,386581.9810423
2005-05-09,20.2559,20.3451,20.0913,20.1597,408554.25888373
