Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,15.725,16.1123,15.6673,16.1033,983716.84212834
2005-02-28,16.0943,16.1303,15.8255,15.9699,832854.3716256
2005-03-01,15.9869,16.2705,15.9869,16.1372,444505.60106529
2005-03-02,15.9869,16.2557,15.9092,16.0446,447596.29591154
2005-03-03,16.0943,16.2378,15.9869,16.0606,315057.01532924
2005-03-04,16.0943,16.4329,16.0526,16.3472,303875.46998365
2005-03-07,16.3722,16.4089,16.1372,16.2048,201545.04461774
2005-03-08,16.18,16.2865,15.9699,16.2378,503759.15312083
2005-03-09,16.18,16.3802,15.8932,15.9022,753136.14072788
2005-03-10,15.9022,16.0296,15.716,15.8514,394772.2328748
2005-03-11,15.8017,15.8684,15.5846,15.6076,1116730.2234475
2005-03-14,15.6146,15.9949,15.6076,15.8335,753614.25926764
2005-03-15,15.9092,16.0127,15.5677,15.6763,439978.54169837
2005-03-16,15.6333,15.6413,15.3547,15.4592,425230.19186821
2005-03-17,15.4592,15.8415,15.4064,15.7747,529694.07055015
2005-03-18,15.8684,15.9441,15.725,15.9282,905189.88977716
2005-03-21,15.9699,15.9699,15.6076,15.6673,328856.1592349
2005-03-22,15.6673,15.6833,15.2293,15.2382,885919.50283362
2005-03-23,15.1715,15.4492,15.1128,15.263,432129.76382103
2005-03-24,15.3627,15.5578,15.3387,15.3717,280312.06068951
2005-03-28,15.3974,15.4592,15.1715,15.2461,236528.05407663
2005-03-29,15.263,15.3796,14.8161,14.8599,537071.76104273
2005-03-30,14.842,15.296,14.842,15.296,439747.5180342
2005-03-31,15.288,15.3118,15.1715,15.28,569429.13633586
2005-04-01,15.4492,15.5349,15.0689,15.1207,498280.87892796
2005-04-04,15.0858,15.2461,14.8599,15.1943,354794.09001638
2005-04-05,15.2461,15.3217,15.1775,15.305,271747.10945326
2005-04-06,15.3467,15.4592,15.2033,15.2113,318624.82426453
2005-04-07,15.2113,15.296,15.054,15.2461,219395.13825199
2005-04-08,15.2293,15.2293,14.9187,14.9524,429753.23343227
2005-04-11,14.9524,14.9784,14.7265,14.8599,326712.66141174
2005-04-12,14.9107,15.0689,14.6518,14.9187,719821.52390455
2005-04-13,14.8599,14.8688,14.4238,14.4905,714827.39495574
2005-04-14,14.5154,14.6518,14.3789,14.4238,860929.77352595
2005-04-15,14.1649,14.1729,13.5317,13.6433,1073664.399095
2005-04-18,13.6602,13.8533,13.465,13.7916,657718.34517409
2005-04-19,13.8533,14.0585,13.8533,14.0046,372166.06511089
2005-04-20,13.9688,14.0445,13.6164,13.6433,550159.75384305
2005-04-21,13.8533,14.0585,13.6752,14.0505,577046.89054902
2005-04-22,13.9957,13.9957,13.6164,13.7229,660335.94373416
2005-04-25,13.8265,14.2705,13.7826,14.1899,1102220.9328873
2005-04-26,14.9614,15.305,14.7265,15.0201,1697828.0637252
2005-04-27,14.9784,15.1297,14.4995,15.0022,969678.6389528
2005-04-28,15.0111,15.1943,14.8788,14.9614,739095.92865093
2005-04-29,15.0689,15.3974,15.054,15.3796,862123.0609739
2005-05-02,15.3547,15.5249,15.1874,15.5079,744088.04869832
2005-05-03,15.4651,15.7747,15.4651,15.5578,748852.1584337
2005-05-04,15.697,15.9609,15.6763,15.9282,427133.62597079
2005-05-05,15.9092,16.0446,15.5916,15.6763,779785.2226147
2005-05-06,15.7747,15.9092,15.6413,15.751,409522.5916064
2005-05-09,15.697,15.8335,15.5169,15.8107,480197.75272811
2005-05-10,15.716,15.716,15.3467,15.4244,492096.47588332
2005-05-11,15.4244,15.6913,15.1615,15.6833,750994.65180615
2005-05-12,15.6763,15.9699,15.4244,15.5079,1101505.763979
2005-05-13,15.5677,15.5677,15.0391,15.2293,795489.80952437
2005-05-16,15.2293,15.6333,15.1615,15.6333,642962.96418893
2005-05-17,15.5996,15.7837,15.5409,15.7569,864977.70990241
2005-05-18,15.8843,16.3472,15.8843,16.2557,509229.39170796
2005-05-19,16.2467,16.2955,15.8932,15.9699,491147.26995882
2005-05-20,15.9699,15.9699,15.8017,15.9361,326712.66141174
2005-05-23,15.9769,16.2378,15.9529,16.18,399057.21961972
2005-05-24,16.1213,16.2218,15.9361,16.163,555156.89614402
2005-05-25,16.163,16.1959,15.6573,16.0296,667946.66679232
2005-05-26,16.163,16.2378,16.0446,16.189,423564.81258479
2005-05-27,16.163,16.2218,16.0216,16.1959,334809.53861537
2005-05-31,16.1959,16.2467,15.9699,15.9869,344320.68242397
2005-06-01,16.0606,16.3632,16.0296,16.2218,525887.20234499
2005-06-02,16.163,16.163,15.751,15.8764,652243.08433337
2005-06-03,15.8684,15.9869,15.4731,15.6413,700781.15617448
2005-06-06,15.6413,15.6763,15.4731,15.5916,631065.24548441
2005-06-07,15.5916,15.8107,15.5079,15.5578,732196.3566981
2005-06-08,15.5677,15.5677,15.2193,15.296,486628.24619762
2005-06-09,15.296,15.296,15.054,15.2033,421185.26884388
2005-06-10,15.2293,15.28,15.0022,15.0689,831900.14344752
2005-06-13,15.0111,15.1476,14.9524,15.0689,747425.83842016
2005-06-14,15.0689,15.2193,15.0689,15.1297,493760.85071603
2005-06-15,15.1715,15.1715,14.9614,15.1297,667946.66679232
2005-06-16,15.1297,15.2461,15.054,15.1476,593227.587097
2005-06-17,15.2293,15.296,15.1476,15.1715,1058199.875906
2005-06-20,15.0022,15.1615,14.9265,15.054,566104.4044733
2005-06-21,15.0391,15.0689,14.823,14.9187,818573.09137733
2005-06-22,14.9784,15.0291,14.8788,14.9614,519940.85411952
2005-06-23,14.9614,15.0022,14.5413,14.5811,625351.92982454
2005-06-24,14.5721,14.7265,14.4726,14.7105,2857869.1974993
2005-06-27,14.608,14.9355,14.608,14.823,890670.55470972
2005-06-28,15.3387,15.4492,15.2033,15.3118,1344457.2803701
2005-06-29,15.3547,15.4244,15.3217,15.3796,599894.12648424
2005-06-30,15.4244,15.4731,15.3217,15.3217,471872.86521244
2005-07-01,15.3217,15.4244,15.28,15.4154,421185.26884388
2005-07-05,15.3387,15.3627,15.0291,15.0461,731242.12852003
2005-07-06,15.0461,15.0938,14.8061,14.8061,556107.10651924
2005-07-07,14.7105,15.0291,14.6518,14.9943,285786.3170795
2005-07-08,14.9943,15.4403,14.9844,15.4244,263655.2545032
2005-07-11,15.3974,15.9092,15.3974,15.6333,431658.67643629
2005-07-12,15.6245,15.8177,15.4651,15.6833,370022.56728772
2005-07-13,15.6513,15.751,15.5349,15.6763,300778.74843312
2005-07-14,15.6673,15.8017,15.4154,15.4334,477344.10825031
2005-07-15,15.4334,15.5498,15.3547,15.4731,182033.58950291
2005-07-18,15.4492,15.743,15.4492,15.6146,899718.64673928
2005-07-19,15.743,16.1959,15.716,16.1213,837131.32276479
2005-07-20,16.0127,16.0127,15.28,15.5498,1543628.8079512
2005-07-21,15.5498,15.6245,15.305,15.5498,924944.4219647
2005-07-22,15.6245,15.716,15.4334,15.6573,436648.78758225
2005-07-25,15.716,15.9092,15.6763,15.8017,600602.26423744
2005-07-26,15.8017,15.9529,15.6076,15.8843,799774.79626928
2005-07-27,15.9699,16.0883,15.9192,16.0216,512799.20954468
2005-07-28,16.0127,16.1461,16.0127,16.1213,253899.02472042
2005-07-29,16.0883,16.1372,15.8843,16.0127,738858.87828248
2005-08-01,16.0127,16.0296,15.8017,15.8177,413330.46426227
2005-08-02,15.8764,16.0216,15.8764,15.9529,380492.96152796
2005-08-03,15.9282,15.9699,15.7747,15.9529,373592.38512443
2005-08-04,15.9092,15.9092,15.6763,15.7648,215587.26559612
2005-08-05,15.743,15.7569,15.5916,15.6673,361220.56568302
2005-08-08,15.6673,15.8017,15.6513,15.697,416419.15020708
2005-08-09,15.697,15.743,15.6076,15.716,657001.16736446
2005-08-10,15.8684,15.8684,15.5578,15.6513,253899.02472042
2005-08-11,15.6513,15.9092,15.6333,15.697,397152.78106643
2005-08-12,15.6333,15.743,15.5677,15.6833,450455.96709363
2005-08-15,15.6833,15.707,15.4492,15.5169,405957.79602326
2005-08-16,15.4901,15.4901,15.28,15.3217,594176.79302151
2005-08-17,15.3217,15.3217,15.0858,15.2033,503042.97976191
2005-08-18,15.2033,15.28,15.1297,15.1615,491147.26995882
2005-08-19,15.2113,15.2113,15.0689,15.1128,191318.73190092
2005-08-22,15.1128,15.3297,15.0778,15.305,340513.81421882
2005-08-23,15.305,15.305,14.7842,14.832,340753.87793941
2005-08-24,14.7504,14.9355,14.5811,14.6518,452359.4011962
2005-08-25,14.7105,14.9614,14.5991,14.9187,478294.31862553
2005-08-26,14.9187,14.9614,14.8161,14.9037,507802.06724372
2005-08-29,14.9037,15.0938,14.8788,15.0938,438794.29430685
2005-08-30,15.0938,15.0938,14.9265,15.0689,602029.58870171
2005-08-31,15.0461,15.263,14.9524,15.263,296732.82095809
2005-09-01,15.28,15.3796,15.0778,15.0858,228915.32211703
2005-09-02,15.0858,15.1476,15.0111,15.0391,188937.17925859
2005-09-06,15.0858,15.3217,15.0858,15.1715,266033.79379338
2005-09-07,15.2113,15.3118,15.0938,15.1297,341231.99647916
2005-09-08,15.1297,15.1615,15.0461,15.1386,459256.96424761
2005-09-09,15.1297,15.2113,15.1128,15.1874,407148.07011907
2005-09-12,15.1615,15.2113,15.0111,15.0391,531118.38166226
2005-09-13,15.0391,15.1476,14.9524,15.0111,487098.32913164
2005-09-14,15.0778,15.1874,15.0391,15.1128,363361.05015405
2005-09-15,15.1207,15.1386,15.0201,15.1297,468061.97920444
2005-09-16,15.1297,15.2113,15.0689,15.1476,1457727.1784597
2005-09-19,15.1615,15.2033,15.0858,15.1476,531835.55947189
2005-09-20,15.1476,15.2193,14.2705,14.5542,4263725.5366497
2005-09-21,14.9614,15.4244,14.9187,15.1128,2708435.0559116
2005-09-22,15.1128,15.1615,14.9844,15.1297,593943.76045592
2005-09-23,15.1297,15.4731,15.1128,15.4651,807151.48231115
2005-09-26,15.5498,15.6076,15.305,15.3547,384298.82528241
2005-09-27,15.3547,15.4592,15.1476,15.3717,409286.54568866
2005-09-28,15.3387,15.3387,15.1297,15.2193,285073.15707274
2005-09-29,15.2293,15.4492,15.1615,15.3717,432368.8230909
2005-09-30,15.3717,15.8764,15.3467,15.8415,626301.13574904
2005-10-03,15.8764,15.9869,15.8764,15.9282,695309.91313662
2005-10-04,15.9282,15.9699,15.743,15.7917,690311.76638494
2005-10-05,15.7569,15.7569,15.28,15.3118,534211.08540993
2005-10-06,15.3547,15.5349,15.2551,15.3796,904239.67940194
2005-10-07,15.4492,15.5916,15.263,15.3387,413810.59170345
2005-10-10,15.3974,15.5349,15.263,15.4592,572997.94972184
2005-10-11,15.4592,15.6913,15.3796,15.6513,732913.53450773
