Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,7.6,7.65,7.5,7.6,720924
2005-02-28,7.81,7.85,7.46,7.57,1490422
2005-03-01,7.57,7.63,7.37,7.4,745474
2005-03-02,7.62,7.68,7.4,7.43,1756699
2005-03-03,7.8,7.92,7.43,7.55,2303457
2005-03-04,7.65,7.69,7.5,7.53,810020
2005-03-07,7.7,7.95,7.55,7.88,1595537
2005-03-08,7.88,8.01,7.69,7.69,869165
2005-03-09,7.7,7.79,7.56,7.6,689385
2005-03-10,7.63,7.7,7.4,7.5,470435
2005-03-11,7.54,7.54,7.23,7.32,926945
2005-03-14,7.29,7.49,7.05,7.15,773230
2005-03-15,7.25,7.27,6.81,6.92,585675
2005-03-16,6.86,6.87,6.47,6.68,1268184
2005-03-17,6.73,6.84,6.67,6.7,457027
2005-03-18,6.66,6.76,6.52,6.58,655810
2005-03-21,6.6,6.65,6.5,6.62,504008
2005-03-22,6.66,6.7,6.37,6.42,416493
2005-03-23,6.38,6.4,5.84,5.96,1294276
2005-03-24,6.02,6.4,5.99,6.31,1213185
2005-03-28,6.32,6.4,6.3,6.38,609614
2005-03-29,6.35,6.46,6.16,6.17,508452
2005-03-30,6.25,6.41,6.16,6.36,654072
2005-03-31,6.41,6.41,6.15,6.24,592498
2005-04-01,6.26,6.26,5.75,5.89,1637549
2005-04-04,5.84,6.18,5.75,6.05,1420615
2005-04-05,6.0,6.07,5.86,6.01,653447
2005-04-06,6.05,6.08,5.96,6.0,346272
2005-04-07,6.07,6.32,6.0,6.2,969876
2005-04-08,6.22,6.24,6.1,6.11,796803
2005-04-11,6.2,6.26,5.77,5.96,1382388
2005-04-12,5.99,5.99,5.75,5.9,788990
2005-04-13,6.0,6.18,5.96,6.1,2429031
2005-04-14,6.18,6.41,6.03,6.4,2558303
2005-04-15,6.44,7.12,6.35,6.85,3104430
2005-04-18,6.9,7.0,6.7,6.88,1515328
2005-04-19,6.88,7.06,6.61,6.95,1655673
2005-04-20,7.4,8.84,7.36,8.36,10526353
2005-04-21,8.44,8.48,7.89,8.34,2453644
2005-04-22,8.26,8.45,7.96,8.16,1181766
2005-04-25,8.16,8.35,8.13,8.22,700129
2005-04-26,8.09,8.47,8.06,8.19,1085227
2005-04-27,8.11,8.77,8.04,8.53,1576808
2005-04-28,8.44,8.74,8.39,8.43,884803
2005-04-29,8.41,8.67,8.25,8.42,613386
2005-05-02,8.42,8.56,8.26,8.39,828985
2005-05-03,8.5,8.56,8.27,8.35,776035
2005-05-04,8.26,8.36,8.2,8.31,1017277
2005-05-05,8.26,8.39,8.09,8.35,705900
2005-05-06,8.33,8.58,8.33,8.43,743036
2005-05-09,8.45,8.9,8.44,8.8,1478392
2005-05-10,8.82,8.82,8.5,8.55,681838
2005-05-11,8.55,8.58,8.19,8.52,938032
2005-05-12,8.55,8.75,8.43,8.53,623101
2005-05-13,8.55,8.73,8.28,8.35,595167
2005-05-16,8.47,8.53,8.03,8.2,1387588
2005-05-17,8.12,8.35,8.12,8.3,418711
2005-05-18,8.35,8.4,8.06,8.19,617581
2005-05-19,8.19,8.2,7.6,8.08,1389241
2005-05-20,8.08,8.29,7.67,7.94,866694
2005-05-23,7.4,7.5,6.96,7.34,1786298
2005-05-24,7.24,7.49,7.2,7.29,1165438
2005-05-25,7.26,7.29,7.15,7.19,629780
2005-05-26,7.21,7.42,7.11,7.24,693161
2005-05-27,7.33,7.38,7.12,7.18,440867
2005-05-31,7.14,7.4,7.14,7.27,348074
2005-06-01,7.3,7.4,7.21,7.25,475689
2005-06-02,7.17,7.74,7.17,7.65,685814
2005-06-03,7.62,7.75,7.55,7.57,312414
2005-06-06,7.53,7.58,7.39,7.49,504313
2005-06-07,7.38,7.57,7.1,7.28,417862
2005-06-08,7.33,7.33,7.1,7.11,407812
2005-06-09,7.15,7.57,7.1,7.54,507470
2005-06-10,7.52,7.57,7.41,7.46,500227
2005-06-13,7.46,7.76,7.41,7.66,486074
2005-06-14,7.68,7.68,7.33,7.46,586715
2005-06-15,7.44,7.54,7.24,7.29,452329
2005-06-16,7.27,7.57,7.27,7.5,478949
2005-06-17,7.45,7.59,7.34,7.56,732916
2005-06-20,7.55,7.6,7.42,7.45,475581
2005-06-21,7.41,7.49,7.19,7.37,308925
2005-06-22,7.37,7.47,7.15,7.25,312684
2005-06-23,7.2,7.31,6.93,6.93,692382
2005-06-24,6.92,7.07,6.92,7.07,775760
2005-06-27,7.0,7.07,6.95,6.96,367782
2005-06-28,7.04,7.42,6.95,7.39,626144
2005-06-29,7.42,7.47,7.28,7.32,293937
2005-06-30,7.4,7.5,7.34,7.37,388847
2005-07-01,7.35,7.54,7.35,7.44,268527
2005-07-05,7.41,7.79,7.41,7.79,406805
2005-07-06,7.79,7.94,7.68,7.72,419694
2005-07-07,7.56,7.85,7.56,7.78,291587
2005-07-08,7.75,8.25,7.75,8.14,608090
2005-07-11,8.11,8.35,8.11,8.34,645874
2005-07-12,8.35,8.41,8.02,8.2,861636
2005-07-13,8.18,8.25,8.07,8.07,498579
