Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-04,39.0578,39.0578,38.1767,38.3455,2764758.9082255
2013-12-05,38.7565,38.7565,37.242,37.6302,3645008.6849092
2013-12-06,37.3625,37.6392,37.2518,37.3071,4790415.0217752
2013-12-09,37.3071,37.8289,36.8863,37.7488,4028786.9311977
2013-12-10,37.6481,39.2693,37.6224,39.0123,4129793.4593737
2013-12-11,38.7941,39.4343,38.4987,38.9225,4126043.2921536
2013-12-12,38.8751,39.5084,38.4987,39.3868,2105617.1688945
2013-12-13,39.5914,40.1476,39.4165,39.6467,876229.35449796
2013-12-16,39.4253,40.3234,38.5974,40.0488,2594004.3307102
2013-12-17,39.8068,40.3333,39.5657,40.1031,1710327.2756979
2013-12-18,40.0132,40.7888,39.5084,40.5813,1599039.9247272
2013-12-19,40.2948,40.7888,40.1663,40.7433,766534.17978553
2013-12-20,40.608,40.7433,40.2504,40.5724,7933360.8338536
2013-12-23,40.4874,41.1118,39.9213,40.9271,1229276.4733995
2013-12-24,41.0309,41.2669,40.5625,40.8638,351373.96737247
2013-12-26,41.1197,41.257,40.7345,40.9745,679789.42114549
2013-12-27,41.0406,41.2205,40.4143,40.9192,558817.42780984
2013-12-30,40.7433,41.1395,40.3333,40.442,631123.2835094
2013-12-31,40.5428,40.7888,40.111,40.5052,959918.30886339
2014-01-02,40.3423,40.4321,39.6635,40.0132,1298169.2214427
2014-01-03,39.9411,40.6267,39.5745,40.2948,554367.83668987
2014-01-06,40.3046,40.3146,39.7524,40.0399,918514.64081006
2014-01-07,38.6448,40.3146,38.6448,40.2127,1643996.3827786
2014-01-08,40.3333,40.6643,39.7791,40.2217,1660679.3129057
2014-01-09,40.2217,40.5625,40.184,40.4499,1443386.2229897
2014-01-10,40.5151,42.238,40.352,41.9189,2470390.5191709
2014-01-13,41.8893,43.4829,41.4349,43.1193,2804737.4115162
2014-01-14,43.314,43.8988,42.9978,43.8178,3156218.6711221
2014-01-15,43.9877,45.0903,43.3219,43.5393,2295339.191359
2014-01-16,43.3406,43.7061,43.1193,43.4484,1662959.7789643
2014-01-17,43.4127,44.2189,43.0819,43.9957,1739154.4720348
2014-01-21,45.0418,45.2188,43.9433,44.1558,2113689.3911833
2014-01-22,44.0994,45.0617,44.0738,44.4679,1006415.321438
2014-01-23,44.62,44.62,43.6143,43.7427,1158123.5031151
2014-01-24,43.6785,43.7328,42.0108,42.9346,1652578.7492722
2014-01-27,41.4349,43.9957,41.4349,42.7171,927946.23545425
2014-01-28,42.8714,43.889,42.8714,43.7526,1045681.2423472
2014-01-29,43.4039,44.4403,43.2023,43.8,1125385.2012078
2014-01-30,43.9185,45.4944,43.8464,45.2998,1623777.8698983
2014-01-31,45.1476,45.7947,44.9431,45.2375,2184280.5955277
2014-02-03,45.0992,45.776,43.2685,43.4829,1490578.6107007
2014-02-04,43.7615,44.4403,43.3762,44.0441,1043404.8250523
2014-02-05,44.0895,44.5934,43.2212,43.6331,1082373.161842
2014-02-06,43.5393,45.1654,43.5393,45.1367,1479631.7663052
2014-02-07,45.2188,46.0812,45.2188,45.776,2602482.4415429
2014-02-10,45.8224,45.9419,45.3275,45.689,924303.36046772
2014-02-11,45.5853,46.2087,45.2188,45.7324,1577560.2220072
2014-02-12,45.7591,46.753,45.5853,45.8303,1533058.2376622
2014-02-13,45.8125,46.2265,45.4558,45.9419,758178.54404955
2014-02-14,45.9706,46.0614,45.4558,45.4944,973057.55871061
2014-02-18,45.5773,46.6187,45.5773,45.9321,2998380.6614599
2014-02-19,45.689,46.1435,44.9431,45.0617,1173914.6930748
2014-02-20,46.0447,48.3811,45.0074,47.2244,2862114.463888
2014-02-21,47.4386,48.3901,47.4386,48.0058,2398623.149021
2014-02-24,47.9979,48.6855,47.9979,48.4542,729370.57933946
2014-02-25,48.5828,50.0331,48.5185,50.0132,1219217.320408
2014-02-26,49.8286,51.1327,49.6646,50.1023,2051080.3241391
2014-02-27,50.1299,50.9005,49.6912,50.7385,1243510.9137816
2014-02-28,50.4974,50.7098,49.3345,49.8206,1307507.6945257
2014-03-03,50.0766,50.3522,48.6568,49.0303,719617.10799459
2014-03-04,49.2357,50.4144,49.0204,49.4986,1298108.4899898
2014-03-05,49.4047,49.7822,48.9296,49.4512,430889.65872888
2014-03-06,49.4887,49.5915,48.6193,48.7556,673564.44721742
2014-03-07,49.1429,49.2991,48.2054,48.9393,846720.95369712
2014-03-10,48.7656,49.2002,47.8833,48.8475,1260401.3430398
2014-03-11,49.0303,50.2317,48.9917,49.958,954218.66200339
2014-03-12,49.8839,50.1763,48.3714,49.7545,1369614.7148921
2014-03-13,49.9955,50.2227,48.7733,49.208,1030979.1697774
2014-03-14,49.225,49.5282,48.8841,48.9296,1167533.8417508
