Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,10.2914,10.4317,10.2914,10.4218,1101338.3372861
2005-02-28,10.4168,10.552,10.4099,10.5033,1006456.2034994
2005-03-01,10.5033,10.578,10.3979,10.5283,1045505.6291324
2005-03-02,10.5233,10.7044,10.5033,10.6357,774000.00125845
2005-03-03,10.6297,10.8516,10.6297,10.8128,1547636.1536564
2005-03-04,10.8386,10.97,10.765,10.96,1227967.7918122
2005-03-07,11.0167,11.1103,10.9939,11.1103,984561.9501066
2005-03-08,11.17,11.2834,11.151,11.2137,1526111.7797683
2005-03-09,11.0973,11.151,11.0097,11.0416,933840.21282464
2005-03-10,10.9988,11.1401,10.9043,11.0486,559787.50251716
2005-03-11,11.0227,11.2137,11.0167,11.0724,517826.2808929
2005-03-14,11.1401,11.356,11.1291,11.2207,1329781.1458808
2005-03-15,11.2764,11.2953,11.1451,11.2137,578038.24176823
2005-03-16,11.151,11.176,10.9103,11.0357,747361.64117635
2005-03-17,11.0724,11.2008,11.0167,11.1401,630586.25910412
2005-03-18,11.4465,11.4585,11.1958,11.2694,1311165.5526619
2005-03-21,11.2466,11.2466,11.0654,11.1231,907202.85784987
2005-03-22,11.0794,11.151,10.9421,10.983,719625.70386865
2005-03-23,10.9173,11.0167,10.8197,10.976,921065.2984133
2005-03-24,10.9988,11.1291,10.9421,11.0654,424771.43226738
2005-03-28,11.0724,11.2207,11.0416,11.0854,1093675.3988541
2005-03-29,11.0854,11.151,10.965,10.9939,994050.16348528
2005-03-30,10.9939,11.0914,10.965,10.9879,1010838.4715429
2005-03-31,10.9879,11.0287,10.9293,11.0287,1748347.0453728
2005-04-01,11.0167,11.0287,10.8784,10.954,814507.83765544
2005-04-04,10.983,10.9988,10.7879,10.96,805017.61406207
2005-04-05,10.976,10.976,10.9173,10.949,894793.80251373
2005-04-06,10.965,11.0287,10.9233,10.9351,734221.87279717
2005-04-07,10.954,10.983,10.8973,10.976,898440.33197748
2005-04-08,10.976,10.9988,10.9351,10.97,1048057.5966925
2005-04-11,10.9939,11.0357,10.965,10.9988,1458962.5679671
2005-04-12,10.9988,11.1173,10.8516,11.0724,797718.52449046
2005-04-13,11.0287,11.0973,10.949,10.9939,845165.62202795
2005-04-14,10.9879,10.9879,10.6924,10.8197,1556758.5079599
2005-04-15,10.7044,10.7601,10.186,10.4268,4025832.8548563
2005-04-18,10.4168,10.4726,10.2984,10.4317,1465166.0905278
2005-04-19,10.4386,10.6675,10.4386,10.6615,992957.61179643
2005-04-20,10.7949,10.8586,10.1373,10.4039,3465310.6188666
2005-04-21,10.4386,10.6297,10.3163,10.6167,1704556.5283725
2005-04-22,10.6038,10.6924,10.4566,10.5343,1824981.4552305
2005-04-25,10.546,10.6864,10.546,10.6794,1170307.7984971
2005-04-26,10.6615,10.7222,10.5233,10.5233,811588.00080534
2005-04-27,10.4903,10.4903,10.2914,10.2984,1947960.3598635
2005-04-28,10.2984,10.3531,10.1561,10.3362,2418342.5585408
2005-04-29,10.3362,10.3859,10.167,10.3799,1386344.5670777
2005-05-02,10.3601,10.4726,10.3292,10.4676,869974.6867341
2005-05-03,10.4855,10.546,10.4099,10.4903,1048057.5966925
2005-05-04,10.4855,10.5283,10.3601,10.3601,1605661.0009394
2005-05-05,10.3362,10.571,10.2914,10.5103,1696527.7308652
2005-05-06,10.578,10.6297,10.4676,10.5103,850270.56225574
2005-05-09,10.5343,10.6097,10.4795,10.6097,1125420.7093787
2005-05-10,10.578,10.578,10.3601,10.4268,561254.95924735
2005-05-11,10.4218,10.4795,10.3362,10.4386,1027250.8694518
2005-05-12,10.4446,10.4726,10.174,10.174,967409.79318845
2005-05-13,10.174,10.179,9.97507,10.0676,1229792.0616516
2005-05-16,10.0676,10.1373,9.9979,10.1233,856474.08481647
2005-05-17,10.1063,10.1063,9.96212,10.0616,944419.9727848
2005-05-18,10.1233,10.3671,10.0616,10.2854,730575.3433334
2005-05-19,10.4676,10.9103,10.4496,10.559,2077512.6665617
2005-05-20,10.559,10.571,10.3601,10.564,1027624.7693859
2005-05-23,10.6038,10.7172,10.6038,10.6615,1198039.7153755
2005-05-24,10.6615,10.7103,10.6038,10.6427,639712.633837
2005-05-25,10.6038,10.6297,10.4386,10.4566,587890.30400742
2005-05-26,10.5233,10.7421,10.5233,10.7352,806841.8839013
2005-05-27,10.7172,10.7292,10.6167,10.6427,551036.03282563
2005-05-31,10.6427,10.6427,10.4726,10.4726,774729.70919415
2005-06-01,10.4903,10.6864,10.4168,10.546,823997.05614148
2005-06-02,10.546,10.6794,10.4795,10.571,603580.02973211
2005-06-03,10.552,10.6097,10.4386,10.4726,294856.28181597
2005-06-06,10.4676,10.5233,10.4268,10.5233,380252.21243878
2005-06-07,10.4903,10.6167,10.4903,10.571,951357.22371062
2005-06-08,10.578,10.6427,10.552,10.584,795532.41600543
2005-06-09,10.584,10.6227,10.5283,10.6038,632776.38801855
2005-06-10,10.6038,10.6497,10.552,10.6497,742251.67541182
2005-06-13,10.6497,10.8516,10.6497,10.8456,1104258.1741363
2005-06-14,10.8257,10.97,10.8197,10.97,1278326.685341
2005-06-15,10.97,10.97,10.8068,10.96,995147.74071086
2005-06-16,10.965,11.0486,10.9351,11.0416,737507.56872247
2005-06-17,11.0973,11.2884,11.0973,11.2466,1700175.2654363
2005-06-20,11.2466,11.2466,11.1341,11.17,679490.7622983
2005-06-21,11.163,11.2953,11.1401,11.2834,875448.50135913
2005-06-22,11.35,11.369,11.2207,11.3201,1229792.0616516
2005-06-23,11.3201,11.3311,11.1829,11.2535,1542165.3543534
2005-06-24,11.1043,11.2466,10.8008,10.9988,1965110.5065669
2005-06-27,10.976,11.0227,10.9233,10.9988,807942.47644894
2005-06-28,11.1231,11.2008,11.0724,11.2008,784948.63561587
2005-06-29,11.2008,11.2207,11.0973,11.176,1254237.2774971
2005-06-30,11.4704,11.6077,11.4585,11.4704,2233327.4231934
2005-07-01,11.4704,11.6844,11.4396,11.5957,1218845.4375088
2005-07-05,11.6027,11.6445,11.5311,11.6137,828008.43957307
2005-07-06,11.6137,11.6445,11.4644,11.4704,583146.19731808
2005-07-07,11.4018,11.4525,11.2644,11.4276,805389.50378136
2005-07-08,11.356,11.566,11.3201,11.5202,1197309.0023323
2005-07-11,11.5202,11.6257,11.4704,11.5848,721451.98392257
2005-07-12,11.6027,11.6027,11.35,11.4585,872166.82586322
2005-07-13,11.4018,11.4207,11.2137,11.3759,1820967.0564769
2005-07-14,11.362,11.4077,11.2277,11.4077,1576100.7937925
2005-07-15,11.4018,11.566,11.3133,11.4833,1627923.1236221
2005-07-18,11.4465,11.572,11.356,11.538,1264820.0527794
2005-07-19,11.538,11.6644,11.4585,11.6584,1487058.3337058
2005-07-20,11.7271,11.8873,11.6137,11.7141,2514684.1081991
2005-07-21,11.5788,11.5788,11.158,11.2336,3088343.0972458
2005-07-22,11.2207,11.3818,11.2137,11.362,1063751.3428467
2005-07-25,11.3311,11.3311,11.0037,11.1173,1211544.3377224
2005-07-26,11.1291,11.2406,11.1291,11.2406,2256679.0822429
2005-07-27,11.2336,11.2336,11.0724,11.2336,576577.8207895
2005-07-28,11.2207,11.4276,11.151,11.3818,993684.30441008
2005-07-29,11.369,11.3759,11.151,11.2884,726928.81386965
2005-08-01,11.0287,11.4465,11.0287,11.362,862312.75340934
2005-08-02,11.362,11.3818,10.9988,11.0973,1419185.4446131
2005-08-03,11.0973,11.0973,10.965,11.0167,1142576.8867263
2005-08-04,11.0037,11.0037,10.8784,10.9351,1068130.5955682
2005-08-05,10.9351,10.9351,10.765,10.8008,491547.74924189
2005-08-08,10.4168,10.8128,10.4099,10.765,995509.57935665
2005-08-09,10.765,10.8257,10.7172,10.7551,815600.38934429
2005-08-10,10.7292,10.765,10.584,10.6864,861215.17618376
2005-08-11,10.7103,10.8784,10.7103,10.8784,540451.24732871
2005-08-12,10.8655,10.9879,10.7879,10.9103,817420.63875411
2005-08-15,10.9351,10.954,10.6744,10.7759,580592.21954316
2005-08-16,10.7759,10.7759,10.6297,10.6297,536069.98439252
2005-08-17,10.6615,10.765,10.6297,10.7551,720358.42712638
2005-08-18,10.7044,10.7044,10.597,10.6357,656859.7652184
2005-08-19,10.6744,10.765,10.6038,10.7601,364559.47139204
2005-08-22,10.8068,10.9293,10.7949,10.8844,926174.25907048
2005-08-23,10.8655,10.965,10.8386,10.9103,1181624.3021444
2005-08-24,10.8655,10.9988,10.8128,10.8586,872898.5440136
2005-08-25,10.9103,11.0037,10.8844,10.954,979453.99455676
2005-08-26,10.965,10.976,10.8257,10.8973,518190.12975339
2005-08-29,10.8386,11.0167,10.8008,11.0037,848447.29752386
2005-08-30,10.983,10.9988,10.9103,10.976,625112.44447908
2005-08-31,10.9988,11.0416,10.9173,11.0416,805389.50378136
2005-09-01,11.0167,11.0854,10.9988,11.0416,564169.77056072
2005-09-02,11.0287,11.0724,10.8973,10.97,598104.20489239
2005-09-06,10.9879,11.1173,10.9233,11.0914,1080170.7765071
2005-09-07,11.0914,11.17,10.954,11.0037,628399.14551175
2005-09-08,10.9988,11.0037,10.8844,10.9939,656859.7652184
2005-09-09,11.0037,11.163,10.9879,11.1341,561983.66207569
2005-09-12,10.965,11.0914,10.965,10.9988,1390354.9454019
2005-09-13,10.9988,11.0097,10.8586,10.965,715615.3255444
2005-09-14,10.9103,10.954,10.7481,10.7551,1056452.253275
2005-09-15,10.7949,10.8257,10.6167,10.6297,1941756.8373027
2005-09-16,10.8068,11.2764,10.8008,11.1173,4549131.9452668
2005-09-19,11.0167,11.2137,11.0037,11.1043,1498006.9680633
2005-09-20,11.17,11.2466,10.9939,11.0973,1346561.4130796
2005-09-21,11.0973,11.1888,11.0605,11.0914,1703822.8000074
2005-09-22,11.0724,11.151,11.0227,11.151,1009013.1965963
2005-09-23,11.1231,11.5917,11.0287,11.4276,1565518.0185103
2005-09-26,11.4585,11.543,11.369,11.4704,1073603.4050858
2005-09-27,11.4833,11.5202,11.35,11.4396,1115568.6471394
2005-09-28,11.4147,11.4963,11.3311,11.3818,848077.41801928
2005-09-29,11.356,11.6327,11.356,11.6187,741886.82144396
2005-09-30,11.6187,11.7828,11.6137,11.7768,712325.6091897
2005-10-03,11.7569,12.1341,11.7569,12.0227,1289272.3043764
2005-10-04,12.0227,12.2872,12.0227,12.0844,2136985.8735352
2005-10-05,12.0424,12.1588,11.8068,11.8126,2026051.1702707
2005-10-06,11.8126,11.9002,11.6386,11.7698,1307884.8822734
2005-10-07,11.7828,11.8933,11.7569,11.8196,1575013.2676403
2005-10-10,11.8246,11.8375,11.6077,11.7081,931284.22483502
2005-10-11,11.7081,11.8873,11.6584,11.7391,1241835.2579125
2005-10-12,11.6894,11.9798,11.6386,11.7141,1268838.4719625
2005-10-13,11.7141,11.7201,11.5142,11.5788,830562.41734799
2005-10-14,11.5917,11.7569,11.5142,11.7569,972520.76406035
2005-10-17,11.7828,11.8635,11.7391,11.8126,1304235.3374875
2005-10-18,11.7828,11.7958,11.6386,11.7391,1135639.6358003
2005-10-19,11.7022,11.937,11.4963,11.9062,1225774.6475757
2005-10-20,11.369,11.7201,11.0724,11.1958,4453524.1239737
2005-10-21,11.1958,11.5142,11.1958,11.362,2195011.7259255
2005-10-24,11.362,11.4336,11.2277,11.3013,2171293.2026936
2005-10-25,11.3013,11.3013,11.0654,11.176,1997218.6608447
2005-10-26,11.1231,11.2535,11.0605,11.2207,1760751.0751721
2005-10-27,11.2207,11.2207,10.9103,11.0227,1677551.3041078
2005-10-28,11.0287,11.1043,10.9233,11.0724,2235154.7083546
2005-10-31,11.0724,11.1888,11.0416,11.158,791880.86100493
2005-11-01,11.1231,11.1231,10.7819,10.9233,1609310.5457252
2005-11-02,10.9293,11.0973,10.8516,11.0357,1650911.9389183
2005-11-03,11.0914,11.3759,11.0536,11.2953,1823520.0291444
2005-11-04,11.3073,11.356,11.1958,11.356,1260808.6693477
2005-11-07,11.369,11.369,11.176,11.3201,979815.83320256
2005-11-08,11.2644,11.4336,11.176,11.369,1089297.15124
2005-11-09,11.356,11.4893,11.2764,11.4704,1077980.6475927
2005-11-10,11.4704,11.6027,11.3948,11.5917,1194025.3166218
2005-11-11,11.6027,11.752,11.5957,11.7201,918874.16439152
2005-11-14,11.7081,11.8873,11.6445,11.8445,1074331.1028069
2005-11-15,11.8316,11.9192,11.6894,11.6894,1325031.0085474
2005-11-16,11.6844,11.7081,11.4585,11.5142,1183075.677157
2005-11-17,11.5202,11.6187,11.4336,11.6077,1292556.9951943
2005-11-18,11.6327,11.7201,11.543,11.5788,975438.59069576
2005-11-21,11.6187,11.6714,11.5311,11.6714,624385.75186545
2005-11-22,11.6714,11.7331,11.5261,11.6844,581323.93769355
2005-11-23,11.6714,11.7828,11.6445,11.752,578401.08552138
2005-11-25,11.7698,11.7958,11.7271,11.7698,164947.16200865
2005-11-28,11.7698,11.7888,11.6187,11.7081,585332.3058031
2005-11-29,11.7271,11.9729,11.6963,11.752,785313.48958371
2005-11-30,11.752,11.8316,11.6445,11.6774,760867.26863072
2005-12-01,11.7022,11.961,11.7022,11.8375,880929.3517356
2005-12-02,11.7828,11.9798,11.7569,11.931,664885.54740364
2005-12-05,11.9002,11.948,11.6445,11.6844,672188.65740464
2005-12-06,11.6963,11.9002,11.6963,11.7391,545924.05684639
2005-12-07,11.8126,11.8763,11.6514,11.7569,728751.07349418
2005-12-08,11.7391,11.8126,11.6027,11.752,734221.87279717
2005-12-09,11.7271,11.8693,11.6445,11.8693,1004272.1052291
2005-12-12,11.8803,11.961,11.8495,11.948,1290730.7151404
2005-12-13,11.948,12.2325,11.948,12.1848,2094655.7775137
2005-12-14,12.2097,12.2912,11.955,12.0177,1065580.6382226
2005-12-15,11.9847,12.0296,11.9062,11.961,524761.52160401
2005-12-16,11.9679,12.0117,11.7331,11.7331,1151334.3870619
2005-12-19,11.7391,11.7639,11.543,11.6327,828008.43957307
2005-12-20,11.6257,11.6584,11.4396,11.4704,1453852.6022026
2005-12-21,11.5142,11.5917,11.4396,11.5261,1141846.1736831
2005-12-22,11.5788,11.6774,11.5142,11.6774,557234.52984961
2005-12-23,11.7201,11.8495,11.7141,11.7391,556139.96794607
2005-12-27,11.7391,11.7958,11.5848,11.6445,744805.65318673
2005-12-28,11.6714,11.7391,11.6386,11.7331,505419.23577145
2005-12-29,11.7391,11.8803,11.7022,11.7698,735318.4449154
2005-12-30,11.7391,11.7391,11.561,11.6584,953906.17594878
2006-01-03,11.6445,11.7331,11.4893,11.6514,1432686.0465309
2006-01-04,11.6714,11.7828,11.6514,11.7768,630221.40513628
2006-01-05,11.7828,11.9917,11.7828,11.9847,1245479.7771615
2006-01-06,12.0296,12.2325,11.9679,12.2097,1192930.7547182
2006-01-09,12.1908,12.4424,12.1718,12.4424,1648360.9764655
2006-01-10,12.4424,12.4424,12.2753,12.3111,687880.39334405
2006-01-11,12.3241,12.3489,12.0794,12.1588,1470276.0562923
2006-01-12,12.1588,12.2753,11.9847,11.9917,1083459.4877544
2006-01-13,12.0177,12.2156,11.948,12.1848,522207.54382909
2006-01-17,12.141,12.141,11.9679,11.9847,370395.12466286
2006-01-18,11.937,12.0744,11.8803,12.0117,364192.60720949
