Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-09-15,28.8895,28.954,28.1143,28.1233,2013182.487039
2005-09-16,28.1143,28.1143,27.8139,27.8139,82117.312410759
2005-09-19,27.8139,27.8873,27.697,27.8873,1529563.3055402
2005-09-20,27.8139,28.1143,27.8139,27.8873,861839.38129413
2005-09-21,27.8139,27.8139,27.358,27.6613,558368.67274344
2005-09-22,27.6613,28.269,27.6613,28.269,1138064.0808502
2005-09-23,28.269,28.954,28.269,28.6338,1644845.9005768
2005-09-26,28.6824,28.9887,28.6824,28.6824,1080946.3182696
2005-09-27,28.6824,28.8003,28.2234,28.3066,1992396.4351566
2005-09-28,28.2978,28.4197,27.9607,28.1143,1152403.2892122
2005-09-29,28.0489,28.0489,27.5443,27.8139,3499457.8257527
2005-09-30,27.8139,27.8139,27.0546,27.2073,5283399.5954992
2005-10-03,26.8246,27.2756,25.9642,26.3706,13169807.840248
2005-10-04,25.8363,26.0663,25.2652,25.7609,10580881.171212
2005-10-05,25.8363,25.9146,25.3208,25.5686,8296469.2543888
2005-10-06,25.3812,25.5686,25.2374,25.3584,9938551.2132905
2005-10-07,25.287,25.5309,25.174,25.5309,9284507.7915985
2005-10-10,25.5309,25.5309,25.0799,25.0987,4475389.4914351
2005-10-11,25.1067,25.3753,25.0611,25.0799,4836753.6819634
2005-10-12,25.0006,25.3039,24.8638,24.8984,5441051.1971924
2005-10-13,24.718,24.8518,24.6813,24.7339,4190216.2785213
2005-10-14,24.7111,24.8856,24.603,24.613,3273504.5850731
2005-10-17,24.5762,24.8984,24.3175,24.6813,2514050.0768236
2005-10-18,24.5456,24.7339,24.4325,24.6437,2287041.6963659
2005-10-19,24.5287,25.1968,24.4761,25.1968,2348234.7598104
2005-10-20,25.1968,25.8808,25.1513,25.517,3671061.2804781
2005-10-21,25.6687,26.2169,25.5547,25.8363,3792395.2938028
2005-10-24,26.7859,27.7198,26.5441,27.5751,5307875.6103917
2005-10-25,26.8523,28.4712,26.8097,28.2531,3836611.2994399
2005-10-26,28.0004,28.6626,27.8873,28.1143,2905686.4898595
2005-10-27,28.0777,28.1143,27.2073,27.5671,2675390.6327889
2005-10-28,27.7347,28.269,27.5175,28.1897,1882114.1535812
2005-10-31,28.275,28.5733,28.0866,28.2809,1604970.493855
2005-11-01,28.041,28.0866,27.7049,27.7823,2072939.1078028
2005-11-02,27.5225,28.041,27.4917,27.9607,1976734.7714895
2005-11-03,27.9032,28.5862,27.9032,28.4365,2484441.6038132
2005-11-04,28.3652,28.4365,28.1312,28.2462,2279144.287835
2005-11-07,28.1897,28.2462,27.9786,28.1312,2182814.8680298
2005-11-08,27.8507,28.269,27.8507,28.0866,2788826.2288448
2005-11-09,28.0866,29.0124,28.041,28.7865,2900292.7686417
2005-11-10,28.6824,29.8631,28.6824,29.5755,3307322.5210799
2005-11-11,29.2593,29.6043,29.2335,29.5677,1618389.7333091
2005-11-14,29.4814,29.9384,29.2663,29.8957,1526538.1007652
2005-11-15,29.636,29.9384,29.2335,29.7947,2359552.7983487
2005-11-16,29.9037,30.3944,29.7044,30.2635,3380489.3026574
2005-11-17,30.4717,31.2906,30.2289,30.3944,3458528.2879905
2005-11-18,30.7374,31.0556,30.1218,30.3359,2047666.1900187
2005-11-21,30.5243,31.9161,30.5243,31.5969,3825427.4230341
2005-11-22,31.4621,32.2135,31.3748,32.0311,3117162.3250932
2005-11-23,32.0678,33.2525,32.0678,33.0324,2828171.0394641
2005-11-25,33.5112,33.6261,32.6359,33.0165,616277.28578873
2005-11-28,32.9779,33.5865,32.7498,33.3615,3128611.4995505
2005-11-29,33.2465,33.426,31.7099,32.3315,3898197.7706412
2005-11-30,32.5991,32.8648,31.3818,31.9557,3633555.3989369
2005-12-01,31.8775,33.3466,31.8299,32.9095,2412190.7561924
2005-12-02,32.8648,33.2395,32.3712,32.8529,1392177.2470053
2005-12-05,32.844,33.2078,32.6051,33.073,1372438.2649984
2005-12-06,33.2078,33.3129,33.0413,33.1384,1519828.985407
2005-12-07,33.1216,34.0287,32.844,32.9481,2716054.8724998
2005-12-08,33.1692,33.4716,32.9095,33.1692,1615764.9974555
2005-12-09,33.1612,33.4498,32.9481,33.2525,678255.14727104
2005-12-12,33.2465,33.2525,32.5853,32.7716,1980419.6908104
2005-12-13,32.5991,32.9571,32.3037,32.5486,1738802.768988
2005-12-14,32.5486,32.6983,31.5493,31.5563,2239275.942278
2005-12-15,31.4819,31.8378,31.2241,31.2975,1606285.8879953
2005-12-16,31.4908,32.2264,31.467,32.1124,1718142.8093353
2005-12-19,32.152,32.394,31.2469,31.3898,889866.15337506
2005-12-20,31.3451,32.2185,31.1568,31.5889,1475210.4933726
2005-12-21,31.5889,32.3712,31.135,31.5721,1728278.6071279
2005-12-22,31.5889,32.2135,31.3065,31.8606,1063710.0148379
2005-12-23,29.9543,32.3404,29.9543,31.8606,758009.99566605
2005-12-27,31.8378,31.9756,31.0061,31.0784,1239521.923822
2005-12-28,31.0784,31.4066,31.0061,31.1925,1136085.9459506
2005-12-29,31.2153,31.2857,30.8385,31.0348,945270.07036949
2005-12-30,30.779,31.2153,30.7454,31.1568,673392.02215578
2006-01-03,31.3818,32.0678,31.0784,31.9905,1778675.1494963
2006-01-04,32.6755,33.7322,32.5853,32.9947,4595536.2203247
2006-01-05,33.0849,33.8166,32.8044,33.3823,2338764.7289907
2006-01-06,33.3902,33.5865,32.9629,33.1306,2980956.4898284
2006-01-09,33.1306,34.2715,33.1306,34.2636,1724988.1043015
2006-01-10,34.0435,34.097,33.7808,33.9365,1650499.8761568
2006-01-11,33.991,34.0287,33.4061,33.5865,1204779.9839559
2006-01-12,33.5945,33.876,33.3962,33.5568,1528508.1657621
2006-01-13,33.5112,33.6261,33.2168,33.3466,1193855.3531743
2006-01-17,33.1692,33.3615,32.6517,33.079,900656.62202428
2006-01-18,32.9045,33.3615,32.1214,32.16,1285185.4682562
2006-01-19,32.2591,32.6051,31.9389,32.3712,1248996.9983309
2006-01-20,32.2958,32.3315,31.8249,32.0678,1610235.0966296
2006-01-23,32.2512,33.3615,32.2333,33.0591,2071615.6437598
2006-01-24,31.9905,33.2078,31.6782,33.0413,2751056.0579901
2006-01-25,33.0492,33.0492,32.6279,32.8361,1393093.1809618
2006-01-26,33.3962,33.6619,32.6814,32.9045,1711566.8473718
2006-01-27,32.5853,33.1989,31.7347,32.2185,3033332.1758342
2006-01-30,32.2185,32.2591,31.5325,31.5721,2549450.7224976
2006-01-31,31.4621,31.4988,30.779,30.9179,3223365.2708534
2006-02-01,30.9595,32.7638,30.6234,31.3451,1861981.7638177
2006-02-02,31.3818,32.4406,31.3818,32.3037,2014637.0870009
2006-02-03,32.0311,32.7161,31.5889,32.3712,2838174.6925999
2006-02-06,32.3712,33.0165,32.2135,32.9243,1511407.0332006
2006-02-07,32.8123,33.2821,32.732,33.0928,1017913.3170092
2006-02-08,32.9779,33.3962,32.9779,33.2891,1215306.1632916
2006-02-09,33.3962,33.6193,33.2307,33.3754,677334.16962528
2006-02-10,33.2078,33.3902,32.8876,33.1048,868149.03646855
2006-02-13,33.1136,33.1216,32.5694,32.5853,937110.39000084
2006-02-14,32.5397,33.5201,32.3176,33.3902,1658398.2934255
2006-02-15,33.1306,33.1384,32.4921,32.8797,1411257.5232042
2006-02-16,32.8965,33.0413,32.499,33.0026,948168.17417703
2006-02-17,32.9848,33.6331,32.9848,33.4498,998168.28257523
2006-02-21,32.7806,33.7015,32.7806,33.3754,573768.06457282
2006-02-22,33.4954,34.6889,33.4954,34.5452,1955417.1147667
2006-02-23,33.876,35.9043,33.876,35.2738,1532856.8345802
2006-02-24,34.6135,35.3203,34.6135,35.1508,1143589.9467248
2006-02-27,35.1082,35.6833,34.8564,35.5622,1234918.0443311
2006-02-28,34.8941,35.8378,34.4668,34.559,1402705.4438167
2006-03-01,34.6453,35.1003,34.5957,34.8674,691938.6760386
2006-03-02,34.7801,34.8039,33.8166,33.87,1515743.5971646
2006-03-03,33.6777,34.0366,33.185,33.4348,1752225.0346556
2006-03-06,33.3615,33.3902,32.4088,32.499,1205569.8256828
2006-03-07,32.4673,33.2584,32.4336,33.1692,2131362.1771454
2006-03-08,33.1692,33.3962,32.8202,32.9333,1428230.5460603
2006-03-09,33.0105,33.3288,32.7161,32.9243,1141217.3953307
2006-03-10,32.8648,32.9571,32.5694,32.9045,1199518.4073948
2006-03-13,32.9411,33.3545,32.9243,33.2821,993041.87688436
2006-03-14,33.2465,34.2933,33.2465,34.219,1696561.8720369
2006-03-15,34.0743,34.6135,34.0138,34.4906,883547.4195601
2006-03-16,34.6523,35.0547,34.6215,34.9913,1110953.2427258
2006-03-17,35.1905,35.4047,34.788,34.8762,1678797.998716
2006-03-20,34.9972,35.0725,34.3617,34.4589,1292159.8816657
2006-03-21,34.4242,34.5858,33.3466,33.3754,1353484.0810292
2006-03-22,33.3377,33.6936,33.3377,33.6261,1680904.243321
2006-03-23,33.6261,33.8413,33.2743,33.4716,949212.21783899
2006-03-24,33.6261,33.761,33.3466,33.6261,1254391.7282866
2006-03-27,33.754,33.9047,33.5865,33.7808,1101605.2691844
2006-03-28,33.7888,33.7888,32.7498,32.7716,6027065.3391141
2006-03-29,32.8292,32.9629,32.5238,32.6051,1752756.639496
2006-03-30,32.6051,34.1784,32.6051,34.0435,3810422.4476992
2006-03-31,34.1952,34.6215,34.0069,34.2428,2110042.5029469
2006-04-03,34.5729,34.7256,33.8988,33.9365,1330063.2059149
2006-04-04,33.8899,34.2259,33.8166,34.1952,903290.43651835
2006-04-05,34.2715,34.5858,34.1169,34.2715,941845.40541071
2006-04-06,34.2715,34.3063,33.8244,34.1436,1529694.4414592
2006-04-07,34.1714,34.452,33.5201,33.5865,1250051.1293713
