Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,15.0953,15.3953,15.0953,15.3006,1497766.3645717
2005-02-28,15.3095,15.342,14.9966,15.0776,1515152.4663954
2005-03-01,15.192,15.3894,15.1357,15.3588,2290293.1411955
2005-03-02,15.3262,15.3648,15.2315,15.3006,2000467.6952265
2005-03-03,15.4654,15.5,15.3716,15.4289,2201184.0495542
2005-03-04,15.4743,15.493,15.349,15.4467,1758296.4620252
2005-03-07,15.3953,15.6174,15.3716,15.6006,1066433.3707656
2005-03-08,15.6095,15.8611,15.5,15.6095,4341213.7677604
2005-03-09,15.5444,15.5444,15.192,15.2581,2281786.5364157
2005-03-10,15.2394,15.3716,15.192,15.342,1021566.7303324
2005-03-11,15.3006,15.6638,15.2088,15.6273,1635753.7283701
2005-03-14,15.6273,15.6273,15.5088,15.5444,1009291.6844358
2005-03-15,15.5444,15.5444,15.192,15.3588,2451013.7602926
2005-03-16,15.2148,15.4377,15.1427,15.3953,1897131.9530661
2005-03-17,15.4032,15.4467,15.2848,15.3095,1336685.0127405
2005-03-18,15.342,15.5,15.2671,15.4565,1005154.4042315
2005-03-21,15.5088,15.569,15.2493,15.2848,2763820.7186385
2005-03-22,15.3006,15.3588,15.119,15.1269,3545526.5265377
2005-03-23,15.051,15.0588,14.7114,14.8782,2785213.3857153
2005-03-24,14.9354,15.051,14.9038,14.9108,1598914.4045617
2005-03-28,14.9354,14.9966,14.8081,14.8397,990811.22487987
2005-03-29,14.8081,14.8181,14.2298,14.5081,2909100.7607692
2005-03-30,14.5081,14.9631,14.367,14.6581,2350959.0647406
2005-03-31,14.668,15.1852,14.5318,14.9966,2320442.6967184
2005-04-01,15.1852,15.2315,14.8654,14.9266,1706262.7917402
2005-04-04,14.887,14.9266,14.518,14.738,2338194.5977471
2005-04-05,14.738,14.9354,14.738,14.8081,1246722.7273858
2005-04-06,14.9266,14.9799,14.8003,14.8181,2252849.8940459
2005-04-07,14.8003,14.9038,14.7805,14.8081,1811303.9080332
2005-04-08,14.747,14.8181,14.6769,14.738,1636359.6782996
2005-04-11,14.747,14.7647,14.593,14.6285,738425.98617781
2005-04-12,14.518,14.6769,14.3285,14.6285,1866859.7889454
2005-04-13,14.6285,14.738,14.5318,14.6088,845292.04531877
2005-04-14,14.5644,14.6769,14.1164,14.2822,3400249.5242896
2005-04-15,14.2822,14.2822,13.8173,14.1104,2767587.1331669
2005-04-18,14.068,14.2574,13.9812,14.1883,2418916.6533239
2005-04-19,14.1953,14.3285,14.1232,14.3117,1554663.847
2005-04-20,14.2979,14.3936,13.914,13.9397,3746847.8175008
2005-04-21,13.9812,14.0946,13.9249,13.99,2553742.5392292
2005-04-22,13.9989,14.0867,13.9722,14.0591,2750568.8571365
2005-04-25,14.0591,14.1883,13.9644,14.0591,5235865.3999797
2005-04-26,14.1302,14.4124,14.1025,14.1883,3214484.3258314
2005-04-27,14.145,14.4124,14.068,14.3433,1337170.3806606
2005-04-28,14.2752,14.3285,14.0078,14.0423,864133.23760871
2005-04-29,14.068,14.2476,13.9812,14.1706,2274734.008808
2005-05-02,14.2219,14.3591,13.8706,13.9812,2726374.4316064
2005-05-03,13.9812,14.2219,13.9397,14.1528,1996822.8760016
2005-05-04,13.612,14.3936,13.4087,14.145,27591132.577897
2005-05-05,14.2574,14.5565,14.145,14.3285,10220440.932284
2005-05-06,14.437,14.437,13.9812,14.1302,5140795.0985803
2005-05-09,14.0867,14.145,13.99,14.145,2910192.0786189
2005-05-10,14.1025,14.3513,13.99,13.9989,5834121.3866598
2005-05-11,14.0147,14.0946,13.9328,14.0423,2786066.5794287
2005-05-12,14.2298,14.2476,13.8617,13.917,4033157.1326078
2005-05-13,13.9051,14.0147,13.5548,13.7068,3606193.4633771
2005-05-16,13.7363,13.7512,13.389,13.539,7436561.0417311
2005-05-17,13.539,13.7433,13.5301,13.7363,5879833.1144528
2005-05-18,13.7749,14.1025,13.768,14.0423,6578988.8840448
2005-05-19,14.1104,14.1805,14.0147,14.1528,3488267.2980813
2005-05-20,14.1607,14.2476,14.0946,14.145,6586167.0601329
2005-05-23,14.1883,14.5565,14.1164,14.3433,5417371.7229299
2005-05-24,14.3433,14.4292,14.1302,14.291,1510530.8315651
2005-05-25,14.3206,14.3206,14.1706,14.2219,1886674.7569582
2005-05-26,14.2219,14.4637,14.2131,14.437,3750378.1344814
2005-05-27,14.5397,14.6848,14.437,14.6374,2829829.7424819
2005-05-31,14.6907,14.8486,14.5842,14.8397,6723297.1770411
2005-06-01,14.8486,14.8782,14.668,14.8081,3298127.7085767
2005-06-02,14.8654,15.2148,14.8003,15.051,4895462.387486
2005-06-03,15.051,15.5088,15.051,15.3648,7169952.1923926
2005-06-06,15.3648,15.3716,15.1782,15.2493,2322393.2880468
2005-06-07,15.2848,15.6095,15.2226,15.5088,5906086.5537903
2005-06-08,15.5088,15.6361,15.1357,15.1427,4100624.2868
2005-06-09,15.1427,15.2148,15.044,15.1693,1808257.9456785
2005-06-10,15.2148,15.342,15.0776,15.1111,1705898.0058294
2005-06-13,15.051,15.1693,15.0134,15.1022,3472336.2867236
2005-06-14,15.1782,15.5306,15.1111,15.4289,2507545.443516
2005-06-15,15.3953,15.493,15.2088,15.4832,2225253.8398981
2005-06-16,15.4289,15.8917,15.42,15.801,3715600.8643629
2005-06-17,15.801,15.8345,15.6273,15.6361,2063808.7154504
2005-06-20,15.569,15.8917,15.569,15.7507,3629532.6686054
2005-06-21,15.7507,15.8917,15.6914,15.8522,2171275.6580499
2005-06-22,15.8759,16.5826,15.869,16.4286,10779306.120369
2005-06-23,16.4927,16.7217,16.3851,16.5737,4599069.7818295
2005-06-24,16.4927,16.7908,16.4444,16.7454,12607382.073943
2005-06-27,16.7454,16.9438,16.5737,16.8391,5750963.3718346
2005-06-28,17.0257,17.1263,16.8066,17.07,6512128.6930763
2005-06-29,17.07,17.151,17.0444,17.1086,3190047.7229883
2005-06-30,17.1086,17.4056,17.0523,17.2901,5023962.2777225
2005-07-01,17.3977,17.3977,17.0257,17.2172,4116181.392599
2005-07-05,17.225,17.4234,17.076,17.3237,6743234.7536516
2005-07-06,17.4234,17.6434,17.38,17.6029,4804040.9584883
2005-07-07,17.4401,17.7845,17.4401,17.752,4163355.3039176
2005-07-08,17.8488,17.8488,17.6672,17.8013,5742332.1318687
2005-07-11,18.0036,18.0036,17.5112,17.7263,9198017.9683553
2005-07-12,17.8092,17.9662,17.7362,17.825,4175508.7545107
2005-07-13,17.8734,17.8734,17.52,17.5971,3238921.9419687
2005-07-14,17.684,17.7747,17.5694,17.6217,4309242.3092721
2005-07-15,17.6434,17.674,17.4687,17.6355,1478921.1191049
2005-07-18,17.6355,17.6523,17.4145,17.4687,1862119.5986941
2005-07-19,17.529,17.5625,17.4401,17.4787,1460444.7127257
2005-07-20,17.4934,17.8388,17.4234,17.7431,3162940.0766432
2005-07-21,17.7589,17.7589,17.4639,17.4875,1923267.8502768
2005-07-22,17.4639,17.6297,17.4639,17.6297,1798903.2136563
2005-07-25,17.684,17.8172,17.4559,17.5536,1928009.0538222
2005-07-26,17.684,17.7677,17.5448,17.674,1510288.6542522
2005-07-27,17.6355,18.1754,17.5023,18.1754,2771965.5773901
2005-07-28,18.1754,19.1188,18.0313,18.9985,5439252.7978094
2005-07-29,18.9224,19.1277,18.6767,18.9037,2747409.4058318
2005-08-01,18.9037,19.0834,18.6156,18.7468,2754698.0309873
2005-08-02,18.7794,18.9224,18.3481,18.428,3289495.4553166
2005-08-03,18.4774,19.0666,18.4774,18.9777,5167907.8113964
2005-08-04,18.9777,19.2728,18.7862,18.8425,3626254.6618796
2005-08-05,18.8188,18.9985,18.5898,18.6156,1977490.2360264
2005-08-08,18.7862,19.0221,18.2109,18.2642,6283815.2713067
2005-08-09,18.3313,18.4684,18.1754,18.4536,6991486.7653261
2005-08-10,18.5978,18.8681,18.4103,18.7142,4636879.8414781
2005-08-11,18.7142,19.0932,18.7053,18.9985,4354342.0073704
2005-08-12,18.9392,19.0744,18.4448,18.4536,3737366.4237039
2005-08-15,18.2721,18.6156,18.2721,18.5494,2642978.292645
2005-08-16,18.5898,18.9224,18.5395,18.655,2792634.7524105
2005-08-17,18.655,18.7961,18.6254,18.6767,1434550.9928281
2005-08-18,18.6688,18.8267,18.4684,18.7142,8592102.4908438
2005-08-19,18.8346,18.9698,18.7656,18.9224,1662617.1708138
2005-08-22,18.9905,19.1523,18.8938,19.1188,3858453.0535988
2005-08-23,19.1119,19.2827,18.954,19.2382,2811837.6907286
2005-08-24,19.2116,19.5945,19.2116,19.3389,5084502.5527873
2005-08-25,19.4939,19.5185,19.2728,19.3646,2768922.6549179
2005-08-26,19.3646,19.4376,19.1277,19.2985,3961787.7824648
2005-08-29,19.2827,19.6113,19.0834,19.3478,2315947.7236627
2005-08-30,19.3478,19.7761,19.331,19.4781,2624618.4150984
2005-08-31,19.4445,19.6972,19.3231,19.6113,2677988.6204287
2005-09-01,19.562,19.9567,19.554,19.8166,2711543.8577462
2005-09-02,19.9211,19.9902,19.403,19.4681,2246043.5969279
2005-09-06,19.6201,19.7416,19.255,19.6587,5147721.9777077
2005-09-07,19.6646,19.9301,19.5945,19.9143,3639137.6842941
2005-09-08,19.9567,20.3495,19.9469,20.2982,4622894.3549778
2005-09-09,20.3584,20.5489,20.3584,20.3919,2568329.9224822
2005-09-12,20.3919,20.5646,20.1175,20.2675,3354053.4418706
2005-09-13,20.7285,20.7285,20.4007,20.5557,5105295.3496997
2005-09-14,20.5646,20.6682,20.1097,20.1788,4058438.8228108
2005-09-15,20.465,20.5725,20.3495,20.4175,6945288.6563187
2005-09-16,20.4896,20.606,20.2587,20.5133,3604974.4704587
2005-09-19,20.5133,20.6288,20.2271,20.2774,3253388.7432123
2005-09-20,20.3584,20.4965,19.6972,19.7929,5116967.4855493
2005-09-21,19.7929,19.8965,19.331,19.4129,3909024.5403583
2005-09-22,19.4524,19.5688,19.1277,19.3646,2723701.3615159
2005-09-23,19.3714,19.7159,19.3478,19.5945,4182202.5759727
2005-09-26,19.5945,20.0356,19.5362,19.862,5573592.3025004
2005-09-27,19.9745,20.2182,19.8333,19.9143,3426751.2207051
2005-09-28,19.9469,20.1264,19.855,19.9646,2229021.2677208
2005-09-29,19.9646,20.3682,19.9379,20.3406,6259619.8324823
2005-09-30,20.3584,20.6288,20.3248,20.5222,5311237.2621988
2005-10-03,20.4501,20.5291,20.3406,20.4007,2137234.0395181
2005-10-04,20.4314,20.4708,20.1531,20.2982,2518608.5895535
2005-10-05,20.235,20.4708,19.706,19.7929,2031465.377992
2005-10-06,19.7416,19.9054,19.6034,19.7416,3194672.3977013
2005-10-07,19.862,20.1353,19.6113,19.8688,3247922.0210221
2005-10-10,19.7504,19.7593,19.4613,19.4781,2119850.977577
