Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,2.39822,2.40621,2.33203,2.33963,1550710.771956
1983-04-07,2.33203,2.34653,2.30964,2.31714,1046054.1532654
1983-04-08,2.31714,2.36163,2.30964,2.35423,2361188.5513654
1983-04-11,2.47269,2.47269,2.36163,2.47269,1909477.3351761
1983-04-12,2.48749,2.50229,2.4654,2.4654,222610.95973267
1983-04-13,2.4654,2.47269,2.41351,2.458,3130603.610183
1983-04-14,2.48019,2.48019,2.41351,2.42811,424689.54537517
1983-04-15,2.42061,2.458,2.39132,2.458,718620.92762514
1983-04-18,2.53928,2.62805,2.47269,2.60576,866670.36475824
1983-04-19,2.60576,2.65015,2.59096,2.59846,1258938.7713686
1983-04-20,2.59096,2.63565,2.59096,2.62055,1322697.3028901
1983-04-21,2.65015,2.66543,2.61364,2.61364,1395102.4852097
1983-04-22,2.59846,2.63565,2.56867,2.58366,1941901.5153236
1983-04-25,2.54697,2.59096,2.48749,2.50229,266919.84937789
1983-04-26,2.50229,2.53178,2.4654,2.53178,337152.47071023
1983-04-27,2.53178,2.55387,2.50958,2.51718,919618.80864215
1983-04-28,2.56867,2.62055,2.50958,2.58366,472237.50751425
1983-04-29,2.57627,2.61364,2.53928,2.59096,738074.62467822
1983-05-02,2.55387,2.59096,2.50958,2.50958,488445.03551402
1983-05-03,2.50958,2.50958,2.48019,2.48749,317708.91159922
1983-05-04,2.48749,2.50958,2.47269,2.48019,492766.84022178
1983-05-05,2.48749,2.50958,2.4654,2.4654,2456283.4618493
1983-05-06,2.47269,2.53928,2.47269,2.48019,3207327.5558277
1983-05-09,2.47269,2.48019,2.4505,2.48019,886126.08939974
1983-05-10,2.48019,2.57627,2.48019,2.57627,2108319.8897074
1983-05-11,2.57627,2.57627,2.50958,2.52428,468993.36604935
1983-05-12,2.52428,2.52428,2.50229,2.50229,679719.61628422
1983-05-13,2.50229,2.52428,2.50229,2.51718,408479.98978699
1983-05-16,2.51718,2.53178,2.48749,2.50958,417124.61299672
1983-05-17,2.51718,2.53178,2.50229,2.51718,1986204.3222035
1983-05-18,2.53178,2.63565,2.52428,2.61364,1931092.4414802
1983-05-19,2.59846,2.62805,2.59846,2.60576,314463.75634013
1983-05-20,2.58366,2.59096,2.56867,2.58366,276638.08065366
1983-05-23,2.57627,2.57627,2.55387,2.56867,867750.05558952
1983-05-24,2.57627,2.64285,2.57627,2.64285,2054286.6860211
1983-05-25,2.65754,2.74662,2.65754,2.74662,955280.03369501
1983-05-26,2.74662,2.82819,2.74662,2.77621,2020788.8978077
1983-05-27,2.77621,2.7983,2.76881,2.77621,1535583.9485817
1983-05-31,2.77621,2.7983,2.74662,2.74662,2851796.0099246
1983-06-01,2.74662,2.76141,2.68713,2.68713,3785461.9511098
1983-06-02,2.73202,2.73882,2.67264,2.69483,1118458.3217908
1983-06-03,2.68713,2.70173,2.67264,2.68013,1193022.885773
1983-06-06,2.68013,2.68013,2.65754,2.65754,685125.1670001
1983-06-07,2.65754,2.65754,2.62805,2.63565,989861.56791658
1983-06-08,2.62055,2.62805,2.58366,2.62055,2472492.0036434
1983-06-09,2.62055,2.66543,2.60576,2.66543,1585291.2923834
1983-06-10,2.70973,2.71673,2.68713,2.70173,612714.91570944
1983-06-13,2.71673,2.77621,2.71673,2.76141,677558.20703324
1983-06-14,2.76141,2.8206,2.76141,2.78361,569496.8686318
1983-06-15,2.76881,2.96126,2.76881,2.94656,2239075.01145
1983-06-16,2.93876,2.98345,2.93146,2.96126,934751.71478167
1983-06-17,2.96126,3.07232,2.96126,3.00534,2112636.6254441
1983-06-20,3.00534,3.04993,3.00534,3.03543,727263.52324646
1983-06-21,3.03543,3.06483,3.01314,3.04273,1612303.8390496
1983-06-22,3.02774,3.04993,2.99805,3.04273,1150872.3639961
1983-06-23,3.03543,3.07232,2.99805,2.99805,1003912.7556364
1983-06-24,3.00534,3.00534,2.98345,2.99805,400912.01602591
1983-06-27,2.96845,2.96845,2.90187,2.92417,622446.32630991
1983-06-28,2.90187,2.91667,2.8057,2.8057,928267.48702872
1983-06-29,2.8057,2.85768,2.8057,2.85019,363092.42310469
1983-06-30,2.83509,2.93876,2.83509,2.90187,637575.17727261
1983-07-01,2.88688,2.91667,2.88688,2.91667,444138.17345722
1983-07-05,2.88688,2.88688,2.85019,2.85019,150209.83258988
1983-07-06,2.85019,2.91667,2.85019,2.91667,314463.75634013
1983-07-07,2.91667,2.93876,2.90187,2.91667,1401584.6853743
1983-07-08,2.90947,2.93146,2.89487,2.91667,258269.1434029
1983-07-11,2.88688,2.90187,2.84269,2.87238,621363.59409601
1983-07-12,2.8131,2.8206,2.77621,2.7911,378219.24647897
1983-07-13,2.8057,2.8206,2.7983,2.8206,68079.322435025
1983-07-14,2.8206,2.85768,2.8057,2.85019,1578805.037042
1983-07-15,2.87238,2.87238,2.7983,2.8131,232337.30136211
1983-07-18,2.8206,2.87988,2.8206,2.87988,137236.30811292
1983-07-19,2.87238,2.96126,2.87238,2.95376,554367.00387489
1983-07-20,2.93876,3.03543,2.93876,3.02774,461433.50264194
1983-07-21,3.02774,3.02774,2.94656,2.94656,230174.87831691
1983-07-22,2.93146,2.96126,2.90947,2.90947,323107.36575565
1983-07-25,2.90947,2.91667,2.87988,2.87988,705659.56867867
1983-07-26,2.89487,2.89487,2.7983,2.8206,1414550.0994975
1983-07-27,2.85019,2.87988,2.85019,2.85768,1210312.1321925
1983-07-28,2.84269,2.85019,2.8206,2.83509,337152.47071023
1983-07-29,2.8206,2.83509,2.8057,2.8206,561927.88107651
1983-08-01,2.8057,2.8057,2.71673,2.75391,319866.26567339
1983-08-02,2.73882,2.75391,2.70173,2.70173,246382.40631668
1983-08-03,2.70173,2.71673,2.65754,2.65754,332834.7211793
1983-08-04,2.68713,2.69483,2.66543,2.69483,289609.5775422
