Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-11-21,15.99,16.168,15.244,15.459,3107535
2011-11-22,15.459,15.773,14.963,15.153,3924753
2011-11-23,15.002,15.04,14.634,14.947,1393831
2011-11-25,14.887,15.094,14.849,14.963,367151
2011-11-28,15.124,15.474,14.98,15.26,919686
2011-11-29,15.23,15.23,15.002,15.222,701146
2011-11-30,15.343,16.34,15.321,15.87,748092
2011-12-01,15.955,16.026,15.497,15.847,630151
2011-12-02,15.955,16.337,15.917,16.273,767470
2011-12-05,16.337,16.688,16.299,16.576,2715364
2011-12-06,16.477,16.945,16.456,16.85,688238
2011-12-07,16.755,16.829,16.615,16.755,217758
2011-12-08,16.538,16.709,16.465,16.516,496208
2011-12-09,16.465,16.737,16.182,16.562,646886
2011-12-12,16.299,16.439,16.182,16.378,566525
2011-12-13,16.487,16.615,16.151,16.228,733631
2011-12-14,16.051,16.137,15.646,15.718,1382216
2011-12-15,15.978,16.661,15.83,15.96,936117
2011-12-16,15.96,16.371,15.794,15.968,276655
2011-12-19,16.044,16.118,15.81,15.984,195649
2011-12-20,16.317,16.516,16.118,16.371,420416
2011-12-21,16.273,16.51,16.212,16.299,352679
2011-12-22,16.317,16.637,16.317,16.595,491694
2011-12-23,16.615,17.098,16.47,16.709,712359
2011-12-27,17.431,17.431,16.28,16.487,581818
2011-12-28,16.576,16.615,16.058,16.137,190053
2011-12-29,16.159,16.317,16.007,16.311,379528
2011-12-30,16.34,16.477,16.058,16.403,167985
2012-01-03,17.131,17.462,16.569,16.936,1287226
2012-01-04,17.006,17.69,16.637,17.163,516933
2012-01-05,17.088,17.088,16.569,16.857,883069
2012-01-06,16.857,17.384,16.755,17.172,760196
2012-01-09,17.217,17.293,17.117,17.293,549862
2012-01-10,17.508,18.275,17.455,18.146,1245896
2012-01-11,18.123,18.292,17.963,18.236,301266
2012-01-12,18.353,19.036,18.161,18.803,1330706
2012-01-13,18.68,19.281,18.489,18.885,710190
2012-01-17,18.999,19.137,18.482,18.551,1165746
2012-01-18,18.437,19.036,18.437,18.657,748042
2012-01-19,18.795,19.167,18.726,19.09,1256020
2012-01-20,19.053,19.183,18.991,19.114,698520
2012-01-23,19.176,19.67,19.099,19.404,642823
2012-01-24,19.266,19.7,19.176,19.655,535819
2012-01-25,19.655,19.716,19.395,19.615,792707
2012-01-26,19.737,20.284,19.162,19.761,1052563
2012-01-27,20.532,20.864,19.926,20.68,3354912
2012-01-30,20.673,20.979,20.235,20.621,886559
2012-01-31,20.767,20.937,20.235,20.431,726864
2012-02-01,20.658,21.848,20.555,21.77,936219
2012-02-02,21.419,22.112,21.223,22.06,750679
2012-02-03,22.268,23.628,22.251,23.418,3582798
2012-02-06,23.321,23.437,22.769,23.238,2167287
2012-02-07,23.226,23.226,22.603,22.906,1039819
2012-02-08,22.981,23.035,22.151,22.769,1984255
2012-02-09,22.837,22.86,22.403,22.693,1982593
2012-02-10,22.457,22.975,22.359,22.875,1956379
2012-02-13,22.853,23.035,22.791,22.853,1940372
2012-02-14,22.158,22.457,21.892,22.127,11321997
2012-02-15,22.268,22.698,22.182,22.374,6289226
2012-02-16,22.464,23.446,22.359,23.091,6394539
2012-02-17,23.27,23.986,22.975,23.829,5892942
2012-02-21,25.076,25.112,23.106,23.553,5044489
2012-02-22,23.606,23.873,23.082,23.623,1906303
2012-02-23,23.829,23.912,23.27,23.606,1539093
2012-02-24,23.569,24.177,23.453,23.905,1466782
2012-02-27,23.905,24.089,23.628,23.829,2838615
2012-02-28,23.966,24.505,23.912,24.279,1693699
2012-02-29,24.505,24.713,24.072,24.365,3233101
2012-03-01,24.465,24.743,23.886,24.365,3368643
2012-03-02,24.163,24.743,24.163,24.619,2136930
2012-03-05,24.595,24.846,23.873,24.098,2427288
2012-03-06,23.886,24.104,22.684,22.831,1379592
2012-03-07,23.195,23.369,22.784,22.853,805457
2012-03-08,23.195,24.297,23.035,24.138,4722564
2012-03-09,24.024,24.294,23.947,24.235,841025
2012-03-12,24.269,24.595,24.015,24.306,4580023
2012-03-13,24.406,24.415,24.117,24.33,1696073
2012-03-14,24.262,24.587,23.647,24.2,2480046
2012-03-15,24.205,24.465,24.072,24.156,1756136
2012-03-16,24.177,24.446,24.098,24.365,2248466
2012-03-19,24.316,24.415,23.971,24.024,2798562
2012-03-20,23.721,23.978,23.334,23.714,2299593
2012-03-21,23.905,24.17,23.714,23.806,1155194
2012-03-22,23.736,23.736,23.437,23.585,504726
2012-03-23,23.553,23.667,23.141,23.585,948293
2012-03-26,23.873,24.344,23.658,24.337,1620848
2012-03-27,24.546,24.835,24.147,24.297,1840511
2012-03-28,24.216,24.415,23.289,24.034,1906118
2012-03-29,24.675,24.675,23.912,24.194,2392978
2012-03-30,24.427,24.498,23.935,24.067,13262089
2012-04-02,24.138,24.184,23.966,24.024,3043031
2012-04-03,24.072,24.177,23.606,23.813,1580671
2012-04-04,23.654,24.117,23.418,24.089,2870438
2012-04-05,23.997,24.365,23.997,24.177,918575
2012-04-09,23.757,24.041,23.721,23.813,1594873
2012-04-10,23.714,24.104,23.289,23.485,2654416
2012-04-11,23.736,24.126,23.553,23.978,2975320
2012-04-12,24.255,24.633,23.806,24.194,2916110
2012-04-13,24.034,24.344,23.94,24.255,1265869
2012-04-16,24.612,24.612,24.089,24.36,5859046
2012-04-17,24.625,25.006,24.297,24.453,6605642
2012-04-18,24.375,24.755,24.33,24.523,1515773
2012-04-19,24.564,24.955,23.986,24.262,1593862
2012-04-20,24.415,24.477,24.067,24.269,794465
2012-04-23,23.917,24.294,23.873,23.986,1459178
2012-04-24,23.777,23.866,22.959,23.013,7461605
2012-04-25,23.226,23.569,23.226,23.493,3529551
2012-04-26,23.56,23.606,23.216,23.321,2406620
2012-04-27,23.418,23.707,23.238,23.688,3932849
2012-04-30,23.674,23.674,23.195,23.369,2854066
2012-05-01,23.446,23.806,23.247,23.498,2587014
2012-05-02,23.263,23.466,23.028,23.408,3856998
2012-05-03,23.453,23.529,23.106,23.186,3661340
2012-05-04,23.134,23.134,22.305,22.367,2078597
2012-05-07,22.367,22.761,22.099,22.58,918423
2012-05-08,22.367,22.389,21.591,21.702,4411144
2012-05-09,21.503,22.105,21.238,21.726,3287897
2012-05-10,21.855,22.083,21.763,21.923,1243185
2012-05-11,21.643,22.268,21.528,21.868,1483626
2012-05-14,21.567,21.726,21.269,21.332,2659868
2012-05-15,21.115,21.314,20.841,21.023,8411884
2012-05-16,21.412,21.861,21.269,21.309,7659746
2012-05-17,21.412,21.412,20.694,20.937,7204047
2012-05-18,20.937,21.179,20.517,20.76,5898696
2012-05-21,20.85,21.472,20.85,21.323,4706537
2012-05-22,21.419,21.619,21.277,21.465,4933523
2012-05-23,21.323,22.389,20.959,21.345,5013912
2012-05-24,21.309,21.442,20.857,21.092,3053643
2012-05-25,22.091,22.091,21.101,21.665,9907764
2012-05-29,21.877,22.723,21.77,22.723,4340095
2012-05-30,22.448,22.448,21.954,21.969,5343498
2012-05-31,22.151,22.319,21.718,22.105,11724307
2012-06-01,21.628,21.77,21.301,21.503,3712617
2012-06-04,21.496,21.635,20.803,21.115,4417118
2012-06-05,21.085,21.748,21.061,21.528,2723383
2012-06-06,21.819,22.457,21.748,22.083,3769841
2012-06-07,21.794,22.199,21.656,21.726,3868389
2012-06-08,21.551,21.954,21.336,21.892,987563
2012-06-11,22.158,22.158,21.686,21.702,3373778
2012-06-12,21.652,22.033,21.496,21.985,5507238
2012-06-13,21.939,21.992,21.686,21.779,2775511
2012-06-14,21.574,22.0,21.449,21.656,3669476
2012-06-15,21.628,21.886,21.496,21.733,2365229
2012-06-18,21.56,22.206,21.56,22.018,2295823
2012-06-19,22.112,22.853,22.033,22.158,5663790
2012-06-20,22.275,22.352,21.694,21.763,4346264
2012-06-21,21.748,21.77,20.881,20.993,4323076
2012-06-22,21.163,21.187,20.298,20.577,20396838
2012-06-25,21.016,21.016,19.435,19.608,3748014
2012-06-26,19.608,19.816,19.373,19.728,3500783
2012-06-27,19.608,19.816,19.478,19.6,2404114
2012-06-28,19.444,19.471,18.932,19.364,4317585
2012-06-29,19.655,20.01,19.19,19.42,3186792
2012-07-02,19.494,19.531,18.962,19.257,2007733
2012-07-03,19.349,20.113,19.236,20.034,1914300
2012-07-05,19.926,20.563,19.855,20.415,3052849
2012-07-06,20.197,20.228,19.893,20.106,1667093
2012-07-09,20.01,20.339,19.957,20.298,2861833
2012-07-10,20.298,20.462,19.965,20.206,4283431
2012-07-11,20.135,20.22,19.7,19.9,1912621
2012-07-12,19.833,20.182,19.266,19.996,2941189
2012-07-13,19.972,20.57,19.948,20.462,2285485
2012-07-16,20.347,20.424,20.113,20.276,883651
2012-07-17,20.33,20.57,20.043,20.563,1141778
2012-07-18,20.608,21.037,20.541,20.72,1391877
2012-07-19,20.819,20.898,20.649,20.712,3147182
2012-07-20,20.563,20.629,20.378,20.547,3440691
2012-07-23,20.082,20.51,19.906,20.477,1822030
2012-07-24,20.555,20.555,19.988,20.189,2021177
2012-07-25,20.33,20.431,20.249,20.339,1425532
2012-07-26,20.6,20.6,20.269,20.525,2408614
2012-07-27,20.563,21.252,20.409,21.155,3507052
2012-07-30,21.108,21.428,21.016,21.314,1984425
2012-07-31,21.323,22.112,21.323,21.619,4360261
2012-08-01,21.635,21.819,21.077,21.309,2014859
2012-08-02,21.077,21.323,20.898,20.937,1836470
2012-08-03,21.301,21.686,21.131,21.574,1107640
2012-08-06,21.603,22.237,21.574,22.099,1195694
2012-08-07,21.748,22.464,21.748,22.112,5805286
2012-08-08,22.0,22.167,21.826,21.848,736672
2012-08-09,21.794,22.118,21.652,22.039,925763
2012-08-10,22.06,22.083,21.551,21.733,919433
2012-08-13,21.756,22.009,21.652,21.861,1037913
2012-08-14,22.039,22.039,21.709,21.803,1159322
2012-08-15,21.779,21.868,21.591,21.686,2118512
2012-08-16,21.892,22.471,21.803,22.367,7829371
2012-08-17,22.403,22.633,22.259,22.464,4223586
2012-08-20,22.471,22.494,22.259,22.381,6993114
2012-08-21,22.464,22.464,22.083,22.31,3102677
2012-08-22,22.206,22.381,22.118,22.268,2728094
2012-08-23,22.182,22.289,22.067,22.182,1875160
2012-08-24,22.118,22.268,22.076,22.22,2764840
2012-08-27,22.206,22.594,22.127,22.509,2372931
2012-08-28,22.416,23.247,22.367,23.247,4954557
2012-08-29,23.186,23.238,22.761,22.997,3583315
2012-08-30,23.035,23.058,22.502,22.684,2178421
2012-08-31,22.937,23.176,22.603,23.065,18268465
2012-09-04,23.195,23.207,22.746,22.846,3139345
2012-09-05,22.897,23.028,22.791,22.846,2353094
2012-09-06,23.065,23.506,23.02,23.498,7227810
2012-09-07,23.466,23.767,23.446,23.721,2859283
2012-09-10,23.56,23.707,23.446,23.506,2244936
2012-09-11,23.506,23.721,23.493,23.681,2269794
2012-09-12,23.726,23.955,23.529,23.59,2747096
2012-09-13,23.529,23.614,23.013,23.423,3306094
2012-09-14,24.046,24.491,23.917,24.231,7746742
2012-09-17,24.147,24.194,23.905,24.079,2017200
2012-09-18,23.986,24.231,23.798,24.17,3070377
2012-09-19,24.089,24.491,24.067,24.384,3174992
2012-09-20,24.126,24.491,23.986,24.384,3092721
2012-09-21,24.477,25.388,24.098,24.2,3942190
2012-09-24,23.947,24.126,23.818,24.107,1268388
2012-09-25,24.147,24.231,23.886,23.886,2885246
2012-09-26,23.813,24.041,23.313,23.866,1708700
2012-09-27,24.002,24.046,23.707,23.806,1812543
2012-09-28,23.806,23.856,23.476,23.606,1932099
2012-10-01,23.798,24.024,23.326,23.839,4035139
2012-10-02,24.024,24.056,23.767,24.015,2644431
2012-10-03,24.2,24.612,23.844,24.034,2051013
2012-10-04,24.216,24.665,24.184,24.523,2682086
2012-10-05,24.679,24.784,24.453,24.746,1969692
2012-10-08,24.595,24.714,24.415,24.575,1109000
2012-10-09,24.612,24.643,24.107,24.279,1511367
2012-10-10,24.337,24.453,23.866,23.978,1548542
2012-10-11,24.216,24.595,24.117,24.391,1688133
2012-10-12,24.36,24.546,24.163,24.427,1916782
2012-10-15,24.477,24.746,24.33,24.734,1525826
2012-10-16,24.734,24.965,24.498,24.946,1412477
2012-10-17,24.934,24.941,24.675,24.746,1320615
2012-10-18,24.746,24.973,24.595,24.714,1209213
2012-10-19,24.612,24.714,24.255,24.306,1435450
2012-10-22,24.353,24.625,24.216,24.625,1503706
2012-10-23,24.098,24.098,23.43,23.905,2391030
2012-10-24,23.955,24.316,23.844,23.866,1513528
2012-10-25,24.156,24.205,23.856,23.935,1412253
2012-10-26,24.041,24.126,23.226,23.226,2381801
2012-10-31,23.013,24.2,22.846,23.94,2629209
2012-11-01,24.184,24.965,23.044,24.794,6892269
2012-11-02,25.144,25.85,24.946,25.024,6103025
2012-11-05,24.546,25.043,24.458,24.523,2101835
2012-11-06,24.755,25.112,24.391,25.024,2090290
2012-11-07,24.705,24.804,24.33,24.427,1263337
2012-11-08,24.477,24.714,23.986,24.133,2397854
2012-11-09,24.015,24.779,23.955,24.556,3640775
2012-11-12,24.714,24.876,24.491,24.714,2360480
2012-11-13,24.546,24.746,24.391,24.516,5882482
2012-11-14,24.633,24.743,24.231,24.316,2327405
2012-11-15,24.205,24.746,23.894,24.126,2315512
2012-11-16,24.269,24.535,24.041,24.477,5871307
2012-11-19,24.722,25.702,24.587,25.411,2760442
2012-11-20,25.392,25.473,25.035,25.43,2773345
2012-11-21,25.551,25.671,25.454,25.587,1328015
2012-11-23,25.803,25.967,25.631,25.93,1060342
2012-11-26,25.813,26.12,25.353,25.4,2984658
2012-11-27,25.411,25.722,25.353,25.454,2867528
2012-11-28,25.334,25.702,25.283,25.587,2209689
2012-11-29,25.752,25.974,25.722,25.871,3909757
2012-11-30,25.911,26.102,25.604,25.881,3518825
2012-12-03,26.071,26.091,25.454,25.512,2217664
2012-12-04,25.734,25.89,25.519,25.813,2405857
2012-12-05,25.942,25.999,25.604,25.795,2168805
2012-12-06,25.942,25.942,25.762,25.838,2156188
2012-12-07,25.899,25.967,25.678,25.871,2817890
2012-12-10,27.033,28.86,25.762,25.93,2823791
2012-12-11,26.053,26.128,25.871,26.065,2193421
2012-12-12,26.128,26.469,26.053,26.191,6702820
2012-12-13,26.133,26.439,25.984,26.142,3459232
2012-12-14,26.065,26.165,25.93,26.091,12636167
2012-12-17,26.133,26.448,26.071,26.171,3927530
2012-12-18,26.165,26.342,25.999,26.233,3156762
2012-12-19,27.247,27.347,26.758,27.147,18823720
2012-12-20,26.934,27.483,26.831,27.445,8705878
2012-12-21,27.199,27.625,27.123,27.52,96201883
2012-12-24,27.575,27.743,27.35,27.625,2099959
2012-12-26,27.61,28.379,27.56,28.343,4173957
2012-12-27,28.283,29.12,28.269,29.038,5997043
2012-12-28,28.882,29.014,28.703,28.725,4816087
2012-12-31,28.656,29.151,28.588,29.126,6284052
2013-01-02,29.728,29.883,29.445,29.606,5126527
2013-01-03,29.12,29.225,28.785,29.203,5956687
2013-01-04,29.311,29.454,29.098,29.326,3582094
2013-01-07,29.156,29.164,28.792,29.085,2653970
2013-01-08,29.069,29.378,28.974,29.078,3266100
2013-01-09,29.12,29.425,29.12,29.295,5026126
2013-01-10,29.57,29.743,29.24,29.554,4117130
2013-01-11,29.416,29.593,28.898,29.005,2467008
2013-01-14,28.989,29.061,28.434,28.648,4413248
2013-01-15,28.358,29.218,28.358,29.156,4920076
2013-01-16,29.092,29.233,28.703,29.178,2825091
2013-01-17,29.295,29.907,29.295,29.699,3701243
2013-01-18,29.652,29.774,29.156,29.561,2986863
2013-01-22,29.462,29.615,29.258,29.584,2189911
2013-01-23,29.469,29.699,29.304,29.432,2569404
