Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,3.93833,3.95354,3.88508,3.95354,379123.71626149
1984-09-10,3.95354,4.02209,3.90019,4.02209,236297.56317044
1984-09-11,4.02209,4.08313,3.98406,3.98406,328189.65386976
1984-09-12,3.96854,3.96854,3.93833,3.93833,274107.07656005
1984-09-13,3.93833,3.95354,3.86978,3.95354,969862.05607441
1984-09-14,4.02209,4.06762,4.02209,4.06762,383850.53817533
1984-09-17,4.06762,4.08313,4.03729,4.06762,621718.30926789
1984-09-18,4.06762,4.09806,4.05251,4.08313,145978.7175459
1984-09-19,4.08313,4.08313,4.02209,4.02209,275674.24732951
1984-09-20,4.02209,4.05251,3.95354,3.96854,1109011.2296857
1984-09-21,3.96854,3.98406,3.95354,3.96854,34656.948934753
1984-09-24,3.95354,3.95354,3.92341,3.93833,351292.26172448
1984-09-25,3.93833,3.95354,3.92341,3.92341,177481.07725736
1984-09-26,3.92341,4.02209,3.92341,3.96854,559755.33320528
1984-09-27,3.98406,4.05251,3.98406,4.05251,704158.78090797
1984-09-28,4.05251,4.06762,4.00698,4.00698,160682.58592811
1984-10-01,4.00698,4.02209,3.96854,3.98406,128123.29709305
1984-10-02,3.98406,4.02209,3.95354,4.00698,1181476.6796258
1984-10-03,4.00698,4.03729,4.00698,4.02209,2221696.4016984
1984-10-04,4.03729,4.13618,4.03729,4.08313,474165.334263
1984-10-05,4.08313,4.08313,4.05251,4.06762,182210.93632386
1984-10-08,4.02209,4.02209,4.00698,4.00698,55663.921458228
1984-10-09,4.00698,4.06762,4.00698,4.00698,131274.84916369
1984-10-10,4.00698,4.00698,3.96854,3.96854,103445.41939511
1984-10-11,4.00698,4.08313,4.00698,4.08313,582336.56318774
1984-10-12,4.08313,4.08313,4.03729,4.05251,169085.3749375
1984-10-15,4.05251,4.09806,4.00698,4.05251,185360.46362605
1984-10-16,4.05251,4.05251,4.00698,4.03729,80342.811540384
1984-10-17,4.03729,4.08313,4.00698,4.08313,374394.86957922
1984-10-18,4.08313,4.12087,4.05251,4.12087,1473430.0651807
1984-10-19,4.12087,4.13618,4.08313,4.13618,936778.35221442
1984-10-22,4.12087,4.12087,4.08313,4.08313,582336.56318774
1984-10-23,4.09806,4.13618,4.09806,4.13618,106595.95908153
1984-10-24,4.13618,4.13618,4.08313,4.09806,32555.239298188
1984-10-25,4.06762,4.06762,4.03729,4.03729,113421.45347928
1984-10-26,3.98406,3.98406,3.96854,3.96854,74043.756935995
1984-10-29,3.96854,4.00698,3.95354,4.00698,77186.197548664
1984-10-30,3.96854,3.96854,3.92341,3.95354,124975.7945593
1984-10-31,3.95354,3.95354,3.90019,3.90019,108172.24130895
1984-11-01,3.90019,3.98406,3.88508,3.98406,121299.82746374
1984-11-02,3.98406,4.05251,3.96854,4.03729,122875.09730695
1984-11-05,4.03729,4.03729,4.00698,4.02209,64063.673314963
1984-11-06,4.02209,4.08313,4.00698,4.08313,167508.08032586
1984-11-07,4.08313,4.08313,3.96854,3.96854,453163.42366063
1984-11-08,3.96854,4.02209,3.95354,3.95354,167508.08032586
1984-11-09,3.95354,4.00698,3.95354,3.98406,106595.95908153
1984-11-12,3.96854,3.96854,3.90019,3.90019,119722.53285211
1984-11-13,3.90019,3.92341,3.83945,3.83945,172230.85270282
1984-11-14,3.83945,3.96854,3.80873,3.95354,329769.98563406
1984-11-15,3.95354,4.02209,3.90019,4.00698,198489.06216506
1984-11-16,4.00698,4.00698,3.95354,3.95354,67217.250154031
1984-11-19,3.95354,4.00698,3.95354,3.95354,98190.132919485
1984-11-20,3.95354,4.00698,3.92341,3.98406,301933.46917596
1984-11-21,3.98406,4.02209,3.96854,3.98406,121299.82746374
1984-11-23,3.98406,4.02209,3.95354,3.95354,114995.71093827
1984-11-26,3.96854,4.00698,3.96854,3.98406,336587.38095806
1984-11-27,3.98406,4.00698,3.95354,4.00698,65639.955542388
1984-11-28,4.00698,4.03729,3.98406,4.03729,98190.132919485
1984-11-29,4.02209,4.02209,3.96854,3.98406,100294.8797087
1984-11-30,3.98406,3.98406,3.95354,3.98406,106595.95908153
1984-12-03,3.98406,4.02209,3.98406,4.00698,280400.05685912
1984-12-04,4.00698,4.00698,3.90019,3.90019,250997.3820158
1984-12-05,3.90019,3.90019,3.82414,3.85466,505670.73112713
1984-12-06,3.83945,3.83945,3.80873,3.80873,328189.65386976
1984-12-07,3.79342,3.79342,3.74008,3.7708,383850.53817533
1984-12-10,3.7708,3.79342,3.72487,3.75558,198489.06216506
1984-12-11,3.79342,3.83945,3.79342,3.83945,152802.18717521
1984-12-12,3.83945,3.86978,3.82414,3.86978,77186.197548664
1984-12-13,3.86978,3.86978,3.80873,3.82414,291957.4350918
1984-12-14,3.82414,3.88508,3.82414,3.86978,77186.197548664
1984-12-17,3.88508,3.98406,3.88508,3.92341,329769.98563406
1984-12-18,3.92341,3.95354,3.90019,3.95354,1183052.9618532
1984-12-19,3.95354,4.00698,3.86978,3.88508,589159.02043284
1984-12-20,3.88508,3.92341,3.85466,3.88508,895820.32390685
1984-12-21,3.92341,3.95354,3.92341,3.92341,364419.84787928
1984-12-24,3.92341,3.95354,3.92341,3.93833,24682.939619029
1984-12-26,3.93833,4.02209,3.93833,4.02209,87165.268785478
1984-12-27,4.02209,4.05251,4.02209,4.02209,30976.932302327
1984-12-28,4.03729,4.09806,4.03729,4.09806,65639.955542388
1984-12-31,4.09806,4.22033,4.08313,4.22033,182210.93632386
1985-01-02,4.22033,4.22033,4.15158,4.1671,428479.47165737
1985-01-03,4.1671,4.22033,4.1671,4.20483,908950.94721429
1985-01-04,4.1821,4.1821,4.08313,4.08313,198489.06216506
1985-01-07,4.06762,4.06762,3.95354,4.06762,338164.6755697
1985-01-08,4.06762,4.08313,4.03729,4.06762,54081.564925496
1985-01-09,4.03729,4.03729,4.00698,4.03729,306659.27870558
1985-01-10,4.03729,4.12087,4.00698,4.12087,462617.0674883
1985-01-11,4.1821,4.23555,4.1821,4.23555,185360.46362605
1985-01-14,4.23555,4.23555,4.1821,4.22033,761392.91028831
1985-01-15,4.23555,4.36524,4.23555,4.36524,805504.51543496
1985-01-16,4.41789,4.47903,4.41789,4.44871,226318.49193364
