Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1972-01-07,1.15673,1.16507,1.15673,1.15673,610185.80294341
1972-01-14,1.14801,1.14801,1.13927,1.13927,895592.21994138
1972-01-21,1.13927,1.14801,1.13927,1.13927,585580.84601997
1972-01-24,1.13927,1.13927,1.13163,1.13163,1618953.7717147
1972-01-25,1.11436,1.11436,1.10583,1.10583,1043215.9160381
1972-01-26,1.11436,1.11436,1.11436,1.11436,1466410.0918073
1972-01-27,1.12299,1.13163,1.12299,1.12299,1717368.5615384
1972-01-28,1.15673,1.16507,1.15673,1.15673,2548991.9237749
1972-01-31,1.18185,1.19039,1.18185,1.18185,1623877.7858213
1972-02-01,1.19892,1.20706,1.19892,1.19892,733202.52696866
1972-02-02,1.19892,1.20706,1.19892,1.19892,669233.66926369
1972-02-03,1.19892,1.20706,1.19892,1.19892,683992.61312178
1972-02-04,1.19892,1.19892,1.19039,1.19039,1638635.7221054
1972-02-07,1.19039,1.19039,1.18185,1.18185,1367990.2641136
1972-02-08,1.18185,1.19039,1.18185,1.18185,1864992.2576352
1972-02-09,1.19892,1.20706,1.19892,1.19892,634782.6992749
1972-02-10,1.19892,1.20706,1.19892,1.19892,870983.23272196
1972-02-11,1.19892,1.20706,1.19892,1.19892,659392.69406831
1972-02-14,1.19892,1.20706,1.19892,1.19892,915274.17033214
1972-02-15,1.20706,1.21559,1.20706,1.20706,949723.12517295
1972-02-16,1.2411,1.2411,1.2411,1.2411,1053057.8988074
1972-02-17,1.25797,1.26631,1.25797,1.25797,1092420.792015
1972-02-18,1.25797,1.25797,1.24934,1.24934,674152.64550039
1972-02-22,1.25797,1.25797,1.25797,1.25797,423190.14547326
1972-02-23,1.27454,1.28318,1.27454,1.27454,624946.76194949
1972-02-24,1.28318,1.29152,1.28318,1.28318,383823.22196975
1972-02-25,1.29996,1.29996,1.29996,1.29996,1353234.3429774
1972-02-28,1.29996,1.29996,1.29152,1.29152,964481.06145705
1972-02-29,1.29996,1.30849,1.29996,1.29996,629867.75333417
1972-03-01,1.29996,1.30849,1.29996,1.29996,836542.33847311
1972-03-02,1.29996,1.29996,1.29152,1.29152,1038298.9549494
1972-03-03,1.29152,1.29996,1.29152,1.29152,319850.33396881
1972-03-06,1.29152,1.29996,1.29152,1.29152,1697685.6035736
1972-03-07,1.29152,1.29152,1.28318,1.28318,610185.80294341
1972-03-08,1.26631,1.26631,1.25797,1.25797,1323703.3567993
1972-03-09,1.24934,1.24934,1.2411,1.2411,895592.21994138
1972-03-10,1.23247,1.23247,1.22423,1.22423,1796108.4539894
1972-03-13,1.20706,1.20706,1.19892,1.19892,1151475.7113532
1972-03-14,1.21559,1.21559,1.21559,1.21559,910353.17894745
1972-03-15,1.24934,1.25797,1.24934,1.24934,2115955.7652363
1972-03-16,1.24934,1.24934,1.24934,1.24934,1476252.0745767
1972-03-17,1.24934,1.25797,1.24934,1.24934,1062900.8891508
1972-03-20,1.24934,1.25797,1.24934,1.24934,1441805.1348838
1972-03-21,1.23247,1.23247,1.22423,1.22423,1048135.8998487
1972-03-22,1.22423,1.23247,1.22423,1.22423,964481.06145705
1972-03-23,1.22423,1.23247,1.22423,1.22423,939879.12725559
1972-03-24,1.21559,1.21559,1.20706,1.20706,679075.65203307
1972-03-27,1.21559,1.21559,1.21559,1.21559,870983.23272196
1972-03-28,1.21559,1.21559,1.20706,1.20706,1067816.8426655
1972-03-29,1.20706,1.20706,1.19892,1.19892,875906.23925464
1972-03-30,1.19892,1.19892,1.19039,1.19039,1328626.363332
1972-04-03,1.19039,1.19039,1.18185,1.18185,1687844.6283783
1972-04-04,1.21559,1.22423,1.21559,1.21559,2229135.5443621
1972-04-05,1.25797,1.26631,1.25797,1.25797,1569746.8805898
1972-04-06,1.28318,1.29152,1.28318,1.28318,1284336.4332958
1972-04-07,1.29152,1.29996,1.29152,1.29152,1299100.4150239
1972-04-10,1.29152,1.29152,1.28318,1.28318,1274496.4656744
1972-04-11,1.28318,1.29152,1.28318,1.28318,1240049.5259816
1972-04-12,1.29152,1.29996,1.29152,1.29152,1038298.9549494
1972-04-13,1.29152,1.29996,1.29152,1.29152,787332.42462624
1972-04-14,1.29996,1.30849,1.29996,1.29996,1372911.2554983
1972-04-17,1.30849,1.31702,1.30849,1.30849,930033.11419023
1972-04-18,1.3591,1.36744,1.3591,1.3591,1289258.4322545
1972-04-19,1.36744,1.36744,1.36744,1.36744,1879759.2620852
1972-04-20,1.36744,1.36744,1.36744,1.36744,954643.10898364
1972-04-21,1.36744,1.36744,1.3591,1.3591,1737054.5422251
1972-04-24,1.35067,1.35067,1.35067,1.35067,964481.06145705
1972-04-25,1.31702,1.31702,1.29996,1.29996,364135.22613502
1972-04-26,1.30849,1.32526,1.30849,1.30849,811938.38912367
1972-04-27,1.32526,1.3336,1.32526,1.32526,889025.86022516
1972-04-28,1.3336,1.35067,1.3336,1.3336,677432.29884953
1972-05-01,1.34214,1.3591,1.34214,1.34214,538012.27020865
1972-05-02,1.34214,1.35067,1.3336,1.3336,898870.86571652
1972-05-03,1.3336,1.34214,1.32526,1.32526,603621.45837518
1972-05-04,1.32526,1.3336,1.32526,1.32526,600340.79745206
1972-05-05,1.32526,1.32526,1.30849,1.30849,495360.65548604
1972-05-08,1.30849,1.31702,1.30849,1.30849,401869.87976892
1972-05-09,1.30849,1.30849,1.29996,1.29996,670871.98457727
1972-05-10,1.3336,1.35067,1.3336,1.3336,634782.6992749
1972-05-11,1.35067,1.36744,1.35067,1.35067,644626.69719227
1972-05-12,1.37608,1.38442,1.37608,1.37608,587217.14618556
1972-05-15,1.47771,1.49399,1.47771,1.47771,772574.48834214
1972-05-16,1.51959,1.52813,1.51959,1.51959,1533656.5877134
1972-05-17,1.47771,1.47771,1.46877,1.46877,1469687.7300085
1972-05-18,1.49399,1.51135,1.49399,1.49399,1153113.0190928
1972-05-19,1.51135,1.52813,1.51135,1.51135,831618.32436645
1972-05-22,1.51135,1.51959,1.50281,1.50281,808655.71305255
1972-05-23,1.51959,1.52813,1.51959,1.51959,1363067.2575808
1972-05-24,1.52813,1.53646,1.52813,1.52813,721723.2364597
1972-05-25,1.51135,1.51135,1.50281,1.50281,515052.68161674
1972-05-26,1.51135,1.52813,1.51135,1.51135,506841.96114298
1972-05-30,1.51135,1.51959,1.50281,1.50281,885747.21445002
1972-05-31,1.50281,1.50281,1.48585,1.48585,715162.92218745
1972-06-01,1.48585,1.50281,1.48585,1.48585,283767.0941104
1972-06-02,1.48585,1.48585,1.47771,1.47771,656109.0104232
1972-06-05,1.46024,1.46024,1.4523,1.4523,351018.62788648
1972-06-06,1.38442,1.38442,1.37608,1.37608,1203964.2709752
1972-06-07,1.36744,1.36744,1.3591,1.3591,1271216.8123253
1972-06-08,1.39275,1.40168,1.39275,1.39275,1128511.0848913
1972-06-09,1.39275,1.39275,1.37608,1.37608,882468.56867489
1972-06-12,1.40168,1.41806,1.40168,1.40168,1471327.052896
1972-06-13,1.40168,1.41806,1.40168,1.40168,1938810.1511274
1972-06-14,1.39275,1.39275,1.38442,1.38442,1128511.0848913
1972-06-15,1.37608,1.37608,1.36744,1.36744,1166241.7082293
1972-06-16,1.36744,1.37608,1.36744,1.36744,541290.91598378
1972-06-19,1.36744,1.36744,1.35067,1.35067,437955.1347753
1972-06-20,1.3591,1.36744,1.3591,1.3591,1458206.4243515
1972-06-21,1.38442,1.39275,1.38442,1.38442,1135070.3915896
1972-06-22,1.41012,1.41806,1.41012,1.41012,897232.55040294
1972-06-23,1.35067,1.35067,1.34214,1.34214,1007130.6610317
1972-06-26,1.30849,1.30849,1.29996,1.29996,944797.09591829
1972-06-27,1.3591,1.36744,1.3591,1.3591,1597630.4832884
1972-06-28,1.36744,1.38442,1.36744,1.36744,844742.98320694
1972-06-29,1.40168,1.41806,1.40168,1.40168,915274.17033214
1972-06-30,1.44367,1.4523,1.44367,1.44367,667592.33122813
1972-07-03,1.50281,1.51135,1.50281,1.50281,434672.4587042
1972-07-05,1.55353,1.56177,1.55353,1.55353,934957.1282969
1972-07-06,1.55353,1.56177,1.55353,1.55353,1454926.7710024
1972-07-07,1.53646,1.53646,1.52813,1.52813,1479527.6976298
1972-07-10,1.52813,1.52813,1.51135,1.51135,582296.15480087
1972-07-11,1.51959,1.52813,1.51959,1.51959,455994.73955652
1972-07-12,1.51959,1.52813,1.51135,1.51135,844742.98320694
1972-07-13,1.46877,1.46877,1.4523,1.4523,907074.53317232
1972-07-14,1.46024,1.47771,1.46024,1.46024,936599.47390645
1972-07-17,1.46024,1.46024,1.4523,1.4523,516690.99693031
1972-07-18,1.46024,1.47771,1.46024,1.46024,767647.45151349
1972-07-19,1.46024,1.47771,1.46024,1.46024,1171156.65417
1972-07-20,1.40168,1.40168,1.39275,1.39275,1715730.2462249
1972-07-21,1.41806,1.42669,1.41806,1.41806,661028.99423389
1972-07-24,1.44367,1.4523,1.44367,1.44367,1300740.7454854
1972-07-25,1.44367,1.44367,1.42669,1.42669,954643.10898364
1972-07-26,1.42669,1.44367,1.42669,1.42669,980881.34335069
1972-07-27,1.42669,1.43543,1.42669,1.42669,1148193.0352821
1972-07-28,1.43543,1.44367,1.43543,1.43543,2002783.0391284
1972-07-31,1.43543,1.44367,1.42669,1.42669,478964.40388837
1972-08-01,1.46877,1.47771,1.46877,1.46877,1049778.2454583
1972-08-02,1.56177,1.57001,1.56177,1.56177,1113750.1258853
1972-08-03,1.58688,1.59552,1.58688,1.58688,916914.5007937
1972-08-04,1.58688,1.60395,1.58688,1.58688,601982.13548761
1972-08-07,1.58688,1.59552,1.58688,1.58688,610185.80294341
1972-08-08,1.57874,1.57874,1.56177,1.56177,664311.67030501
1972-08-09,1.56177,1.57874,1.56177,1.56177,393669.23503509
1972-08-10,1.60395,1.62092,1.60395,1.60395,2060188.5598391
1972-08-11,1.62092,1.6378,1.62092,1.62092,613466.46386654
1972-08-14,1.62092,1.62092,1.61229,1.61229,1031737.6331031
1972-08-15,1.60395,1.60395,1.59552,1.59552,866064.25648526
1972-08-16,1.59552,1.59552,1.58688,1.58688,497001.99352159
1972-08-17,1.56177,1.56177,1.55353,1.55353,641346.03626914
1972-08-18,1.56177,1.57001,1.56177,1.56177,500285.67716671
1972-08-21,1.56177,1.56177,1.55353,1.55353,285411.45486793
1972-08-22,1.5447,1.5447,1.52813,1.52813,675790.96081397
1972-08-23,1.51135,1.51135,1.50281,1.50281,782413.44838953
1972-08-24,1.50281,1.50281,1.48585,1.48585,1166241.7082293
1972-08-25,1.48585,1.50281,1.48585,1.48585,718440.56038859
1972-08-28,1.48585,1.50281,1.48585,1.48585,539648.57037423
1972-08-29,1.51135,1.52813,1.51135,1.51135,291967.73884422
1972-08-30,1.55353,1.56177,1.55353,1.55353,1141635.7437318
1972-08-31,1.55353,1.56177,1.5447,1.5447,1079300.1634705
1972-09-01,1.60395,1.61229,1.60395,1.60395,782413.44838953
1972-09-05,1.58688,1.58688,1.57001,1.57001,911995.52455701
1972-09-06,1.53646,1.53646,1.51959,1.51959,570814.84914392
1972-09-07,1.52813,1.53646,1.52813,1.52813,1308940.3826453
1972-09-08,1.50281,1.50281,1.49399,1.49399,598701.47456448
1972-09-11,1.46877,1.46877,1.4523,1.4523,598701.47456448
1972-09-12,1.42669,1.42669,1.41806,1.41806,693835.60346515
1972-09-13,1.4523,1.46024,1.4523,1.4523,1285976.7637574
1972-09-14,1.46024,1.47771,1.46024,1.46024,1117027.7640864
