Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.7231,0.7711,0.7231,0.7711,790279.0
1970-01-05,0.7874,0.8033,0.7874,0.7952,922623.0
1970-01-06,0.8033,0.8194,0.8033,0.8033,1686430.0
1970-01-07,0.8033,0.8194,0.8033,0.8111,805405.0
1970-01-08,0.8111,0.8111,0.7874,0.8033,1005809.0
1970-01-09,0.8033,0.8111,0.7792,0.7792,790279.0
1970-01-12,0.7792,0.7874,0.7711,0.7711,707094.0
1970-01-13,0.7711,0.7711,0.7311,0.7392,1100340.0
1970-01-14,0.7311,0.7311,0.715,0.7311,1376367.0
1970-01-15,0.7231,0.7231,0.7069,0.715,1788525.0
1970-01-16,0.715,0.715,0.6829,0.6906,1451995.0
1970-01-19,0.6906,0.6906,0.6588,0.6668,1830120.0
1970-01-20,0.6668,0.7069,0.6504,0.7069,1349904.0
1970-01-21,0.715,0.7392,0.715,0.7231,729778.0
1970-01-22,0.7231,0.7231,0.6991,0.6991,442403.0
1970-01-23,0.6991,0.715,0.6829,0.6829,544498.0
1970-01-26,0.6829,0.6906,0.6748,0.6748,491559.0
1970-01-27,0.6588,0.6588,0.6187,0.6267,5047954.0
1970-01-28,0.6267,0.6345,0.6104,0.6104,1512498.0
1970-01-29,0.6026,0.6026,0.5463,0.5783,2151524.0
1970-01-30,0.5864,0.6104,0.5864,0.5942,2193120.0
1970-02-02,0.5942,0.6187,0.5707,0.5707,1864154.0
1970-02-03,0.5707,0.6026,0.5541,0.5864,3089274.0
1970-02-04,0.5864,0.6026,0.5541,0.5621,1622152.0
1970-02-05,0.5541,0.5541,0.5381,0.5463,1656184.0
1970-02-06,0.5463,0.5541,0.5381,0.5541,1467122.0
1970-02-09,0.5541,0.5541,0.5381,0.5541,5305073.0
1970-02-10,0.5541,0.5621,0.5381,0.5463,1671308.0
1970-02-11,0.5463,0.5463,0.5381,0.5463,1289402.0
1970-02-12,0.5463,0.5541,0.5381,0.5463,1141933.0
1970-02-13,0.5463,0.5541,0.49013,0.5141,19541440.0
1970-02-16,0.5141,0.5221,0.5059,0.5141,3335048.0
1970-02-17,0.5141,0.5221,0.5059,0.5221,1289402.0
1970-02-18,0.5221,0.5864,0.5221,0.5707,3720742.0
1970-02-19,0.5864,0.6104,0.5864,0.5942,3890896.0
