Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.575374,0.580028,0.575374,0.575374,101477.94728516
1984-09-10,0.575374,0.575374,0.57072,0.575374,48062.601100277
1984-09-11,0.575374,0.580028,0.575374,0.575374,71212.71861526
1984-09-12,0.575374,0.580028,0.57072,0.575374,74765.729409157
1984-09-13,0.575374,0.577651,0.57072,0.577651,32041.734066851
1984-09-14,0.580028,0.588543,0.580028,0.584187,137087.84142445
1984-09-17,0.588543,0.606662,0.588543,0.59983,158448.32416775
1984-09-18,0.604385,0.61795,0.604385,0.604385,172683.5962371
1984-09-19,0.59983,0.59983,0.588543,0.588543,115712.20940261
1984-09-20,0.584187,0.584187,0.57072,0.580028,121062.93458341
1984-09-21,0.584187,0.615672,0.584187,0.60884,268823.9477162
1984-09-24,0.606662,0.606662,0.59983,0.604385,69431.163458797
1984-09-25,0.604385,0.60884,0.604385,0.604385,119279.35952314
1984-09-26,0.604385,0.60884,0.604385,0.60884,99690.332417284
1984-09-27,0.60884,0.60884,0.604385,0.604385,181586.32225991
1984-09-28,0.604385,0.60884,0.59983,0.59983,92576.231214267
1984-10-01,0.59983,0.59983,0.593097,0.593097,60527.427484096
1984-10-02,0.593097,0.593097,0.588543,0.588543,72987.204108403
1984-10-03,0.588543,0.593097,0.577651,0.577651,142422.40737482
1984-10-04,0.584187,0.604385,0.584187,0.59983,644464.44847552
1984-10-05,0.59983,0.604385,0.59983,0.604385,67650.618254238
1984-10-08,0.604385,0.606662,0.59983,0.606662,37388.419440044
1984-10-09,0.606662,0.606662,0.604385,0.604385,51628.741268909
1984-10-10,0.604385,0.606662,0.604385,0.606662,338251.07136739
1984-10-11,0.606662,0.615672,0.604385,0.615672,347153.79739018
1984-10-12,0.613197,0.613197,0.60884,0.613197,71212.71861526
1984-10-15,0.613197,0.615672,0.611118,0.611118,76550.314421327
1984-10-16,0.611118,0.615672,0.611118,0.615672,236774.13403413
1984-10-17,0.615672,0.615672,0.611118,0.613197,138861.31696569
1984-10-18,0.613197,0.622505,0.613197,0.622505,334688.97100637
1984-10-19,0.626862,0.635773,0.626862,0.626862,275952.18824585
1984-10-22,0.626862,0.626862,0.622505,0.622505,382766.72138518
1984-10-23,0.622505,0.631416,0.622505,0.629238,30262.198814194
1984-10-24,0.631416,0.656071,0.631416,0.651616,598180.37267601
1984-10-25,0.647258,0.647258,0.640328,0.642703,106818.57294694
1984-10-26,0.642703,0.642703,0.640328,0.640328,147762.02308469
1984-10-29,0.640328,0.644882,0.640328,0.640328,170908.10079206
1984-10-30,0.640328,0.656071,0.640328,0.656071,226095.91256628
1984-10-31,0.662903,0.67825,0.662903,0.667359,279505.19903975
1984-11-01,0.669339,0.682904,0.669339,0.682904,181586.32225991
1984-11-02,0.67825,0.67825,0.664981,0.664981,74765.729409157
1984-11-05,0.664981,0.674091,0.660526,0.674091,281282.7143886
1984-11-06,0.674091,0.687557,0.674091,0.687557,62312.012496268
1984-11-07,0.687557,0.692013,0.67825,0.687557,195832.70380018
1984-11-08,0.687557,0.692013,0.682904,0.692013,142422.40737482
1984-11-09,0.692013,0.692013,0.682904,0.685379,190493.08809031
1984-11-12,0.685379,0.692013,0.682904,0.682904,81892.959986909
1984-11-13,0.682904,0.687557,0.682904,0.687557,40946.479993455
1984-11-14,0.687557,0.692013,0.687557,0.692013,249238.96041794
1984-11-15,0.696568,0.707559,0.696568,0.70538,279505.19903975
1984-11-16,0.707559,0.716668,0.707559,0.712312,824271.23548277
1984-11-19,0.712312,0.71439,0.692013,0.696568,300863.66187924
1984-11-20,0.696568,0.7034,0.692013,0.696568,420150.09106571
1984-11-21,0.696568,0.696568,0.682904,0.692013,275952.18824585
1984-11-23,0.692013,0.696568,0.692013,0.696568,145990.56744725
1984-11-26,0.692013,0.692013,0.680726,0.685379,106818.57294694
1984-11-27,0.685379,0.685379,0.674091,0.674091,231438.55813187
1984-11-28,0.674091,0.680726,0.667359,0.674091,774423.03941842
1984-11-29,0.674091,0.67825,0.669339,0.67825,97914.836972237
1984-11-30,0.682904,0.698844,0.682904,0.698844,204739.46963059
1984-12-03,0.698844,0.701222,0.692013,0.692013,122844.48973988
1984-12-04,0.692013,0.707559,0.692013,0.707559,162004.36481736
1984-12-05,0.707559,0.718945,0.7034,0.7034,466436.18676904
1984-12-06,0.7034,0.718945,0.687557,0.707559,863440.20012737
1984-12-07,0.707559,0.712312,0.7034,0.7034,105031.96803097
1984-12-10,0.7034,0.7034,0.696568,0.696568,165564.44527457
1984-12-11,0.701222,0.707559,0.701222,0.707559,39166.944740798
1984-12-12,0.707559,0.707559,0.698844,0.698844,101477.94728516
1984-12-13,0.698844,0.707559,0.696568,0.701222,99690.332417284
1984-12-14,0.701222,0.712312,0.698844,0.70538,199391.7743055
1984-12-17,0.70538,0.716668,0.7034,0.716668,105031.96803097
1984-12-18,0.716668,0.718945,0.712312,0.712312,505603.13150983
1984-12-19,0.712312,0.716668,0.698844,0.698844,112162.22846443
1984-12-20,0.698844,0.7034,0.696568,0.696568,274160.53357036
1984-12-21,0.696568,0.698844,0.680726,0.680726,94351.726659312
1984-12-24,0.680726,0.685379,0.680726,0.685379,42727.025198014
1984-12-26,0.687557,0.696568,0.687557,0.696568,67650.618254238
1984-12-27,0.692013,0.692013,0.687557,0.687557,28481.653609634
1984-12-28,0.687557,0.707559,0.687557,0.707559,379205.63097606
1984-12-31,0.71439,0.725579,0.71439,0.718945,350706.80818408
1985-01-02,0.718945,0.721322,0.701222,0.701222,194048.11878802
1985-01-03,0.701222,0.70538,0.696568,0.696568,39166.944740798
1985-01-04,0.696568,0.707559,0.696568,0.7034,288403.88525494
1985-01-07,0.7034,0.707559,0.696568,0.707559,324015.79929803
1985-01-08,0.707559,0.707559,0.70538,0.70538,65869.063097775
1985-01-09,0.707559,0.712312,0.707559,0.707559,30262.198814194
1985-01-10,0.712312,0.71439,0.712312,0.712312,234999.64854098
1985-01-11,0.712312,0.718945,0.712312,0.712312,99690.332417284
1985-01-14,0.712312,0.730232,0.712312,0.730232,192270.60343916
1985-01-15,0.734788,0.770731,0.734788,0.759442,827838.3856033
1985-01-16,0.759442,0.777363,0.759442,0.763799,350706.80818408
1985-01-17,0.763799,0.772909,0.759442,0.770731,234999.64854098
1985-01-18,0.775284,0.788354,0.775284,0.788354,1016543.8588257
1985-01-21,0.788354,0.788354,0.782116,0.786176,327574.86980335
1985-01-22,0.786176,0.79984,0.786176,0.786176,356063.5930763
1985-01-23,0.786176,0.786176,0.777363,0.786176,494921.88018628
1985-01-24,0.786176,0.788354,0.782116,0.782116,185148.42262093
1985-01-25,0.782116,0.786176,0.777363,0.782116,133521.70125582
1985-01-28,0.782116,0.782116,0.775284,0.782116,186933.0076331
1985-01-29,0.782116,0.782116,0.775284,0.782116,165564.44527457
1985-01-30,0.782116,0.795285,0.777363,0.777363,240334.21449134
1985-01-31,0.777363,0.790829,0.775284,0.786176,113932.67414995
1985-02-01,0.782116,0.782116,0.777363,0.782116,140638.83231454
1985-02-04,0.782116,0.793008,0.782116,0.790829,364966.31909909
1985-02-05,0.790829,0.795285,0.786176,0.786176,309770.42770965
1985-02-06,0.786176,0.788354,0.782116,0.788354,183370.90727207
1985-02-07,0.788354,0.790829,0.777363,0.777363,274160.53357036
1985-02-08,0.777363,0.782116,0.768453,0.768453,126400.53038948
1985-02-11,0.763799,0.763799,0.750531,0.759442,430828.31253355
1985-02-12,0.759442,0.768453,0.759442,0.768453,286620.31019467
1985-02-13,0.768453,0.768453,0.759442,0.768453,306206.30744482
1985-02-14,0.768453,0.768453,0.759442,0.763799,208293.4903764
1985-02-15,0.763799,0.763799,0.750531,0.750531,195832.70380018
1985-02-19,0.754986,0.763799,0.754986,0.763799,108594.06839199
1985-02-20,0.759442,0.759442,0.757263,0.759442,129960.6108467
1985-02-21,0.759442,0.777363,0.757263,0.777363,735258.11458143
1985-02-22,0.777363,0.786176,0.777363,0.777363,389882.842492
1985-02-25,0.777363,0.777363,0.768453,0.768453,423713.20137863
1985-02-26,0.763799,0.763799,0.759442,0.759442,277725.66378709
1985-02-27,0.759442,0.763799,0.759442,0.759442,256362.15118809
1985-02-28,0.759442,0.763799,0.759442,0.759442,56969.366930686
1985-03-01,0.759442,0.763799,0.759442,0.759442,126400.53038948
1985-03-04,0.759442,0.763799,0.757263,0.759442,129960.6108467
1985-03-05,0.759442,0.759442,0.757263,0.759442,831395.43620481
1985-03-06,0.759442,0.763799,0.759442,0.759442,48062.601100277
1985-03-07,0.759442,0.763799,0.759442,0.763799,179812.84671866
1985-03-08,0.763799,0.768453,0.759442,0.759442,135299.21660467
1985-03-11,0.759442,0.763799,0.759442,0.763799,76550.314421327
1985-03-12,0.768453,0.770731,0.768453,0.768453,197610.21914904
1985-03-13,0.768453,0.772909,0.759442,0.768453,197610.21914904
1985-03-14,0.763799,0.763799,0.757263,0.757263,65869.063097775
1985-03-15,0.757263,0.763799,0.752808,0.763799,115712.20940261
1985-03-18,0.763799,0.768453,0.759442,0.763799,452193.84503636
1985-03-19,0.763799,0.763799,0.759442,0.759442,329349.35529649
1985-03-20,0.759442,0.759442,0.754986,0.754986,64089.527845119
1985-03-21,0.754986,0.759442,0.750531,0.759442,281282.7143886
1985-03-22,0.759442,0.759442,0.750531,0.754986,163784.91002191
1985-03-25,0.754986,0.759442,0.750531,0.750531,101477.94728516
1985-03-26,0.750531,0.750531,0.739343,0.748154,165564.44527457
1985-03-27,0.748154,0.750531,0.7436,0.7436,78337.929289206
1985-03-28,0.7436,0.748154,0.7436,0.7436,23136.988140248
1985-03-29,0.748154,0.754986,0.748154,0.752808,516285.39278529
1985-04-01,0.752808,0.757263,0.750531,0.750531,194048.11878802
1985-04-02,0.750531,0.754986,0.750531,0.750531,831395.43620481
1985-04-03,0.752808,0.759442,0.752808,0.759442,78337.929289206
1985-04-04,0.759442,0.763799,0.750531,0.754986,284848.85455723
1985-04-08,0.754986,0.759442,0.750531,0.754986,185148.42262093
1985-04-09,0.754986,0.754986,0.748154,0.748154,288403.88525494
1985-04-10,0.748154,0.754986,0.748154,0.750531,279505.19903975
1985-04-11,0.750531,0.752808,0.748154,0.748154,446853.21937459
1985-04-12,0.748154,0.748154,0.7436,0.748154,67650.618254238
1985-04-15,0.748154,0.748154,0.734788,0.739343,81892.959986909
1985-04-16,0.739343,0.754986,0.739343,0.752808,475336.89288802
1985-04-17,0.752808,0.759442,0.750531,0.759442,106818.57294694
1985-04-18,0.759442,0.768453,0.757263,0.768453,87232.575696783
1985-04-19,0.768453,0.777363,0.768453,0.777363,179812.84671866
1985-04-22,0.782116,0.793008,0.782116,0.788354,147762.02308469
1985-04-23,0.788354,0.804494,0.788354,0.79984,158448.32416775
1985-04-24,0.79984,0.813307,0.79984,0.813307,105031.96803097
1985-04-25,0.813307,0.833604,0.813307,0.833604,142422.40737482
1985-04-26,0.833604,0.833604,0.826772,0.829347,85452.030492223
1985-04-29,0.829347,0.838158,0.824395,0.826772,167349.03028674
1985-04-30,0.826772,0.829347,0.813307,0.815682,138861.31696569
1985-05-01,0.815682,0.822317,0.813307,0.813307,117504.87403001
1985-05-02,0.811029,0.811029,0.806672,0.811029,331132.93035675
1985-05-03,0.811029,0.813307,0.804494,0.813307,138861.31696569
1985-05-06,0.813307,0.813307,0.806672,0.813307,64089.527845119
1985-05-07,0.813307,0.813307,0.806672,0.806672,119279.35952314
1985-05-08,0.806672,0.806672,0.79984,0.79984,145990.56744725
1985-05-09,0.79984,0.79984,0.79984,0.79984,138861.31696569
1985-05-10,0.79984,0.79984,0.786176,0.788354,251018.4956706
1985-05-13,0.788354,0.790829,0.777363,0.777363,227877.46772274
1985-05-14,0.777363,0.777363,0.775284,0.777363,211850.5409779
1985-05-15,0.777363,0.782116,0.770731,0.772909,336473.55601854
1985-05-16,0.772909,0.777363,0.770731,0.772909,176241.65679051
1985-05-17,0.782116,0.79984,0.782116,0.79984,439722.95894113
1985-05-20,0.79984,0.811029,0.79984,0.811029,110376.63350035
1985-05-21,0.811029,0.813307,0.804494,0.813307,224310.31760221
1985-05-22,0.813307,0.820039,0.809049,0.813307,101477.94728516
1985-05-23,0.813307,0.820039,0.813307,0.815682,160226.8494685
1985-05-24,0.813307,0.813307,0.806672,0.813307,89011.100997537
1985-05-28,0.813307,0.815682,0.804494,0.804494,188712.54288575
1985-05-29,0.804494,0.804494,0.79984,0.79984,35605.854331678
1985-05-30,0.804494,0.809049,0.804494,0.809049,26700.098453172
1985-05-31,0.811029,0.824395,0.811029,0.824395,145990.56744725
1985-06-03,0.824395,0.829347,0.820039,0.829347,128180.06564214
1985-06-04,0.829347,0.838158,0.824395,0.838158,121062.93458341
1985-06-05,0.842515,0.858357,0.842515,0.856278,94351.726659312
1985-06-06,0.856278,0.858357,0.851525,0.858357,108594.06839199
1985-06-07,0.858357,0.867368,0.846971,0.846971,233215.06352881
1985-06-10,0.851525,0.856278,0.851525,0.856278,37388.419440044
1985-06-11,0.871626,0.885191,0.871626,0.878556,421925.58651076
1985-06-12,0.878556,0.883112,0.871626,0.883112,322226.16452635
1985-06-13,0.883112,0.883112,0.871626,0.871626,329349.35529649
1985-06-14,0.871626,0.880934,0.871626,0.880934,42727.025198014
1985-06-17,0.880934,0.883112,0.876181,0.878556,39166.944740798
1985-06-18,0.878556,0.885191,0.876181,0.885191,85452.030492223
1985-06-19,0.885191,0.885191,0.878556,0.880934,131740.14609935
1985-06-20,0.885191,0.889547,0.885191,0.885191,35605.854331678
1985-06-21,0.885191,0.885191,0.878556,0.885191,267041.38260783
1985-06-24,0.883112,0.883112,0.878556,0.878556,39166.944740798
1985-06-25,0.878556,0.880934,0.876181,0.878556,49852.235871961
1985-06-26,0.878556,0.889547,0.878556,0.889547,115712.20940261
1985-06-27,0.885191,0.885191,0.885191,0.885191,46290.135510939
1985-06-28,0.885191,0.885191,0.876181,0.885191,106818.57294694
1985-07-01,0.878556,0.885191,0.878556,0.883112,199391.7743055
1985-07-02,0.883112,0.889547,0.883112,0.889547,58743.852423829
1985-07-03,0.889547,0.894102,0.885191,0.894102,35605.854331678
1985-07-05,0.894102,0.896479,0.885191,0.896479,124622.00508873
1985-07-08,0.896479,0.901132,0.889547,0.901132,85452.030492223
