Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,3.47049,3.49239,3.45294,3.49239,219270.04643761
1982-01-04,3.55776,3.5971,3.50541,3.57088,1020198.6707249
1982-01-05,3.49239,3.54455,3.43983,3.43983,1123871.6914923
1982-01-06,3.37446,3.41371,3.32231,3.36145,986259.32394723
1982-01-07,3.41371,3.47908,3.34844,3.47908,844966.40747023
1982-01-08,3.51852,3.57088,3.45294,3.46637,1649576.5948941
1982-01-11,3.40069,3.49239,3.3093,3.32231,597260.08907014
1982-01-12,3.37446,3.41371,3.32231,3.41371,638539.23541243
1982-01-13,3.41371,3.46637,3.34844,3.34844,918362.37470689
1982-01-14,3.40069,3.47908,3.32231,3.42693,1366994.8187591
1982-01-15,3.47908,3.51852,3.42693,3.47908,769734.72968889
1982-01-18,3.49239,3.55776,3.42693,3.55776,450475.25402989
1982-01-19,3.53124,3.5837,3.46637,3.46637,883508.21527102
1982-01-20,3.45294,3.49239,3.40069,3.47908,1555076.0416218
1982-01-21,3.49239,3.53124,3.45294,3.47908,570654.45662874
1982-01-22,3.49239,3.51852,3.46637,3.50541,715604.59532903
1982-01-25,3.46637,3.50541,3.42693,3.50541,1302776.3900411
1982-01-26,3.51852,3.55776,3.47908,3.49239,2179858.604201
1982-01-27,3.54455,3.5837,3.50541,3.51852,1445898.9318345
1982-01-28,3.61002,3.70172,3.51852,3.64926,3995485.8670122
1982-01-29,3.71464,3.76699,3.66239,3.75377,3687227.46996
1982-02-01,3.67559,3.71464,3.63635,3.64926,1017461.3321834
1982-02-02,3.61002,3.63635,3.5837,3.61002,1588103.6183555
1982-02-03,3.54455,3.61002,3.46637,3.46637,1505532.1410095
1982-02-04,3.51852,3.54455,3.49239,3.54455,1376170.3288683
1982-02-05,3.63635,3.72755,3.54455,3.6884,1978020.7085049
1982-02-08,3.62264,3.67559,3.57088,3.5971,1523886.2038423
1982-02-09,3.53124,3.57088,3.47908,3.49239,1991776.3671335
1982-02-10,3.53124,3.5837,3.47908,3.5837,1345900.3747706
1982-02-11,3.57088,3.61002,3.53124,3.57088,1266997.2758999
1982-02-12,3.62264,3.63635,3.5971,3.63635,3403732.9095761
1982-02-16,3.63635,3.6884,3.57088,3.67559,2644088.5026547
1982-02-17,3.74125,3.80643,3.67559,3.75377,2617477.7991897
1982-02-18,3.79332,3.83266,3.75377,3.77991,1539480.6156297
1982-02-19,3.71464,3.76699,3.66239,3.70172,2803721.2830984
1982-02-22,3.6884,3.76699,3.61002,3.62264,1641316.9116477
1982-02-23,3.5971,3.62264,3.57088,3.5971,3269790.9489157
1982-02-24,3.5837,3.62264,3.53124,3.62264,998182.31464524
1982-02-25,3.66239,3.70172,3.62264,3.64926,3507404.9161389
1982-02-26,3.66239,3.6884,3.63635,3.64926,393592.5680577
1982-03-01,3.63635,3.66239,3.5971,3.62264,422022.75479186
1982-03-02,3.63635,3.66239,3.61002,3.61002,930290.43642851
1982-03-03,3.63635,3.67559,3.5837,3.62264,1153232.9181603
1982-03-04,3.57088,3.62264,3.51852,3.5837,3349602.7752162
1982-03-05,3.51852,3.54455,3.47908,3.49239,2133065.2267916
1982-03-08,3.55776,3.5837,3.51852,3.51852,947721.57296533
1982-03-09,3.43983,3.49239,3.37446,3.45294,3552356.4977752
1982-03-10,3.42693,3.47908,3.37446,3.38758,2737666.1296311
1982-03-11,3.36145,3.42693,3.29607,3.32231,1263326.8690152
1982-03-12,3.23101,3.29607,3.16534,3.25694,2332154.6276943
1982-03-15,3.34844,3.37446,3.3093,3.37446,1119283.4293354
1982-03-16,3.40069,3.43983,3.36145,3.37446,1432138.2021824
1982-03-17,3.37446,3.40069,3.34844,3.38758,855057.74444244
1982-03-18,3.42693,3.46637,3.37446,3.43983,1042219.0836234
1982-03-19,3.46637,3.50541,3.43983,3.47908,966074.62159337
1982-03-22,3.54455,3.5971,3.47908,3.57088,1814711.4359483
1982-03-23,3.61002,3.63635,3.57088,3.57088,1333051.4151624
1982-03-24,3.51852,3.54455,3.49239,3.50541,1280753.9487332
1982-03-25,3.53124,3.55776,3.49239,3.49239,1640405.1416037
1982-03-26,3.46637,3.49239,3.42693,3.45294,1455988.2403973
1982-03-29,3.42693,3.45294,3.40069,3.43983,1121121.1682895
1982-03-30,3.37446,3.43983,3.29607,3.38758,3454200.7506891
1982-03-31,3.37446,3.40069,3.33522,3.33522,764236.72589729
1982-04-01,3.41371,3.47908,3.33522,3.45294,1207361.0241107
1982-04-02,3.50541,3.53124,3.47908,3.51852,1302776.3900411
1982-04-05,3.5837,3.64926,3.51852,3.54455,1228462.5675321
1982-04-06,3.55776,3.5837,3.53124,3.57088,1240388.6008444
1982-04-07,3.5971,3.62264,3.55776,3.62264,980751.17810842
1982-04-08,3.63635,3.64926,3.61002,3.61002,1258737.5926534
1982-04-12,3.57088,3.5837,3.54455,3.54455,888095.46322331
1982-04-13,3.5837,3.62264,3.54455,3.61002,1958754.8756281
1982-04-14,3.57088,3.61002,3.53124,3.54455,244040.98253904
1982-04-15,3.55776,3.5837,3.51852,3.5837,317432.89295681
1982-04-16,3.57088,3.61002,3.53124,3.55776,992678.22562532
1982-04-19,3.5971,3.63635,3.55776,3.5837,1512870.9263694
1982-04-20,3.61002,3.63635,3.57088,3.5837,1129384.9083548
1982-04-21,3.51852,3.57088,3.45294,3.45294,2078017.2371594
1982-04-22,3.49239,3.51852,3.45294,3.47908,1726641.9548108
1982-04-23,3.51852,3.54455,3.47908,3.51852,1355068.7854469
1982-04-26,3.55776,3.61002,3.50541,3.5971,2610139.0138298
1982-04-27,3.62264,3.63635,3.5971,3.62264,893595.49542434
1982-04-28,3.64926,3.6884,3.61002,3.64926,1595442.4037154
1982-04-29,3.64926,3.67559,3.61002,3.66239,1647736.8275306
1982-04-30,3.70172,3.74125,3.66239,3.74125,931209.30590558
1982-05-03,3.76699,3.79332,3.72755,3.74125,1125715.5156748
1982-05-04,3.80643,3.83266,3.77991,3.77991,643132.56859305
1982-05-05,3.76699,3.80643,3.71464,3.72755,1244975.8487966
1982-05-06,3.76699,3.79332,3.74125,3.79332,810103.12019188
1982-05-07,3.77991,3.79332,3.75377,3.77991,580746.80780567
1982-05-10,3.74125,3.77991,3.70172,3.72755,876162.33047808
1982-05-11,3.76699,3.80643,3.72755,3.79332,793598.9667699
1982-05-12,3.79332,3.81926,3.75377,3.77991,1010108.3479574
1982-05-13,3.77991,3.79332,3.76699,3.77991,1052314.4774146
1982-05-14,3.77991,3.79332,3.75377,3.75377,1142226.7685299
1982-05-17,3.75377,3.75377,3.74125,3.75377,916526.6641622
1982-05-18,3.72755,3.75377,3.6884,3.71464,1158743.0924085
1982-05-19,3.70172,3.72755,3.66239,3.66239,1747746.5408463
1982-05-20,3.6884,3.71464,3.66239,3.71464,882584.27477035
1982-05-21,3.71464,3.72755,3.6884,3.70172,550470.76847961
1982-05-24,3.6884,3.70172,3.67559,3.6884,611940.70240408
1982-05-25,3.71464,3.71464,3.70172,3.70172,581663.64887329
1982-05-26,3.62264,3.64926,3.5837,3.5971,1059649.2059556
1982-05-27,3.62264,3.63635,3.5971,3.62264,421108.95633839
1982-05-28,3.57088,3.61002,3.51852,3.54455,1270665.6543751
1982-06-01,3.53124,3.54455,3.50541,3.53124,578915.15407986
1982-06-02,3.55776,3.5971,3.51852,3.5971,750479.03885931
1982-06-03,3.5837,3.62264,3.54455,3.57088,600928.46754536
1982-06-04,3.55776,3.57088,3.54455,3.54455,522952.35178947
1982-06-07,3.54455,3.57088,3.51852,3.53124,394503.323897
