Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.30449,1.33094,1.30449,1.31776,3068065.4413739
1985-07-02,1.31776,1.32662,1.29996,1.32662,7528359.5600395
1985-07-03,1.32662,1.36656,1.32662,1.34442,5174049.0155138
1985-07-05,1.35298,1.41928,1.35298,1.41928,3533501.5004052
1985-07-08,1.43699,1.47692,1.43699,1.46345,4030141.2091812
1985-07-09,1.46345,1.47259,1.35298,1.36656,7911023.350846
1985-07-10,1.36656,1.37088,1.32662,1.36656,4918946.5987836
1985-07-11,1.37088,1.41928,1.37088,1.41043,3030071.0967181
1985-07-12,1.41928,1.43699,1.41928,1.43699,3496863.2615895
1985-07-15,1.43699,1.44594,1.40611,1.40611,1891587.7137455
1985-07-16,1.41928,1.43266,1.41928,1.4238,1774894.5012404
1985-07-17,1.4238,1.43266,1.39734,1.43266,1221251.5849131
1985-07-18,1.41928,1.41928,1.39734,1.41043,1487213.0140746
1985-07-19,1.41043,1.41928,1.40611,1.41043,1393589.8659873
1985-07-22,1.41043,1.41043,1.38407,1.39734,1639195.475553
1985-07-23,1.39734,1.43266,1.35751,1.36656,2370598.0466012
1985-07-24,1.35751,1.35751,1.3399,1.35751,4771033.4713963
1985-07-25,1.35751,1.35751,1.32662,1.33094,3142700.0579875
1985-07-26,1.32662,1.32662,1.31323,1.32662,1598484.8529329
1985-07-29,1.32662,1.32662,1.28678,1.28678,1689399.8556245
1985-07-30,1.28678,1.29091,1.26474,1.29091,4338167.3336607
1985-07-31,1.29091,1.31776,1.29091,1.31323,2836026.9896349
1985-08-01,1.31776,1.33094,1.31776,1.32662,3519933.3260074
1985-08-02,1.32662,1.33094,1.30449,1.30449,2640623.7269983
1985-08-05,1.30449,1.31776,1.29091,1.29091,1260605.0851222
1985-08-06,1.29091,1.31323,1.28678,1.28678,1096413.6047991
1985-08-07,1.28678,1.29091,1.26474,1.26474,2717970.555292
1985-08-08,1.26474,1.28678,1.26474,1.27812,1118127.563377
1985-08-09,1.27812,1.29996,1.27812,1.29996,911867.32145151
1985-08-12,1.29996,1.31323,1.27812,1.28678,1332522.4072004
1985-08-13,1.28678,1.32662,1.28678,1.31323,4407372.4440588
1985-08-14,1.32662,1.35298,1.32662,1.34442,1229391.2696666
1985-08-15,1.34442,1.36656,1.33094,1.33094,1207684.4270864
1985-08-16,1.33094,1.33094,1.31323,1.32662,4235039.2458401
1985-08-19,1.32662,1.32662,1.31323,1.31776,839951.01594443
1985-08-20,1.31776,1.31776,1.28678,1.29996,1631057.8239418
1985-08-21,1.29996,1.33094,1.29091,1.33094,1276893.6037689
1985-08-22,1.33094,1.3399,1.31323,1.32662,477650.16073134
1985-08-23,1.32662,1.33094,1.31323,1.31776,1130337.5987926
1985-08-26,1.31776,1.33094,1.31323,1.31776,830450.14249553
1985-08-27,1.31776,1.31776,1.31323,1.31323,350093.86951072
1985-08-28,1.31323,1.32662,1.31323,1.31776,377232.25144865
1985-08-29,1.31776,1.32662,1.31323,1.31323,1821027.5140785
1985-08-30,1.31323,1.31323,1.28678,1.29996,1266033.5747666
1985-09-03,1.29996,1.30449,1.27812,1.28678,920015.13877368
1985-09-04,1.28678,1.30449,1.27812,1.29996,2537494.6226067
1985-09-05,1.29996,1.29996,1.29091,1.29996,2006929.9032661
1985-09-06,1.29996,1.3399,1.29543,1.3399,2498149.2549665
1985-09-09,1.3399,1.36656,1.33527,1.35298,2272890.3158564
1985-09-10,1.35298,1.35298,1.32229,1.32229,1081490.3411323
1985-09-11,1.30872,1.30872,1.26012,1.26907,1511639.1843325
1985-09-12,1.26907,1.28245,1.20719,1.22048,2932368.4488288
1985-09-13,1.22048,1.22912,1.17631,1.22048,3769609.2862353
1985-09-16,1.22048,1.24252,1.20719,1.21595,3012427.4888025
1985-09-17,1.21595,1.22048,1.19382,1.21595,1584923.7945327
1985-09-18,1.21595,1.26012,1.20257,1.24674,1304027.9194224
1985-09-19,1.25589,1.29996,1.25589,1.29996,2309531.6043855
1985-09-20,1.29996,1.32662,1.29543,1.30872,4129198.9463395
1985-09-23,1.31323,1.3399,1.31323,1.32662,3677333.0948483
1985-09-24,1.32662,1.32662,1.30872,1.30872,1190044.8854552
1985-09-25,1.30872,1.32229,1.23375,1.24252,2551062.7970046
1985-09-26,1.24252,1.24674,1.22912,1.24674,2886235.4359907
1985-09-30,1.24674,1.25589,1.23375,1.25589,1875307.3276676
1985-10-01,1.25589,1.29996,1.24674,1.29543,3580995.7019387
1985-10-02,1.29543,1.30872,1.2734,1.28245,2563276.8987045
1985-10-03,1.28245,1.29543,1.2734,1.2734,4841598.7539187
1985-10-04,1.26012,1.26012,1.22048,1.22912,2320377.4013923
1985-10-07,1.22912,1.22912,1.20719,1.21595,2490005.5039286
1985-10-08,1.21595,1.23375,1.20719,1.20719,4009786.4061567
1985-10-09,1.20719,1.23375,1.20719,1.22912,2099203.0449398
1985-10-10,1.22912,1.26012,1.22048,1.26012,2395017.1008615
1985-10-11,1.26012,1.29543,1.26012,1.29543,1128984.5426658
1985-10-14,1.29543,1.30872,1.28245,1.30872,759892.99254176
1985-10-15,1.30872,1.3399,1.30872,1.31323,2473716.9852819
1985-10-16,1.31323,1.32662,1.30872,1.32229,431504.94904013
1985-10-17,1.32229,1.33527,1.32229,1.32662,1233472.8026108
1985-10-18,1.32662,1.3399,1.32662,1.33527,1206328.3212464
1985-10-21,1.3399,1.3884,1.3399,1.36656,1952650.0896769
1985-10-22,1.36656,1.37511,1.36203,1.37511,2441154.1799839
1985-10-23,1.37511,1.37964,1.32662,1.34846,4017932.1903366
1985-10-24,1.34846,1.35298,1.33527,1.3399,2924225.7143621
1985-10-25,1.3399,1.35298,1.33527,1.34846,1089630.0258858
1985-10-28,1.34846,1.37511,1.3399,1.35298,1631057.8239418
1985-10-29,1.35298,1.42833,1.35298,1.40611,7090063.9160884
1985-10-30,1.40611,1.41928,1.40167,1.41495,1814242.918594
1985-10-31,1.41928,1.44594,1.41928,1.44131,2990717.5965092
1985-11-01,1.44131,1.45912,1.43266,1.45459,2662331.5861497
1985-11-04,1.45459,1.46818,1.44131,1.45459,3829314.5397556
1985-11-05,1.45459,1.48559,1.44594,1.48125,3486006.2823004
1985-11-06,1.48125,1.49886,1.47259,1.48559,4030141.2091812
1985-11-07,1.48559,1.55199,1.48125,1.53428,12829964.866773
1985-11-08,1.53428,1.60058,1.53428,1.60058,10413241.939904
1985-11-11,1.59172,1.69354,1.59172,1.68448,4807673.7433542
1985-11-12,1.68448,1.69354,1.64061,1.64464,4904017.2356902
1985-11-13,1.64464,1.6537,1.63137,1.64061,2825175.0932014
1985-11-14,1.64061,1.64061,1.61406,1.62724,3309602.7334196
1985-11-15,1.62724,1.62724,1.57835,1.57835,2069349.4016087
1985-11-18,1.57835,1.59172,1.56516,1.57835,1769466.0115959
1985-11-19,1.58719,1.61406,1.58719,1.60058,2986649.278989
1985-11-20,1.60058,1.6049,1.58719,1.60058,864378.20277342
1985-11-21,1.60058,1.63137,1.59172,1.6049,1925513.7408813
1985-11-22,1.6049,1.61837,1.59172,1.6049,3106056.7363163
1985-11-25,1.6049,1.61406,1.56516,1.57835,1707039.3972557
1985-11-26,1.57412,1.57412,1.53869,1.55199,4301530.111416
1985-11-27,1.55199,1.55199,1.52109,1.53869,5224257.4618697
1985-11-29,1.53869,1.54776,1.50791,1.52542,2689469.9680875
1985-12-02,1.52985,1.53428,1.46345,1.47692,4054569.4125813
1985-12-03,1.47692,1.51648,1.46818,1.50339,3863236.500607
1985-12-04,1.50791,1.58719,1.50791,1.58287,5369455.3278638
1985-12-05,1.58287,1.58287,1.54303,1.56103,2712541.0490765
1985-12-06,1.56103,1.57412,1.54303,1.55641,1636474.1147332
1985-12-09,1.55641,1.60058,1.48125,1.55641,3644768.256408
1985-12-10,1.56103,1.58287,1.56103,1.57412,1475002.9786589
1985-12-11,1.57412,1.60953,1.57412,1.60058,2849593.1308905
1985-12-12,1.60058,1.63609,1.58719,1.60058,3145408.2033832
1985-12-13,1.60058,1.62724,1.57412,1.58719,2950007.99046
1985-12-16,1.58719,1.64061,1.56969,1.62724,5406089.5003951
1985-12-17,1.62724,1.68891,1.58719,1.64917,4240468.7520556
1985-12-18,1.64917,1.68891,1.64917,1.64917,2323098.7622122
1985-12-19,1.64917,1.66688,1.64061,1.64917,1720607.5716535
1985-12-20,1.64917,1.64917,1.63609,1.64917,1981142.5443126
1985-12-23,1.64917,1.66235,1.60953,1.63609,1525216.5078701
1985-12-24,1.63609,1.63609,1.60058,1.61406,1390875.621165
1985-12-26,1.61406,1.63609,1.61406,1.61406,1316243.0376936
1985-12-27,1.61406,1.62724,1.59634,1.61406,2955434.4469622
1985-12-30,1.61406,1.64061,1.59634,1.62724,3418159.3108846
1985-12-31,1.63609,1.67573,1.63609,1.66235,1194115.2361174
1986-01-02,1.66235,1.66688,1.64917,1.66235,1607982.6766685
1986-01-03,1.66235,1.67573,1.64061,1.6537,1536070.4374458
1986-01-06,1.6537,1.6537,1.63609,1.64917,2028636.7458462
1986-01-07,1.6537,1.75531,1.6537,1.75531,3334025.8539642
1986-01-08,1.75531,1.82191,1.68035,1.70248,4735755.4047049
1986-01-09,1.69354,1.69354,1.64917,1.66235,6735897.6627732
1986-01-10,1.66235,1.70652,1.63609,1.63609,3723472.2071129
1986-01-13,1.63609,1.6537,1.63609,1.64061,2065286.166944
1986-01-14,1.64061,1.66235,1.63609,1.64917,2293255.2845919
1986-01-15,1.64917,1.68891,1.63609,1.68035,1647343.2928752
1986-01-16,1.68035,1.71558,1.66688,1.68035,1304027.9194224
1986-01-17,1.68891,1.74233,1.68891,1.73317,1955366.3676414
