Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-04-19,0.117385,0.117385,0.117385,0.117385,19005314.828509
1985-04-22,0.117385,0.117385,0.117385,0.117385,4566442.3480178
1985-04-23,0.117385,0.117385,0.117385,0.117385,8322893.684337
1985-04-24,0.117385,0.117385,0.117385,0.117385,3486461.9284861
1985-04-25,0.110414,0.110414,0.103473,0.103473,9355922.1264035
1985-04-26,0.103473,0.103473,0.103473,0.103473,4073404.1157171
1985-04-29,0.103473,0.103473,0.103473,0.103473,3686018.1909854
1985-04-30,0.103473,0.103473,0.103473,0.103473,4237748.4667719
1985-05-01,0.103473,0.103473,0.0965604,0.0965604,7430739.8195562
1985-05-02,0.0965604,0.0965604,0.0965604,0.0965604,2770385.2299902
1985-05-03,0.103473,0.103473,0.103473,0.103473,2617776.8016471
1985-05-06,0.103473,0.103473,0.103473,0.103473,493030.98150999
1985-05-07,0.103473,0.103473,0.103473,0.103473,3169508.113261
1985-05-08,0.103473,0.103473,0.103473,0.103473,692600.70976336
1985-05-09,0.103473,0.117385,0.103473,0.103473,2535604.6261197
1985-05-10,0.110414,0.117385,0.110414,0.110414,4014707.9289223
1985-05-13,0.110414,0.117385,0.110414,0.110414,2159960.8390633
1985-05-14,0.110414,0.117385,0.110414,0.110414,986074.39294694
1985-05-15,0.110414,0.117385,0.110414,0.110414,2535604.6261197
1985-05-16,0.117385,0.117385,0.117385,0.117385,5047735.3351615
1985-05-17,0.124239,0.124239,0.124239,0.124239,5047735.3351615
1985-05-20,0.124239,0.124239,0.117385,0.117385,2969950.8149346
1985-05-21,0.117385,0.117385,0.117385,0.117385,2934734.7601813
1985-05-22,0.117385,0.124239,0.117385,0.117385,4695569.6084921
1985-05-23,0.117385,0.117385,0.117385,0.117385,4601660.4744256
1985-05-24,0.117385,0.117385,0.117385,0.117385,1784318.087834
1985-05-28,0.117385,0.117385,0.117385,0.117385,1303019.9215541
1985-05-29,0.117385,0.117385,0.117385,0.117385,1197372.7931214
1985-05-30,0.117385,0.124239,0.117385,0.117385,2418217.4316663
1985-05-31,0.124239,0.124239,0.124239,0.124239,2289091.2070193
1985-06-03,0.124239,0.131103,0.124239,0.124239,2418217.4316663
1985-06-04,0.124239,0.131103,0.124239,0.124239,2934734.7601813
1985-06-05,0.124239,0.131103,0.124239,0.124239,1608233.6707584
1985-06-06,0.131103,0.131103,0.131103,0.131103,2840820.4469785
1985-06-07,0.131103,0.131103,0.131103,0.131103,1209111.8233149
1985-06-10,0.131103,0.131103,0.131103,0.131103,1103461.5874004
1985-06-11,0.131103,0.131103,0.131103,0.131103,3920803.973992
1985-06-12,0.131103,0.131103,0.131103,0.131103,2664736.0299031
1985-06-13,0.124239,0.124239,0.117385,0.117385,2570823.7883548
1985-06-14,0.117385,0.124239,0.117385,0.117385,258259.70008475
1985-06-17,0.117385,0.124239,0.117385,0.117385,1725620.8652119
1985-06-18,0.117385,0.124239,0.117385,0.117385,1267806.9742826
1985-06-19,0.117385,0.124239,0.117385,0.117385,692600.70976336
1985-06-20,0.117385,0.124239,0.117385,0.117385,2218657.0258581
1985-06-21,0.117385,0.117385,0.110414,0.110414,2958211.7847411
1985-06-24,0.110414,0.117385,0.103473,0.103473,809982.72508061
1985-06-25,0.117385,0.117385,0.117385,0.117385,2617776.8016471
1985-06-26,0.117385,0.117385,0.117385,0.117385,1631710.6953182
1985-06-27,0.117385,0.117385,0.110414,0.110414,974331.21944443
1985-06-28,0.110414,0.117385,0.103473,0.103473,1666925.7142442
1985-07-01,0.103473,0.110414,0.103473,0.103473,1173890.5894253
1985-07-02,0.103473,0.110414,0.103473,0.103473,1443885.1763946
1985-07-03,0.110414,0.117385,0.110414,0.110414,2840820.4469785
1985-07-05,0.110414,0.117385,0.110414,0.110414,809982.72508061
1985-07-08,0.117385,0.117385,0.117385,0.117385,1948663.4747161
1985-07-09,0.117385,0.117385,0.117385,0.117385,2582560.7468939
1985-07-10,0.117385,0.117385,0.110414,0.110414,586946.33053991
1985-07-11,0.117385,0.124239,0.117385,0.117385,4425572.9498683
1985-07-12,0.124239,0.131103,0.124239,0.124239,3686018.1909854
1985-07-15,0.124239,0.131103,0.124239,0.124239,1303019.9215541
1985-07-16,0.131103,0.131103,0.131103,0.131103,7231173.1987847
1985-07-17,0.131103,0.131103,0.131103,0.131103,4848168.7143899
1985-07-18,0.131103,0.131103,0.131103,0.131103,7653777.2499242
1985-07-19,0.131103,0.131103,0.124239,0.124239,1502580.3273623
1985-07-22,0.124239,0.131103,0.124239,0.124239,3873843.7099089
1985-07-23,0.124239,0.131103,0.124239,0.124239,2770385.2299902
1985-07-24,0.124239,0.131103,0.124239,0.124239,1502580.3273623
1985-07-25,0.124239,0.131103,0.124239,0.124239,950853.15905739
1985-07-26,0.124239,0.131103,0.124239,0.124239,187820.33978738
1985-07-29,0.124239,0.131103,0.124239,0.124239,528250.14374506
1985-07-30,0.124239,0.131103,0.124239,0.124239,2606040.8789353
1985-07-31,0.124239,0.131103,0.124239,0.124239,1279544.9686487
1985-08-01,0.131103,0.131103,0.131103,0.131103,434342.04550586
1985-08-02,0.131103,0.131103,0.131103,0.131103,328694.91707315
1985-08-05,0.131103,0.131103,0.124239,0.124239,387379.70976828
1985-08-06,0.124239,0.131103,0.124239,0.124239,1115196.474285
1985-08-07,0.124239,0.131103,0.117385,0.117385,1232583.6687385
1985-08-08,0.124239,0.124239,0.124239,0.124239,856941.95333645
1985-08-09,0.124239,0.131103,0.124239,0.124239,1608233.6707584
1985-08-12,0.124239,0.131103,0.124239,0.124239,422603.01531234
1985-08-13,0.124239,0.131103,0.124239,0.124239,774771.84946352
1985-08-14,0.131103,0.131103,0.131103,0.131103,1197372.7931214
1985-08-15,0.131103,0.131103,0.131103,0.131103,1526058.3877492
1985-08-16,0.131103,0.131103,0.131103,0.131103,1561275.4783298
1985-08-19,0.131103,0.131103,0.131103,0.131103,821723.82692864
1985-08-20,0.131103,0.131103,0.131103,0.131103,1361711.9650399
1985-08-21,0.131103,0.131103,0.131103,0.131103,1138675.5704993
1985-08-22,0.131103,0.131103,0.131103,0.131103,2218657.0258581
1985-08-23,0.131103,0.131103,0.131103,0.131103,915636.06847681
1985-08-26,0.131103,0.131103,0.131103,0.131103,164342.27940033
1985-08-27,0.131103,0.131103,0.131103,0.131103,2582560.7468939
1985-08-28,0.14489,0.14489,0.14489,0.14489,3885585.8475842
1985-08-29,0.14489,0.14489,0.14489,0.14489,2664736.0299031
1985-08-30,0.14489,0.151791,0.14489,0.14489,2899516.6337735
1985-09-03,0.151791,0.158694,0.151791,0.151791,3169508.113261
1985-09-04,0.151791,0.151791,0.14489,0.14489,5482074.2731856
1985-09-05,0.14489,0.151791,0.14489,0.14489,1361711.9650399
1985-09-06,0.151791,0.158694,0.151791,0.151791,2829081.4167852
1985-09-09,0.151791,0.158694,0.151791,0.151791,1760836.9199652
1985-09-10,0.151791,0.158694,0.151791,0.151791,1314754.8084386
1985-09-11,0.151791,0.151791,0.14489,0.14489,2606040.8789353
1985-09-12,0.14489,0.151791,0.14489,0.14489,1666925.7142442
1985-09-13,0.14489,0.14489,0.14489,0.14489,2606040.8789353
1985-09-16,0.14489,0.14489,0.14489,0.14489,1361711.9650399
1985-09-17,0.14489,0.14489,0.14489,0.14489,1009545.2025433
1985-09-18,0.14489,0.14489,0.14489,0.14489,551725.09665036
1985-09-19,0.14489,0.14489,0.14489,0.14489,1467358.0576454
1985-09-20,0.14489,0.14489,0.14489,0.14489,1079985.5986678
1985-09-23,0.14489,0.14489,0.14489,0.14489,1173890.5894253
1985-09-24,0.14489,0.14489,0.14489,0.14489,1103461.5874004
1985-09-25,0.14489,0.14489,0.14489,0.14489,1596493.6047376
1985-09-26,0.14489,0.14489,0.14489,0.14489,680859.60791535
1985-09-27,0.14489,0.14489,0.14489,0.14489,
1985-09-30,0.14489,0.151791,0.14489,0.14489,2289091.2070193
1985-10-01,0.14489,0.151791,0.14489,0.14489,2500390.6430209
1985-10-02,0.14489,0.14489,0.14489,0.14489,622164.45694773
1985-10-03,0.14489,0.14489,0.14489,0.14489,434342.04550586
1985-10-04,0.14489,0.14489,0.14489,0.14489,716073.59101416
1985-10-07,0.14489,0.14489,0.14489,0.14489,1138675.5704993
1985-10-08,0.14489,0.14489,0.14489,0.14489,774771.84946352
1985-10-09,0.14489,0.151791,0.14489,0.14489,2019097.6558772
1985-10-10,0.14489,0.151791,0.14489,0.14489,70432.109506644
1985-10-11,0.158694,0.165626,0.158694,0.158694,5740335.0090976
1985-10-14,0.158694,0.165626,0.158694,0.158694,1561275.4783298
1985-10-15,0.158694,0.172558,0.158694,0.158694,3580372.0983799
1985-10-16,0.165626,0.172558,0.165626,0.165626,3779932.504188
1985-10-17,0.172558,0.172558,0.172558,0.172558,2124748.927619
1985-10-18,0.172558,0.172558,0.172558,0.172558,3920803.973992
1985-10-21,0.172558,0.172558,0.165626,0.165626,3615588.1531332
1985-10-22,0.172558,0.172558,0.172558,0.172558,2676477.131751
1985-10-23,0.172558,0.172558,0.172558,0.172558,1303019.9215541
1985-10-24,0.172558,0.172558,0.165626,0.165626,1631710.6953182
1985-10-25,0.165626,0.172558,0.158694,0.158694,1068240.3535109
1985-10-28,0.165626,0.172558,0.165626,0.165626,986074.39294694
1985-10-29,0.165626,0.165626,0.165626,0.165626,950853.15905739
1985-10-30,0.165626,0.165626,0.165626,0.165626,1666925.7142442
1985-10-31,0.172558,0.172558,0.172558,0.172558,1502580.3273623
1985-11-01,0.172558,0.172558,0.172558,0.172558,2242137.1578997
1985-11-04,0.172558,0.172558,0.172558,0.172558,1960401.4690824
1985-11-05,0.186382,0.186382,0.186382,0.186382,3462984.9039264
1985-11-06,0.186382,0.186382,0.186382,0.186382,2512131.744869
1985-11-07,0.193237,0.193237,0.193237,0.193237,2864298.5073657
1985-11-08,0.193237,0.193237,0.193237,0.193237,4237748.4667719
