Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,1.72895,1.72895,1.7044,1.71242,230409.595753
1983-04-07,1.72093,1.72895,1.71242,1.71242,247987.19959713
1983-04-08,1.71242,1.76151,1.7044,1.75379,585789.43712895
1983-04-11,1.75379,1.76151,1.72093,1.72895,462775.51464725
1983-04-12,1.72895,1.73716,1.71242,1.72895,1239918.8195283
1983-04-13,1.72895,1.75379,1.72093,1.75379,460819.191506
1983-04-14,1.74557,1.76962,1.74557,1.76962,695136.38105406
1983-04-15,1.76151,1.84365,1.76151,1.83563,1261398.9646801
1983-04-18,1.83563,1.84365,1.81119,1.83563,1148150.4899448
1983-04-19,1.83563,1.83563,1.78655,1.81119,1056372.0553865
1983-04-20,1.80268,1.81119,1.78655,1.78655,531116.47041514
1983-04-21,1.78655,1.80268,1.78655,1.79416,363191.99747362
1983-04-22,1.81119,1.84365,1.81119,1.82722,613126.4257346
1983-04-25,1.81861,1.82722,1.81119,1.81119,757618.47237306
1983-04-26,1.81861,1.83563,1.80268,1.83563,989982.37027235
1983-04-27,1.82722,1.86018,1.79416,1.83563,1111046.0325977
1983-04-28,1.81861,1.83563,1.80268,1.81119,503782.51330196
1983-04-29,1.82722,1.84365,1.81119,1.84365,406144.20379721
1983-05-02,1.83563,1.85167,1.82722,1.82722,948980.42410509
1983-05-03,1.81119,1.81861,1.80268,1.81119,425672.06779766
1983-05-04,1.82722,1.83563,1.81119,1.81119,663895.84064329
1983-05-05,1.83563,1.85167,1.82722,1.84365,347567.68527828
1983-05-06,1.86018,1.86018,1.81119,1.83563,587743.73927524
1983-05-09,1.82722,1.82722,1.80268,1.81119,275321.15671031
1983-05-10,1.82722,1.84365,1.80268,1.83563,853301.46923406
1983-05-11,1.82722,1.83563,1.81119,1.82722,1032943.6710734
1983-05-12,1.83563,1.83563,1.80268,1.81119,533067.74106896
1983-05-13,1.81119,1.84365,1.80268,1.83563,222600.47114779
1983-05-16,1.82722,1.82722,1.78655,1.80268,238222.76234815
1983-05-17,1.79416,1.81119,1.76962,1.78655,117160.11052027
1983-05-18,1.78655,1.80268,1.77823,1.77823,1068089.7842842
1983-05-19,1.78655,1.78655,1.76962,1.78655,659988.24684824
1983-05-20,1.78655,1.80268,1.78655,1.80268,246029.86595838
1983-05-23,1.79416,1.81119,1.76962,1.80268,876730.86404464
1983-05-24,1.81119,1.81119,1.80268,1.80268,236268.46020188
1983-05-25,1.80268,1.80268,1.79416,1.80268,283132.30231048
1983-05-26,1.80268,1.80268,1.78655,1.79416,251890.75140224
1983-05-27,1.77823,1.79416,1.77823,1.79416,302656.12432098
1983-05-31,1.78655,1.78655,1.76962,1.78655,230409.595753
1983-06-01,1.77823,1.78655,1.75379,1.76962,443248.66114429
1983-06-02,1.76151,1.76962,1.72093,1.75379,1173533.1764042
1983-06-03,1.73716,1.76151,1.72895,1.75379,333900.70672171
1983-06-06,1.76151,1.76962,1.74557,1.76962,618984.27968599
1983-06-07,1.76151,1.78655,1.75379,1.76151,1940917.0965237
1983-06-08,1.76151,1.78655,1.76151,1.77823,1366846.3987901
1983-06-09,1.76962,1.77823,1.75379,1.76151,1030994.4214146
1983-06-10,1.77823,1.79416,1.77823,1.79416,134733.67237444
1983-06-13,1.80268,1.81119,1.79416,1.81119,1064183.2009866
1983-06-14,1.81861,1.85167,1.81861,1.84365,1105186.1576513
1983-06-15,1.86018,1.86018,1.83563,1.86018,824009.16798464
1983-06-16,1.86018,1.89313,1.84365,1.85167,2807888.5758068
1983-06-17,1.84365,1.85167,1.84365,1.84365,1339505.3681944
1983-06-20,1.84365,1.86018,1.84365,1.84365,460819.191506
1983-06-21,1.83563,1.8763,1.82722,1.86839,1171581.9057504
1983-06-22,1.88452,1.90925,1.86018,1.90114,1935060.2530699
1983-06-23,1.89313,1.91708,1.88452,1.90925,1849142.7039553
1983-06-24,1.92578,2.00773,1.90925,2.00773,1597252.9630505
1983-06-27,1.98308,2.00773,1.95032,1.95032,2811795.1591045
1983-06-28,1.9341,1.94171,1.76962,1.81861,3091019.8676198
1983-06-29,1.81861,1.82722,1.79416,1.81119,2136180.5790659
1983-06-30,1.79416,1.79416,1.74557,1.76151,1599206.2546993
1983-07-01,1.77823,1.77823,1.72093,1.72895,3344862.9001734
1983-07-05,1.72093,1.72093,1.69639,1.72093,1007556.942624
1983-07-06,1.72093,1.75379,1.72093,1.72895,2696585.3087404
1983-07-07,1.73716,1.73716,1.68808,1.7044,1300451.6611885
1983-07-08,1.7044,1.71242,1.68808,1.69639,1273113.6620854
1983-07-11,1.7044,1.72093,1.69639,1.7044,915784.57105056
1983-07-12,1.71242,1.71242,1.64692,1.64692,4180590.8075532
1983-07-13,1.65513,1.68808,1.64692,1.67967,1437138.6252117
1983-07-14,1.67967,1.68808,1.63068,1.6386,790820.38841254
1983-07-15,1.64692,1.65513,1.63068,1.65513,900166.32184016
1983-07-18,1.65513,1.7044,1.65513,1.69639,685374.97529756
1983-07-19,1.71242,1.71242,1.66373,1.67967,1251640.590416
1983-07-20,1.67126,1.68808,1.66373,1.67126,1023180.2443219
1983-07-21,1.66373,1.66373,1.62237,1.63068,1638255.9197153
1983-07-22,1.64692,1.67967,1.62237,1.66373,2731734.4534439
1983-07-25,1.65513,1.66373,1.6386,1.64692,1505479.5809796
1983-07-26,1.63068,1.64692,1.61416,1.63068,699043.97484913
1983-07-27,1.63068,1.6386,1.59782,1.59782,925551.02929452
1983-07-28,1.59782,1.59782,1.53222,1.53222,1987780.9386324
1983-07-29,1.53222,1.53222,1.49144,1.50757,3764678.1245171
1983-08-01,1.49956,1.55685,1.48312,1.53222,2126419.1733094
1983-08-02,1.54063,1.58951,1.53222,1.56517,738094.65036258
1983-08-03,1.56517,1.58951,1.54864,1.5817,868922.74993693
1983-08-04,1.56517,1.56517,1.5238,1.55685,1195010.2900635
1983-08-05,1.54864,1.5817,1.54063,1.56517,437392.82818788
1983-08-08,1.56517,1.56517,1.5238,1.55685,1610922.9730996
