Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.0659746,0.0681897,0.0659746,0.0659746,859067.2444275
1984-09-10,0.0659746,0.0681897,0.0659746,0.0659746,1595418.0631133
1984-09-11,0.0659746,0.0659746,0.0659746,0.0659746,4418057.7718239
1984-09-12,0.0659746,0.0681897,0.0659746,0.0659746,1687450.2584749
1984-09-13,0.0659746,0.0681897,0.0659746,0.0659746,1687450.2584749
1984-09-14,0.0659746,0.0681897,0.0659746,0.0659746,245452.32247315
1984-09-17,0.0659746,0.0681897,0.0638473,0.0638473,2546515.4533245
1984-09-18,0.0638473,0.0659746,0.0638473,0.0638473,7332755.2956194
1984-09-19,0.0659746,0.0659746,0.0659746,0.0659746,3681713.1018717
1984-09-20,0.0659746,0.0659746,0.0659746,0.0659746,7332755.2956194
1984-09-21,0.0659746,0.0659746,0.0638473,0.0638473,1810181.0312616
1984-09-24,0.0638473,0.0659746,0.0638473,0.0638473,859067.2444275
1984-09-25,0.0638473,0.0659746,0.0638473,0.0638473,3589677.8321433
1984-09-26,0.0638473,0.0659746,0.0638473,0.0638473,490892.34747905
1984-09-27,0.0638473,0.0659746,0.0638473,0.0638473,5123720.2609739
1984-09-28,0.0638473,0.0681897,0.0638473,0.0638473,3344229.6088259
1984-10-01,0.0638473,0.0681897,0.0638473,0.0638473,245452.32247315
1984-10-02,0.0659746,0.0681897,0.0659746,0.0659746,7946379.4406742
1984-10-03,0.0659746,0.0681897,0.0659746,0.0659746,613620.04589904
1984-10-04,0.0659746,0.0681897,0.0659746,0.0659746,368174.89694844
1984-10-05,0.0659746,0.0681897,0.0659746,0.0659746,1687450.2584749
1984-10-08,0.0659746,0.0681897,0.0659746,0.0659746,3129465.6158886
1984-10-09,0.0659746,0.0681897,0.0659746,0.0659746,2546515.4533245
1984-10-10,0.0659746,0.0681897,0.0659746,0.0659746,245452.32247315
1984-10-11,0.0681897,0.0681897,0.0681897,0.0681897,4203288.6549419
1984-10-12,0.0681897,0.070395,0.0681897,0.0681897,3252187.1655749
1984-10-15,0.0681897,0.0726491,0.0681897,0.0681897,1349966.7654291
1984-10-16,0.070395,0.0726491,0.070395,0.070395,3988526.7115825
1984-10-17,0.070395,0.0726491,0.070395,0.070395,368174.89694844
1984-10-18,0.070395,0.0748252,0.070395,0.070395,5123720.2609739
1984-10-19,0.070395,0.0748252,0.070395,0.070395,1595418.0631133
1984-10-22,0.070395,0.0726491,0.070395,0.070395,705661.46436104
1984-10-23,0.070395,0.0748252,0.070395,0.070395,1349966.7654291
1984-10-24,0.070395,0.0748252,0.070395,0.070395,5369170.5338692
1984-10-25,0.0726491,0.077011,0.0726491,0.0726491,1595418.0631133
1984-10-26,0.0726491,0.0726491,0.0726491,0.0726491,1687450.2584749
1984-10-29,0.0726491,0.0748252,0.0726491,0.0726491,613620.04589904
1984-10-30,0.0726491,0.0748252,0.0726491,0.0726491,153403.73048859
1984-10-31,0.0726491,0.0748252,0.0726491,0.0726491,5215770.9025363
1984-11-01,0.0748252,0.077011,0.0748252,0.0748252,3988526.7115825
1984-11-02,0.0748252,0.077011,0.0726491,0.0726491,1196554.836629
1984-11-05,0.0726491,0.077011,0.0726491,0.0726491,490892.34747905
1984-11-06,0.0726491,0.077011,0.0726491,0.0726491,245452.32247315
1984-11-07,0.0726491,0.0748252,0.0726491,0.0726491,1196554.836629
1984-11-08,0.0726491,0.0726491,0.0726491,0.0726491,1349966.7654291
1984-11-09,0.0726491,0.0748252,0.0726491,0.0726491,153403.73048859
1984-11-12,0.0726491,0.0748252,0.0726491,0.0726491,490892.34747905
1984-11-14,0.0726491,0.0748252,0.0726491,0.0726491,4418057.7718239
1984-11-15,0.0726491,0.0726491,0.070395,0.070395,490892.34747905
1984-11-19,0.070395,0.0726491,0.070395,0.070395,705661.46436104
1984-11-20,0.070395,0.0726491,0.070395,0.070395,3436272.0520769
1984-11-21,0.0726491,0.0748252,0.0726491,0.0726491,153403.73048859
1984-11-23,0.0726491,0.0748252,0.0726491,0.0726491,4663517.2678196
1984-11-26,0.0726491,0.0748252,0.0726491,0.0726491,1196554.836629
1984-11-27,0.0726491,0.0748252,0.0726491,0.0726491,3006732.7935239
1984-11-28,0.0726491,0.0726491,0.0726491,0.0726491,245452.32247315
1984-11-29,0.0726491,0.0726491,0.070395,0.070395,368174.89694844
1984-11-30,0.070395,0.0726491,0.070395,0.070395,368174.89694844
1984-12-03,0.070395,0.0726491,0.070395,0.070395,613620.04589904
1984-12-04,0.070395,0.0726491,0.070395,0.070395,951105.58852269
1984-12-05,0.070395,0.070395,0.0681897,0.0681897,2393116.8467806
1984-12-06,0.0681897,0.0681897,0.0659746,0.0659746,3743082.5874208
1984-12-07,0.0659746,0.0681897,0.0638473,0.0638473,490892.34747905
1984-12-10,0.0638473,0.0659746,0.0638473,0.0638473,1441995.8864239
1984-12-11,0.0681897,0.070395,0.0681897,0.0681897,3558989.5026074
1984-12-12,0.0681897,0.070395,0.0681897,0.0681897,245452.32247315
1984-12-13,0.070395,0.0726491,0.070395,0.070395,5369170.5338692
1984-12-14,0.070395,0.0726491,0.070395,0.070395,4080570.1796223
1984-12-17,0.077011,0.0791773,0.077011,0.077011,4203288.6549419
1984-12-18,0.0791773,0.0791773,0.0791773,0.0791773,3068094.0807615
1984-12-19,0.0791773,0.0791773,0.0791773,0.0791773,1595418.0631133
1984-12-20,0.0791773,0.0791773,0.0791773,0.0791773,153403.73048859
1984-12-21,0.0791773,0.0791773,0.0791773,0.0791773,368174.89694844
1984-12-24,0.0791773,0.0813924,0.0791773,0.0791773,3252187.1655749
1984-12-26,0.0791773,0.0791773,0.0791773,0.0791773,490892.34747905
1984-12-27,0.0791773,0.0791773,0.0791773,0.0791773,3558989.5026074
1984-12-28,0.0791773,0.0791773,0.0791773,0.0791773,2393116.8467806
1985-01-02,0.0791773,0.0791773,0.0791773,0.0791773,153403.73048859
1985-01-03,0.0813924,0.0835782,0.0813924,0.0813924,6565734.5935986
1985-01-04,0.0835782,0.0901454,0.0835782,0.0835782,2791966.7510087
1985-01-07,0.0835782,0.0858323,0.0835782,0.0835782,1902222.4497237
1985-01-08,0.0835782,0.0835782,0.0813924,0.0813924,705661.46436104
1985-01-09,0.0835782,0.0858323,0.0835782,0.0835782,3743082.5874208
1985-01-10,0.0835782,0.0858323,0.0835782,0.0835782,2393116.8467806
1985-01-11,0.0858323,0.0880181,0.0858323,0.0858323,6381646.6327299
1985-01-14,0.0901454,0.0901454,0.0880181,0.0901454,3436272.0520769
1985-01-15,0.0880181,0.0901454,0.0880181,0.0880181,4080570.1796223
1985-01-16,0.0880181,0.0923898,0.0880181,0.0880181,3988526.7115825
1985-01-17,0.0901454,0.0945853,0.0901454,0.0901454,2546515.4533245
1985-01-18,0.0901454,0.0945853,0.0901454,0.0901454,3497630.2649477
1985-01-21,0.0945853,0.0990543,0.0945853,0.0945853,4326016.3533618
1985-01-22,0.0945853,0.0990543,0.0945853,0.0945853,2884015.3429933
1985-01-23,0.0990543,0.101153,0.0990543,0.0990543,4694187.1511546
1985-01-24,0.0990543,0.103349,0.0990543,0.0990543,6841870.1216629
1985-01-25,0.0990543,0.103349,0.0990543,0.0990543,6811176.6681824
1985-01-28,0.0990543,0.103349,0.0990543,0.0990543,2301072.3539518
1985-01-29,0.0990543,0.103349,0.0990543,0.0990543,3252187.1655749
1985-01-30,0.0990543,0.101153,0.0990543,0.0990543,3129465.6158886
1985-01-31,0.0990543,0.0990543,0.0990543,0.0990543,1349966.7654291
1985-02-01,0.0990543,0.0990543,0.0945853,0.0945853,3006732.7935239
1985-02-04,0.0990543,0.101153,0.0990543,0.0990543,5614620.8067645
1985-02-05,0.0990543,0.101153,0.0990543,0.0990543,1595418.0631133
1985-02-06,0.101153,0.103349,0.101153,0.101153,4080570.1796223
1985-02-07,0.105631,0.110032,0.105631,0.105631,5369170.5338692
1985-02-08,0.110032,0.114395,0.110032,0.110032,6749821.5296784
1985-02-11,0.112159,0.114395,0.112159,0.112159,3252187.1655749
