Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,1.1057,1.11327,1.09018,1.09018,471992.78704284
1984-09-10,1.09018,1.09784,1.0827,1.09784,95339.054534106
1984-09-11,1.09784,1.1057,1.09018,1.09018,340710.90793174
1984-09-12,1.09018,1.09018,1.0827,1.09018,181297.56102317
1984-09-13,1.09018,1.12103,1.06718,1.12103,1595723.0130264
1984-09-14,1.13616,1.16712,1.13616,1.13616,953371.21029953
1984-09-17,1.13616,1.15936,1.13616,1.1515,365717.22243712
1984-09-18,1.15936,1.17449,1.15936,1.16712,309456.32210973
1984-09-19,1.16712,1.18265,1.16712,1.17449,228185.03674189
1984-09-20,1.17449,1.18265,1.17449,1.17449,470431.73684744
1984-09-21,1.17449,1.18265,1.17449,1.17449,164100.56802979
1984-09-24,1.17449,1.18265,1.16712,1.16712,129723.881817
1984-09-25,1.16712,1.18972,1.16712,1.17449,804892.33819503
1984-09-26,1.17449,1.20534,1.17449,1.19778,734561.63343385
1984-09-27,1.19778,1.22077,1.19778,1.21301,481377.40562292
1984-09-28,1.21301,1.22077,1.21301,1.21301,809588.71802014
1984-10-01,1.20534,1.20534,1.18265,1.18265,1342530.6441454
1984-10-02,1.18265,1.21301,1.17449,1.18265,2122421.7560038
1984-10-03,1.17449,1.17449,1.14422,1.14422,1048706.1942985
1984-10-04,1.14422,1.1515,1.13616,1.1515,214116.24994186
1984-10-05,1.1515,1.1515,1.14422,1.14422,298508.61806671
1984-10-08,1.14422,1.14422,1.14422,1.14422,271943.28863347
1984-10-09,1.14422,1.16712,1.14422,1.1515,1101848.0471365
1984-10-10,1.14422,1.14422,1.12889,1.14422,162539.51783439
1984-10-11,1.14422,1.17449,1.14422,1.17449,2330286.6817278
1984-10-12,1.18972,1.22077,1.18972,1.21301,865846.56544624
1984-10-15,1.21301,1.21301,1.18972,1.18972,170356.98041652
1984-10-16,1.18972,1.21301,1.18972,1.18972,1680118.4340526
1984-10-17,1.18972,1.19778,1.16712,1.17449,140659.37425484
1984-10-18,1.17449,1.24407,1.17449,1.24407,722060.0026318
1984-10-19,1.2589,1.28219,1.2589,1.2589,818957.05446001
1984-10-22,1.2589,1.26706,1.23611,1.23611,440736.16595329
1984-10-23,1.23611,1.25153,1.23611,1.24407,956495.34595783
1984-10-24,1.24407,1.26706,1.24407,1.2589,1045576.9704715
1984-10-25,1.2589,1.2589,1.24407,1.2589,618905.52078311
