Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.604466,0.611365,0.604466,0.611365,526387.03185559
1977-01-04,0.611365,0.611365,0.604466,0.604466,335397.02888827
1977-01-05,0.604466,0.611365,0.604466,0.604466,552012.13353454
1977-01-06,0.604466,0.611365,0.597567,0.611365,857133.06826302
1977-01-07,0.611365,0.618265,0.604466,0.604466,526387.03185559
1977-01-10,0.611365,0.618265,0.611365,0.611365,528722.67424018
1977-01-11,0.611365,0.618265,0.604466,0.611365,517072.87152091
1977-01-12,0.611365,0.611365,0.597567,0.597567,442539.29655515
1977-01-13,0.597567,0.597567,0.583768,0.590668,670796.08700536
1977-01-14,0.583768,0.583768,0.576869,0.576869,675459.2548592
1977-01-17,0.576869,0.576869,0.569871,0.576869,363347.62680763
1977-01-18,0.576869,0.611365,0.563367,0.563367,470489.89447452
1977-01-19,0.563367,0.569871,0.563367,0.563367,370336.29090189
1977-01-20,0.563367,0.569871,0.563367,0.563367,661476.85359861
1977-01-21,0.563367,0.569871,0.563367,0.569871,391300.25395583
1977-01-24,0.569871,0.569871,0.556271,0.556271,447195.36210807
1977-01-25,0.556271,0.556271,0.542768,0.542768,759306.99015964
1977-01-26,0.542768,0.542768,0.53577,0.53577,433225.13622047
1977-01-27,0.542768,0.549371,0.542768,0.549371,749995.8736682
1977-01-28,0.549371,0.556271,0.549371,0.549371,442539.29655515
1977-01-31,0.549371,0.549371,0.542768,0.549371,1038801.8085947
1977-02-01,0.549371,0.563367,0.549371,0.563367,710396.48764399
1977-02-02,0.563367,0.569871,0.563367,0.563367,843159.79853216
1977-02-03,0.563367,0.563367,0.556271,0.556271,565985.40326539
1977-02-04,0.556271,0.563367,0.549371,0.549371,598591.05212327
1977-02-07,0.549371,0.569871,0.549371,0.569871,964275.33592991
1977-02-08,0.569871,0.583768,0.569871,0.576869,1097037.6322036
1977-02-09,0.576869,0.576869,0.569871,0.576869,680114.30579771
1977-02-10,0.576869,0.576869,0.576869,0.576869,440213.80031473
1977-02-11,0.576869,0.576869,0.576869,0.576869,419247.80803196
1977-02-14,0.576869,0.576869,0.569871,0.569871,738344.04172012
1977-02-15,0.576869,0.576869,0.576869,0.576869,989895.36453677
1977-02-16,0.576869,0.597567,0.576869,0.590668,715052.55319691
1977-02-17,0.590668,0.590668,0.576869,0.583768,440213.80031473
1977-02-18,0.583768,0.583768,0.576869,0.583768,731356.39224027
1977-02-22,0.583768,0.583768,0.583768,0.583768,451859.54457633
1977-02-23,0.583768,0.583768,0.576869,0.576869,293476.20508129
1977-02-24,0.576869,0.576869,0.556271,0.563367,556666.16985864
1977-02-25,0.563367,0.563367,0.563367,0.563367,263200.1109215
1977-02-28,0.563367,0.569871,0.556271,0.569871,377321.91115291
1977-03-01,0.576869,0.583768,0.576869,0.583768,617228.50432238
1977-03-02,0.583768,0.583768,0.576869,0.576869,358691.5612547
1977-03-03,0.576869,0.576869,0.576869,0.576869,899056.93591324
1977-03-04,0.576869,0.583768,0.576869,0.583768,179348.31716339
1977-03-07,0.583768,0.583768,0.583768,0.583768,854801.4843361
1977-03-08,0.583768,0.583768,0.583768,0.583768,323751.28462667
1977-03-09,0.583768,0.583768,0.576869,0.576869,593938.03041359
1977-03-10,0.576869,0.583768,0.576869,0.583768,733691.02001043
1977-03-11,0.583768,0.590668,0.583768,0.590668,330742.99256417
1977-03-14,0.590668,0.597567,0.590668,0.597567,121116.55201215
1977-03-15,0.590668,0.590668,0.583768,0.590668,449527.96064941
1977-03-16,0.590668,0.597567,0.590668,0.597567,260866.49776575
1977-03-17,0.597567,0.597567,0.597567,0.597567,267854.1472456
1977-03-18,0.597567,0.597567,0.590668,0.597567,451859.54457633
1977-03-21,0.597567,0.597567,0.583768,0.590668,416918.25333387
1977-03-22,0.590668,0.590668,0.590668,0.590668,493780.3683833
1977-03-23,0.590668,0.590668,0.583768,0.583768,475149.00387069
