Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-03-22,14.0046,15.7568,14.0046,15.6385,3737960.8404257
2007-03-23,15.6385,17.8196,15.5991,15.8189,4563722.3100884
2007-03-26,15.8189,16.1464,15.6769,16.0803,1105168.6311606
2007-03-27,16.1464,16.2075,15.7982,15.8308,604568.31690175
2007-03-28,15.7982,15.7982,15.3279,15.4837,416543.38692018
2007-03-29,15.4837,15.6622,15.1741,15.3279,2312512.2235981
2007-03-30,15.4048,15.5231,15.2815,15.3279,15719374.596009
2007-04-02,15.3279,15.3279,14.6456,15.183,12171501.494468
2007-04-03,15.1593,15.1741,14.3902,14.8368,10144180.207769
2007-04-04,14.7954,14.9108,14.6269,14.7136,6089415.9347317
2007-04-05,14.5903,15.4128,14.5489,15.0784,5915778.9447156
2007-04-09,15.2244,15.2244,14.7047,14.828,4627981.7484537
2007-04-10,14.5332,15.1287,14.4691,14.9553,4023794.7570913
2007-04-11,14.9769,15.6069,14.7452,14.8714,4313357.753566
2007-04-12,14.828,14.9917,14.6988,14.9413,3426804.2711208
2007-04-13,15.5991,15.5991,14.8625,15.2322,3831266.9404214
2007-04-16,15.2668,15.4837,15.2668,15.4541,1871036.6370509
2007-04-17,15.1356,16.0142,15.0144,15.887,2014212.2071191
2007-04-18,15.743,16.1227,15.531,16.0881,2516737.4040208
2007-04-19,15.7173,16.6985,15.7006,16.4481,2429213.0510994
2007-04-20,16.6266,16.9361,16.3375,16.4047,3433232.040452
2007-04-23,16.2449,16.4165,15.9747,16.105,1968712.7682941
2007-04-24,16.105,16.105,15.9511,16.0369,2252618.7598259
2007-04-25,16.0369,16.0803,15.7351,15.7647,1323159.0550562
2007-04-26,15.3901,15.67,15.3279,15.6069,1533535.1381285
2007-04-27,15.5616,15.7727,15.4128,15.7351,944003.82594
2007-04-30,15.7173,15.7173,15.531,15.5922,2032974.2349869
2007-05-01,15.531,15.6464,15.4541,15.5922,1887745.9976535
2007-05-02,15.5389,15.6464,15.4452,15.5783,1876563.8290443
2007-05-03,15.5991,15.9027,15.5705,15.7982,1602039.8656103
2007-05-04,15.7173,16.3375,15.6622,16.169,1596635.3874207
2007-05-07,16.1541,16.3711,15.9679,16.3465,1905094.2813673
2007-05-08,16.031,16.5891,15.9816,16.5515,1663472.8298315
2007-05-09,16.4332,17.0003,16.4047,16.6482,3154079.4340347
2007-05-10,16.4934,16.7646,16.2922,16.4332,1643550.5987267
2007-05-11,16.4411,16.6925,16.4165,16.6748,601851.37243375
2007-05-14,16.5959,16.6196,16.4332,16.5812,851402.56969397
2007-05-15,16.5812,16.6571,16.2143,16.2143,2328580.6327622
2007-05-16,16.105,16.105,15.887,15.9511,2051064.8865061
2007-05-17,15.6542,16.1305,15.6385,16.0654,1148609.3177383
2007-05-18,16.031,16.1464,15.7982,15.9195,1544589.5221155
2007-05-21,15.9027,15.9816,15.8563,15.9511,3880363.6177786
2007-05-22,16.0447,16.0447,15.8308,15.8643,1915632.456047
2007-05-23,15.8563,15.9511,15.5922,15.8308,1304056.2681957
2007-05-24,15.5705,15.8189,15.5616,15.5783,1805231.6132546
2007-05-25,15.5783,15.6769,15.5231,15.5616,802238.9575347
2007-05-29,15.2106,15.5991,15.2106,15.5616,821258.58297428
2007-05-30,15.4195,15.5922,15.3684,15.5389,1497170.2714661
2007-05-31,15.5537,15.7568,15.4837,15.749,1225463.6547031
2007-06-01,15.8042,15.887,15.3684,15.5074,1138838.8649557
2007-06-04,15.3142,15.5616,15.2963,15.4452,1243202.3914294
2007-06-05,15.3684,15.6228,15.2885,15.5074,1088713.8256388
2007-06-06,15.3901,15.4128,14.9986,15.1356,1378793.0314207
2007-06-07,14.9986,15.1425,14.7136,14.7569,1448969.1006282
2007-06-08,14.7737,14.9236,14.7136,14.896,806606.96045505
2007-06-11,14.828,15.0233,14.7816,14.9917,2795757.1549974
2007-06-12,14.9108,15.1672,14.9019,15.039,1278032.8284614
2007-06-13,15.1425,15.2411,14.9986,15.0557,1069184.0758739
2007-06-14,15.0144,15.111,14.9108,14.9986,809439.51958125
2007-06-15,15.0784,15.2411,15.0557,15.1672,941172.28097747
2007-06-18,15.2244,15.2244,14.9986,15.1198,1042707.3049795
2007-06-19,14.9917,15.2027,14.8457,14.8547,1828271.3834763
2007-06-20,14.7954,14.896,14.7737,14.8714,2470467.2008078
2007-06-21,14.7954,15.1504,14.7816,15.1287,2047049.8125424
2007-06-22,15.1198,15.5616,15.1198,15.4837,2346828.4796502
2007-06-25,15.4128,15.6542,15.3447,15.6542,2637417.8097574
2007-06-26,15.7568,15.7568,15.3733,15.4837,1844690.6932697
2007-06-27,15.4128,15.5616,15.2411,15.4048,2211747.9639841
2007-06-28,15.4128,15.4285,14.9553,15.1031,1838649.3202964
