Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,11.4682,11.5086,11.4515,11.4752,902368.14728132
2005-02-28,11.4752,11.5383,11.4031,11.4752,1064178.7410535
2005-03-01,11.4989,11.7545,11.4989,11.7545,2755833.3833019
2005-03-02,11.5945,11.6084,11.2253,11.6084,5506617.5289732
2005-03-03,11.6312,11.7377,11.5768,11.5945,3476167.6512481
2005-03-04,11.5985,11.6479,11.3458,11.3902,2528288.5019175
2005-03-07,11.3784,11.4218,11.3645,11.3981,1585929.5822934
2005-03-08,11.4899,11.5086,11.2116,11.2648,1835540.1892106
2005-03-09,11.2066,11.3458,11.096,11.2915,1939889.7497269
2005-03-10,11.2017,11.3824,11.2017,11.2875,1101870.2617571
2005-03-11,11.2461,11.5086,11.2461,11.4425,1045794.8568019
2005-03-14,11.4119,11.567,11.3645,11.5413,1044416.3187045
2005-03-15,11.5443,11.6696,11.4849,11.5156,751132.08527704
2005-03-16,10.9213,11.3004,10.9213,11.1454,3838402.0859241
2005-03-17,11.1148,11.1809,10.9658,11.0556,1414922.9948506
2005-03-18,11.0426,11.0862,10.8937,10.9805,1820367.1541644
2005-03-21,10.8986,11.1326,10.8492,11.0329,1606152.8678563
2005-03-22,10.9855,11.2343,10.9765,11.0269,1236562.8537073
2005-03-23,10.9706,11.0556,10.7959,10.8255,2066300.9842312
2005-03-24,10.7663,11.0299,10.7663,10.7861,2065381.2835755
2005-03-28,10.7861,10.7861,10.6686,10.6903,2934655.4005454
2005-03-29,10.6903,10.707,10.4878,10.4978,2024467.7719185
2005-03-30,10.4978,10.5955,10.4761,10.5955,2298904.2192218
2005-03-31,10.6172,10.626,10.4711,10.5905,1742679.7966869
2005-04-01,10.631,10.7357,10.4572,10.5016,1583629.317768
2005-04-04,10.4928,10.551,10.3042,10.5155,1058204.7383363
2005-04-05,10.5155,10.8008,10.5155,10.6764,1853467.2617929
2005-04-06,10.7,10.8561,10.7,10.789,1091764.6962927
2005-04-07,10.7357,10.868,10.7267,10.8403,863298.08848035
2005-04-08,10.8403,10.868,10.7357,10.7484,1347350.3188133
2005-04-11,10.7189,10.7189,10.324,10.324,3549721.4202059
2005-04-12,10.2143,10.253,9.76813,10.0366,8382892.1956071
2005-04-13,10.3773,10.4217,10.1769,10.1819,5613721.1270255
2005-04-14,10.2016,10.3418,9.96852,10.0071,4068712.1465925
2005-04-15,10.0278,10.091,9.85106,9.87969,3285396.615684
2005-04-18,9.87969,10.1729,9.87969,10.1205,2743426.540426
2005-04-19,10.3338,10.3733,10.1601,10.3605,2410610.3720972
2005-04-20,10.3605,10.4187,10.1482,10.1482,2188122.8314329
2005-04-21,10.324,10.5115,10.2233,10.4572,2115030.9385753
2005-04-22,10.244,10.2667,10.0584,10.1482,2973270.6734495
2005-04-25,10.1729,10.1769,9.97649,9.98535,3465135.2949248
2005-04-26,10.0071,10.1344,9.94981,9.95377,3591550.5809739
2005-04-27,9.95377,9.99421,9.81354,9.90832,2006542.7251085
2005-04-28,9.75924,10.0129,9.75924,9.84119,3239890.6780657
2005-04-29,9.8866,10.0317,9.8866,9.94485,2816513.3688527
2005-05-02,10.0505,10.2804,9.98535,10.244,2505770.0162601
2005-05-03,10.244,10.4711,10.2016,10.4217,2538404.1962437
2005-05-04,10.8492,11.4425,10.8492,11.1543,8508384.742342
2005-05-05,11.1543,11.2698,10.789,10.864,6126735.8249228
2005-05-06,10.9855,11.0092,10.8008,10.9261,1845649.8062197
2005-05-09,11.0092,11.1414,10.9952,11.1276,1356540.2351667
2005-05-10,11.1414,11.172,10.9706,11.0179,1243460.6086249
2005-05-11,11.093,11.1227,10.9261,11.0426,1901731.2884921
2005-05-12,11.0299,11.0783,10.6686,10.6686,2315914.6298071
2005-05-13,10.712,10.7357,10.551,10.6083,2976485.5741997
2005-05-16,10.6517,10.8255,10.5422,10.8255,1379068.849686
2005-05-17,10.7761,10.8156,10.6764,10.8156,1408027.2657055
2005-05-18,10.8561,11.2648,10.8561,11.1622,1719696.3962708
2005-05-19,11.1622,11.172,11.0783,11.1375,1485717.6618414
2005-05-20,11.1414,11.4031,11.1227,11.3902,2297068.8694552
2005-05-23,11.4405,11.6084,11.4308,11.567,2229495.1805317
2005-05-24,11.4642,11.4752,11.334,11.4119,1625919.34175
2005-05-25,11.4564,11.4801,11.3645,11.4119,1355622.5602834
2005-05-26,11.4218,11.6597,11.4119,11.638,1539499.8924747
2005-05-27,11.638,11.6746,11.5768,11.638,1673265.6935659
2005-05-31,11.638,11.6746,11.5571,11.6312,839393.97452232
2005-06-01,11.6312,11.795,11.5136,11.7467,1353786.1976306
2005-06-02,11.6973,11.6973,11.5294,11.5383,1691657.6809069
2005-06-03,11.4989,11.6134,11.3053,11.4642,1865878.1562136
2005-06-06,11.4119,11.4752,11.3547,11.4475,679879.5937308
2005-06-07,11.567,11.7091,11.4899,11.5136,732284.29915285
2005-06-08,11.5491,11.6973,11.5136,11.5294,1378148.1361441
2005-06-09,11.4849,11.4849,11.3458,11.4515,1073832.5592795
2005-06-10,11.3981,11.8828,11.3981,11.7545,2105375.094577
2005-06-13,11.725,12.0132,11.638,11.9481,2406011.8688189
2005-06-14,11.9194,12.2047,11.7811,11.8335,1707747.3779503
2005-06-15,11.8789,11.9145,11.715,11.7594,1474678.2153148
2005-06-16,11.7594,11.9273,11.7003,11.9055,1155663.6341384
2005-06-17,11.7851,11.874,11.7003,11.7851,1593283.135994
2005-06-20,11.7467,11.7811,11.6519,11.7664,1094981.6228153
2005-06-21,11.8,11.9145,11.8,11.8828,1340453.5767819
2005-06-22,11.8828,11.8828,11.5443,11.638,1985853.5119006
2005-06-23,11.638,11.7043,11.4989,11.5086,1844732.1313364
2005-06-24,11.4308,11.4475,11.101,11.1227,1401594.4255467
2005-06-27,11.101,11.1454,11.0042,11.0092,1262763.180646
2005-06-28,11.0179,11.3142,11.0179,11.2698,2086988.1716668
2005-06-29,11.3784,11.5945,11.334,11.5571,2941551.1296907
2005-06-30,11.5571,11.7506,11.5443,11.6796,2132037.2976158
2005-07-01,11.6796,11.7545,11.6182,11.7377,1320688.1157744
2005-07-05,11.7003,11.9559,11.6479,11.9145,3231151.4960645
2005-07-06,12.191,12.4654,12.191,12.3025,4632285.0583971
2005-07-07,12.2708,12.4398,12.2077,12.4081,1567079.7703968
2005-07-08,12.4485,12.5009,12.3745,12.4822,1623162.2655553
2005-07-11,12.5098,12.6352,12.4782,12.5552,1262763.180646
2005-07-12,12.5148,12.5305,12.4348,12.4911,1251729.8114364
2005-07-13,12.4485,12.5009,12.3528,12.4229,1320688.1157744
2005-07-14,12.4485,12.569,12.418,12.5513,1518813.7179253
2005-07-15,12.5049,12.5513,12.4308,12.5148,906508.82600422
2005-07-18,12.5098,12.6253,12.4693,12.5779,674364.42845531
2005-07-19,12.6303,12.9836,12.6203,12.9432,1833237.8989128
2005-07-20,12.7576,13.0015,12.6609,12.957,2053892.1155829
2005-07-21,12.957,12.957,12.7714,12.8169,2215240.8332549
2005-07-22,12.8415,12.9749,12.8415,12.9095,2665734.1185176
2005-07-25,12.6391,12.7803,12.6391,12.6954,2433591.7467411
2005-07-26,12.4861,12.7487,12.4822,12.7043,1676943.4833023
2005-07-27,12.648,12.7043,12.565,12.6777,1983094.4099336
2005-07-28,12.6687,12.804,12.5779,12.7576,3033488.7829
2005-07-29,12.7349,12.7754,12.4654,12.6579,3082216.7114718
2005-08-01,12.5986,12.6687,12.5473,12.6391,1585006.8429791
2005-08-02,12.5829,12.6904,12.5513,12.6687,1277475.3524782
2005-08-03,12.6637,12.6637,12.5148,12.5967,1373552.6715244
2005-08-04,12.5395,12.5423,12.3696,12.4398,1267360.6710382
2005-08-05,12.3992,12.3992,12.2481,12.3065,1718777.7085013
2005-08-08,12.338,12.5148,12.1683,12.3864,1709120.8516167
2005-08-09,12.4308,12.5779,12.3745,12.5779,1402512.10043
2005-08-10,12.6066,12.7754,12.4525,12.5009,1462270.3595527
2005-08-11,12.5009,12.6777,12.5009,12.6637,1019127.589332
2005-08-12,12.6637,12.7092,12.4822,12.6637,1473303.7287622
2005-08-15,12.6856,12.7843,12.5552,12.7754,1296785.0147026
2005-08-16,13.0548,13.2097,12.8831,13.0222,3243104.5659296
2005-08-17,13.0222,13.1209,12.9936,13.0015,1534900.3763101
2005-08-18,12.8948,12.9195,12.7487,12.7872,1144625.2004979
2005-08-19,12.7961,12.9333,12.7191,12.9195,1344130.3536323
2005-08-22,12.9522,13.0449,12.9195,13.0015,1756010.3917633
2005-08-23,12.9669,13.0548,12.8119,12.8337,1656263.3860701
2005-08-24,12.7922,13.0044,12.7922,12.804,1944485.2143467
2005-08-25,12.8119,13.2868,12.8119,13.1209,1773938.4772318
2005-08-26,13.037,13.0755,12.8661,12.9619,1236562.8537073
2005-08-29,12.8376,12.8948,12.648,12.8564,1350567.2453357
2005-08-30,12.8564,12.8564,12.6253,12.7576,940983.42018538
2005-08-31,12.7576,12.7922,12.6391,12.7191,1635113.3096482
2005-09-01,12.6856,12.7043,12.5009,12.6737,1383664.3143058
2005-09-02,12.6637,12.6954,12.5986,12.6637,1240240.6434438
2005-09-06,12.6687,12.6856,12.5917,12.6391,1813474.4636777
2005-09-07,12.643,12.7231,12.5878,12.7231,826981.05432929
2005-09-08,12.6816,12.726,12.5423,12.5473,893636.05548335
2005-09-09,12.5148,12.5305,12.3617,12.5305,1607074.5942843
2005-09-12,12.5256,12.5986,12.4031,12.5917,1161632.5724246
2005-09-13,12.5395,12.7043,12.4732,12.5779,795721.36089824
2005-09-14,12.5355,12.6066,12.5098,12.5355,848126.06632029
2005-09-15,12.4436,12.5098,12.2334,12.2975,2226736.0785646
2005-09-16,12.2659,12.2788,12.103,12.2708,1877828.1874203
