Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,34.3414,35.2271,34.3414,35.1919,489365.81259296
2005-02-28,35.2134,35.3336,34.4468,35.0123,891411.75918306
2005-03-01,35.0123,35.5817,34.9742,35.5181,586889.39665249
2005-03-02,35.4781,35.4839,35.0973,35.2769,436470.31160236
2005-03-03,35.3638,35.4117,35.0171,35.2047,450949.04449962
2005-03-04,35.2993,36.2086,35.2993,36.2086,595010.38891616
2005-03-07,36.149,36.8532,35.9625,36.5729,618799.9505429
2005-03-08,36.5797,36.5797,36.0797,36.1813,378107.91139403
2005-03-09,36.0592,36.0592,34.9166,35.0504,1196522.8962127
2005-03-10,35.4049,35.6588,34.9693,35.6588,932931.11289723
2005-03-11,35.5181,35.5318,35.3062,35.4244,494687.31010831
2005-03-14,35.2203,36.0455,35.1969,36.0455,490107.15648387
2005-03-15,36.0592,36.3444,35.9528,35.9781,678937.8898491
2005-03-16,35.9781,35.9987,35.4899,35.526,653521.26269379
2005-03-17,35.6129,36.0455,35.6129,36.0455,397909.1657623
2005-03-18,36.0133,36.1129,35.7476,36.0328,566792.21910123
2005-03-21,35.9917,36.0328,35.5045,35.6803,343387.6231988
2005-03-22,35.6402,35.8913,34.5113,34.8062,738335.50922002
2005-03-23,34.5991,35.1969,34.355,34.8326,687804.32182629
2005-03-24,34.9488,35.3853,34.9029,35.0436,469272.73086431
2005-03-28,35.0123,35.1041,34.7671,34.8911,494238.81753342
2005-03-29,34.5552,34.6587,34.3482,34.4937,943422.56249168
2005-03-30,34.4302,35.0728,34.4302,35.0376,442378.53570541
2005-03-31,35.1871,35.4899,35.146,35.2632,616728.48826206
2005-04-01,36.0055,36.0055,34.815,34.9224,802462.77974034
2005-04-04,34.9332,35.0436,34.4468,34.9819,953911.96417482
2005-04-05,34.9615,35.0777,34.8609,34.9907,670073.50578321
2005-04-06,35.0504,35.3121,34.9742,35.2915,619098.94559283
2005-04-07,35.2915,35.5601,35.1871,35.4839,415197.63296439
2005-04-08,35.5045,35.6588,35.4693,35.567,1240556.0610487
2005-04-11,35.5905,35.815,35.5318,35.7935,213653.46624327
2005-04-12,35.6803,36.2955,35.6588,36.2955,814133.82624409
2005-04-13,36.2955,36.5797,36.2282,36.4332,613186.62566717
2005-04-14,36.4098,36.5582,36.3082,36.3727,689431.38735484
2005-04-15,36.4586,36.6412,36.276,36.4859,527192.78223164
2005-04-18,36.4859,36.6412,36.4176,36.6412,652782.99066982
2005-04-19,36.5201,36.736,36.5201,36.7018,634905.74896874
