Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,21.4312,22.0127,21.3519,21.9275,34493.569547662
1970-01-05,21.9275,22.2613,21.8492,21.9275,37684.883628895
1970-01-06,21.9275,21.9275,21.2678,21.4312,50537.993030325
1970-01-07,21.4312,21.4312,21.1836,21.3519,38890.309562267
1970-01-08,21.3519,21.3519,21.021,21.1836,63061.14262118
1970-01-09,21.1836,21.2678,21.021,21.2678,28893.446694489
1970-01-12,21.2678,21.3519,20.8527,20.9349,29334.75517179
1970-01-13,20.9349,21.021,20.5208,20.5208,43393.290506592
1970-01-14,20.5208,20.6069,19.9443,20.2722,68440.611235703
1970-01-15,20.2722,20.3593,19.6985,19.7758,69540.817786756
1970-01-16,19.7758,20.0246,19.3647,19.3647,80631.75792118
1970-01-19,19.3647,19.3647,19.032,19.032,82722.86545136
1970-01-20,19.032,19.3647,19.032,19.3647,66687.635895308
1970-01-21,19.5312,20.0246,19.5312,19.9443,46796.064899866
1970-01-22,19.9443,20.0246,19.3647,19.446,32845.813589587
1970-01-23,19.3647,19.3647,18.8665,18.9497,71407.18488868
1970-01-26,18.8665,18.8665,18.5366,18.6178,147429.72093581
1970-01-27,18.6178,19.032,17.8768,17.9531,95578.017947592
1970-01-28,17.9531,17.9531,16.799,16.9645,142378.16903707
1970-01-29,16.9645,17.6282,16.6336,16.9645,96345.200045866
1970-01-30,16.9645,17.6282,16.9645,17.4607,71628.860674732
1970-02-02,16.4662,16.4662,14.9783,15.1456,1048924.8715139
1970-02-03,15.1456,15.9709,15.1456,15.8876,368137.08005183
1970-02-04,15.8876,16.1382,15.0595,15.0595,271128.89574261
1970-02-05,15.0595,15.5568,15.0595,15.5568,90414.095834714
1970-02-06,15.7242,17.2131,15.7242,16.7159,135786.12365736
1970-02-09,16.7159,17.2944,16.4662,16.5504,191811.86932673
1970-02-10,16.5504,16.7159,16.1382,16.4662,89863.481785487
1970-02-11,16.4662,17.4607,15.638,17.2944,121612.15346623
1970-02-12,16.9645,16.9645,16.2978,16.8832,64813.096414173
1970-02-13,16.8832,17.1318,16.5504,16.799,41084.593379965
1970-02-16,16.799,17.2944,16.799,17.2944,33397.449186215
1970-02-17,17.2944,17.4607,16.9645,17.4607,35482.427431988
1970-02-18,17.545,18.5366,17.545,18.288,110738.80292825
1970-02-19,18.288,18.3721,17.7916,18.0412,52183.705893599
1970-02-20,17.4607,17.4607,16.4662,16.7159,99863.40929547
1970-02-24,16.6336,16.6336,16.2195,16.4662,52295.054560325
1970-02-25,16.4662,17.8768,16.385,17.1318,59103.667989075
1970-02-26,17.1318,17.2131,16.5504,16.799,51300.067391592
1970-02-27,16.799,17.6282,16.6336,16.799,53721.134732348
1970-03-02,16.799,17.2944,16.799,16.9645,37793.167653418
1970-03-03,16.9645,17.6282,16.8832,17.6282,32956.140708913
1970-03-04,17.6282,17.6282,17.2944,17.545,28893.446694489
1970-03-05,17.545,17.8768,17.545,17.7916,37793.167653418
1970-03-06,17.7916,17.7916,17.1318,17.2944,34384.263975738
1970-03-09,17.2131,17.2131,16.8832,17.1318,24387.401107959
1970-03-10,17.0486,17.0486,16.7159,16.799,27031.165782168
1970-03-11,16.799,16.9645,16.5504,16.799,25708.261897662
1970-03-12,16.6336,16.6336,16.385,16.4662,25155.604753633
1970-03-13,16.4662,16.6336,16.2195,16.2978,53059.172016395
1970-03-16,16.2195,16.2195,15.9709,16.0531,25482.499922005
1970-03-17,16.0531,16.4662,15.9709,16.1382,43173.657815343
1970-03-18,16.1382,16.5504,16.0531,16.1382,28672.792455837
