Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,1.29356,1.3074,1.27186,1.29356,313269.92498608
1984-09-10,1.29356,1.3074,1.27186,1.28629,269335.47969731
1984-09-11,1.29356,1.31466,1.29356,1.31466,913066.84764835
1984-09-12,1.31466,1.31466,1.30053,1.31466,1493770.1210015
1984-09-13,1.31466,1.31466,1.29356,1.30053,439341.3964368
1984-09-14,1.30053,1.31466,1.29356,1.30053,630366.52660656
1984-09-17,1.30053,1.30053,1.26529,1.27186,473729.52647952
1984-09-18,1.27186,1.27186,1.25783,1.25783,263608.70936667
1984-09-19,1.25783,1.26529,1.25106,1.25783,473729.52647952
1984-09-20,1.25783,1.25783,1.25106,1.25106,168098.69132428
1984-09-21,1.25106,1.28629,1.25106,1.28629,1276005.1199728
1984-09-24,1.28629,1.29356,1.28629,1.28629,374399.96352172
1984-09-25,1.28629,1.29356,1.28629,1.29356,51576.591570604
1984-09-26,1.29356,1.30053,1.27933,1.27933,332373.76246515
1984-09-27,1.28629,1.30053,1.28629,1.29356,196751.90050039
1984-09-28,1.3074,1.31466,1.3074,1.3074,376314.3206559
1984-10-01,1.3074,1.31466,1.29356,1.29356,366754.76078891
1984-10-02,1.29356,1.3074,1.28629,1.28629,553955.25195826
1984-10-03,1.28629,1.29356,1.27933,1.28629,802281.70639527
1984-10-04,1.28629,1.29356,1.27186,1.28629,783177.8689162
1984-10-05,1.28629,1.28629,1.27186,1.28629,32473.77290853
1984-10-08,1.27186,1.27186,1.24399,1.24399,880593.07473982
1984-10-09,1.24399,1.24399,1.24399,1.24399,259786.10800026
1984-10-10,1.24399,1.26529,1.24399,1.26529,198658.10709862
1984-10-11,1.27186,1.29356,1.27186,1.29356,557776.83450767
1984-10-12,1.3074,1.34303,1.3074,1.32889,1102181.6959519
1984-10-15,1.32889,1.33557,1.31466,1.32143,515754.70871909
1984-10-16,1.32143,1.32889,1.31466,1.32889,124162.20840151
1984-10-17,1.32889,1.32889,1.31466,1.32143,118433.40043688
1984-10-18,1.32889,1.34303,1.32889,1.34303,538677.07229658
1984-10-19,1.3499,1.37081,1.3499,1.35696,550133.66940885
1984-10-22,1.3499,1.3499,1.33557,1.34303,177649.08183832
1984-10-23,1.34303,1.36393,1.33557,1.33557,135623.89959875
1984-10-24,1.33557,1.34303,1.32889,1.33557,231132.89882414
1984-10-25,1.33557,1.36393,1.33557,1.36393,143264.00824659
1984-10-26,1.34303,1.34303,1.32889,1.33557,519574.25363451
1984-10-29,1.33557,1.34303,1.33557,1.33557,196751.90050039
1984-10-30,1.33557,1.33557,1.31466,1.31466,290349.59904258
1984-10-31,1.31466,1.32889,1.31466,1.32889,240683.28933819
1984-11-01,1.32889,1.37081,1.32889,1.37081,399230.57133143
1984-11-02,1.37081,1.37081,1.35696,1.35696,175739.81878911
1984-11-05,1.35696,1.37081,1.3499,1.3499,93600.754993176
1984-11-06,1.3499,1.37081,1.3499,1.36393,166187.39064107
1984-11-07,1.36393,1.38514,1.34303,1.38514,305628.79752126
1984-11-08,1.38514,1.38514,1.36393,1.37827,219672.2264439
1984-11-09,1.37827,1.37827,1.35696,1.35696,135623.89959875
1984-11-12,1.35696,1.37081,1.3499,1.3499,137530.10619698
1984-11-13,1.3499,1.3499,1.34303,1.34303,64947.54581706
1984-11-14,1.34303,1.34303,1.33557,1.33557,95510.018042388
1984-11-15,1.33557,1.33557,1.32143,1.32889,93600.754993176
1984-11-16,1.32889,1.32889,1.31466,1.32889,145173.2712958
1984-11-19,1.32889,1.32889,1.32143,1.32143,129891.01636614
1984-11-20,1.32143,1.32889,1.31466,1.32143,66856.808866272
1984-11-21,1.31466,1.31466,1.28629,1.29356,156637.00012703
1984-11-23,1.29356,1.29356,1.28629,1.29356,32473.77290853
1984-11-26,1.29356,1.29356,1.27933,1.27933,534854.47093018
1984-11-27,1.27933,1.27933,1.26529,1.27186,301810.27142283
1984-11-28,1.28629,1.28629,1.28629,1.28629,347651.94212683
1984-11-29,1.28629,1.29356,1.28629,1.28629,353379.73127447
1984-11-30,1.27186,1.27186,1.25783,1.26529,301810.27142283
1984-12-03,1.26529,1.27186,1.26529,1.26529,187198.45353537
1984-12-04,1.26529,1.27186,1.22289,1.24399,337465.80980772
1984-12-05,1.24399,1.26529,1.24399,1.25783,370575.32452132
