Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,1.71263,1.71263,1.66123,1.66883,377114.67686218
1970-01-05,1.66883,1.68334,1.66123,1.66123,141011.12885946
1970-01-06,1.66123,1.66123,1.61774,1.62464,144281.33411234
1970-01-07,1.61024,1.61024,1.56624,1.57393,275459.54575145
1970-01-08,1.57393,1.61024,1.56624,1.58074,444337.36475396
1970-01-09,1.58074,1.58074,1.55134,1.55134,472210.13711382
1970-01-12,1.55134,1.56624,1.52234,1.53713,565668.46733344
1970-01-13,1.54434,1.56624,1.54434,1.55904,406626.60665971
1970-01-14,1.55904,1.57393,1.53713,1.57393,350881.06193996
1970-01-15,1.57393,1.57393,1.55134,1.56624,275459.54575145
1970-01-16,1.56624,1.58074,1.55134,1.55134,296769.60614385
1970-01-19,1.55134,1.56624,1.53713,1.55134,244302.37629943
1970-01-20,1.55134,1.56624,1.53713,1.55134,382033.16287796
1970-01-21,1.55134,1.55904,1.52234,1.53713,400066.93580064
1970-01-22,1.53713,1.55904,1.52955,1.53713,295134.50351741
1970-01-23,1.53713,1.57393,1.52955,1.52955,337759.69281622
1970-01-26,1.52955,1.52955,1.47114,1.48594,270541.05973567
1970-01-27,1.47834,1.47834,1.45615,1.45615,278735.83322116
1970-01-28,1.45615,1.48594,1.45615,1.47114,377114.67686218
1970-01-29,1.47114,1.49294,1.45615,1.47114,329562.89192512
1970-01-30,1.47114,1.49294,1.44904,1.46385,747668.66916248
1970-02-02,1.47114,1.52234,1.47114,1.47114,236105.57540831
1970-02-03,1.47114,1.52234,1.47114,1.50044,1101829.0596805
1970-02-04,1.50044,1.50044,1.47114,1.47834,473851.3219571
1970-02-05,1.47114,1.47114,1.44904,1.47114,378748.76578581
1970-02-06,1.47114,1.48594,1.44904,1.46385,268898.86118959
1970-02-09,1.46385,1.51494,1.45615,1.48594,119693.97254743
1970-02-10,1.48594,1.51494,1.48594,1.50044,324646.43331494
1970-02-11,1.50044,1.55134,1.49294,1.52234,331200.02195717
1970-02-12,1.52234,1.52234,1.50044,1.50044,247586.77339159
1970-02-13,1.50044,1.51494,1.49294,1.50044,768986.83917732
1970-02-16,1.50044,1.52234,1.50044,1.50044,214790.4465019
1970-02-17,1.50044,1.50754,1.49294,1.50044,227911.81562563
1970-02-18,1.50044,1.52234,1.48594,1.51494,1795391.341561
1970-02-19,1.52234,1.58074,1.52234,1.57393,1077233.5884932
1970-02-20,1.57393,1.61774,1.54434,1.58074,398432.84687701
1970-02-24,1.58074,1.61774,1.57393,1.61024,231187.08939253
1970-02-25,1.61024,1.63243,1.60235,1.61774,309886.92045636
1970-02-26,1.61774,1.61774,1.58843,1.60235,121333.12998509
1970-02-27,1.60235,1.61774,1.59543,1.60235,136091.62914088
1970-03-02,1.60235,1.67574,1.60235,1.62464,408267.79150297
1970-03-03,1.62464,1.65423,1.61024,1.61024,627975.71031785
1970-03-04,1.61774,1.66123,1.61774,1.63894,362353.13659797
1970-03-05,1.63894,1.66123,1.63894,1.65423,296769.60614385
1970-03-06,1.65423,1.66883,1.64683,1.65423,349237.84969108
1970-03-09,1.63894,1.63894,1.61774,1.63243,178717.83214249
1970-03-10,1.63243,1.63243,1.61774,1.61774,124611.44486041
1970-03-11,1.61774,1.63243,1.61774,1.61774,152484.21722028
1970-03-12,1.61774,1.63243,1.61024,1.61774,178717.83214249
1970-03-13,1.62464,1.63243,1.62464,1.63243,508284.77887884
1970-03-16,1.63243,1.63243,1.61774,1.61774,182001.21553185
1970-03-17,1.61774,1.64683,1.61024,1.64683,1126425.5445707
1970-03-18,1.66883,1.72723,1.66883,1.69774,1108392.7853509
1970-03-19,1.69774,1.72013,1.69074,1.71263,191836.16015781
1970-03-20,1.71263,1.71263,1.67574,1.68334,162322.20295467
1970-03-23,1.69074,1.72723,1.69074,1.71263,355801.57536136
1970-03-24,1.71263,1.76363,1.69774,1.71263,588625.79478594
1970-03-25,1.71263,1.80062,1.69774,1.77113,1360891.9625413
1970-03-26,1.77113,1.79313,1.76363,1.77843,509926.97742492
1970-03-30,1.77843,1.77843,1.75653,1.77113,219716.02843732
1970-03-31,1.77113,1.77113,1.76363,1.76363,537799.74978479
1970-04-01,1.76363,1.77113,1.75653,1.75653,465654.52106599
1970-04-02,1.75653,1.77843,1.74914,1.76363,278735.83322116
1970-04-03,1.76363,1.78593,1.76363,1.77843,222991.30220423
1970-04-06,1.77843,1.78593,1.76363,1.77843,137731.80028134
1970-04-07,1.76363,1.76363,1.74914,1.75653,242662.20515896
1970-04-08,1.75653,1.76363,1.72723,1.74222,103294.28854838
1970-04-09,1.74222,1.74222,1.72723,1.74222,167243.73007887
1970-04-10,1.73463,1.73463,1.70553,1.73463,575509.49417624
1970-04-13,1.73463,1.74222,1.73463,1.73463,245941.53373709
1970-04-14,1.73463,1.73463,1.71263,1.73463,1200205.875916
1970-04-15,1.72723,1.72723,1.70553,1.70553,186916.66043922
1970-04-16,1.70553,1.71263,1.69774,1.71263,113136.32909399
1970-04-17,1.71263,1.71263,1.64683,1.65423,896877.61261586
1970-04-20,1.63243,1.63243,1.61024,1.61774,401709.13434672
1970-04-21,1.61774,1.62464,1.60235,1.60235,260699.01919006
1970-04-22,1.60235,1.61024,1.58843,1.58843,549276.89295683
1970-04-23,1.57393,1.57393,1.53713,1.56624,309886.92045636
1970-04-24,1.56624,1.56624,1.52955,1.56624,252506.27311017
1970-04-27,1.56624,1.57393,1.53713,1.55904,313168.27644009
1970-04-28,1.55904,1.56624,1.52955,1.52955,268898.86118959
1970-04-29,1.52955,1.61024,1.50044,1.60235,567313.70698793
1970-04-30,1.58843,1.58843,1.52955,1.54434,362353.13659797
1970-05-01,1.54434,1.59543,1.50754,1.58074,413188.30492437
1970-05-04,1.58074,1.59543,1.52234,1.54434,185274.46189313
1970-05-05,1.53713,1.53713,1.52234,1.53713,268898.86118959
1970-05-06,1.54434,1.56624,1.54434,1.55134,182001.21553185
1970-05-07,1.55134,1.56624,1.53713,1.55904,126253.64340649
1970-05-08,1.55904,1.56624,1.55134,1.56624,126253.64340649
1970-05-11,1.56624,1.56624,1.53713,1.54434,59026.900703482
1970-05-12,1.54434,1.55134,1.47114,1.47114,363995.33514405
1970-05-13,1.47114,1.48594,1.44904,1.46385,514840.39492667
1970-05-14,1.45615,1.45615,1.40525,1.42685,583708.32247296
1970-05-15,1.42685,1.45615,1.39795,1.39795,459094.85020693
1970-05-18,1.39035,1.39035,1.36864,1.37574,216428.59023675
1970-05-19,1.37574,1.39035,1.34695,1.37574,203315.33073546
1970-05-20,1.37574,1.37574,1.29545,1.31754,2062646.9905017
1970-05-21,1.31754,1.32485,1.28795,1.31014,350881.06193996
1970-05-22,1.29545,1.29545,1.27375,1.28795,505003.4228951
1970-05-25,1.27375,1.27375,1.22955,1.22955,193478.35870389
1970-05-26,1.22955,1.28795,1.22955,1.25885,734552.36855277
1970-05-27,1.25885,1.36864,1.25885,1.36134,537799.74978479
1970-05-28,1.36134,1.38334,1.33935,1.38334,298411.80468993
1970-05-29,1.38334,1.40525,1.36134,1.40525,464017.39103394
1970-06-01,1.40525,1.48594,1.39795,1.48594,241027.10253252
1970-06-02,1.48594,1.50044,1.46385,1.50044,400066.93580064
1970-06-03,1.50044,1.50044,1.46385,1.48594,186916.66043922
1970-06-04,1.48594,1.50754,1.43434,1.49294,311527.09159682
1970-06-05,1.48594,1.48594,1.45615,1.47834,145927.58746964
1970-06-08,1.47114,1.47114,1.44214,1.45615,252506.27311017
1970-06-09,1.45615,1.45615,1.42685,1.43434,203315.33073546
1970-06-10,1.43434,1.45615,1.42685,1.43434,109853.95940744
1970-06-11,1.42004,1.42004,1.39795,1.40525,137731.80028134
1970-06-12,1.40525,1.41235,1.37574,1.39035,200031.94734612
1970-06-15,1.39035,1.40525,1.38334,1.39795,177078.67470484
1970-06-16,1.39795,1.47114,1.39035,1.44214,154124.38836075
1970-06-17,1.44214,1.49294,1.44214,1.44214,204955.50187593
1970-06-18,1.44214,1.47834,1.43434,1.44904,242662.20515896
1970-06-19,1.44904,1.48594,1.42685,1.44904,475489.46569196
1970-06-22,1.44904,1.47114,1.44214,1.45615,232829.2879386
1970-06-23,1.45615,1.47114,1.44214,1.44904,121333.12998509
1970-06-24,1.44904,1.47834,1.42004,1.44904,244302.37629943
1970-06-25,1.44904,1.47114,1.43434,1.43434,180359.01698577
1970-06-26,1.43434,1.44904,1.42004,1.42004,132813.31426556
1970-06-29,1.42004,1.43434,1.39035,1.39035,200031.94734612
1970-06-30,1.39035,1.41235,1.39035,1.39035,116414.64396931
1970-07-01,1.39035,1.39035,1.33935,1.35375,398432.84687701
1970-07-02,1.35375,1.36134,1.32485,1.33935,368914.83486265
1970-07-06,1.31014,1.31014,1.26605,1.28085,360720.06137715
1970-07-07,1.28085,1.33935,1.25136,1.25136,565668.46733344
1970-07-08,1.25136,1.28085,1.23685,1.27375,245941.53373709
1970-07-09,1.28085,1.30246,1.28085,1.28085,173802.38723513
1970-07-10,1.28085,1.28085,1.28085,1.28085,104933.44598603
1970-07-13,1.28085,1.28085,1.25136,1.25136,118053.80140696
1970-07-14,1.25136,1.26605,1.21455,1.21455,260699.01919006
1970-07-15,1.21455,1.25885,1.20775,1.24444,227911.81562563
1970-07-16,1.25885,1.33935,1.25885,1.31754,406626.60665971
1970-07-17,1.33935,1.40525,1.33935,1.36134,565668.46733344
1970-07-20,1.36134,1.36864,1.34695,1.35375,155762.5320956
1970-07-21,1.35375,1.36134,1.31014,1.36134,636172.51120896
1970-07-22,1.36134,1.36864,1.33205,1.33205,214790.4465019
1970-07-23,1.33205,1.36864,1.31014,1.36864,291853.14753368
1970-07-24,1.35375,1.35375,1.31754,1.33205,160683.04551701
1970-07-27,1.32485,1.32485,1.28795,1.31014,224628.43223627
1970-07-28,1.31014,1.32485,1.29545,1.30246,208234.83045406
1970-07-29,1.31014,1.33935,1.31014,1.31014,1044440.3027119
1970-07-30,1.31014,1.31014,1.29545,1.30246,291853.14753368
1970-07-31,1.30246,1.31754,1.29545,1.31754,311527.09159682
1970-08-03,1.31754,1.32485,1.31014,1.32485,244302.37629943
1970-08-04,1.31754,1.31754,1.28085,1.31754,341041.04879997
1970-08-05,1.31754,1.32485,1.28795,1.31754,344321.3910809
1970-08-06,1.31754,1.33935,1.31014,1.31754,98377.829938202
1970-08-07,1.31754,1.33935,1.31754,1.33935,285298.54518865
1970-08-10,1.33935,1.35375,1.32485,1.33935,124611.44486041
1970-08-11,1.32485,1.32485,1.30246,1.31014,370557.03340872
1970-08-12,1.31014,1.31014,1.29545,1.31014,180359.01698577
1970-08-13,1.31014,1.31014,1.28795,1.28795,198394.81731406
1970-08-14,1.28795,1.31014,1.28085,1.28085,154124.38836075
1970-08-17,1.28085,1.29545,1.25885,1.25885,186916.66043922
1970-08-18,1.25885,1.28795,1.25885,1.28085,154124.38836075
1970-08-19,1.28085,1.29545,1.27375,1.27375,378748.76578581
1970-08-20,1.27375,1.28085,1.26605,1.28085,182001.21553185
1970-08-21,1.28085,1.36134,1.25885,1.36134,470570.97967617
1970-08-24,1.36134,1.37574,1.34695,1.36864,380392.9917375
1970-08-25,1.36864,1.38334,1.32485,1.36864,282018.20290771
1970-08-26,1.36864,1.41235,1.34695,1.39795,950979.94508671
1970-08-27,1.39795,1.40525,1.36134,1.36134,291853.14753368
1970-08-28,1.36134,1.39035,1.36134,1.36134,221349.10365815
1970-08-31,1.36134,1.36134,1.29545,1.33935,234470.47278188
1970-09-01,1.33935,1.35375,1.32485,1.33205,119693.97254743
1970-09-02,1.33935,1.36864,1.33935,1.34695,150842.0186742
1970-09-03,1.34695,1.36134,1.33935,1.33935,296769.60614385
1970-09-04,1.33935,1.38334,1.33205,1.37574,518122.76461322
1970-09-08,1.37574,1.37574,1.35375,1.36864,337759.69281622
1970-09-09,1.36864,1.37574,1.35375,1.37574,375475.51942451
1970-09-10,1.37574,1.37574,1.36864,1.37574,252506.27311017
1970-09-11,1.37574,1.38334,1.36864,1.36864,352517.17826921
1970-09-14,1.36864,1.37574,1.36134,1.36134,382033.16287796
1970-09-15,1.36134,1.37574,1.36134,1.36134,137731.80028134
1970-09-16,1.36134,1.37574,1.36134,1.36864,665691.53692613
1970-09-17,1.37574,1.39035,1.37574,1.37574,514840.39492667
1970-09-18,1.37574,1.39795,1.36864,1.39035,234470.47278188
1970-09-21,1.39035,1.39035,1.37574,1.37574,216428.59023675
1970-09-22,1.37574,1.39035,1.37574,1.37574,247586.77339159
1970-09-23,1.37574,1.40525,1.37574,1.40525,349237.84969108
1970-09-24,1.40525,1.44214,1.39795,1.40525,491889.14969101
1970-09-25,1.41235,1.44214,1.41235,1.44214,357439.71909622
1970-09-28,1.44214,1.44214,1.42004,1.42004,85261.529328499
1970-09-29,1.42004,1.44214,1.40525,1.42685,268898.86118959
1970-09-30,1.42685,1.44214,1.40525,1.43434,191836.16015781
1970-10-01,1.43434,1.44214,1.41235,1.42004,154124.38836075
1970-10-02,1.42685,1.44904,1.42685,1.44214,200031.94734612
1970-10-05,1.44904,1.47114,1.44904,1.47114,339405.94617354
1970-10-06,1.47114,1.50044,1.47114,1.49294,411550.16118952
1970-10-07,1.49294,1.50754,1.45615,1.45615,219716.02843732
1970-10-08,1.45615,1.48594,1.43434,1.46385,455810.45311477
1970-10-09,1.45615,1.45615,1.42685,1.42685,700117.89792823
1970-10-12,1.42685,1.42685,1.39795,1.40525,359074.82172265
1970-10-13,1.39795,1.39795,1.35375,1.37574,437779.72130051
1970-10-14,1.39035,1.42004,1.39035,1.40525,182001.21553185
1970-10-15,1.40525,1.42004,1.40525,1.42004,232829.2879386
1970-10-16,1.42004,1.42685,1.39795,1.42004,383671.30661282
1970-10-19,1.42004,1.42004,1.40525,1.40525,155762.5320956
1970-10-20,1.40525,1.41235,1.39035,1.39795,304973.5029546
1970-10-21,1.39795,1.39795,1.38334,1.39035,162322.20295467
1970-10-22,1.39035,1.39035,1.36864,1.37574,172160.18868905
1970-10-23,1.37574,1.39035,1.37574,1.39035,67227.756405816
1970-10-26,1.38334,1.38334,1.35375,1.38334,136091.62914088
1970-10-27,1.38334,1.39795,1.37574,1.39795,550911.99558327
1970-10-28,1.39035,1.39035,1.37574,1.39035,209877.02900014
1970-10-29,1.39035,1.39035,1.37574,1.37574,288574.83265835
1970-10-30,1.37574,1.39035,1.37574,1.39035,118053.80140696
1970-11-02,1.39035,1.39035,1.36864,1.39035,544354.35212982
1970-11-03,1.39035,1.39035,1.38334,1.38334,242662.20515896
1970-11-04,1.39035,1.41235,1.39035,1.39795,378748.76578581
1970-11-05,1.39795,1.42004,1.39035,1.42004,241027.10253252
1970-11-06,1.42004,1.44214,1.42004,1.42004,323007.27587729
1970-11-09,1.42685,1.46385,1.42685,1.45615,216428.59023675
1970-11-10,1.45615,1.46385,1.44214,1.44214,757508.68230247
1970-11-11,1.44214,1.47834,1.44214,1.45615,277098.70318912
1970-11-12,1.45615,1.46385,1.44904,1.44904,495169.49197194
1970-11-13,1.44214,1.44214,1.40525,1.41235,342681.21994043
1970-11-17,1.40525,1.43434,1.40525,1.42004,242662.20515896
1970-11-18,1.42004,1.44904,1.42004,1.44904,257424.75912596
1970-11-19,1.44904,1.45615,1.42004,1.44904,195115.48873594
1970-11-20,1.44904,1.44904,1.42685,1.44214,337759.69281622
1970-11-23,1.44214,1.47114,1.43434,1.47114,196754.6461736
1970-11-24,1.47114,1.48594,1.45615,1.47114,182001.21553185
1970-11-25,1.47114,1.50044,1.47114,1.50044,362353.13659797
1970-11-27,1.50044,1.54434,1.50044,1.54434,113136.32909399
1970-11-30,1.54434,1.57393,1.53713,1.55904,301694.17437647
1970-12-01,1.56624,1.61774,1.56624,1.60235,503366.29286306
1970-12-02,1.60235,1.64683,1.60235,1.64683,370557.03340872
1970-12-03,1.64683,1.69074,1.63243,1.66123,449258.89187817
1970-12-04,1.64683,1.64683,1.63243,1.64683,465654.52106599
1970-12-07,1.65423,1.66883,1.65423,1.66123,418100.70872332
1970-12-08,1.66123,1.67574,1.65423,1.66123,452535.17934788
1970-12-09,1.66123,1.66123,1.63894,1.63894,468933.84964412
1970-12-10,1.63894,1.68334,1.63894,1.66883,529597.88037966
1970-12-11,1.66883,1.69774,1.66883,1.69774,186916.66043922
1970-12-14,1.69074,1.69074,1.67574,1.68334,206590.60450237
1970-12-15,1.68334,1.68334,1.64683,1.64683,768986.83917732
1970-12-16,1.64683,1.66883,1.64683,1.66123,342681.21994043
1970-12-17,1.66123,1.67574,1.65423,1.66883,180359.01698577
1970-12-18,1.66883,1.68334,1.66123,1.66883,616502.62195703
1970-12-21,1.66883,1.67574,1.65423,1.66123,742751.1968495
1970-12-22,1.66123,1.67574,1.66123,1.66123,244302.37629943
