Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-03-26,6.24453,6.35902,4.93733,6.27496,2540806.3289191
1993-03-29,6.22172,6.27496,6.16798,6.1909,980999.0576152
1993-03-30,6.16798,6.1909,6.10704,6.1909,1099403.0361573
1993-03-31,6.16798,6.35902,6.16798,6.32869,929318.61388372
1993-04-01,6.29797,6.32869,6.24453,6.24453,735421.78530614
1993-04-02,6.24453,6.24453,6.22172,6.22172,696036.80837295
1993-04-05,6.1909,6.1909,6.13747,6.13747,455432.39179987
1993-04-06,6.16798,6.22172,6.16798,6.22172,199783.87175846
1993-04-07,6.22172,6.46638,6.22172,6.35902,275668.51641323
1993-04-08,6.32869,6.38213,6.29797,6.29797,678376.69121945
1993-04-12,6.29797,6.32869,6.22172,6.24453,427438.81811198
1993-04-13,6.22172,6.27496,6.22172,6.27496,1971674.5311759
1993-04-14,6.27496,6.29797,6.24453,6.24453,167994.85097081
1993-04-15,6.27496,6.35902,6.24453,6.32869,208942.95682426
1993-04-16,6.32869,6.38213,6.32869,6.35902,138419.92535712
1993-04-19,6.29797,6.35902,6.27496,6.32869,82821.53543302
1993-04-20,6.32869,6.32869,6.16798,6.16798,732673.14863614
1993-04-21,6.16798,6.1909,6.16798,6.1909,192067.44129848
1993-04-22,6.16798,6.1909,6.13747,6.16798,170476.2168928
1993-04-23,6.1909,6.1909,6.10704,6.1909,305628.14992182
1993-04-26,6.16798,6.16798,6.00006,6.00006,452816.37811466
1993-04-27,6.00006,6.03029,6.00006,6.03029,263499.59826459
1993-04-28,6.03029,6.03029,6.00006,6.00006,355739.39039785
1993-04-29,6.03029,6.0535,6.00006,6.00006,208288.95340296
1993-04-30,6.03029,6.24453,6.03029,6.24453,473881.16013787
1993-05-03,6.22172,6.32869,6.22172,6.32869,285479.58012194
1993-05-04,6.4889,6.55035,6.46638,6.4889,459750.23172532
1993-05-05,6.71075,6.93241,6.68014,6.93241,489976.12359272
1993-05-06,6.98585,6.98585,6.7641,6.79502,305103.73231773
