Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1989-01-05,2.3181,2.3412,2.2808,2.3412,163671.0
1989-01-06,2.3181,2.3412,2.3031,2.3181,238114.0
1989-01-09,2.3561,2.3561,2.3031,2.3412,312031.0
1989-01-10,2.3561,2.3942,2.3031,2.3942,540637.0
1989-01-11,2.3942,2.4699,2.3942,2.4319,1177368.0
1989-01-12,2.4319,2.4926,2.4165,2.4926,1436601.0
1989-01-13,2.5078,2.5457,2.4926,2.5305,492065.0
1989-01-16,2.5305,2.5305,2.4699,2.5078,699024.0
1989-01-17,2.5078,2.5305,2.4547,2.4926,512655.0
1989-01-18,2.5078,2.5681,2.4699,2.5681,756050.0
1989-01-19,2.5681,2.5681,2.5078,2.5078,132519.0
1989-01-20,2.5305,2.5457,2.5078,2.5457,597130.0
1989-01-23,2.5457,2.5457,2.4926,2.5078,314144.0
1989-01-24,2.5078,2.5078,2.4699,2.5078,530610.0
1989-01-25,2.5305,2.6063,2.4926,2.5681,256592.0
1989-01-26,2.5834,2.6596,2.5681,2.6596,1760242.0
1989-01-27,2.6596,2.8109,2.6439,2.7579,3678341.0
1989-01-30,2.72,2.735,2.6972,2.72,1331010.0
1989-01-31,2.7579,2.7728,2.6818,2.72,956673.0
1989-02-01,2.6972,2.72,2.6818,2.6972,526381.0
1989-02-02,2.6972,2.72,2.6818,2.6972,100312.0
1989-02-03,2.6972,2.735,2.6818,2.735,376969.0
1989-02-06,2.735,2.735,2.6596,2.6818,357436.0
1989-02-07,2.6596,2.6972,2.6439,2.6818,1384326.0
1989-02-08,2.6972,2.6972,2.6212,2.6439,164198.0
1989-02-09,2.6212,2.6439,2.5457,2.5457,181096.0
1989-02-10,2.5078,2.5457,2.4699,2.5078,372741.0
1989-02-13,2.4926,2.4926,2.4547,2.4926,359018.0
1989-02-14,2.4699,2.5681,2.4699,2.5457,172117.0
1989-02-15,2.5681,2.5834,2.5457,2.5681,569676.0
1989-02-16,2.5681,2.5834,2.5305,2.5457,222273.0
1989-02-17,2.5305,2.5457,2.5305,2.5457,151527.0
1989-02-21,2.5305,2.5457,2.4926,2.4926,255010.0
1989-02-22,2.4851,2.4851,2.4319,2.4851,255533.0
1989-02-23,2.4851,2.5078,2.4469,2.5078,719093.0
1989-02-24,2.5078,2.5457,2.4851,2.5228,1164167.0
1989-02-27,2.5228,2.5457,2.5078,2.5228,593433.0
1989-02-28,2.5228,2.5228,2.4699,2.5078,751825.0
1989-03-01,2.4851,2.5078,2.4699,2.4851,145194.0
1989-03-02,2.4851,2.4851,2.4699,2.4851,671048.0
1989-03-03,2.4699,2.5078,2.4699,2.5078,2248082.0
1989-03-06,2.4851,2.5078,2.4469,2.4699,1961924.0
1989-03-07,2.4699,2.4699,2.3714,2.3942,357962.0
1989-03-08,2.4091,2.4319,2.3561,2.4319,687939.0
1989-03-09,2.3942,2.4319,2.3942,2.4319,1139876.0
1989-03-10,2.4319,2.4319,2.3942,2.3942,447719.0
1989-03-13,2.3714,2.4091,2.3561,2.3942,775060.0
1989-03-14,2.4091,2.4319,2.4091,2.4319,289324.0
1989-03-15,2.4319,2.4469,2.4091,2.4319,2051679.0
1989-03-16,2.4469,2.4469,2.4091,2.4319,1087084.0
1989-03-17,2.4091,2.4091,2.3334,2.3561,410758.0
1989-03-20,2.3561,2.3561,2.2957,2.3181,354789.0
1989-03-21,2.3181,2.3561,2.3181,2.3181,1067020.0
1989-03-22,2.3334,2.3561,2.2808,2.3181,3372125.0
1989-03-23,2.3334,2.3561,2.2808,2.2957,1156774.0
1989-03-27,2.3181,2.3334,2.2577,2.2808,228609.0
1989-03-28,2.2957,2.4091,2.2808,2.3561,683715.0
1989-03-29,2.3942,2.4699,2.3942,2.4469,1482003.0
1989-03-30,2.4699,2.4699,2.4091,2.4469,374857.0
1989-03-31,2.4319,2.4851,2.4319,2.4319,712755.0
1989-04-03,2.4469,2.4699,2.4319,2.4469,209077.0
1989-04-04,2.4699,2.4851,2.4469,2.4469,786668.0
1989-04-05,2.4699,2.4699,2.4469,2.4699,304110.0
1989-04-06,2.4851,2.4851,2.4469,2.4699,276127.0
1989-04-07,2.4851,2.4851,2.4091,2.4319,262929.0
1989-04-10,2.4319,2.4851,2.4319,2.4699,886985.0
1989-04-11,2.4699,2.4699,2.4469,2.4699,529551.0
1989-04-12,2.4699,2.4851,2.4319,2.4469,743906.0
1989-04-13,2.4699,2.4699,2.4091,2.4469,494177.0
1989-04-14,2.4469,2.5078,2.4469,2.5078,1031646.0
1989-04-17,2.5078,2.6364,2.5078,2.6364,1031646.0
1989-04-18,2.6596,2.75,2.6364,2.735,1000495.0
1989-04-19,2.6972,2.75,2.6746,2.735,867981.0
1989-04-20,2.735,2.735,2.6364,2.6596,806204.0
1989-04-21,2.6364,2.6596,2.6212,2.6212,950865.0
1989-04-24,2.6364,2.6972,2.6364,2.6972,343180.0
1989-04-25,2.6972,2.735,2.6746,2.6972,1593932.0
1989-04-26,2.6972,2.6972,2.6364,2.6746,1018973.0
1989-04-27,2.6972,2.735,2.6972,2.7119,1108731.0
1989-04-28,2.7119,2.7119,2.5986,2.6596,307279.0
1989-05-01,2.6596,2.6596,2.5834,2.5834,154697.0
1989-05-02,2.6212,2.6364,2.5834,2.5834,195878.0
1989-05-03,2.5607,2.5834,2.5607,2.5834,366935.0
1989-05-04,2.5834,2.5986,2.5607,2.5607,113517.0
1989-05-05,2.5607,2.6364,2.5607,2.5986,596608.0
1989-05-08,2.5986,2.5986,2.5607,2.5986,389640.0
1989-05-09,2.5986,2.6212,2.5607,2.5834,255010.0
1989-05-10,2.5834,2.5986,2.5834,2.5834,210656.0
1989-05-11,2.5834,2.6364,2.5607,2.6364,298298.0
1989-05-12,2.6746,2.735,2.6596,2.735,504735.0
1989-05-15,2.735,2.75,2.6972,2.7119,1171560.0
1989-05-16,2.6972,2.7119,2.6746,2.6746,250253.0
1989-05-17,2.7119,2.735,2.6596,2.7119,803566.0
1989-05-18,2.6746,2.75,2.6746,2.7119,1129325.0
1989-05-19,2.735,2.75,2.7119,2.735,918663.0
1989-05-22,2.735,2.735,2.6972,2.7119,387528.0
1989-05-23,2.6746,2.6972,2.6596,2.6746,357962.0
1989-05-24,2.6516,2.6894,2.6516,2.6894,53329.0
1989-05-25,2.6516,2.7119,2.6364,2.6894,293019.0
1989-05-26,2.6894,2.6894,2.6516,2.6894,105068.0
1989-05-30,2.6746,2.6894,2.6516,2.6516,216991.0
1989-05-31,2.6894,2.75,2.6746,2.75,1768689.0
1989-06-01,2.7654,2.8109,2.7654,2.8109,1853692.0
1989-06-02,2.8259,2.9246,2.8259,2.9246,1884840.0
1989-06-05,2.9623,2.9774,2.9018,2.9246,715392.0
1989-06-06,2.9246,3.0001,2.9246,2.9774,568618.0
1989-06-07,3.0154,3.2278,3.0154,3.2049,1723809.0
1989-06-08,3.1895,3.2881,3.1895,3.2278,1610296.0
