Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-20,40.714,48.0912,40.714,44.7407,154303.24588892
2022-01-21,42.7522,49.6621,42.7025,44.7407,331395.82616291
2022-01-24,44.6612,44.7407,41.6387,42.5533,110641.62501965
2022-01-25,42.2551,44.6612,41.0918,41.656,23608.052638643
2022-01-26,44.7506,44.8004,42.0065,42.971,91286.079476959
2022-01-27,46.9876,49.334,43.4979,45.4963,152496.83558988
2022-01-28,44.2932,47.3257,43.8955,46.4806,43861.77434895
2022-01-31,45.7348,47.7234,45.7348,47.7234,71727.363065446
2022-02-01,47.2263,49.7119,46.7789,49.4932,300540.00480775
2022-02-02,49.7416,55.906,49.513,52.7045,23999206.850945
2022-02-03,51.8892,56.2441,50.0102,53.3109,8474356.5124353
2022-02-04,52.2968,54.017,49.8312,49.851,6797071.3584988
2022-02-07,49.7119,49.7516,45.7348,45.8045,9487274.9369147
2022-02-08,44.87,47.2859,43.9154,45.2378,7319582.5780699
2022-02-09,44.4921,47.1765,43.6272,47.0373,4418765.237617
2022-02-10,45.2477,48.2205,45.1185,46.7789,2464100.5521221
2022-02-11,46.4906,48.6281,45.7945,47.8129,3476836.9274565
2022-02-14,47.9123,48.7177,46.7192,47.8328,2167549.5357587
2022-02-15,47.4251,48.1708,46.928,47.7234,2373508.4721476
2022-02-16,47.445,48.1907,46.6794,46.928,5889269.7195221
2022-02-17,46.0531,46.8087,44.9296,45.029,3160784.5250752
2022-02-18,44.8897,45.6355,44.5419,45.1483,2030363.9384663
2022-02-22,45.1483,45.4167,43.2394,43.2891,2626320.4213205
2022-02-23,43.4381,43.7365,41.9368,42.8417,2807401.9900387
2022-02-24,42.9013,44.333,41.9767,44.0646,2462101.0289181
2022-02-25,44.0447,44.6711,43.488,43.657,2052773.0818196
2022-02-28,43.0504,46.3513,42.2152,45.7151,5567033.6809947
2022-03-01,45.3571,47.7731,45.0886,47.5145,4237288.3909214
2022-03-02,47.7234,50.0102,47.0573,49.175,3537442.1941485
2022-03-03,49.5329,50.0399,47.273,49.2346,2084401.3547949
2022-03-04,48.8867,50.7459,47.9719,50.7061,2559457.0895502
2022-03-07,50.7657,52.277,49.5825,51.3523,2742925.4130789
2022-03-08,50.8851,55.0012,50.557,52.0184,3896175.5659282
2022-03-09,52.1377,53.3707,50.2985,51.0341,3068309.5942768
2022-03-10,50.2786,51.3425,48.9861,51.0242,2708447.7189583
2022-03-11,51.1237,51.5413,48.0117,49.0358,3051664.669979
2022-03-14,51.5611,51.5611,48.31,50.6564,2933494.6590527
2022-03-15,51.0441,51.2926,49.6125,50.9944,2129771.8237142
2022-03-16,51.412,52.098,50.0599,51.4717,3007125.9946661
2022-03-17,51.581,52.4063,50.6167,50.6961,2257601.503077
2022-03-18,50.3581,51.1137,48.5984,48.7276,9719941.7903863
2022-03-21,48.6281,49.1451,48.32,48.9363,2466169.4752764
2022-03-22,50.0599,51.75,49.7218,50.8453,3864178.1656814
2022-03-23,50.4078,51.4717,50.4078,50.6961,2410186.8487483
2022-03-24,50.8851,52.277,50.4745,52.108,2348723.6377439
2022-03-25,51.9389,53.5098,51.7302,53.49,2455344.088835
2022-03-28,54.0666,56.5224,53.7386,56.4528,3145333.481081
2022-03-29,56.6715,57.0593,54.3151,56.0054,2214050.5198096
2022-03-30,55.8463,57.457,55.379,57.1686,1945329.8892893
2022-03-31,58.0038,58.7395,55.4586,55.9258,3839793.6382373
2022-04-01,56.0352,57.964,55.379,57.6857,2168974.7492296
2022-04-04,58.0237,58.3617,57.1985,58.0435,1896236.9679663
2022-04-05,58.3121,59.9724,58.1131,58.66,2155567.48348
2022-04-06,58.5605,59.7337,58.0336,59.2565,2574280.5166033
2022-04-07,59.4156,60.718,59.0079,60.559,3948558.4472112
2022-04-08,60.8672,64.526,60.549,63.6511,4789935.2816393
2022-04-11,63.8102,64.2889,60.0618,60.3303,3508047.7949339
2022-04-12,60.6485,62.8457,60.5292,61.5134,2567769.9966335
2022-04-13,61.6824,64.178,61.3941,63.8301,3425482.9758707
2022-04-14,63.7505,64.347,61.8227,62.1896,1870866.7600694
2022-04-18,61.9311,63.8002,61.9311,62.9451,1223827.890652
2022-04-19,63.2633,66.5046,62.5177,66.3255,2090935.0080813
2022-04-20,67.4291,68.2842,64.69,65.033,2195509.6693349
2022-04-21,64.6253,65.918,61.7919,62.3089,2508138.3408377
2022-04-22,62.1398,64.0844,61.9311,62.0702,2042253.4574779
2022-04-25,62.0006,62.4779,59.0974,61.9112,2274784.5284382
2022-04-26,61.4438,61.8615,59.5648,59.6045,2148859.8274197
2022-04-27,59.6641,60.8373,59.3858,59.7437,2003156.1405824
2022-04-28,59.873,60.9964,58.4612,60.9566,3375188.1278732
2022-04-29,61.1456,61.5035,58.8091,58.8688,2593383.6072544
2022-05-02,58.9583,59.6444,56.5722,57.8647,2502597.4085785
2022-05-03,58.1131,60.1016,58.1131,59.356,2237188.8655386
2022-05-04,59.7735,61.936,59.4983,61.4538,2644163.2491072
2022-05-05,60.8672,61.6327,58.829,59.8133,1958227.216274
2022-05-06,59.9127,60.8771,58.3617,59.9227,2877596.5194206
2022-05-09,60.2209,60.2209,56.2441,57.288,2206428.5948396
2022-05-10,57.9143,59.525,56.4081,56.7112,2168689.1030576
2022-05-11,56.7808,58.6898,56.2042,57.0393,1887958.25796
2022-05-12,57.1201,57.6583,52.9042,53.2929,3798229.0096441
2022-05-13,54.3494,55.7153,53.4523,54.429,2325317.6816755
2022-05-16,54.2397,56.9407,54.1599,56.4025,1637402.3506891
2022-05-17,56.6616,59.2829,55.7945,59.1235,2222444.8238956
2022-05-18,59.2231,60.0553,56.7414,57.0902,4624386.3902962
2022-05-19,56.9407,57.3194,54.7381,57.0403,2188361.8938954
2022-05-20,57.3194,58.7447,55.3061,56.4623,2273740.787369
2022-05-23,57.3095,57.3992,55.6749,56.4125,1587110.714944
2022-05-24,56.3627,57.1699,54.8875,56.5918,1687936.7909399
2022-05-25,56.6916,59.1434,56.6916,58.974,1981214.5341437
2022-05-26,58.9839,62.8338,58.974,62.2631,3271038.2215659
2022-05-27,62.1933,66.4192,61.7946,66.3794,2803112.8027013
2022-05-31,65.3229,66.1701,61.1666,61.8743,7413838.9312385
2022-06-01,62.1733,63.7082,61.944,63.4392,2015308.5007123
2022-06-02,63.479,63.9075,61.7746,63.5388,1764379.0739479
2022-06-03,63.0503,65.6019,62.9109,64.954,1799416.1654562
2022-06-06,65.3527,66.7182,65.1683,66.1701,2039992.2876969
2022-06-07,65.3029,66.479,64.9452,66.3295,2730703.8837968
2022-06-08,66.2199,66.2498,62.9208,64.5553,1928638.328731
2022-06-09,64.0471,64.2464,60.9573,61.0072,1817217.1470301
2022-06-10,59.6516,60.8577,59.0138,59.5919,1545938.294706
2022-06-13,58.077,58.7946,55.0171,55.2962,2120235.1635469
2022-06-14,55.8444,56.2929,53.1433,54.2596,2338184.313831
2022-06-15,55.5155,59.3577,55.4955,58.0072,3904693.7687898
2022-06-16,56.1433,58.1566,55.8942,58.067,4853101.211434
2022-06-17,58.356,59.3029,55.3012,57.9075,6500438.4803705
2022-06-21,57.9075,60.7381,57.9075,60.1799,4378148.5084444
2022-06-22,59.0836,60.2298,58.6699,59.0138,3244134.0776756
2022-06-23,59.6816,61.0271,57.5985,58.4557,2676441.0900612
2022-06-24,58.6451,60.1401,57.7879,59.0836,6495319.5192618
2022-06-27,58.9242,59.6726,58.2264,59.2231,1724584.2181165
2022-06-28,59.6418,60.7082,57.6384,57.8875,1406402.9598836
2022-06-29,57.7679,57.9623,56.1334,57.1201,1416927.8328805
2022-06-30,56.7114,58.6391,56.3627,57.0703,2432480.7546062
2022-07-01,56.532,57.8975,56.4324,57.4092,1536985.63105
2022-07-05,56.9607,57.1799,52.7148,54.7579,2705643.8501608
2022-07-06,54.9473,57.0305,54.3792,56.572,1722259.5154726
