Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-08-10,2.42503,2.42503,2.42503,2.42503,
2005-08-11,2.46287,2.50833,2.42503,2.45556,101172404.61543
2005-08-12,2.46287,2.72811,2.46287,2.71744,38449251.564268
2005-08-15,2.69016,2.70538,2.61624,2.62207,13982687.408205
2005-08-16,2.5614,2.62207,2.5614,2.59964,6783850.4376823
2005-08-17,2.59964,2.60685,2.54618,2.55399,8476165.7351643
2005-08-18,2.56911,2.57356,2.46287,2.47839,16794006.205246
2005-08-19,2.49944,2.52988,2.46287,2.51593,3997586.4499064
2005-08-22,2.52354,2.57958,2.48709,2.57652,3839256.1250855
2005-08-23,2.6524,2.71921,2.62207,2.66141,17769145.170137
2005-08-24,2.6524,2.69016,2.62632,2.6524,4068180.9225855
2005-08-25,2.68275,2.68887,2.6367,2.64638,6158362.6243438
2005-08-26,2.66001,2.66882,2.6367,2.64766,3568074.4220063
2005-08-29,2.5614,2.60399,2.55221,2.57652,7202133.8956245
2005-08-30,2.59322,2.63551,2.56911,2.58136,3405789.4061799
2005-08-31,2.58571,2.58571,2.51733,2.5447,3964609.1033136
2005-09-01,2.53886,2.55399,2.35368,2.46287,16464759.963988
2005-09-02,2.48709,2.51278,2.4266,2.4356,7585473.7928941
2005-09-06,2.45556,2.49321,2.45102,2.4855,3597765.9749209
2005-09-07,2.48709,2.49014,2.428,2.45379,4807809.3353546
2005-09-08,2.46287,2.50408,2.46287,2.47345,3376089.757685
2005-09-09,2.50833,2.51593,2.48867,2.51119,3257338.7252398
2005-09-12,2.49321,2.50408,2.4266,2.43857,4355189.4852669
2005-09-13,2.44331,2.44331,2.37938,2.40694,5012335.0655997
2005-09-14,2.38698,2.40507,2.37187,2.38254,2712344.2554644
2005-09-15,2.38698,2.39656,2.27798,2.28866,7922611.2011067
2005-09-16,2.28253,2.32502,2.20506,2.32186,12608372.578914
2005-09-19,2.31138,2.41732,2.30219,2.34943,7335412.4470241
2005-09-20,2.34943,2.42967,2.34172,2.39489,5513107.4276635
2005-09-21,2.37938,2.37938,2.22828,2.27344,10970138.794074
2005-09-22,2.27344,2.28421,2.19784,2.19942,9479698.9362175
2005-09-23,2.19784,2.37938,2.19468,2.36306,6374117.9364946
2005-09-26,2.36465,2.39489,2.31138,2.34943,10327524.780486
2005-09-27,2.34172,2.35812,2.32502,2.3433,5944608.9444369
2005-09-28,2.33115,2.33115,2.27067,2.29647,4031232.6938264
2005-09-29,2.30219,2.34943,2.24626,2.27344,8103406.7614241
2005-09-30,2.28125,2.28866,2.22245,2.24468,15978501.96556
2005-10-03,2.25061,2.25061,2.17482,2.19784,5646392.0507483
2005-10-04,2.19033,2.19784,2.1263,2.13252,2641755.8544706
2005-10-05,2.12184,2.12184,1.94289,1.99309,14307292.858022
2005-10-06,2.0007,2.04438,1.98548,2.03281,5438571.4192971
2005-10-07,2.09151,2.09151,2.03993,2.04595,2869380.2993754
2005-10-10,2.05683,2.06779,1.88518,1.90197,3223672.2423688
2005-10-11,1.91719,1.91719,1.82025,1.8416,4301083.6858843
2005-10-12,1.83724,1.84594,1.78824,1.80977,3365531.0970017
2005-10-13,1.8087,1.8087,1.69584,1.71283,4691027.5528318
2005-10-14,1.71906,1.89437,1.7158,1.87331,9539734.7482132
2005-10-17,1.87331,1.87796,1.83389,1.84901,3967900.9686772
2005-10-18,1.84901,1.84901,1.80977,1.81878,3400501.9802579
2005-10-19,1.83389,1.85799,1.80977,1.84308,6667053.4759464
2005-10-20,1.84901,1.984,1.84752,1.94289,9987063.1245887
2005-10-21,1.94467,1.98093,1.93548,1.96423,5317151.8811761
2005-10-24,1.96423,2.0007,1.96423,1.99012,2852881.5066035
2005-10-25,2.00514,2.03281,1.98231,2.0007,3471087.345409
2005-10-26,1.99309,2.02363,1.96294,1.984,3752819.6135914
2005-10-27,1.97797,1.99773,1.96294,1.97045,1072789.8790779
2005-10-28,2.0007,2.03993,2.0007,2.02363,2208283.0638798
2005-10-31,2.04595,2.12027,2.04595,2.09487,5166077.220252
2005-11-01,2.14477,2.15971,2.05366,2.06107,3734358.65453
2005-11-02,2.06434,2.084,2.00811,2.05219,4559721.2871971
2005-11-03,2.03103,2.04595,2.00208,2.01602,2394992.4456494
2005-11-04,2.01602,2.08864,2.00396,2.03103,3431500.9694005
2005-11-07,2.03103,2.0931,2.02501,2.05059,2354754.375422
2005-11-08,2.03597,2.05366,2.01859,2.04912,2110622.0302175
2005-11-09,2.05059,2.08864,2.03993,2.05059,3027063.9897151
2005-11-10,2.06107,2.18084,2.0173,2.084,5303302.3670768
2005-11-11,2.09003,2.14477,2.09003,2.12778,1778120.3537081
2005-11-14,2.11869,2.15218,2.10999,2.13252,1692326.4289049
2005-11-15,2.14477,2.28125,2.13104,2.23707,9279122.8372402
2005-11-16,2.28866,2.34943,2.27344,2.29942,6325958.3408857
2005-11-17,2.31138,2.40694,2.29143,2.39489,10658733.188034
2005-11-18,2.39489,2.39489,2.29647,2.36603,4966815.6411354
2005-11-21,2.40981,2.41732,2.37354,2.39766,5629213.2292263
2005-11-22,2.39766,2.40981,2.35081,2.38422,2533550.3273907
2005-11-23,2.38698,2.38698,2.34459,2.34943,1409285.712547
2005-11-25,2.35655,2.37512,2.35655,2.36761,203209.18648916
2005-11-28,2.37354,2.37818,2.3265,2.34784,1948980.6130298
2005-11-29,2.36129,2.36129,2.34172,2.34943,1045737.4853604
2005-11-30,2.34617,2.36129,2.33273,2.34172,1997145.2683764
2005-12-01,2.33708,2.34943,2.28697,2.31425,4731927.4367536
2005-12-02,2.31287,2.35655,2.29647,2.35368,4126913.3461433
2005-12-05,2.34172,2.39489,2.31879,2.37057,4264808.4022427
2005-12-06,2.38422,2.4023,2.37512,2.39766,1983298.7901196
2005-12-07,2.4023,2.42354,2.36761,2.36761,2325067.8822452
2005-12-08,2.36761,2.36761,2.28559,2.29143,7580852.2284565
2005-12-09,2.30219,2.31879,2.26128,2.29942,7299126.0319594
2005-12-12,2.30703,2.32947,2.28125,2.29004,3056750.4828919
2005-12-13,2.29004,2.31138,2.23233,2.25684,4302397.1937975
2005-12-14,2.25061,2.26603,2.22659,2.2432,2604163.0151256
2005-12-15,2.2355,2.27067,2.21424,2.26919,1973403.9670257
2005-12-16,2.28559,2.30368,2.27621,2.28866,4615822.6471383
2005-12-19,2.28866,2.31879,2.2432,2.31138,3818141.8395615
2005-12-20,2.2432,2.28125,2.21721,2.26919,4614484.852484
2005-12-21,2.27067,2.27344,2.21563,2.23707,2507823.5849571
2005-12-22,2.23707,2.32947,2.23707,2.32502,3011229.0345325
