Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,4.01239,4.01239,3.97189,3.97189,25395.537995982
1990-03-27,4.01239,4.01239,3.95187,3.95187,121333.7839845
1990-03-28,3.98561,3.98561,3.95187,3.95187,77596.570995109
1990-03-29,3.97189,4.07232,3.97189,4.04573,438773.93096751
1990-03-30,4.0321,4.09253,4.0321,4.09253,306156.41295894
1990-04-02,4.09253,4.09253,4.05908,4.05908,67719.735503136
1990-04-03,4.05908,4.14588,4.05908,4.14588,437366.01294373
1990-04-04,4.11901,4.11901,4.11901,4.11901,80420.562976196
1990-04-05,4.13235,4.13235,4.08595,4.11901,107222.99950427
1990-04-06,4.09253,4.10586,4.01239,4.01239,349891.58696495
1990-04-09,3.99885,4.0321,3.98561,4.01239,110050.04996043
1990-04-10,3.99885,4.01239,3.98561,4.01239,25395.537995982
1990-04-11,3.98561,4.01239,3.98561,3.99885,22573.584998275
1990-04-12,3.98561,4.01239,3.98561,3.98561,90293.32050141
1990-04-16,4.01239,4.01239,3.98561,3.98561,98759.179494531
1990-04-17,4.01239,4.01239,3.98561,3.99885,142500.47045067
1990-04-18,4.0321,4.04573,4.01239,4.01239,317444.22494977
1990-04-19,4.01239,4.0321,3.99885,4.01239,348481.6299578
1990-04-20,4.0321,4.0321,3.99885,3.99885,134034.61145756
1990-04-23,3.99885,4.01239,3.9247,3.95854,809829.14592358
1990-04-24,3.9247,3.93862,3.91185,3.9247,155196.20046528
1990-04-25,3.91185,3.93862,3.89822,3.89822,303333.44046955
1990-04-26,3.89822,3.93862,3.81808,3.83809,1218977.6678736
1990-04-27,3.83809,3.86468,3.83809,3.83809,338603.77497412
1990-04-30,3.83809,3.83809,3.76443,3.81808,362587.31697956
1990-05-01,3.80445,3.81808,3.80445,3.81808,476871.31592824
1990-05-02,3.83113,3.86468,3.82456,3.8581,447237.75097726
1990-05-03,3.86468,3.89822,3.85143,3.87792,419023.31845864
1990-05-04,3.89135,3.95187,3.87792,3.91185,629241.48542906
1990-05-07,3.9247,3.95854,3.9247,3.95854,121333.7839845
1990-05-08,3.95854,4.0321,3.95854,3.99885,845103.55839491
1990-05-09,3.97189,3.97189,3.93862,3.95187,231380.77546986
1990-05-10,3.95854,3.95854,3.91185,3.93862,261006.18448733
1990-05-11,3.91185,3.95187,3.91185,3.93167,441596.9034569
1990-05-14,3.9247,3.99885,3.9247,3.99885,371053.17597268
1990-05-15,3.97189,3.99885,3.97189,3.97189,95939.265480205
1990-05-16,3.97189,3.99885,3.97189,3.99885,158011.01702116
1990-05-17,4.0321,4.09253,4.00524,4.07232,258184.23148962
1990-05-18,4.05908,4.07232,4.04573,4.07232,402096.69793085
1990-05-21,4.05908,4.09253,4.05908,4.08595,145317.32598992
1990-05-22,4.10586,4.14588,4.10586,4.14588,146726.26350541
1990-05-23,4.10586,4.17993,4.10586,4.16649,517779.43947809
1990-05-24,4.14588,4.16649,4.13235,4.13235,104407.16345671
1990-05-25,4.13235,4.17993,4.13235,4.17993,520605.47044256
1990-05-29,4.17277,4.20641,4.16649,4.17993,284989.72649277
1990-05-30,4.20641,4.25339,4.20641,4.22612,327320.04095006
1990-05-31,4.22612,4.35355,4.22612,4.3404,680027.46396258
1990-06-01,4.32686,4.36041,4.32686,4.3404,828167.76244192
1990-06-04,4.36041,4.39405,4.35355,4.38709,586914.22944684
1990-06-05,4.37394,4.41406,4.37394,4.38709,283583.84745236
1990-06-06,4.38709,4.40053,4.32686,4.32686,358353.36799131
1990-06-07,4.3404,4.35355,4.32686,4.35355,162248.02448449
1990-06-08,4.32686,4.35355,4.31352,4.3404,217274.06895639
1990-06-11,4.31352,4.36041,4.31352,4.36041,191876.49197703
1990-06-12,4.36041,4.4946,4.35355,4.4946,648989.03946287
1990-06-13,4.52118,4.53451,4.4946,4.53451,176357.78947302
1990-06-14,4.50784,4.59504,4.50784,4.5815,426079.22044459
1990-06-15,4.5815,4.60857,4.5815,4.59504,204575.28046671
