Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.520769,0.528174,0.520769,0.520769,921822.05178943
1977-01-04,0.520769,0.524521,0.516918,0.516918,1727882.636775
1977-01-05,0.516918,0.520769,0.513165,0.516918,2908574.4533806
1977-01-06,0.516918,0.516918,0.509315,0.513165,2858069.4549596
1977-01-07,0.513165,0.513165,0.509315,0.513165,467226.42934676
1977-01-10,0.513165,0.513165,0.509315,0.513165,1435350.6372983
1977-01-11,0.513165,0.513165,0.486505,0.490435,3121140.0365685
1977-01-12,0.490435,0.490435,0.47513,0.478813,1542681.1012578
1977-01-13,0.478813,0.478813,0.47128,0.47513,1711048.9876121
1977-01-14,0.47513,0.47513,0.467675,0.47513,2018324.3551859
1977-01-17,0.47513,0.478813,0.47128,0.47513,1538472.1826005
1977-01-18,0.47128,0.47128,0.460013,0.467675,2018324.3551859
1977-01-19,0.47128,0.47513,0.467675,0.47513,1243826.6091976
1977-01-20,0.47513,0.47513,0.47128,0.47513,2026744.2179667
1977-01-21,0.47513,0.482941,0.47128,0.482941,1037575.4167288
1977-01-24,0.482941,0.482941,0.47513,0.482941,1944661.1895524
1977-01-25,0.478813,0.478813,0.47128,0.47513,3887213.8688438
1977-01-26,0.47513,0.47513,0.467675,0.467675,1812072.1499841
1977-01-27,0.467675,0.467675,0.460013,0.463814,1191214.1132488
1977-01-28,0.463814,0.463814,0.448548,0.45237,1927825.5149233
1977-01-31,0.45237,0.460013,0.448548,0.460013,1365893.3521228
1977-02-01,0.460013,0.467675,0.456003,0.467675,1513220.6961231
1977-02-02,0.467675,0.494306,0.467675,0.47513,1368000.8496506
1977-02-03,0.47128,0.47128,0.467675,0.467675,1447975.367804
1977-02-04,0.467675,0.47513,0.467675,0.47513,879733.87794989
1977-02-07,0.47513,0.478813,0.456003,0.47513,1445872.9339415
1977-02-08,0.47513,0.47513,0.47128,0.47513,1003902.0420045
1977-02-09,0.47513,0.482941,0.47128,0.47513,1391149.9022656
1977-02-10,0.47513,0.47513,0.47128,0.47513,620854.99853604
1977-02-11,0.47128,0.47128,0.45237,0.47128,883937.73294177
1977-02-14,0.47128,0.47513,0.467675,0.47513,665060.79723419
1977-02-15,0.47513,0.486505,0.47513,0.478813,3396841.4250814
1977-02-16,0.478813,0.490435,0.478813,0.486505,1010214.4072573
1977-02-17,0.486505,0.486505,0.482941,0.486505,1153323.7180027
1977-02-18,0.482941,0.482941,0.478813,0.482941,635595.32843413
1977-02-22,0.482941,0.486505,0.482941,0.486505,545092.43723918
1977-02-23,0.486505,0.486505,0.482941,0.486505,1483752.1891238
1977-02-24,0.486505,0.486505,0.482941,0.486505,976536.98160077
1977-02-25,0.486505,0.486505,0.482941,0.486505,644016.20394788
1977-02-28,0.486505,0.486505,0.482941,0.486505,2858069.4549596
1977-03-01,0.486505,0.490435,0.486505,0.490435,1144911.9570866
1977-03-02,0.490435,0.494306,0.486505,0.486505,987063.32917622
1977-03-03,0.486505,0.494306,0.486505,0.490435,1229095.3938972
1977-03-04,0.490435,0.494306,0.486505,0.490435,1094396.8313348
1977-03-07,0.490435,0.494306,0.486505,0.494306,644016.20394788
1977-03-08,0.494306,0.494306,0.482941,0.490435,1024946.6352908
1977-03-09,0.490435,0.490435,0.482941,0.482941,494582.37515281
1977-03-10,0.482941,0.486505,0.478813,0.482941,1506904.279938
1977-03-11,0.482941,0.482941,0.47513,0.47513,976536.98160077
1977-03-14,0.47513,0.478813,0.47513,0.47513,574559.93150539
1977-03-15,0.47513,0.482941,0.47513,0.478813,1029159.6048804
1977-03-16,0.478813,0.482941,0.47513,0.47513,1077555.0803073
1977-03-17,0.47513,0.482941,0.47513,0.478813,1052305.6192961
1977-03-18,0.478813,0.482941,0.47513,0.47513,808169.09524647
1977-03-21,0.47513,0.47513,0.47513,0.47513,515632.03210449
1977-03-22,0.47513,0.478813,0.47513,0.47513,681894.44639708
1977-03-23,0.47513,0.47513,0.47128,0.47513,343053.20162679
1977-03-24,0.47513,0.47513,0.467675,0.47128,498797.37020852
1977-03-25,0.47128,0.47513,0.47128,0.47513,919712.52879543
1977-03-28,0.47513,0.478813,0.47128,0.47513,513530.61097509
1977-03-29,0.47513,0.482941,0.47513,0.482941,1441658.9516189
1977-03-30,0.482941,0.486505,0.482941,0.482941,1746830.8725973
1977-03-31,0.482941,0.482941,0.47513,0.478813,1180690.8038725
1977-04-01,0.478813,0.482941,0.47513,0.482941,740824.37126412
