Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-03-21,1.45066,1.4723,1.41496,1.4723,1235410.9333805
1983-03-22,1.4723,1.47938,1.46521,1.4723,1711086.2548084
1983-03-23,1.48656,1.49335,1.4723,1.48656,683992.84364321
1983-03-24,1.4723,1.49335,1.45765,1.48656,1342354.459749
1983-03-25,1.45066,1.47938,1.40758,1.46521,1470465.8622511
1983-03-28,1.45765,1.47938,1.45066,1.4723,539165.73261501
1983-03-29,1.50092,1.51548,1.4723,1.49335,946889.32486941
1983-03-30,1.5082,1.51548,1.50092,1.5082,770880.7732484
1983-03-31,1.48656,1.5082,1.46521,1.46521,1493858.2971254
1983-04-04,1.4723,1.47938,1.45765,1.4723,638319.23655623
1983-04-05,1.45765,1.46521,1.4362,1.4362,638319.23655623
1983-04-06,1.4362,1.4362,1.38604,1.42175,944660.69929377
1983-04-07,1.42922,1.42922,1.42175,1.42922,321943.87518455
1983-04-08,1.4362,1.45066,1.42175,1.42175,599324.38923494
1983-04-11,1.45066,1.45765,1.42922,1.45066,238395.83381658
1983-04-12,1.45066,1.45765,1.42175,1.42175,1500547.2239786
1983-04-13,1.42922,1.4362,1.41496,1.42175,1667639.2398795
1983-04-14,1.42175,1.47938,1.42175,1.47938,2166705.9794729
1983-04-15,1.50092,1.51548,1.48656,1.51548,2354969.9383425
1983-04-18,1.5082,1.52246,1.50092,1.51548,2971008.002686
1983-04-19,1.5082,1.51548,1.48656,1.5082,1175256.3435956
1983-04-20,1.5082,1.51548,1.47938,1.50092,949118.9671538
1983-04-21,1.5082,1.52246,1.50092,1.51548,809867.48689971
1983-04-22,1.50092,1.52246,1.50092,1.52246,522458.15775891
1983-04-25,1.51548,1.52246,1.50092,1.50092,612694.10927131
1983-04-26,1.52246,1.55836,1.47938,1.55836,1565150.9312448
1983-04-27,1.60134,1.63735,1.56534,1.60134,2128830.5284832
1983-04-28,1.60862,1.62288,1.58708,1.60134,1490516.3754707
1983-04-29,1.63735,1.67325,1.60862,1.67325,1677668.0549699
1983-05-02,1.70904,1.71652,1.68043,1.6878,1754532.2530285
1983-05-03,1.66596,1.68043,1.6517,1.67325,733004.30554993
1983-05-04,1.67325,1.68043,1.65908,1.66596,891191.98623577
1983-05-05,1.66596,1.68043,1.6517,1.68043,870025.12681088
1983-05-06,1.68043,1.68043,1.6517,1.65908,749713.91382352
1983-05-09,1.64482,1.66596,1.62288,1.65908,480129.52245289
1983-05-10,1.65908,1.70904,1.65908,1.69458,743033.12064033
1983-05-11,1.69458,1.69458,1.6517,1.65908,927951.09102017
1983-05-12,1.64482,1.64482,1.55128,1.58708,1101733.050483
1983-05-13,1.5798,1.59445,1.56534,1.58708,779791.20871599
1983-05-16,1.5798,1.59445,1.55128,1.59445,921267.24771074
1983-05-17,1.58708,1.60134,1.57292,1.59445,1794635.3128851
1983-05-18,1.59445,1.63735,1.59445,1.60862,1578522.6846987
1983-05-19,1.6158,1.6158,1.5441,1.57292,1351265.9119254
1983-05-20,1.57292,1.58708,1.5441,1.5798,556995.75392891
1983-05-23,1.56534,1.60134,1.5441,1.58708,590413.95376735
1983-05-24,1.60134,1.67325,1.59445,1.65908,1058290.1023892
1983-05-25,1.66596,1.6878,1.65908,1.68043,814327.78817724
1983-05-26,1.68043,1.70206,1.67325,1.67325,1349041.3531847
1983-05-27,1.65908,1.67325,1.62288,1.62288,965830.60884489
1983-05-31,1.63735,1.63735,1.58708,1.58708,353135.48286484
1983-06-01,1.5798,1.66596,1.57292,1.66596,783136.18049695
1983-06-02,1.67325,1.6878,1.6517,1.66596,1246555.0779675
1983-06-03,1.6517,1.65908,1.63735,1.64482,905671.95222497
1983-06-06,1.64482,1.6517,1.60862,1.63735,297432.0439787
1983-06-07,1.63007,1.66596,1.63007,1.6517,1652043.9443938
1983-06-08,1.64482,1.6878,1.63735,1.68043,2435180.1248907
1983-06-09,1.68043,1.75232,1.67325,1.75232,1343468.7725368
1983-06-10,1.75232,1.84595,1.75232,1.80986,1156321.1598726
1983-06-13,1.82392,1.83829,1.7955,1.82392,978079.91584095
1983-06-14,1.81694,1.81694,1.78084,1.7955,475670.23788411
1983-06-15,1.77386,1.78822,1.74504,1.78822,1380236.0109912
1983-06-16,1.7955,1.7955,1.74504,1.76668,1702174.802632
1983-06-17,1.75232,1.7595,1.7236,1.73078,906785.24830404
1983-06-20,1.73078,1.7595,1.73078,1.7595,1561812.0597164
1983-06-21,1.7595,1.7595,1.73078,1.75232,1188626.063632
1983-06-22,1.76668,1.77386,1.75232,1.7595,556995.75392891
1983-06-23,1.76668,1.77386,1.75232,1.7595,372073.71671407
1983-06-24,1.75232,1.76668,1.73796,1.75232,671736.41968592
1983-06-27,1.74504,1.7595,1.67325,1.68043,399924.41944839
1983-06-28,1.67325,1.6878,1.66596,1.68043,460079.00923333
1983-06-29,1.68043,1.6878,1.66596,1.6878,1132929.7417071
1983-06-30,1.6878,1.69458,1.67325,1.68043,673960.97842657
1983-07-01,1.68043,1.69458,1.68043,1.6878,627174.07526051
1983-07-05,1.66596,1.66596,1.63735,1.66596,600434.63518777
1983-07-06,1.66596,1.68043,1.6517,1.68043,786478.10215167
1983-07-07,1.67325,1.67325,1.64482,1.64482,460079.00923333
1983-07-08,1.63735,1.66596,1.63007,1.65908,813206.35842818
1983-07-11,1.66596,1.6878,1.64482,1.6878,427774.10547396
1983-07-12,1.6878,1.6878,1.63735,1.63735,574814.59144659
1983-07-13,1.62288,1.63007,1.55128,1.58708,1692152.0877941
1983-07-14,1.64482,1.6878,1.60862,1.67325,1681006.9264984
1983-07-15,1.6878,1.6878,1.6517,1.66596,916814.06339444
1983-07-18,1.6517,1.66596,1.63735,1.6517,359821.35959177
1983-07-19,1.6517,1.6878,1.6517,1.66596,921267.24771074
1983-07-20,1.6878,1.70904,1.67325,1.70904,372073.71671407
1983-07-21,1.73078,1.73796,1.71652,1.7236,1748959.6723806
1983-07-22,1.71652,1.73796,1.70206,1.70206,698470.77621492
1983-07-25,1.6878,1.70904,1.67325,1.69458,727432.74161081
1983-07-26,1.70206,1.70904,1.6878,1.69458,392125.24664239
1983-07-27,1.6878,1.69458,1.68043,1.68043,393236.50930396
1983-07-28,1.6878,1.70904,1.66596,1.66596,1225385.1684164
1983-07-29,1.65908,1.68043,1.6517,1.67325,1089479.676652
1983-08-01,1.67325,1.70206,1.67325,1.70206,433345.66941307
1983-08-02,1.70206,1.70206,1.68043,1.68043,630518.03033272
1983-08-03,1.68043,1.73078,1.67325,1.73078,1394713.9435629
1983-08-04,1.73078,1.73078,1.67325,1.69458,2213492.882639
1983-08-05,1.6878,1.6878,1.65908,1.6878,355361.05831424
1983-08-08,1.65908,1.65908,1.56534,1.64482,603779.60696873
1983-08-09,1.63007,1.63735,1.51548,1.52954,726323.51236673
1983-08-10,1.52246,1.5798,1.51548,1.55836,913473.15844847
1983-08-11,1.5441,1.55836,1.52954,1.52954,782020.85100038
1983-08-12,1.52954,1.55836,1.47938,1.52954,649455.24747321
1983-08-15,1.55836,1.5798,1.5441,1.5441,1049374.5833779
1983-08-16,1.55836,1.56534,1.51548,1.52954,222799.52162206
1983-08-17,1.53682,1.56534,1.41496,1.42175,964712.22922208
1983-08-18,1.42922,1.4723,1.42922,1.45066,847741.92118068
1983-08-19,1.45765,1.4723,1.44348,1.46521,280721.41899636
1983-08-22,1.45765,1.4723,1.42922,1.4362,522458.15775891
1983-08-23,1.42922,1.44348,1.3646,1.3646,454511.51212921
1983-08-24,1.3646,1.37149,1.29251,1.29998,473446.6958522
1983-08-25,1.30686,1.33559,1.30686,1.32831,884507.12621758
1983-08-26,1.34994,1.34994,1.32831,1.34286,504639.32024124
1983-08-29,1.34286,1.38604,1.32831,1.38604,348679.2484223
1983-08-30,1.42175,1.42175,1.37877,1.37877,503518.90720093
1983-08-31,1.39322,1.39322,1.3646,1.37877,280721.41899636
1983-09-01,1.39322,1.39322,1.37149,1.37877,207200.1593013
1983-09-02,1.38604,1.4004,1.37149,1.38604,353135.48286484
1983-09-06,1.4004,1.4362,1.39322,1.42922,720750.93171887
1983-09-07,1.41496,1.42175,1.40758,1.40758,6268412.0481641
1983-09-08,1.41496,1.41496,1.39322,1.40758,1037121.2095468
1983-09-09,1.40758,1.40758,1.37877,1.38604,281841.83203667
1983-09-12,1.4004,1.41496,1.34286,1.34286,1422562.6128798
1983-09-13,1.34286,1.34286,1.30686,1.30686,884507.12621758
1983-09-14,1.29998,1.32142,1.27814,1.32142,1893780.6831563
1983-09-15,1.32831,1.32831,1.30686,1.30686,1091709.3189364
1983-09-16,1.29998,1.34994,1.29998,1.32142,1390255.6757029
1983-09-19,1.34286,1.34286,1.32142,1.33559,782020.85100038
1983-09-20,1.3646,1.40758,1.35742,1.37149,953575.20159634
1983-09-21,1.38604,1.4004,1.38604,1.38604,825464.81580297
1983-09-22,1.39322,1.41496,1.38604,1.40758,1331218.448832
1983-09-23,1.40758,1.41496,1.37149,1.38604,2915307.6139261
1983-09-26,1.39322,1.39322,1.35742,1.3646,647224.58848007
1983-09-27,1.24962,1.31414,1.24962,1.28562,3618238.6914186
1983-09-28,1.27814,1.29251,1.26378,1.28562,822121.87743951
1983-09-29,1.28562,1.28562,1.2568,1.27116,893416.54497642
1983-09-30,1.27116,1.27116,1.24962,1.27116,5524270.7149884
1983-10-03,1.2568,1.27814,1.24962,1.26378,1559583.4341407
1983-10-04,1.29251,1.32831,1.29251,1.32831,1139608.5014728
1983-10-05,1.38604,1.41496,1.3646,1.41496,2450778.4705027
1983-10-06,1.41496,1.49335,1.41496,1.47938,4013702.8095894
1983-10-07,1.48656,1.5082,1.47938,1.48656,2643495.6136886
1983-10-10,1.49335,1.51548,1.46521,1.51548,927951.09102017
1983-10-11,1.50092,1.52246,1.4723,1.4723,1251007.245575
1983-10-12,1.45765,1.45765,1.41496,1.45765,1526162.184176
1983-10-13,1.45066,1.49335,1.45066,1.47938,1355724.1797854
1983-10-14,1.4723,1.4723,1.45765,1.4723,499068.77301088
