Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-07-07,0.968495,0.972335,0.944669,0.968495,872212.99679023
1988-07-08,0.972335,0.980309,0.916511,0.96052,674629.90959225
1988-07-11,0.972335,0.980309,0.96052,0.968495,791486.1838862
1988-07-12,0.980309,0.980309,0.952545,0.952545,882941.83490728
1988-07-13,0.968495,0.980309,0.96052,0.980309,655995.87909945
1988-07-14,0.968495,0.984444,0.968495,0.980309,905526.93803809
1988-07-15,0.984444,0.984444,0.980309,0.984444,1023519.7805279
1988-07-18,0.980309,0.992513,0.968495,0.972335,2107440.1874221
1988-07-19,0.968495,0.972335,0.944669,0.96052,1358295.4855567
1988-07-20,0.968495,0.992513,0.96052,0.980309,1212642.0875011
1988-07-21,0.980309,0.984444,0.972335,0.972335,1304099.769922
1988-07-22,0.972335,0.980309,0.952545,0.96052,423401.6161091
1988-07-25,0.952545,0.952545,0.932854,0.936497,239935.74191774
1988-07-26,0.932854,0.932854,0.916511,0.932854,322355.72656665
1988-07-27,0.932854,0.932854,0.888747,0.888747,620436.22535733
1988-07-28,0.888747,0.896721,0.857044,0.868859,1786211.8877522
1988-07-29,0.868859,0.924584,0.860786,0.916511,1070374.0172352
1988-08-01,0.912868,0.912868,0.868859,0.888747,998675.76080405
1988-08-02,0.876932,0.888747,0.868859,0.888747,391225.25875701
1988-08-03,0.888747,0.904794,0.880772,0.880772,1487571.7383127
1988-08-04,0.880772,0.912868,0.880772,0.888747,2130025.2905529
1988-08-05,0.888747,0.896721,0.860786,0.860786,933754.25415198
1988-08-08,0.880772,0.888747,0.860786,0.860786,1389911.1765601
1988-08-09,0.868859,0.876932,0.840898,0.848775,1273606.4273157
1988-08-10,0.857044,0.857044,0.825047,0.825047,876176.25782712
1988-08-11,0.840898,0.944669,0.805159,0.821011,801086.57940664
1988-08-12,0.825047,0.840898,0.805159,0.825047,428492.3040427
1988-08-15,0.840898,0.840898,0.777001,0.793049,745202.77052655
1988-08-16,0.777001,0.812937,0.765187,0.805159,2253655.2675263
1988-08-17,0.812937,0.821011,0.805159,0.821011,2031792.8897526
1988-08-18,0.812937,0.821011,0.805159,0.805159,1029738.9110581
1988-08-19,0.812937,0.812937,0.785173,0.801122,2277934.5581018
1988-08-22,0.785173,0.801122,0.765187,0.777001,1219408.6802812
1988-08-23,0.765187,0.777001,0.765187,0.765187,1031989.7020519
1988-08-24,0.765187,0.785173,0.765187,0.777001,2431489.0857336
1988-08-25,0.785173,0.785173,0.765187,0.769322,1230702.2475464
1988-08-26,0.773161,0.781038,0.765187,0.781038,753096.79020333
1988-08-29,0.781038,0.793049,0.773161,0.793049,1336271.0487744
1988-08-30,0.793049,0.793049,0.781038,0.785173,604624.82490592
1988-08-31,0.781038,0.785173,0.781038,0.785173,1130783.7849006
1988-09-01,0.785173,0.785173,0.773161,0.781038,792619.70498235
1988-09-02,0.781038,0.785173,0.781038,0.785173,1475715.473299
1988-09-06,0.785173,0.793049,0.781038,0.793049,1397246.5612881
1988-09-07,0.801122,0.817367,0.793049,0.817367,1079971.3656559
1988-09-08,0.808998,0.828788,0.808998,0.821011,1028032.5352145
1988-09-09,0.821011,0.837157,0.817367,0.828788,447681.92238461
1988-09-12,0.828788,0.837157,0.821011,0.821011,508086.61155049
1988-09-13,0.821011,0.821011,0.808998,0.821011,241056.0589151
1988-09-14,0.828788,0.840898,0.821011,0.837157,718101.86560946
1988-09-15,0.837157,0.840898,0.821011,0.828788,410421.98699826
1988-09-16,0.837157,0.837157,0.821011,0.837157,1176509.5790115
1988-09-19,0.821011,0.828788,0.808998,0.817367,270417.91182504
1988-09-20,0.828788,0.837157,0.821011,0.837157,612534.0800813
1988-09-21,0.828788,0.840898,0.828788,0.837157,453327.1824674
1988-09-22,0.840898,0.840898,0.808998,0.828788,587123.29980936
1988-09-23,0.821011,0.837157,0.817367,0.828788,429615.66813978
1988-09-26,0.837157,0.837157,0.821011,0.837157,561160.99448796
1988-09-27,0.837157,0.837157,0.817367,0.828788,811252.71977524
1988-09-28,0.828788,0.840898,0.817367,0.837157,1310875.5040012
1988-09-29,0.840898,0.884907,0.837157,0.876932,907789.91743077
1988-09-30,0.876932,0.892783,0.872699,0.884907,1177074.3081597
1988-10-03,0.872699,0.884907,0.857044,0.864921,690426.07454505
1988-10-04,0.876932,0.876932,0.857044,0.864921,484375.09722288
1988-10-05,0.857044,0.884907,0.857044,0.876932,440908.21970519
1988-10-06,0.864921,0.904794,0.864921,0.904794,430181.41298795
1988-10-07,0.904794,0.932854,0.892783,0.932854,1189492.2552219
1988-10-10,0.920449,0.929015,0.912868,0.912868,297513.7382426
1988-10-11,0.912868,0.920449,0.892783,0.912868,280016.27594567
1988-10-12,0.896721,0.896721,0.884907,0.896721,594468.84153639
1988-10-13,0.892783,0.912868,0.884907,0.896721,480993.83223266
1988-10-14,0.912868,0.929015,0.896721,0.904794,2308986.535657
1988-10-17,0.896721,0.904794,0.884907,0.896721,814075.34981664
1988-10-18,0.896721,0.912868,0.892783,0.912868,418888.86142254
1988-10-19,0.912868,0.920449,0.892783,0.892783,468566.74387119
1988-10-20,0.904794,0.912868,0.892783,0.912868,1122874.5297253
1988-10-21,0.896721,0.920449,0.896721,0.912868,963113.05996221
1988-10-24,0.904794,0.912868,0.884907,0.896721,604624.82490592
1988-10-25,0.892783,0.892783,0.876932,0.892783,655430.13425128
1988-10-26,0.884907,0.892783,0.876932,0.876932,211698.26880478
1988-10-27,0.876932,0.884907,0.840898,0.857044,584298.63836815
1988-10-28,0.857044,0.872699,0.848775,0.864921,492284.35239825
1988-10-31,0.857044,0.872699,0.857044,0.872699,224683.99211506
1988-11-01,0.857044,0.872699,0.857044,0.872699,387843.99376679
1988-11-02,0.864921,0.864921,0.840898,0.857044,260257.86565588
1988-11-03,0.857044,0.872699,0.840898,0.857044,465179.38468154
1988-11-04,0.857044,0.884907,0.857044,0.857044,563413.81688156
1988-11-07,0.857044,0.864921,0.837157,0.840898,483817.47797396
1988-11-08,0.857044,0.857044,0.840898,0.840898,499621.76852601
1988-11-09,0.840898,0.848775,0.821011,0.828788,630593.22442677
1988-11-10,0.828788,0.840898,0.821011,0.821011,269851.15127698
1988-11-11,0.817367,0.821011,0.773161,0.781038,689298.64764833
1988-11-14,0.793049,0.801122,0.781038,0.785173,1383695.0931296
1988-11-15,0.785173,0.808998,0.781038,0.801122,1107069.2234734
1988-11-16,0.801122,0.801122,0.785173,0.785173,1095220.068359
1988-11-17,0.793049,0.793049,0.785173,0.785173,1407407.6231571
1988-11-18,0.785173,0.808998,0.785173,0.801122,581482.1025262
1988-11-21,0.808998,0.808998,0.785173,0.793049,859242.50897855
1988-11-22,0.801122,0.801122,0.781038,0.785173,749148.76466503
1988-11-23,0.785173,0.817367,0.781038,0.801122,539705.34965367
1988-11-25,0.801122,0.808998,0.789111,0.789111,206617.73787025
1988-11-28,0.789111,0.801122,0.789111,0.793049,154678.90742874
1988-11-29,0.793049,0.808998,0.793049,0.793049,354531.06821883
1988-11-30,0.808998,0.833022,0.793049,0.825047,308237.49786012
1988-12-01,0.837157,0.837157,0.817367,0.825047,458971.42685029
1988-12-02,0.817367,0.833022,0.801122,0.801122,247834.84009405
1988-12-05,0.801122,0.837157,0.801122,0.825047,1075450.4853702
1988-12-06,0.825047,0.837157,0.817367,0.837157,1146024.3620044
1988-12-07,0.85291,0.888747,0.85291,0.880772,2286968.1930742
1988-12-08,0.864921,0.872699,0.864921,0.864921,790353.67848996
1988-12-09,0.864921,0.872699,0.85291,0.864921,776817.44583011
1988-12-12,0.85291,0.864921,0.844837,0.857044,1584678.743616
1988-12-13,0.85291,0.864921,0.85291,0.85291,672369.9772993
1988-12-14,0.857044,0.857044,0.85291,0.857044,793746.11617915
1988-12-15,0.85291,0.857044,0.833022,0.833022,884076.37170333
1988-12-16,0.833022,0.864921,0.833022,0.857044,1591451.4305955
1988-12-19,0.857044,0.872699,0.844837,0.857044,750278.22296155
1988-12-20,0.857044,0.920449,0.857044,0.908832,2941266.8376291
1988-12-21,0.908832,0.936497,0.908832,0.912868,942229.25417553
1988-12-22,0.920449,0.929015,0.908832,0.912868,381634.00453573
1988-12-23,0.912868,0.920449,0.912868,0.920449,104437.31153173
1988-12-27,0.912868,0.936497,0.908832,0.908832,647539.16167423
1988-12-28,0.920449,0.920449,0.900561,0.900561,515991.80392624
1988-12-29,0.912868,0.912868,0.900561,0.912868,584298.63836815
1988-12-30,0.912868,0.936497,0.912868,0.936497,574702.30564735
1989-01-03,0.920449,0.929015,0.912868,0.929015,440908.21970519
1989-01-04,0.920449,0.96436,0.920449,0.956385,1314259.8160911
1989-01-05,0.96436,0.968495,0.936497,0.944669,1130221.0871523
1989-01-06,0.944669,0.948607,0.936497,0.948607,1507333.1957022
1989-01-09,0.944669,0.968495,0.944669,0.956385,1606694.039099
1989-01-10,0.956385,0.96436,0.948607,0.96436,554944.91105746
1989-01-11,0.956385,0.96436,0.936497,0.944669,490587.11785375
1989-01-12,0.944669,0.948607,0.929015,0.936497,1044413.7433137
1989-01-13,0.936497,0.976765,0.936497,0.968495,1994536.0014661
1989-01-16,0.96436,0.968495,0.96436,0.968495,636804.22935774
1989-01-17,0.96436,0.968495,0.956385,0.96436,1645648.1619302
1989-01-18,0.96436,1.03219,0.956385,1.02038,2133969.2532916
1989-01-19,1.03219,1.07581,1.03219,1.05602,3417184.2017269
1989-01-20,1.06025,1.08034,1.05602,1.05602,1953884.6440904
1989-01-23,1.06823,1.06823,1.04825,1.04825,485509.63401893
1989-01-24,1.04825,1.07581,1.04825,1.06025,2047593.1175051
1989-01-25,1.06823,1.07581,1.06025,1.06823,1284903.0416807
1989-01-26,1.07581,1.08831,1.06823,1.08831,1393294.4729501
1989-01-27,1.08831,1.09589,1.07581,1.08034,1366758.2971814
1989-01-30,1.08034,1.11194,1.08034,1.10407,840043.74933749
1989-01-31,1.10407,1.10407,1.07581,1.08831,1979283.2359635
1989-02-01,1.08831,1.10407,1.08034,1.09589,2412863.18084
1989-02-02,1.10407,1.13212,1.09589,1.11588,1867508.5083039
1989-02-03,1.11588,1.11588,1.10407,1.11194,1331755.2469882
1989-02-06,1.11588,1.11588,1.06823,1.06823,895935.68381681
1989-02-07,1.07581,1.09589,1.06823,1.08831,812944.87582021
1989-02-08,1.09589,1.11194,1.08034,1.08831,773987.70588936
1989-02-09,1.08831,1.08831,1.06823,1.08034,949559.56040395
1989-02-10,1.06823,1.08034,1.06025,1.06025,1335143.6218778
1989-02-13,1.06025,1.06025,1.03219,1.04037,1168609.4651352
1989-02-14,1.04037,1.05602,1.04037,1.04037,878433.14302035
1989-02-15,1.05602,1.05602,1.04037,1.05602,405338.408964
1989-02-16,1.05602,1.06823,1.05602,1.05602,611962.24103369
1989-02-17,1.06025,1.07581,1.04825,1.07581,513170.18958474
1989-02-21,1.06025,1.08034,1.06025,1.08034,554384.24470883
1989-02-22,1.08034,1.08034,1.02422,1.04037,815760.39596226
1989-02-23,1.03219,1.06823,1.02422,1.06025,990215.99627912
1989-02-24,1.06823,1.07581,1.03219,1.03219,1566040.6503237
1989-02-27,1.03219,1.04037,1.02038,1.02422,1301835.7748293
1989-02-28,1.04037,1.04825,1.02422,1.04037,885771.57484803
1989-03-01,1.03219,1.04037,1.02422,1.02422,1497728.7373821
1989-03-02,1.04825,1.06025,1.04825,1.06025,1206423.9726707
1989-03-03,1.06025,1.08831,1.06025,1.08034,1292806.2026566
1989-03-06,1.11194,1.12405,1.10407,1.11588,1632656.3444205
1989-03-07,1.11588,1.12405,1.09589,1.09589,817462.7090063
1989-03-08,1.11194,1.11588,1.08831,1.10407,760441.31623044
1989-03-09,1.08831,1.09589,1.07581,1.07581,457281.30220514
1989-03-10,1.07581,1.08831,1.07581,1.07581,448247.66723277
1989-03-13,1.08831,1.11194,1.08034,1.10407,940527.95683139
1989-03-14,1.10407,1.11588,1.09589,1.10407,603497.39800921
1989-03-15,1.11588,1.17968,1.10407,1.1596,2731830.5325171
1989-03-16,1.16776,1.16776,1.13587,1.1596,1901950.8921484
1989-03-17,1.14374,1.14374,1.05602,1.07581,2003569.6364384
1989-03-20,1.06025,1.09589,1.04825,1.06025,1879372.898917
1989-03-21,1.06025,1.08034,1.05602,1.08034,834390.36365543
1989-03-22,1.08034,1.08034,1.05602,1.06025,489460.70665695
1989-03-23,1.06823,1.06823,1.04825,1.05602,843426.03002761
1989-03-27,1.06823,1.06823,1.04825,1.06025,237671.74682517
1989-03-28,1.06025,1.08831,1.05602,1.07581,435827.68877066
1989-03-29,1.08034,1.10407,1.06823,1.09589,1296762.3537942
1989-03-30,1.10407,1.11588,1.10407,1.11588,1658068.1403923
1989-03-31,1.11588,1.17968,1.11588,1.17968,2579964.0981308
1989-04-03,1.17968,1.18746,1.14374,1.1717,945612.55056556
1989-04-04,1.16776,1.1717,1.14374,1.15182,1165219.0588459
1989-04-05,1.1596,1.1596,1.14374,1.1596,278322.08850089
1989-04-06,1.1596,1.1596,1.14374,1.1596,690995.88219284
1989-04-07,1.15182,1.17968,1.15182,1.1717,323474.0121642
1989-04-10,1.1717,1.19956,1.16776,1.19956,1248208.8511425
1989-04-11,1.19956,1.20764,1.16776,1.1717,2443915.1583952
1989-04-12,1.17968,1.20764,1.1717,1.19179,2867315.7588044
1989-04-13,1.20764,1.20764,1.17968,1.18746,1949373.9208037
1989-04-14,1.19179,1.20764,1.19179,1.20764,1353216.9860219
1989-04-17,1.20764,1.20764,1.19179,1.20764,570750.21730943
1989-04-18,1.20764,1.22359,1.19956,1.21562,1264581.9336424
1989-04-19,1.21562,1.22359,1.20764,1.21562,1044413.7433137
1989-04-20,1.20764,1.21562,1.17968,1.19179,806732.85518934
1989-04-21,1.22359,1.27941,1.21562,1.27941,4177055.7103096
1989-04-24,1.26346,1.27941,1.2554,1.27134,2325357.5867571
1989-04-25,1.28345,1.29133,1.26346,1.26346,1464426.9845332
1989-04-26,1.26346,1.28345,1.26346,1.27134,959717.5751733
1989-04-27,1.27134,1.29133,1.27134,1.28345,1977599.2055177
1989-04-28,1.28345,1.29133,1.24358,1.27134,1443539.1159469
1989-05-01,1.26346,1.31909,1.2354,1.31909,2194951.8757045
1989-05-02,1.31122,1.33878,1.30324,1.30324,1750084.4577621
1989-05-03,1.30324,1.31122,1.2993,1.30324,855277.21654183
1989-05-04,1.30324,1.30324,1.29133,1.2993,2905707.1838871
1989-05-05,1.30324,1.30324,1.27941,1.2993,2201716.4370848
1989-05-08,1.28345,1.29133,1.27134,1.27134,1686856.1228549
1989-05-09,1.27941,1.28345,1.26346,1.26346,1084489.1988421
1989-05-10,1.26346,1.27941,1.24752,1.2554,672933.69074765
1989-05-11,1.26346,1.27134,1.24358,1.2554,3218465.5620329
1989-05-12,1.27134,1.28345,1.24752,1.27941,1469503.4526681
1989-05-15,1.27941,1.28345,1.27134,1.27941,2229388.1653496
1989-05-16,1.28345,1.28345,1.27134,1.27134,2624001.7989961
1989-05-17,1.27134,1.32727,1.27134,1.31122,7350361.22308
1989-05-18,1.33878,1.34735,1.31909,1.33878,2188175.1259254
1989-05-19,1.35513,1.35887,1.33878,1.35513,4009390.0638706
1989-05-22,1.35513,1.35513,1.31122,1.32727,1236346.4919293
1989-05-23,1.31909,1.32727,1.28345,1.29133,1180461.6673493
1989-05-24,1.29133,1.31909,1.28345,1.31909,1845495.2442208
1989-05-25,1.31909,1.31909,1.28739,1.28739,973272.09043147
1989-05-26,1.2993,1.2993,1.27941,1.2993,1485873.4880683
1989-05-30,1.2993,1.32727,1.29526,1.32727,1193442.3121601
1989-05-31,1.32727,1.37501,1.31909,1.37088,1240297.5645674
1989-06-01,1.37088,1.39894,1.35513,1.37501,2035750.0565902
1989-06-02,1.39066,1.41075,1.37501,1.39894,1879932.5495657
1989-06-05,1.39894,1.39894,1.3632,1.3632,556639.09850224
1989-06-06,1.37088,1.39066,1.3632,1.39066,956895.9608318
