Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,26.373,26.6457,26.0491,26.5207,3635752.4840286
2005-02-28,26.4793,26.5403,25.9025,25.9507,5106564.692304
2005-03-01,26.0028,27.6911,26.0028,27.634,10162829.586773
2005-03-02,26.7215,26.7235,24.5047,24.9949,30741570.443325
2005-03-03,25.2094,25.2094,23.9573,24.3235,15645144.89246
2005-03-04,24.3392,25.3728,24.3392,24.7438,9646348.2353697
2005-03-07,24.7419,25.0706,24.1944,24.4563,7190549.8738618
2005-03-08,24.4514,24.7753,24.1404,24.4347,4683632.9396616
2005-03-09,24.3068,24.3649,23.7152,24.0892,6911466.5019655
2005-03-10,24.0892,24.8954,24.0892,24.8561,7507331.42808
2005-03-11,24.8561,25.0273,24.5617,24.7803,5551503.812821
2005-03-14,24.8067,24.9495,24.3649,24.7202,5288153.9210592
2005-03-15,24.6208,25.105,24.6208,24.9288,3807922.7543767
2005-03-16,24.8384,24.9151,24.6248,24.733,3035967.3939265
2005-03-17,24.7123,24.7684,24.3048,24.3392,3309522.511762
2005-03-18,24.3392,24.4967,24.164,24.2901,4221404.0572714
2005-03-21,24.7753,25.0795,24.6896,24.9407,5309374.0054172
2005-03-22,25.0401,25.0401,24.2713,24.3392,3679789.5684706
2005-03-23,23.7781,24.229,23.7201,23.9346,4529560.0316973
2005-03-24,24.1167,24.3865,24.0222,24.2713,2554839.6437402
2005-03-28,24.2713,24.73,24.2398,24.4937,2775754.4460346
2005-03-29,24.4259,24.5421,23.7781,23.8204,3901461.1787907
2005-03-30,23.8204,24.3205,23.784,24.3068,2907035.7501573
2005-03-31,24.2605,24.5882,24.1513,24.3706,2404711.2801563
2005-04-01,24.162,24.2575,22.708,23.0447,14980082.316564
2005-04-04,23.0447,23.8637,22.7661,23.7201,7109572.4309731
2005-04-05,23.656,23.8392,23.3962,23.7152,3835430.94837
2005-04-06,23.6885,24.0813,23.6885,23.8283,3317381.1250319
2005-04-07,23.7004,23.8333,23.4601,23.6009,3186885.0727265
2005-04-08,23.6019,23.7693,23.2317,23.4119,2489610.9187319
2005-04-11,23.4346,23.4483,23.2337,23.2603,2326886.018883
2005-04-12,23.1511,23.347,23.034,23.2968,4694647.7979455
2005-04-13,23.2968,23.4985,23.2663,23.3292,3182962.8770396
2005-04-14,23.3489,23.4414,22.396,22.4817,7894884.183263
2005-04-15,22.1991,22.4935,21.3447,21.4834,10519711.807851
2005-04-18,21.5888,22.0997,21.134,21.6922,7104075.6682532
2005-04-19,21.9806,21.9806,21.7306,21.9599,4708792.4891513
