Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-12-31,1.83355,1.93632,1.83355,1.93632,1156168.0743296
1985-01-02,1.93632,1.93632,1.88804,1.93632,145434.89311417
1985-01-03,1.93632,1.93632,1.88804,1.93632,71470.687782504
1985-01-04,1.93632,1.93632,1.88804,1.93632,88137.777204464
1985-01-07,1.88804,1.93632,1.88804,1.88804,111525.28714351
1985-01-08,1.88804,1.93632,1.83355,1.88804,227868.12732155
1985-01-09,1.88804,1.93632,1.83355,1.88804,265143.01786404
1985-01-10,1.93632,2.0458,1.93632,2.0458,389236.3641564
1985-01-11,2.0458,2.14808,1.99081,2.14808,429142.79356944
1985-01-14,2.14808,2.20326,2.0458,2.09349,347726.45174473
1985-01-15,2.14808,2.25104,2.14808,2.20326,855213.59787503
1985-01-16,2.20326,2.36042,2.20326,2.30564,822179.81837768
1985-01-17,2.4629,2.51098,2.40831,2.51098,493892.04597219
1985-01-18,2.51098,2.56557,2.4629,2.56557,631723.58805735
1985-01-21,2.56557,2.66825,2.56557,2.66825,378421.98767949
1985-01-22,2.77712,2.82561,2.56557,2.62046,702754.84030922
1985-01-23,2.62046,2.66825,2.56557,2.66825,360588.82106421
1985-01-24,2.66825,2.72293,2.62046,2.62046,602782.74965718
1985-01-25,2.62046,2.66825,2.56557,2.62046,566536.92984927
1985-01-28,2.56557,2.62046,2.4629,2.4629,385143.42305923
1985-01-29,2.4629,2.51098,2.36042,2.4629,288093.12199776
1985-01-30,2.51098,2.66825,2.4629,2.66825,447268.24063004
1985-01-31,2.72293,2.72293,2.66825,2.66825,231814.92819606
1985-02-01,2.66825,2.72293,2.62046,2.66825,266316.19909596
1985-02-04,2.66825,2.72293,2.62046,2.66825,192794.47388291
1985-02-05,2.66825,2.72293,2.62046,2.66825,140758.40598901
1985-02-06,2.66825,2.72293,2.66825,2.66825,117368.86632464
1985-02-07,2.66825,2.72293,2.66825,2.72293,115616.19851537
1985-02-08,2.66825,2.72293,2.62046,2.62046,108015.89207434
1985-02-11,2.62046,2.66825,2.62046,2.62046,112113.90748479
1985-02-12,2.62046,2.66825,2.62046,2.62046,105091.0578958
1985-02-13,2.62046,2.66825,2.62046,2.62046,89013.603677772
1985-02-14,2.62046,2.72293,2.62046,2.66825,274500.05156498
1985-02-15,2.66825,2.88,2.62046,2.62046,179635.76466748
1985-02-19,2.62046,2.66825,2.62046,2.66825,103632.70025717
1985-02-20,2.66825,2.66825,2.62046,2.62046,202003.33763587
1985-02-21,2.62046,2.66825,2.56557,2.62046,92525.028472267
1985-02-22,2.62046,2.62046,2.56557,2.56557,66360.854302655
1985-02-25,2.56557,2.62046,2.51098,2.51098,137687.43158781
1985-02-26,2.51098,2.56557,2.51098,2.51098,134611.38287333
1985-02-27,2.51098,2.56557,2.4629,2.51098,110650.47553286
1985-02-28,2.51098,2.56557,2.4629,2.51098,92230.71830163
1985-03-01,2.51098,2.62046,2.51098,2.56557,392745.75922558
1985-03-04,2.56557,2.62046,2.56557,2.56557,144707.23658883
1985-03-05,2.56557,2.62046,2.51098,2.56557,332674.00881064
1985-03-06,2.56557,2.62046,2.56557,2.62046,141634.23246232
1985-03-07,2.62046,2.62046,2.56557,2.62046,236061.11355449
1985-03-08,2.62046,2.62046,2.56557,2.56557,160638.55058419
1985-03-11,2.62046,2.62046,2.56557,2.56557,209892.87993425
1985-03-12,2.56557,2.62046,2.56557,2.56557,116202.78913133
1985-03-13,2.56557,2.62046,2.56557,2.56557,188701.53278574
1985-03-14,2.56557,2.62046,2.56557,2.56557,317178.07089529
1985-03-15,2.56557,2.62046,2.56557,2.56557,135933.74891588
1985-03-18,2.62046,2.66825,2.56557,2.62046,213111.00942077
1985-03-19,2.62046,2.66825,2.62046,2.62046,120735.16575913
1985-03-20,2.62046,2.66825,2.62046,2.62046,104069.09119983
1985-03-21,2.62046,2.66825,2.62046,2.62046,154204.32133648
1985-03-22,2.62046,2.66825,2.62046,2.66825,108015.89207434
1985-03-25,2.66825,2.66825,2.62046,2.66825,96469.799621458
1985-03-26,2.62046,2.66825,2.62046,2.66825,261048.04704156
1985-03-27,2.62046,2.72293,2.62046,2.72293,219832.44480051
1985-03-28,2.66825,2.77712,2.66825,2.77712,519763.93969649
1985-03-29,2.82561,2.93488,2.77712,2.88,394647.61184549
1985-04-01,2.66825,2.77712,2.56557,2.72293,915580.67332326
1985-04-02,2.72293,2.72293,2.62046,2.66825,349484.19386728
1985-04-03,2.66825,2.72293,2.66825,2.72293,195129.67285752
1985-04-04,2.72293,2.77712,2.72293,2.72293,145285.70830353
1985-04-08,2.72293,2.77712,2.66825,2.66825,152446.57921392
1985-04-09,2.62046,2.72293,2.62046,2.66825,316739.6502273
1985-04-10,2.62046,2.72293,2.62046,2.62046,766932.72503587
1985-04-11,2.62046,2.66825,2.62046,2.62046,135350.20288789
1985-04-12,2.62046,2.72293,2.62046,2.66825,172765.14447709
1985-04-15,2.66825,2.72293,2.56557,2.66825,177155.44033287
1985-04-16,2.66825,2.72293,2.66825,2.66825,88573.153284475
1985-04-17,2.66825,2.72293,2.66825,2.66825,141052.71615965
1985-04-18,2.66825,2.72293,2.66825,2.66825,118536.97324327
1985-04-19,2.66825,2.72293,2.66825,2.72293,114008.65606609
1985-04-22,2.66825,2.72293,2.66825,2.66825,226556.92476824
1985-04-23,2.66825,2.72293,2.66825,2.72293,236639.58526919
1985-04-24,2.66825,2.72293,2.66825,2.72293,477370.08191024
1985-04-25,2.66825,2.72293,2.66825,2.72293,112405.17306745
1985-04-26,2.66825,2.93488,2.66825,2.82561,627047.1009322
1985-04-29,2.82561,2.88,2.72293,2.77712,478690.41822748
1985-04-30,2.77712,2.82561,2.77712,2.77712,83898.695884636
1985-05-01,2.77712,2.82561,2.77712,2.77712,90621.146127043
1985-05-02,2.77712,2.82561,2.72293,2.82561,90621.146127043
