Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,8.275,8.595,8.135,8.485,1904400
2005-02-28,8.6625,8.775,8.305,8.34,1798800
2005-03-01,8.365,8.5625,8.365,8.53,1266000
2005-03-02,8.5925,8.6975,8.55,8.615,1334000
2005-03-03,8.7075,8.75,8.5,8.6075,1151200
2005-03-04,8.59,8.7025,8.5625,8.6475,1150800
2005-03-07,8.705,8.735,8.475,8.5225,1418400
2005-03-08,8.55,8.555,8.38,8.4375,1006400
2005-03-09,8.25,8.2525,7.985,8.06,3379200
2005-03-10,8.025,8.1375,7.8,7.85,2446400
2005-03-11,7.82,7.875,7.39,7.57,4410800
2005-03-14,7.58,7.785,7.5775,7.72,2324800
2005-03-15,7.8,7.825,7.6325,7.6775,2108400
2005-03-16,7.615,7.7075,7.5075,7.5125,1975600
2005-03-17,7.5,7.5475,7.3925,7.4775,1668000
2005-03-18,7.775,7.785,7.3125,7.4125,3328000
2005-03-21,7.45,7.4625,7.275,7.37,1002800
2005-03-22,7.335,7.4875,7.1625,7.2,1506000
2005-03-23,7.17,7.17,6.94,7.0025,2169600
2005-03-24,7.005,7.2275,7.005,7.08,2828800
2005-03-28,7.085,7.325,7.085,7.255,2200800
2005-03-29,7.255,7.455,7.1825,7.2025,1946400
2005-03-30,7.205,7.56,7.205,7.4875,2007600
2005-03-31,7.5,7.62,7.47,7.4975,1864000
2005-04-01,7.55,7.7,7.5225,7.585,1978000
2005-04-04,7.6,7.6875,7.4125,7.615,1508800
2005-04-05,7.6075,7.855,7.6075,7.75,1830400
2005-04-06,7.75,7.92,7.7175,7.72,1373200
2005-04-07,7.7375,7.75,7.595,7.69,1571200
2005-04-08,7.5875,7.6875,7.4875,7.565,997200
2005-04-11,7.5525,7.6225,7.465,7.5375,872000
2005-04-12,7.5375,7.635,7.3925,7.605,915200
2005-04-13,7.65,7.7725,7.5375,7.55,1692800
2005-04-14,7.525,7.5275,6.5575,6.725,7810000
2005-04-15,6.725,6.8675,6.575,6.64,2892000
2005-04-18,6.5875,6.595,6.215,6.2775,4128400
2005-04-19,6.315,6.8,6.3075,6.675,5207600
