Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.714653,0.721042,0.708362,0.721042,32437.935066021
1970-01-05,0.721042,0.734214,0.721042,0.734214,18338.465689314
1970-01-06,0.72753,0.72753,0.714653,0.721042,20216.360384077
1970-01-07,0.714653,0.714653,0.68939,0.708362,14107.60759857
1970-01-08,0.708362,0.708362,0.701971,0.708362,23977.236162264
1970-01-09,0.708362,0.708362,0.701971,0.701971,9399.6462511381
1970-01-12,0.714653,0.721042,0.714653,0.721042,17395.449231003
1970-01-13,0.721042,0.721042,0.714653,0.714653,23977.236162264
1970-01-14,0.714653,0.714653,0.708362,0.708362,32437.935066021
1970-01-15,0.708362,0.714653,0.695681,0.695681,14572.503522463
1970-01-16,0.695681,0.708362,0.695681,0.708362,33379.934246602
1970-01-19,0.708362,0.708362,0.695681,0.695681,26325.113169583
1970-01-20,0.695681,0.708362,0.695681,0.695681,11752.609647121
1970-01-21,0.695681,0.695681,0.68939,0.695681,23504.20201651
1970-01-22,0.695681,0.695681,0.68939,0.68939,15040.451279554
1970-01-23,0.68939,0.695681,0.676315,0.682901,43248.545532564
1970-01-26,0.682901,0.682901,0.676315,0.676315,13163.573862525
1970-01-27,0.676315,0.676315,0.670515,0.676315,4225.7717020809
1970-01-28,0.676315,0.676315,0.670515,0.670515,30089.040780969
1970-01-29,0.676315,0.682901,0.676315,0.676315,19271.309370299
1970-01-30,0.676315,0.68939,0.676315,0.676315,27261.008683766
1970-02-02,0.676315,0.676315,0.663831,0.676315,16452.432772691
1970-02-03,0.676315,0.68939,0.676315,0.682901,18338.465689314
1970-02-04,0.682901,0.695681,0.682901,0.68939,38546.687851528
1970-02-05,0.68939,0.68939,0.663831,0.676315,39016.670164086
1970-02-06,0.676315,0.676315,0.670515,0.670515,45127.457505058
1970-02-09,0.670515,0.695681,0.670515,0.676315,22095.272356572
1970-02-10,0.676315,0.676315,0.670515,0.670515,27261.008683766
1970-02-11,0.670515,0.676315,0.663831,0.676315,29148.058878124
1970-02-12,0.676315,0.676315,0.670515,0.670515,5169.8054381259
1970-02-13,0.676315,0.682901,0.676315,0.676315,12218.522848747
1970-02-16,0.676315,0.695681,0.670515,0.695681,117522.02736029
1970-02-17,0.695681,0.701971,0.695681,0.701971,15513.485425309
1970-02-18,0.701971,0.714653,0.695681,0.714653,130687.63577827
1970-02-19,0.714653,0.714653,0.701971,0.714653,57352.084020201
1970-02-20,0.714653,0.72753,0.714653,0.72753,17865.43154356
1970-02-24,0.72753,0.759576,0.721042,0.734214,49832.367019291
1970-02-25,0.740407,0.765966,0.740407,0.75299,72863.534890045
1970-02-26,0.75299,0.765966,0.740407,0.759576,83205.180321763
1970-02-27,0.759576,0.765966,0.759576,0.765966,87440.107523439
1970-03-02,0.765966,0.785135,0.765966,0.772061,48891.385116444
1970-03-03,0.772061,0.797914,0.759576,0.797914,52649.209061435
1970-03-04,0.797914,0.797914,0.772061,0.772061,33379.934246602
1970-03-05,0.772061,0.772061,0.759576,0.765966,29148.058878124
1970-03-06,0.778254,0.785135,0.778254,0.785135,16452.432772691
1970-03-09,0.785135,0.791328,0.778254,0.785135,13163.573862525
1970-03-10,0.785135,0.791328,0.778254,0.785135,25386.165822202
1970-03-11,0.785135,0.785135,0.778254,0.785135,30559.023093527
1970-03-12,0.785135,0.791328,0.785135,0.785135,24915.166231913
1970-03-13,0.785135,0.785135,0.772061,0.785135,26795.09548214
1970-03-16,0.785135,0.785135,0.759576,0.765966,20216.360384077
1970-03-17,0.765966,0.772061,0.765966,0.765966,19271.309370299
1970-03-18,0.765966,0.778254,0.765966,0.778254,17865.43154356
1970-03-19,0.778254,0.785135,0.772061,0.785135,19745.360793787
1970-03-20,0.785135,0.785135,0.778254,0.778254,47951.42049133
1970-03-23,0.778254,0.785135,0.772061,0.785135,11752.609647121
1970-03-24,0.785135,0.791328,0.785135,0.785135,13636.60800828
1970-03-25,0.791328,0.810497,0.791328,0.804106,79917.33868933
1970-03-26,0.804106,0.810497,0.804106,0.804106,132103.68638234
1970-03-30,0.804106,0.817083,0.804106,0.810497,39016.670164086
1970-03-31,0.810497,0.817083,0.804106,0.817083,39485.635198909
1970-04-01,0.817083,0.817083,0.817083,0.817083,24444.166641623
1970-04-02,0.817083,0.817083,0.804106,0.804106,22095.272356572
