Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1994-11-16,4.26256,4.29627,4.26256,4.26256,3334133.2314836
1994-11-17,4.26256,4.32943,4.22951,4.32943,1946798.0436405
1994-11-18,4.36266,4.42932,4.32943,4.39599,586919.07161123
1994-11-21,4.42932,4.42932,4.29627,4.29627,139297.73496823
1994-11-22,4.26256,4.29627,4.09589,4.09589,283625.41450329
1994-11-23,4.06274,4.12902,4.02911,4.06274,362261.77392219
1994-11-25,4.06274,4.12902,4.06274,4.12902,52981.201394727
1994-11-28,4.16265,4.16265,4.06274,4.06274,112083.55854113
1994-11-29,4.06274,4.09589,4.06274,4.09589,74924.410840455
1994-11-30,4.06274,4.09589,4.06274,4.06274,52262.202039945
1994-12-01,4.09589,4.09589,3.92892,3.92892,317433.63876124
1994-12-02,3.92892,3.92892,3.89588,3.92892,21816.087919068
1994-12-05,3.92892,3.92892,3.89588,3.92892,7913.0607914538
1994-12-06,3.92892,3.92892,3.89588,3.89588,36441.165318104
1994-12-07,3.92892,3.92892,3.86235,3.86235,31047.144698919
1994-12-08,3.86235,3.89588,3.82891,3.82891,67605.26182155
1994-12-09,3.79538,3.79538,3.69529,3.72872,108727.55023734
1994-12-12,3.79538,3.89588,3.76264,3.79538,113644.61088849
1994-12-13,3.79538,3.79538,3.76264,3.76264,58378.272930551
1994-12-14,3.79538,3.86235,3.79538,3.82891,176697.90508345
1994-12-15,3.82891,3.89588,3.82891,3.86235,109564.51836885
1994-12-16,3.89588,4.09589,3.89588,4.09589,176816.8908324
1994-12-19,4.06274,4.06274,3.99608,4.02911,18938.056555514
1994-12-20,4.02911,4.09589,4.02911,4.02911,51307.265131685
1994-12-21,4.06274,4.12902,4.06274,4.12902,38601.214299089
1994-12-22,4.12902,4.16265,4.06274,4.16265,99261.572876219
1994-12-23,4.19588,4.26256,4.19588,4.26256,75759.345027549
1994-12-27,4.26256,4.32943,4.22951,4.29627,45430.182711198
