Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,82.1601,83.282,81.5112,83.1031,308083.4619457
2005-02-28,83.1031,83.302,81.3312,82.0102,291513.87740041
2005-03-01,82.2581,83.54,82.2581,83.0031,517153.45525775
2005-03-02,82.8041,83.401,82.4481,82.6741,297438.44396525
2005-03-03,82.7041,83.341,82.3381,82.4981,329875.54591733
2005-03-04,82.4881,83.451,82.4581,82.6051,464734.44244044
2005-03-07,82.6051,83.838,82.6051,83.55,399363.19100374
2005-03-08,83.55,84.3459,82.6741,82.7541,234074.38447582
2005-03-09,82.7841,83.213,81.9502,82.0302,265205.3615235
2005-03-10,80.6623,83.65,80.6523,82.1101,644784.66059852
2005-03-11,82.1001,83.65,81.9002,82.6541,355480.99456009
2005-03-14,82.6541,83.57,80.9223,81.3212,606526.00193241
2005-03-15,81.1612,82.1501,80.3633,80.3633,304669.1354345
2005-03-16,80.5633,80.6033,79.7854,79.9654,391530.44195988
2005-03-17,80.0653,80.2633,78.2225,79.5574,376771.03052099
2005-03-18,79.3174,80.0943,78.5795,78.8685,373554.72294629
2005-03-21,78.6685,78.6685,76.9186,78.4225,461524.13543957
2005-03-22,77.8746,78.1625,76.1897,76.7087,663665.46616532
2005-03-23,76.8287,76.9086,76.0327,76.2497,244014.33503085
2005-03-24,76.4497,76.6987,75.2548,75.4348,491546.00642371
2005-03-28,75.5338,75.9827,74.8968,75.1748,322342.82556514
2005-03-29,74.9568,75.0358,71.1732,71.4722,1387981.7323517
2005-03-30,71.2232,72.885,70.2373,72.4471,589753.39797241
2005-03-31,71.7011,72.975,71.5022,72.5961,452184.24226788
2005-04-01,73.472,73.8199,71.6911,72.3771,473574.28779268
2005-04-04,72.3771,73.402,71.5822,72.0081,358694.30184787
2005-04-05,71.9791,73.024,71.7901,72.5461,334293.96844999
2005-04-06,72.5461,74.7369,72.5261,74.1889,670191.09020914
2005-04-07,74.2889,75.5438,74.2889,74.6769,483011.19024134
2005-04-08,75.0358,75.1158,74.2389,74.5169,186678.85205271
2005-04-11,74.5369,75.0258,74.0589,74.0589,298744.56886965
2005-04-12,73.681,73.71,72.5061,73.183,365724.97418934
2005-04-13,73.183,73.183,72.5561,72.5961,286493.39729313
2005-04-14,72.676,72.696,70.3073,70.3773,431498.26407288
2005-04-15,70.3873,71.0032,68.8324,69.9293,521673.88754557
2005-04-18,70.0593,71.2432,70.0593,71.1732,287800.52229317
2005-04-19,71.4232,72.2971,70.9832,71.1432,290206.75240036
2005-04-20,71.2032,71.3932,69.7303,69.8803,214292.49273838
2005-04-21,70.2773,70.9532,69.3914,70.5743,291412.86774088
2005-04-22,70.5842,71.4722,70.3273,71.0532,194007.55289457
2005-04-25,71.0032,71.0532,68.1155,68.8024,557318.29621161
2005-04-26,68.4025,68.4025,64.3198,65.9547,1665335.2556009
2005-04-27,65.7257,67.5375,64.9278,67.4186,589453.36928074
2005-04-28,67.3686,67.4086,65.1278,65.3278,522375.95468408
2005-04-29,65.4767,67.3686,65.4767,67.2686,471263.06677118
2005-05-02,67.4775,67.5375,61.7421,62.338,1430055.7558802
2005-05-03,61.7421,61.7421,57.8795,59.9703,3381183.3417315
2005-05-04,59.8503,59.8603,58.1074,58.5044,1550859.3082943
2005-05-05,61.9401,63.036,60.2492,62.437,2945266.6551259
2005-05-06,61.9401,62.737,60.9952,62.0991,1264466.9206607
2005-05-09,61.2941,61.6021,60.7652,60.8852,658442.96673898
2005-05-10,60.8852,61.2941,60.4082,60.8652,542862.91384695
2005-05-11,60.6282,61.1552,60.2192,61.1452,308986.54830763
2005-05-12,61.1452,62.487,60.1292,60.6872,756349.32950038
2005-05-13,60.6872,60.8252,59.4923,59.9103,741286.8890829
2005-05-16,60.0503,61.0752,59.8503,61.0352,369036.29084974
2005-05-17,60.5482,61.3431,60.3582,61.1951,446259.67570304
2005-05-18,61.0452,62.358,61.0452,62.1791,422861.43813534
2005-05-19,62.388,63.9999,62.388,63.7219,740685.83160392
2005-05-20,63.5419,63.6819,63.234,63.6119,249740.88265919
2005-05-23,63.8719,65.6367,63.7919,65.2778,1118155.9289765
2005-05-24,65.3278,65.7257,64.6288,65.0078,354979.946645
2005-05-25,65.1278,65.1978,63.3519,63.7219,771007.73127973
2005-05-26,63.7219,64.5288,63.7219,64.3788,721704.0163776
2005-05-27,64.4788,65.1178,64.4788,64.9778,303664.0393174
2005-05-31,65.3767,66.0147,65.0578,65.7757,1160630.9908562
2005-06-01,65.7757,66.1847,64.5188,64.8978,722708.11239906
2005-06-02,64.9278,65.2778,63.8919,64.3988,541054.74093182
2005-06-03,64.5988,65.2078,63.5519,63.7319,440534.12817034
2005-06-06,63.7219,64.0299,63.046,63.7919,447866.82939475
2005-06-07,64.7288,64.7288,63.9109,64.1699,552901.87387023
2005-06-08,60.0103,62.497,59.7503,60.8952,3189182.9807842
2005-06-09,60.8752,61.6821,60.8252,61.3041,793907.92121926
2005-06-10,61.3731,61.8321,60.7462,61.6421,801135.6124016
2005-06-13,61.5421,63.076,61.5421,62.886,598893.27201632
2005-06-14,62.757,63.6519,62.1891,63.4619,789788.52728264
2005-06-15,63.7819,64.3788,63.185,63.2819,566256.15093646
2005-06-16,63.3819,63.7719,62.976,63.7419,548987.49953957
2005-06-17,64.1299,64.1299,62.1591,63.2819,1199697.7267986
2005-06-20,63.7219,63.7219,62.348,62.886,734558.24562438
2005-06-21,62.886,63.036,62.219,62.348,406395.86353649
2005-06-22,62.338,62.437,61.1751,61.2441,528903.57891918
2005-06-23,61.3531,61.8411,61.2441,61.5921,962610.05416275
2005-06-24,61.7421,63.234,61.6921,61.9891,1534089.7046212
2005-06-27,61.8411,62.219,61.4631,61.8021,535831.24140984
2005-06-28,61.7421,62.0891,61.4931,61.7421,710056.90256697
2005-06-29,61.7421,62.1891,61.0752,61.0752,480599.95965595
2005-06-30,61.3231,61.5121,60.4582,60.6082,369137.30050927
2005-07-01,60.6972,61.2441,60.0203,60.7562,422761.42857145
2005-07-05,60.7462,61.4931,60.7462,61.3041,206962.79180088
2005-07-06,60.9652,61.4931,60.5482,61.4531,585036.94693936
2005-07-07,61.2441,62.1691,61.0152,62.1291,627512.00881908
2005-07-08,62.1091,63.9609,62.1091,63.8119,1078893.1742889
2005-07-11,64.0599,64.9878,63.6419,64.8088,1029087.4113761
2005-07-12,64.6388,65.1078,63.8119,64.0499,713572.23873771
2005-07-13,64.2299,64.6288,64.1199,64.2199,478392.7485809
2005-07-14,64.3688,64.8488,62.966,63.4219,769102.54908763
2005-07-15,63.2629,63.7819,63.036,63.234,464032.37530193
2005-07-18,63.185,63.3819,62.737,62.886,222425.27047392
2005-07-19,63.036,63.7319,62.797,63.6319,258277.69903284
2005-07-20,63.5219,64.5888,63.253,64.3988,230159.01004953
2005-07-21,64.5988,64.8188,64.1799,64.4588,477085.62358086
2005-07-22,64.9678,65.7257,63.9309,64.6988,554209.99896591
2005-07-25,64.8288,65.2278,64.5188,64.9278,405389.76732375
2005-07-26,65.0778,66.6606,65.0778,66.1747,592669.67685545
2005-07-27,65.8257,67.8165,65.8257,67.5075,728231.6406127
2005-07-28,67.5075,69.2114,67.5075,68.4325,983798.08036849
2005-07-29,68.4325,68.5324,67.7375,68.4125,486126.48815651
2005-08-01,68.4125,69.2114,68.3235,68.9914,659044.02421796
2005-08-02,68.9914,69.9493,68.9314,69.6603,584234.87023696
2005-08-03,69.6603,70.5643,69.3914,70.1183,613758.69359293
2005-08-04,69.9593,70.6142,68.7624,69.0214,675211.57031642
2005-08-05,68.7124,68.7724,67.5575,67.9655,370445.42560495
2005-08-08,67.9855,68.4025,67.1486,67.7175,389925.28845944
2005-08-09,67.9155,68.5624,67.6675,68.3335,377071.05921266
2005-08-10,68.5824,68.7024,67.0586,67.3186,509518.72515038
2005-08-11,67.5675,68.1645,66.9886,67.1586,510425.81189487
2005-08-12,66.9086,67.0386,66.0947,66.6006,530708.7515474
2005-08-15,66.4716,66.8296,66.1747,66.8206,335800.11248218
2005-08-16,66.7906,67.4186,66.7206,67.2386,337706.29476992
2005-08-17,67.2186,67.7675,67.2186,67.6075,336000.13160996
2005-08-18,67.6075,67.8165,67.2286,67.4575,182357.43879703
2005-08-19,67.9655,67.9655,67.2686,67.4186,274039.20630191
2005-08-22,67.5175,67.9065,67.2786,67.7375,219514.99216472
2005-08-23,67.7375,67.7375,66.5806,67.1986,483111.19980523
2005-08-24,73.133,73.133,66.3047,67.1386,1125687.6492331
2005-08-25,67.1186,67.2586,66.7206,66.8986,314710.09564905
2005-08-26,66.8206,67.1186,66.5406,66.7206,311396.77879738
2005-08-29,66.5706,68.1245,66.2347,68.1245,478492.75814479
2005-08-30,67.9655,68.2345,66.6906,66.7206,640969.29573612
2005-08-31,66.7306,68.2845,66.3147,68.2845,503999.19731929
2005-09-01,68.1155,70.1283,68.0355,69.0714,609639.2996563
2005-09-02,69.0614,69.3314,68.6724,68.9214,265605.39977906
2005-09-06,68.9514,69.2714,68.2045,69.0514,395446.81648181
2005-09-07,68.7524,69.5703,68.5824,69.3114,562642.80539311
2005-09-08,68.7124,74.0889,68.2945,73.343,2630056.5116574
2005-09-09,73.541,74.7868,73.303,74.2089,748719.59987121
2005-09-12,73.392,75.3748,73.053,74.4389,626208.8842016
2005-09-13,74.4289,75.9327,74.4289,75.1358,715982.46922745
2005-09-14,75.0558,75.5838,74.8068,75.2348,440634.13773423
2005-09-15,75.0358,75.2348,73.581,74.2889,596886.08006905
2005-09-16,74.1889,74.1889,73.462,74.1589,301154.7993594
2005-09-19,73.7399,74.2889,73.691,74.0289,399764.22935494
2005-09-20,74.1289,74.6469,74.0889,74.2889,388015.10578914
2005-09-21,73.9889,74.4889,73.691,73.8999,385705.88495892
2005-09-22,73.7899,73.7899,72.5061,73.183,346043.09201579
2005-09-23,73.083,73.7499,72.726,73.303,114878.98584917
2005-09-26,73.442,74.5569,73.233,73.8499,310293.67330767
2005-09-27,73.7699,74.5369,73.511,74.3989,205454.64757742
2005-09-28,74.2989,75.2348,74.0689,74.5869,385605.87539503
2005-09-29,74.4689,75.8527,74.4489,75.8327,433004.40810506
2005-09-30,75.7828,76.8786,75.7728,76.2897,846626.96272824
2005-10-03,76.0817,77.5566,76.0617,77.3766,705841.49944901
2005-10-04,77.1966,78.1725,77.1776,77.8346,611644.4914123
2005-10-05,77.4066,77.8746,75.0168,75.1058,677122.75308236
2005-10-06,74.9868,75.7628,71.7711,72.2271,952568.09385256
2005-10-07,73.143,73.402,71.3032,71.7811,737473.52441178
2005-10-10,72.0981,74.4389,71.9991,72.766,879868.141574
2005-10-11,72.846,73.203,69.6403,70.0593,870627.25787056
2005-10-12,68.8124,69.4114,67.9155,69.2814,805353.01571084
2005-10-13,69.1114,70.8442,68.9514,70.3373,589252.35005732
2005-10-14,71.1032,72.686,70.4073,71.2932,403580.59431298
2005-10-17,71.7901,71.7901,69.2914,70.7442,394546.7304068
2005-10-18,70.0593,70.2873,69.4114,69.9093,439832.06103183
2005-10-19,69.8603,70.4573,69.4114,70.1583,317927.40331939
2005-10-20,70.0093,70.1383,68.9614,69.1414,451983.22304447
2005-10-21,69.4604,69.6503,68.7224,69.1314,534426.10703719
2005-10-24,69.4314,69.5104,68.5824,69.2114,393741.65341749
2005-10-25,69.2114,69.2114,68.1645,68.3735,410610.26655881
2005-10-26,68.2145,68.2645,67.4386,67.7575,406295.8539726
2005-10-27,67.7575,67.8365,67.3086,67.3686,309791.62529694
2005-10-28,67.5675,67.7175,66.5806,67.0186,540752.71204887
2005-10-31,67.2686,69.0014,67.2686,68.5524,371849.55988196
2005-11-01,68.1155,69.3614,68.0855,69.2114,533924.05902646
2005-11-02,67.2686,70.8042,67.2686,70.7942,409405.15131394
2005-11-03,71.9491,73.243,71.2232,71.7811,642476.43986394
2005-11-04,71.6222,72.895,71.6222,72.4371,429990.11984942
2005-11-07,72.3371,74.0089,71.9791,73.442,382895.61621362
2005-11-08,73.442,73.8199,72.746,73.491,280868.85941995
2005-11-09,69.8403,71.4032,68.7324,71.1032,2588478.5355658
2005-11-10,70.7042,71.7311,69.9193,71.7311,286794.42608044
2005-11-11,71.7011,71.8891,71.0932,71.7111,196116.75459701
2005-11-14,71.8501,71.8691,69.9893,70.4173,499178.7363398
2005-11-15,70.2773,71.1932,69.8803,70.3973,235076.480306
2005-11-16,70.3573,70.4573,69.5603,70.0783,421253.28434799
