Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-01-04,1.37681,1.38686,1.36676,1.36676,1027363.2450664
1982-01-05,1.33089,1.35612,1.30983,1.32037,2072311.6748196
1982-01-06,1.30983,1.3512,1.26944,1.28983,1914432.0232936
1982-01-07,1.27938,1.28983,1.26944,1.27938,750293.62485867
1982-01-08,1.27398,1.28983,1.25407,1.25407,924200.07057253
1982-01-11,1.22828,1.25901,1.19241,1.20266,1205557.8516218
1982-01-12,1.1874,1.213,1.16207,1.18207,1739753.6258452
1982-01-13,1.19241,1.213,1.17213,1.17213,840174.26253725
1982-01-14,1.18207,1.213,1.16207,1.213,1289188.3706992
1982-01-15,1.27938,1.34587,1.21794,1.33089,3728043.631781
1982-01-18,1.34095,1.37681,1.29485,1.37681,3514287.5060455
1982-01-19,1.36676,1.3973,1.33089,1.34095,3696000.3912838
1982-01-20,1.28983,1.32567,1.25901,1.27398,2744452.9474676
1982-01-21,1.30018,1.32037,1.27938,1.30018,3489673.0075081
1982-01-22,1.30983,1.32037,1.28983,1.29485,1448231.1237662
1982-01-25,1.30983,1.34095,1.27398,1.34095,1538502.9112515
1982-01-26,1.34587,1.37159,1.32037,1.33089,1779616.758109
1982-01-27,1.34095,1.35612,1.32037,1.34095,1468941.3677537
1982-01-28,1.34095,1.35612,1.32567,1.34587,2144217.0127928
1982-01-29,1.35612,1.37681,1.33089,1.34095,3295451.6067647
1982-02-01,1.32037,1.34095,1.28983,1.32037,1273552.726318
1982-02-02,1.3052,1.32037,1.28983,1.28983,1223147.1754601
1982-02-03,1.26944,1.30018,1.22828,1.23862,1456828.1412064
1982-02-04,1.25901,1.28983,1.22828,1.28481,2338821.2850398
1982-02-05,1.27938,1.30018,1.25901,1.28983,2124282.8596912
1982-02-08,1.25407,1.28983,1.21794,1.22334,1322402.9910404
1982-02-09,1.20266,1.22334,1.18207,1.19754,2249726.0513379
1982-02-10,1.213,1.22334,1.20266,1.213,1597510.6534886
1982-02-11,1.27938,1.34095,1.213,1.34095,2878100.9719599
1982-02-12,1.30018,1.34095,1.24876,1.28481,3972275.2944243
1982-02-16,1.26944,1.30018,1.23862,1.28983,1562337.1797514
1982-02-17,1.24876,1.28481,1.213,1.22828,1643621.8347776
1982-02-18,1.22828,1.24374,1.20266,1.213,1439243.9913074
1982-02-19,1.18207,1.22334,1.14159,1.1668,2001190.7060353
1982-02-22,1.11085,1.17213,1.0494,1.06977,1842136.5703019
