Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,2.12358,2.15844,2.12358,2.15844,1189483.696115
1985-07-02,2.17252,2.17252,2.15844,2.16544,331045.66928533
1985-07-03,2.16544,2.17252,2.15844,2.15844,378993.66034496
1985-07-05,2.15844,2.17252,2.15844,2.16544,390405.35127429
1985-07-08,2.17252,2.1934,2.17252,2.1934,1178067.9430015
1985-07-09,2.1934,2.24953,2.1934,2.24953,824191.78303518
1985-07-10,2.24953,2.2706,2.24254,2.25652,974873.42774805
1985-07-11,2.25652,2.25652,2.24953,2.25652,682639.89728419
1985-07-12,2.24953,2.24953,2.24254,2.24254,324196.82674486
1985-07-15,2.24254,2.25652,2.23574,2.23574,337898.57401
1985-07-16,2.23574,2.24254,2.23574,2.24254,723735.9991652
1985-07-17,2.24254,2.26371,2.24254,2.26371,792226.45566209
1985-07-18,2.25652,2.25652,2.24254,2.24254,196340.59498273
1985-07-19,2.24254,2.24953,2.20738,2.22875,529675.30505783
1985-07-22,2.21447,2.21447,2.1934,2.20059,586751.02398725
1985-07-23,2.1934,2.1934,2.1094,2.13747,602729.62548961
1985-07-24,2.13747,2.15155,2.1164,2.1164,762547.12244064
1985-07-25,2.1164,2.13038,2.09522,2.10232,595881.79849517
1985-07-26,2.10232,2.12358,2.09522,2.1094,497710.99323079
1985-07-29,2.1094,2.1094,2.06736,2.08834,995416.90873134
1985-07-30,2.07445,2.07445,2.02542,2.02542,1235140.6152927
1985-07-31,2.0326,2.1094,2.0326,2.10232,1299068.2234008
1985-08-01,2.08834,2.08834,2.04638,2.08834,690629.19803537
1985-08-02,2.09522,2.13747,2.09522,2.1094,452048.99632278
1985-08-05,2.1094,2.13038,2.08134,2.12358,493141.03601961
1985-08-06,2.12358,2.14446,2.06046,2.06046,770533.37655367
1985-08-07,2.06046,2.12358,2.05328,2.12358,820766.3462189
1985-08-08,2.12358,2.17252,2.1094,2.17252,676930.49740836
1985-08-09,2.17252,2.1934,2.14446,2.16544,694056.66594375
1985-08-12,2.16544,2.17252,2.1164,2.16544,692918.23882514
1985-08-13,2.16544,2.16544,2.14446,2.14446,493141.03601961
1985-08-14,2.14446,2.14446,2.1164,2.12358,440631.21211719
1985-08-15,2.12358,2.13747,2.12358,2.13747,261411.70793961
1985-08-16,2.13747,2.13747,2.10232,2.10232,240866.19586422
1985-08-19,2.10232,2.12358,2.10232,2.12358,285384.68792338
1985-08-20,2.12358,2.13038,2.1164,2.1164,704327.89866238
1985-08-21,2.1164,2.24254,2.1094,2.12358,656384.98533297
1985-08-22,2.12358,2.13038,2.1094,2.1164,347028.33297187
1985-08-23,2.1164,2.12358,2.1094,2.1094,99313.29456718
1985-08-26,2.1094,2.1164,2.1094,2.1094,191778.76213993
1985-08-27,2.1094,2.1164,2.1094,2.1164,173516.19757803
1985-08-28,2.1164,2.1164,2.09522,2.1164,430360.9949446
1985-08-29,2.1164,2.13038,2.1094,2.12358,239726.75319956
1985-08-30,2.12358,2.13038,2.10232,2.1094,465747.6969498
1985-09-03,2.1094,2.1094,2.09522,2.10232,182645.95653991
1985-09-04,2.10232,2.1164,2.08834,2.09522,468032.67555538
1985-09-05,2.09522,2.1094,2.09522,2.10232,202048.97931251
1985-09-06,2.10232,2.12358,2.09522,2.10232,142693.35950773
1985-09-09,2.1094,2.16544,2.1094,2.16544,264837.14475589
1985-09-10,2.16544,2.20059,2.15844,2.15844,254560.83430703
1985-09-11,2.15844,2.18661,2.15155,2.15155,254560.83430703
1985-09-12,2.15155,2.17252,2.13038,2.14446,643820.64964038
1985-09-13,2.14446,2.15155,2.04638,2.1094,439492.78499857
1985-09-16,2.1094,2.1164,2.08134,2.1164,226023.99038837
1985-09-17,2.1164,2.16544,2.09522,2.13747,547938.88516578
1985-09-18,2.13747,2.13747,2.08834,2.10232,566202.46527372
1985-09-19,2.10232,2.12358,2.09522,2.1094,81052.761097377
