Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,29.1541,29.7854,29.1541,29.7854,328728.1515698
2005-02-28,29.8538,29.9036,29.3183,29.3183,646212.51298337
2005-03-01,29.0642,29.3476,28.7749,29.1726,904829.91843572
2005-03-02,29.6965,29.7326,29.1404,29.6301,788026.08252128
2005-03-03,29.759,30.1518,29.7278,30.0766,829339.26071199
2005-03-04,30.191,30.9777,30.191,30.8585,826957.28387301
2005-03-07,30.9914,31.4518,30.709,31.1868,692268.15794758
2005-03-08,31.1477,31.1477,30.8956,31.0246,284251.28249155
2005-03-09,31.0246,31.0246,30.0121,30.0551,572304.72388933
2005-03-10,30.3112,30.6484,30.1725,30.4597,693064.1965991
2005-03-11,30.446,30.446,30.0883,30.1177,373519.13872775
2005-03-14,30.3268,30.3776,30.0307,30.2702,376364.61879185
2005-03-15,30.2975,30.5594,30.1782,30.3699,729309.53489139
2005-03-16,30.3268,30.3572,29.7033,29.8216,550620.34452991
2005-03-17,29.9163,30.1988,29.847,30.0494,247690.80293362
2005-03-18,30.0766,30.1314,29.5899,29.6301,471489.19127649
2005-03-21,29.6965,29.7326,29.3183,29.4561,356416.58595122
2005-03-22,29.413,29.6965,29.2556,29.3183,867952.25124029
2005-03-23,29.1912,29.6652,28.8413,29.4247,657772.46759115
2005-03-24,29.4903,30.0698,29.4903,29.8108,510575.91688917
2005-03-28,29.7913,30.0121,29.7463,29.8802,1005805.0680532
2005-03-29,29.6301,29.9163,29.2556,29.4013,1223585.0767711
2005-03-30,29.3476,29.9554,29.2987,29.7326,478766.08959216
2005-03-31,29.759,30.0367,29.5304,29.7141,612350.17471599
2005-04-01,29.976,29.976,29.3876,29.5586,584013.04045659
2005-04-04,29.5381,29.5723,29.1912,29.5441,359904.62677773
2005-04-05,29.5441,29.7913,29.5157,29.5655,292801.02410092
2005-04-06,29.5723,29.8841,29.5381,29.8802,188180.26302406
2005-04-07,29.8802,30.3268,29.7726,30.2379,285675.5573025
2005-04-08,30.3913,30.446,30.2311,30.3043,210339.40065381
2005-04-11,30.3043,30.3572,30.107,30.2271,455342.29415616
2005-04-12,30.2027,30.3776,30.0494,30.3572,972883.03765315
2005-04-13,30.4861,30.5487,30.3112,30.3776,227435.81431477
2005-04-14,30.3268,30.4226,30.2134,30.3268,556635.6545971
2005-04-15,30.4226,30.6142,30.2652,30.4343,1325826.9305667
2005-04-18,30.4343,30.7648,30.2975,30.493,257030.44407895
2005-04-19,30.5155,30.6669,30.4285,30.6669,255764.76308676
2005-04-20,30.6424,30.6748,30.4539,30.5057,246112.02704765
2005-04-21,30.4861,30.709,30.4666,30.6748,334264.61062297
2005-04-22,30.5819,31.0862,30.5487,31.0413,370665.47317622
2005-04-25,30.9622,31.7801,30.8742,31.7517,569612.72171434
2005-04-26,31.7176,31.7801,31.4733,31.7323,334107.03999014
2005-04-27,31.6834,32.0538,31.57,31.8925,417675.75061071
2005-04-28,31.8925,31.8925,31.5192,31.6111,278870.34769934
2005-04-29,31.526,32.2229,31.4967,32.2229,264149.77176181
2005-05-02,32.1603,32.1926,31.139,31.7918,405961.29492788
2005-05-03,31.6834,31.8456,31.5192,31.655,435244.87617012
2005-05-04,31.526,31.827,31.526,31.7801,420524.30023259
2005-05-05,31.7176,31.7801,31.6473,31.7176,563913.57609871
2005-05-06,31.7176,31.7517,31.4029,31.5915,384916.40677308
2005-05-09,31.4655,31.9893,31.4655,31.9893,683251.84355532
2005-05-10,31.8456,32.4818,31.6774,32.4604,446476.38809521
2005-05-11,32.4105,32.4604,32.0392,32.3637,459774.73559366
2005-05-12,32.2229,32.2424,31.8858,31.958,382857.75668714
2005-05-13,31.8456,32.0128,31.5915,31.8349,209706.04856476
2005-05-16,32.0392,32.2229,32.0265,32.1867,557739.67221276
2005-05-17,32.0949,32.2981,32.0323,32.1603,446802.78440606
2005-05-18,32.2894,32.5396,31.9785,32.4252,404534.97374508
2005-05-19,32.4799,33.0125,32.4799,32.8964,388707.3106341
2005-05-20,32.8249,32.8846,32.6999,32.8455,395991.37125128
2005-05-23,32.8249,32.9833,32.7927,32.8455,357059.14671363
2005-05-24,32.7604,32.7604,32.1154,32.3841,414347.32678886
2005-05-25,32.4526,32.4526,31.8456,31.9395,224425.60131636
2005-05-26,32.0323,32.3841,32.0323,32.1926,521657.02048294
2005-05-27,32.2894,32.3499,32.1154,32.3499,182958.94523654
2005-05-31,32.4457,32.7985,32.4457,32.6099,963071.7077953
2005-06-01,32.6999,32.9589,32.6646,32.9589,665999.90563339
2005-06-02,32.9589,33.0506,32.8171,32.8572,178217.50164895
2005-06-03,32.8572,33.254,32.7927,32.8572,458826.24223896
2005-06-06,32.9051,33.0741,32.8171,33.0439,348030.55409023
2005-06-07,33.0439,33.987,32.9589,33.726,893429.5808326
2005-06-08,33.8033,34.1522,33.8033,34.0191,361647.1124121
2005-06-09,34.0191,34.1131,33.7759,34.0301,284881.56502284
2005-06-10,34.0134,34.4659,34.0134,34.4033,734216.73459921
2005-06-13,34.2753,34.7601,34.1522,34.7512,331895.93520104
2005-06-14,34.6251,35.104,34.6251,34.9731,583381.73473939
2005-06-15,35.066,35.0963,34.7845,35.0963,223793.27241323
2005-06-16,35.0835,35.0963,34.6985,35.0835,185811.58760213
2005-06-17,35.6963,35.7374,35.0533,35.1294,759378.92292588
2005-06-20,34.9917,35.237,34.9144,35.1294,204006.90294912
2005-06-21,35.0923,35.0963,34.676,34.7512,405328.96602474
2005-06-22,34.8129,34.8773,34.5802,34.7395,355154.99770273
2005-06-23,34.676,34.9086,34.6124,34.7463,267001.39094149
2005-06-24,34.6877,34.7639,34.1522,34.4981,366707.79000903
2005-06-27,34.4854,34.5244,34.3066,34.3506,371776.65309337
2005-06-28,34.1189,34.2088,33.8354,33.9596,1049013.1865815
2005-06-29,33.8668,34.2225,33.8354,33.9391,289634.26365562
2005-06-30,33.9284,34.0437,33.6899,33.9596,729309.53489139
2005-07-01,33.9,34.0191,33.8033,33.8873,261778.02678209
2005-07-05,33.8033,34.1942,33.8033,34.1189,593513.32179252
2005-07-06,34.0916,34.1189,33.9332,33.9939,285041.1820275
2005-07-07,33.9,34.2293,33.8033,34.2225,309103.44548222
2005-07-08,34.2753,34.98,34.1659,34.7512,475916.51678435
2005-07-11,34.7512,35.2752,34.6877,35.2194,307992.26556506
2005-07-12,35.2194,35.3435,35.0161,35.2936,380010.23025119
2005-07-13,35.2936,35.2936,34.9985,35.0044,426534.49437016
2005-07-14,35.0044,35.0044,33.8736,34.3007,631648.48449273
2005-07-15,34.3066,34.3652,34.0564,34.1131,740543.09318834
2005-07-18,34.1052,34.1189,33.6205,33.905,755900.09077272
2005-07-19,33.8354,34.0564,33.8354,33.9596,387128.53474812
2005-07-20,33.9596,33.9939,33.6518,33.9596,335529.26842923
2005-07-21,33.944,33.9685,33.5687,33.7466,389344.75546687
2005-07-22,33.6762,33.9762,33.6762,33.8668,195464.32364124
2005-07-25,33.9284,34.2157,33.9186,34.0261,556152.71083937
2005-07-26,34.0358,34.1522,34.0007,34.1189,691791.35330542
2005-07-27,34.1522,34.2225,33.9802,34.1189,708889.81333824
2005-07-28,33.9939,34.7043,33.9939,34.5939,1083198.8516018
2005-07-29,34.6057,34.9253,34.4981,34.9253,815722.70239013
2005-08-01,34.9086,35.066,34.807,34.939,402954.15148724
2005-08-02,35.0347,35.5038,35.0288,35.45,646694.43355518
2005-08-03,35.45,35.45,34.7845,35.0835,1243206.7133009
2005-08-04,35.0835,35.0835,34.334,34.3397,234395.52499297
2005-08-05,34.2753,34.2812,32.4799,32.8455,573095.64661122
2005-08-08,32.7604,32.7604,31.3149,31.5329,421312.15339669
2005-08-09,31.5759,32.2894,31.5759,31.7744,452178.60326862
2005-08-10,31.8788,32.6852,31.7744,32.343,564866.16219712
2005-08-11,32.3499,32.5072,32.0949,32.3557,253229.30835865
2005-08-12,32.3178,32.4105,31.6834,32.0059,417357.53978728
2005-08-15,31.9727,32.5825,31.8788,32.1799,302290.05039165
2005-08-16,32.0949,32.6402,32.0949,32.3841,258927.43078835
2005-08-17,32.3881,32.6999,32.2161,32.2229,521021.62202201
2005-08-18,32.2229,32.2229,31.915,32.0323,379367.66948877
2005-08-19,32.086,32.09,31.8456,31.8456,164124.13868493
2005-08-22,31.7801,31.9522,31.7255,31.8407,210024.25938818
2005-08-23,31.827,32.1486,31.827,31.9727,320652.14504481
2005-08-24,31.9785,32.4105,31.9727,32.3499,419891.97132946
2005-08-25,32.4105,32.7096,32.259,32.5122,402478.370031
2005-08-26,32.519,32.519,32.046,32.1603,242945.26660234
2005-08-29,32.0323,32.1427,31.7255,32.0,278082.49453524
2005-08-30,31.9395,32.1095,31.7801,32.0186,491429.0386297
2005-08-31,32.0186,33.0506,32.0186,33.0439,582274.64756593
2005-09-01,33.0741,33.944,32.9833,33.8033,926197.11015765
2005-09-02,33.7387,34.0301,33.7222,33.944,581163.46764878
2005-09-06,34.07,35.1657,34.0564,35.0347,821738.01245732
2005-09-07,34.98,35.0963,34.5538,35.0424,675813.2818631
2005-09-08,35.0044,35.2126,34.9673,35.1608,704774.55953822
2005-09-09,35.1501,35.2859,35.1197,35.2799,382221.33504029
2005-09-12,35.2799,35.3485,35.1608,35.3485,443309.62764991
2005-09-13,35.191,35.4462,35.0728,35.2936,833609.01558705
2005-09-14,35.2752,35.5468,35.2752,35.3748,735481.39240548
2005-09-15,35.3748,35.629,35.3552,35.5331,799578.87482757
2005-09-16,35.541,35.5468,35.3073,35.4462,489689.62255312
2005-09-19,35.3816,35.5731,35.3485,35.541,460879.77639525
2005-09-20,35.5468,35.5976,35.4217,35.4462,620101.831302
2005-09-21,35.4774,35.4774,35.1246,35.1501,957686.68025938
2005-09-22,35.0347,35.0777,34.372,35.022,1000261.4466986
2005-09-23,34.9086,35.0728,34.6331,34.9086,518172.0492142
2005-09-26,35.066,35.191,34.8773,35.066,375578.81199961
2005-09-27,35.1294,35.1294,34.7258,35.0347,811605.40221826
2005-09-28,34.7395,34.7463,34.2646,34.3926,367186.64102305
2005-09-29,34.3506,34.8353,34.1698,34.8265,638935.61466768
2005-09-30,34.8129,35.321,34.8129,35.2263,419572.7373201
2005-10-03,35.2498,35.4716,34.8989,35.45,283304.83550871
2005-10-04,35.321,35.363,34.6428,34.6477,334901.03226981
2005-10-05,34.6251,34.6985,34.0994,34.1325,244365.44866957
2005-10-06,34.1131,34.1522,33.3605,33.9234,340754.67896048
2005-10-07,34.6555,34.9144,34.0056,34.3926,710949.48661009
2005-10-10,34.9917,34.9917,33.5452,33.5511,222840.68631482
2005-10-11,34.2157,34.4786,33.6322,34.2088,723293.20163826
2005-10-12,34.2157,34.2157,33.163,33.5814,529255.19917983
2005-10-13,33.6439,34.0564,33.2364,33.296,769506.41723531
2005-10-14,33.5814,34.3926,33.5814,34.3397,390453.88901217
2005-10-17,34.3397,34.4541,34.07,34.4229,301973.88594008
2005-10-18,34.5802,34.8011,33.905,34.0437,444423.87712484
2005-10-19,34.0495,34.414,33.6205,34.4033,542706.00138145
2005-10-20,34.2459,34.7766,33.7612,33.944,382857.75668714
2005-10-21,34.0134,34.6124,33.8668,34.4981,507414.2723735
2005-10-24,34.8129,35.4901,34.8129,35.4823,427646.69747324
2005-10-25,35.3816,35.5594,35.1608,35.237,829805.83349489
2005-10-26,35.1294,35.2752,34.7845,35.0044,584966.64974094
2005-10-27,35.066,35.066,34.6555,34.7395,279822.93379775
2005-10-28,34.8989,35.5038,34.8989,35.3816,707938.25042575
2005-10-31,35.6818,36.1088,35.5223,35.6055,602056.92428633
2005-11-01,35.5731,35.5731,34.6555,35.1715,646694.43355518
2005-11-02,35.191,35.7452,35.0777,35.6963,599212.46740816
2005-11-03,35.9192,36.3229,35.5731,35.6621,443789.50184987
2005-11-04,35.7149,35.7149,35.1197,35.497,305619.49739941
2005-11-07,35.5594,35.8957,35.3905,35.6768,274280.33562902
2005-11-08,35.5731,35.8576,35.2438,35.6963,444892.4962796
2005-11-09,35.6963,36.5593,35.6768,36.1263,463419.32386707
2005-11-10,36.1263,37.0969,36.1263,37.091,527831.9475548
2005-11-11,37.0549,37.4115,36.9015,37.1917,304034.58239787
2005-11-14,37.2327,37.6188,37.0783,37.0783,258453.69570397
2005-11-15,37.0509,37.5239,36.8741,37.0069,279034.05744773
2005-11-16,37.0783,37.1027,36.7861,36.8447,235820.82298984
2005-11-17,36.8447,37.4975,36.745,37.4302,278082.49453524
2005-11-18,37.4683,38.0225,37.267,38.0225,711105.01087106
2005-11-21,37.4975,37.9589,37.3275,37.9111,605698.44300195
2005-11-22,37.8161,37.9716,37.6334,37.9383,610760.14378481
2005-11-23,37.8485,37.9716,37.695,37.8767,522610.62976728
2005-11-25,37.8161,37.9657,37.7009,37.8024,138166.93489266
2005-11-28,37.8348,37.8572,37.3275,37.3275,437137.77013581
2005-11-29,37.3353,37.4928,37.1653,37.2406,398046.95177943
2005-11-30,37.1135,37.4556,37.0783,37.2817,788498.79441974
2005-12-01,37.4048,37.5953,37.3607,37.5611,421312.15339669
2005-12-02,37.5679,37.5679,37.2141,37.3275,379690.99624183
2005-12-05,37.2817,37.2817,36.8888,37.1858,257030.44407895
2005-12-06,37.2817,37.3607,36.9288,37.0119,347711.32008088
2005-12-07,36.9757,36.9757,36.528,36.664,328567.51137919
2005-12-08,36.7382,37.1858,36.7382,37.091,380160.63858251
2005-12-09,37.0549,37.179,36.7519,36.9942,116169.46063944
2005-12-12,37.0021,37.1516,36.745,37.0313,328567.51137919
2005-12-13,37.0246,37.2474,36.7637,37.1858,202269.5332444
2005-12-14,37.1184,37.4048,36.961,37.309,224583.17194918
2005-12-15,36.9102,37.3021,36.656,36.664,319070.29960105
2005-12-16,36.8222,36.8955,36.5212,36.5945,302613.37714471
2005-12-19,36.6336,36.7225,36.4176,36.5076,241360.3516008
2005-12-20,36.4245,36.4987,36.0199,36.4832,354524.71517146
2005-12-21,36.5827,36.8408,36.5398,36.7519,207648.42166475
2005-12-22,36.6777,36.7519,36.3287,36.6777,200212.92953032
2005-12-23,36.7108,37.0196,36.705,36.7577,225530.64211795
2005-12-27,36.7637,36.9942,36.6277,36.8075,247690.80293362
