Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,0.056718,0.056718,0.056718,0.056718,59820364.573009
1990-03-27,0.056718,0.0639943,0.056718,0.0639943,23644252.833202
1990-03-28,0.0639943,0.0639943,0.0639943,0.0639943,14721893.965228
1990-03-29,0.0639943,0.0639943,0.056718,0.0639943,24414822.911814
1990-03-30,0.056718,0.056718,0.056718,0.056718,42705658.183811
1990-04-02,0.056718,0.056718,0.056718,0.056718,23522581.729478
1990-04-03,0.056718,0.056718,0.056718,0.056718,13829657.874755
1990-04-04,0.056718,0.056718,0.056718,0.056718,22305901.243426
1990-04-05,0.056718,0.056718,0.056718,0.056718,13748543.46615
1990-04-06,0.056718,0.056718,0.056718,0.056718,16871369.273614
1990-04-09,0.056718,0.056718,0.056718,0.056718,10139044.44589
1990-04-10,0.056718,0.056718,0.0497264,0.056718,49194648.951071
1990-04-11,0.056718,0.056718,0.056718,0.056718,36297778.77004
1990-04-12,0.056718,0.056718,0.056718,0.056718,19831968.300612
1990-04-16,0.056718,0.056718,0.056718,0.056718,10057934.110775
1990-04-17,0.056718,0.056718,0.056718,0.056718,9895708.3486796
1990-04-18,0.056718,0.056718,0.056718,0.056718,35608327.173525
1990-04-19,0.056718,0.056718,0.056718,0.056718,37068352.922143
1990-04-20,0.056718,0.056718,0.056718,0.056718,12410191.876373
1990-04-23,0.056718,0.056718,0.056718,0.056718,9490148.5261197
1990-04-24,0.056718,0.056718,0.056718,0.056718,15776355.817795
1990-04-25,0.056718,0.056718,0.056718,0.056718,10341826.903102
1990-04-26,0.056718,0.056718,0.056718,0.056718,16749700.206636
1990-04-27,0.056718,0.056718,0.056718,0.056718,6975666.0167988
1990-04-30,0.056718,0.056718,0.056718,0.056718,50451891.224104
1990-05-01,0.056718,0.056718,0.056718,0.056718,42786774.629164
1990-05-02,0.056718,0.056718,0.056718,0.056718,4623404.1777091
1990-05-03,0.056718,0.0639943,0.056718,0.0639943,11355729.005434
1990-05-04,0.056718,0.0639943,0.056718,0.0639943,10260712.494496
1990-05-07,0.0639943,0.0639943,0.0639943,0.0639943,20643096.092714
1990-05-08,0.0639943,0.0639943,0.0639943,0.0639943,20480870.330619
1990-05-09,0.0639943,0.0639943,0.0639943,0.0639943,14437999.136155
1990-05-10,0.0639943,0.0639943,0.0639943,0.0639943,6164538.2246969
1990-05-11,0.0639943,0.0639943,0.0639943,0.0639943,43030108.689628
1990-05-14,0.0639943,0.0639943,0.0639943,0.0639943,22103115.731095
1990-05-15,0.0639943,0.0639943,0.0639943,0.0639943,34837758.113286
