Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,3.735,3.826,3.735,3.75,2810250
2005-02-28,3.78,3.78,3.656,3.683,2484950
2005-03-01,3.702,3.742,3.683,3.699,1177480
2005-03-02,3.74,3.778,3.691,3.712,1173950
2005-03-03,3.768,3.796,3.689,3.772,1423760
2005-03-04,3.809,3.922,3.809,3.915,2407860
2005-03-07,3.934,3.959,3.751,3.763,1284360
2005-03-08,3.763,3.765,3.679,3.735,807880
2005-03-09,3.707,3.786,3.66,3.72,635100
2005-03-10,3.708,3.792,3.66,3.711,1651030
2005-03-11,3.71,3.753,3.677,3.71,902170
2005-03-14,3.663,3.849,3.663,3.77,1682350
2005-03-15,3.691,3.851,3.691,3.828,1005070
2005-03-16,3.786,3.837,3.746,3.792,870830
2005-03-17,3.8,3.851,3.77,3.803,741150
2005-03-18,3.791,3.853,3.726,3.8,1783460
2005-03-21,3.853,3.853,3.73,3.798,892900
2005-03-22,3.75,3.804,3.75,3.795,521380
2005-03-23,3.757,3.798,3.724,3.771,1468080
2005-03-24,3.814,3.814,3.68,3.738,1336050
2005-03-28,3.703,3.771,3.682,3.764,1164600
2005-03-29,3.764,3.769,3.724,3.75,681450
2005-03-30,3.78,3.788,3.608,3.72,4290350
2005-03-31,3.742,3.742,3.661,3.685,1698030
2005-04-01,3.709,3.711,3.601,3.624,2116590
2005-04-04,3.597,3.625,3.57,3.574,2494840
2005-04-05,3.61,3.611,3.568,3.573,1817590
2005-04-06,3.573,3.745,3.573,3.7,3363960
2005-04-07,3.663,3.712,3.56,3.68,1335080
2005-04-08,3.643,3.651,3.582,3.634,1055190
2005-04-11,3.658,3.669,3.574,3.591,1051730
2005-04-12,3.566,3.646,3.506,3.618,2026160
2005-04-13,3.582,3.646,3.549,3.584,737170
2005-04-14,3.566,3.591,3.484,3.486,1176800
2005-04-15,3.483,3.51,3.36,3.39,2045870
2005-04-18,3.356,3.428,3.356,3.38,1875830
2005-04-19,3.39,3.45,3.338,3.45,2116210
2005-04-20,3.35,3.444,3.293,3.372,10415940
2005-04-21,3.509,3.91,3.45,3.724,8245900
2005-04-22,3.688,3.804,3.688,3.785,1696360
2005-04-25,3.8,3.869,3.779,3.794,1725120
2005-04-26,3.76,3.809,3.673,3.693,1148840
2005-04-27,3.709,3.804,3.625,3.738,1463460
2005-04-28,3.699,3.859,3.69,3.816,2656480
2005-04-29,3.806,3.994,3.806,3.955,4500360
2005-05-02,3.995,3.995,3.856,3.924,1255600
2005-05-03,3.871,3.925,3.731,3.812,1697660
2005-05-04,3.795,3.861,3.778,3.822,1920210
2005-05-05,3.813,3.82,3.775,3.811,1166170
2005-05-06,3.823,3.824,3.752,3.806,691280
2005-05-09,3.801,3.85,3.799,3.85,932710
2005-05-10,3.786,3.868,3.786,3.853,1111900
2005-05-11,3.883,3.883,3.78,3.861,698050
2005-05-12,3.862,3.887,3.828,3.849,1325420
2005-05-13,3.828,3.891,3.813,3.865,869970
2005-05-16,3.832,3.865,3.811,3.865,861440
2005-05-17,3.827,3.896,3.803,3.882,944220
2005-05-18,3.905,4.035,3.827,3.922,1346680
2005-05-19,3.921,4.044,3.921,3.997,955410
2005-05-20,3.998,4.014,3.9,4.009,706720
2005-05-23,4.008,4.018,3.932,3.978,861990
2005-05-24,3.958,4.033,3.958,4.024,1267350
2005-05-25,4.014,4.024,3.926,3.97,730660
2005-05-26,3.953,4.042,3.939,4.042,756530
2005-05-27,4.054,4.058,4.0,4.028,635150
2005-05-31,3.992,4.05,3.98,4.018,535350
2005-06-01,4.002,4.168,4.002,4.137,1219070
2005-06-02,4.131,4.181,4.082,4.173,770580
2005-06-03,4.167,4.167,4.125,4.158,711290
2005-06-06,4.177,4.177,4.109,4.145,670710
2005-06-07,4.145,4.187,4.128,4.174,870060
2005-06-08,4.18,4.192,4.168,4.181,726400
2005-06-09,4.175,4.214,4.175,4.214,318190
2005-06-10,4.177,4.199,4.15,4.195,601660
2005-06-13,4.178,4.229,4.168,4.224,550800
2005-06-14,4.23,4.354,4.197,4.341,1009530
2005-06-15,4.316,4.353,4.248,4.325,731140
2005-06-16,4.293,4.451,4.293,4.451,622800
2005-06-17,4.468,4.507,4.429,4.486,1311700
2005-06-20,4.496,4.496,4.434,4.435,546590
2005-06-21,4.46,4.512,4.361,4.486,930520
2005-06-22,4.494,4.577,4.485,4.531,745300
2005-06-23,4.5,4.522,4.352,4.37,818400
2005-06-24,4.363,4.384,4.2,4.271,1304460
2005-06-27,4.24,4.31,4.22,4.273,862060
2005-06-28,4.322,4.5,4.292,4.46,1602950
2005-06-29,4.463,4.493,4.375,4.414,1442940
2005-06-30,4.426,4.486,4.334,4.36,1156660
2005-07-01,4.37,4.493,4.36,4.487,774140
2005-07-05,4.475,4.605,4.469,4.604,693160
2005-07-06,4.614,4.645,4.476,4.481,1771270
2005-07-07,4.455,4.537,4.455,4.508,882600
2005-07-08,4.517,4.623,4.454,4.597,1368420
2005-07-11,4.576,4.679,4.576,4.678,1183740
2005-07-12,4.673,4.686,4.63,4.652,665530
2005-07-13,4.654,4.654,4.609,4.629,553720
2005-07-14,4.652,4.664,4.615,4.615,795340
2005-07-15,4.57,4.683,4.57,4.629,339550
2005-07-18,4.611,4.611,4.545,4.55,484880
2005-07-19,4.566,4.71,4.544,4.668,823380
2005-07-20,4.642,4.715,4.609,4.701,1512850
2005-07-21,4.67,4.815,4.638,4.765,1834740
2005-07-22,4.73,4.79,4.503,4.758,2844840
2005-07-25,4.745,4.745,4.578,4.62,1441060
2005-07-26,4.497,4.615,4.493,4.55,2077050
2005-07-27,4.587,4.668,4.556,4.656,973470
2005-07-28,4.638,4.747,4.598,4.716,1332390
2005-07-29,4.715,4.782,4.643,4.75,1187970
2005-08-01,4.758,4.923,4.728,4.838,1491270
2005-08-02,4.819,5.073,4.819,4.981,1634300
2005-08-03,4.971,4.98,4.912,4.958,941610
2005-08-04,4.946,5.006,4.904,4.912,698460
2005-08-05,4.901,4.904,4.776,4.824,590160
2005-08-08,4.869,4.869,4.705,4.746,532030
2005-08-09,4.762,4.812,4.693,4.746,698010
2005-08-10,4.767,4.787,4.633,4.681,760630
2005-08-11,4.673,4.812,4.655,4.799,920220
2005-08-12,4.776,4.777,4.632,4.706,814670
2005-08-15,4.7,4.836,4.624,4.816,590500
2005-08-16,4.8,4.803,4.632,4.656,771300
2005-08-17,4.675,4.719,4.619,4.683,386960
2005-08-18,4.654,4.679,4.575,4.602,554610
2005-08-19,4.588,4.615,4.554,4.593,495410
2005-08-22,4.639,4.639,4.565,4.582,636660
2005-08-23,4.582,4.64,4.527,4.612,724160
2005-08-24,4.598,4.779,4.573,4.632,925380
2005-08-25,4.637,4.699,4.557,4.605,1089040
2005-08-26,4.604,4.604,4.5,4.545,729910
2005-08-29,4.544,4.62,4.505,4.618,578410
2005-08-30,4.549,4.637,4.549,4.622,561460
2005-08-31,4.605,4.684,4.55,4.676,827660
2005-09-01,4.707,4.708,4.631,4.664,482930
2005-09-02,4.652,4.655,4.563,4.568,1006450
2005-09-06,4.591,4.789,4.539,4.758,2345570
2005-09-07,4.751,4.776,4.657,4.693,379550
2005-09-08,4.673,4.673,4.511,4.583,1359750
2005-09-09,4.584,4.615,4.531,4.552,1382420
2005-09-12,4.536,4.59,4.484,4.551,898650
2005-09-13,4.567,4.596,4.505,4.554,1139290
2005-09-14,4.555,4.816,4.512,4.788,4710150
2005-09-15,4.8,4.815,4.694,4.74,1030700
2005-09-16,4.764,4.835,4.722,4.827,1242760
2005-09-19,4.835,4.835,4.72,4.786,434340
2005-09-20,4.798,4.821,4.649,4.67,685730
2005-09-21,4.639,4.666,4.553,4.581,865930
2005-09-22,4.599,4.694,4.53,4.66,458300
2005-09-23,4.648,4.653,4.599,4.612,246430
2005-09-26,4.655,4.657,4.528,4.595,1297760
2005-09-27,4.584,4.681,4.554,4.619,571070
2005-09-28,4.619,4.646,4.477,4.582,1200540
2005-09-29,4.527,4.659,4.525,4.625,768010
2005-09-30,4.601,4.68,4.556,4.672,544090
2005-10-03,4.638,4.725,4.635,4.663,851750
2005-10-04,4.667,4.692,4.565,4.579,921360
2005-10-05,4.56,4.618,4.508,4.579,996240
2005-10-06,4.624,4.716,4.542,4.608,650220
2005-10-07,4.624,4.659,4.604,4.617,254820
2005-10-10,4.629,4.629,4.578,4.602,154730
2005-10-11,4.643,4.643,4.488,4.587,2323330
2005-10-12,4.565,4.623,4.476,4.586,991700
2005-10-13,4.567,4.61,4.391,4.597,2476980
2005-10-14,4.62,4.62,4.524,4.56,634780
2005-10-17,4.602,4.602,4.467,4.54,709890
2005-10-18,4.536,4.56,4.427,4.471,700790
2005-10-19,4.446,4.5,4.373,4.498,802200
2005-10-20,4.45,4.472,4.336,4.42,2414560
2005-10-21,4.42,4.5,4.395,4.491,1291560
2005-10-24,4.502,4.6,4.5,4.595,855660
2005-10-25,4.579,4.899,4.579,4.867,2981840
2005-10-26,4.86,4.86,4.59,4.718,1393680
2005-10-27,4.7,4.75,4.541,4.565,735990
2005-10-28,4.591,4.697,4.576,4.691,1354450
2005-10-31,4.701,4.8,4.614,4.795,1224820
2005-11-01,4.795,4.795,4.678,4.695,803110
2005-11-02,4.69,4.817,4.671,4.817,952980
2005-11-03,4.82,4.925,4.785,4.837,1417400
2005-11-04,4.831,4.899,4.827,4.875,1067430
2005-11-07,4.894,4.9,4.804,4.856,964340
2005-11-08,4.829,4.863,4.787,4.829,615050
2005-11-09,4.84,4.883,4.727,4.789,862960
2005-11-10,4.8,4.864,4.688,4.833,942080
2005-11-11,4.827,4.93,4.814,4.919,1612420
2005-11-14,4.93,4.945,4.868,4.889,1029510
2005-11-15,4.91,4.91,4.788,4.85,848740
2005-11-16,4.848,4.865,4.703,4.795,910490
2005-11-17,4.805,4.851,4.765,4.84,364090
2005-11-18,4.896,4.93,4.811,4.89,842610
2005-11-21,4.867,4.87,4.728,4.777,1152700
2005-11-22,4.792,4.87,4.708,4.785,1811970
2005-11-23,4.8,4.816,4.771,4.793,1012260
2005-11-25,4.824,4.824,4.713,4.764,123410
2005-11-28,4.746,4.758,4.632,4.678,921140
2005-11-29,4.722,4.742,4.69,4.738,454250
2005-11-30,4.765,4.781,4.672,4.694,1168130
2005-12-01,4.699,4.81,4.693,4.77,1171990
2005-12-02,4.743,4.798,4.677,4.695,405330
2005-12-05,4.62,4.688,4.606,4.623,573390
2005-12-06,4.666,4.666,4.48,4.484,1553900
2005-12-07,4.5,4.627,4.491,4.56,1984650
2005-12-08,4.54,4.576,4.442,4.527,876000
2005-12-09,4.527,4.602,4.527,4.546,852610
2005-12-12,4.559,4.581,4.495,4.516,787750
2005-12-13,4.529,4.55,4.486,4.499,729960
2005-12-14,4.48,4.52,4.43,4.448,615410
2005-12-15,4.449,4.492,4.409,4.479,748710
2005-12-16,4.5,4.547,4.445,4.485,2343690
2005-12-19,4.473,4.473,4.396,4.41,1529040
2005-12-20,4.41,4.579,4.41,4.53,2030300
2005-12-21,4.518,4.58,4.5,4.519,1098320
2005-12-22,4.503,4.581,4.5,4.522,714770
2005-12-23,4.501,4.567,4.5,4.546,434120
2005-12-27,4.52,4.574,4.465,4.488,1310290
2005-12-28,4.5,4.502,4.46,4.494,420100
2005-12-29,4.47,4.5,4.459,4.461,293250
2005-12-30,4.441,4.441,4.316,4.317,774300
2006-01-03,4.339,4.406,4.21,4.406,1812750
2006-01-04,4.374,4.437,4.301,4.328,1367560
2006-01-05,4.303,4.391,4.225,4.38,1919550
2006-01-06,4.397,4.519,4.384,4.491,2966640
2006-01-09,4.522,4.545,4.477,4.496,1045210
2006-01-10,4.476,4.585,4.451,4.576,1121410
2006-01-11,4.542,4.637,4.501,4.618,1662060
2006-01-12,4.587,4.715,4.587,4.674,1961960
2006-01-13,4.66,4.708,4.66,4.693,1537170
2006-01-17,4.688,4.688,4.634,4.66,497510
2006-01-18,4.62,4.718,4.62,4.702,917650
2006-01-19,4.722,4.806,4.68,4.802,2044790
2006-01-20,4.819,4.819,4.68,4.735,1221210
2006-01-23,4.748,4.928,4.7,4.886,2034450
2006-01-24,4.872,4.972,4.84,4.959,1075310
2006-01-25,4.918,4.96,4.882,4.953,1040680
2006-01-26,4.967,5.115,4.929,5.076,1502860
2006-01-27,5.062,5.144,5.035,5.092,884590
2006-01-30,5.075,5.145,5.051,5.11,916050
2006-01-31,5.075,5.103,4.91,5.0,1187230
2006-02-01,4.96,5.071,4.875,5.054,1228840
2006-02-02,5.01,5.065,4.9,4.93,1092450
2006-02-03,4.924,5.066,4.902,5.016,852560
2006-02-06,5.046,5.101,4.995,5.101,781210
2006-02-07,5.045,5.101,4.947,4.977,686340
2006-02-08,5.002,5.032,4.949,4.99,943420
2006-02-09,5.015,5.021,4.959,4.963,962110
2006-02-10,4.98,4.999,4.87,4.949,828430
2006-02-13,4.919,4.993,4.82,4.929,943730
