Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,10.7545,11.1378,10.6409,11.1102,11399538.490324
2005-02-28,11.1239,11.2208,10.7219,10.9975,8768072.9208489
2005-03-01,11.0795,11.1526,10.9541,11.0835,6814143.3467436
2005-03-02,11.1052,11.3353,11.0025,11.0835,7443490.6624086
2005-03-03,11.1674,11.1713,10.7031,10.9126,4734817.7123087
2005-03-04,11.038,11.3729,10.9027,11.3205,5772456.722418
2005-03-07,11.4005,11.5269,11.2256,11.2928,6344650.4699629
2005-03-08,11.0025,11.0982,10.7348,10.8602,12008008.90435
2005-03-09,10.8168,10.9451,10.5727,10.6459,7498191.1616828
2005-03-10,10.6607,10.803,10.4463,10.7763,6811108.1422865
2005-03-11,10.8504,10.9778,10.6983,10.9126,7617779.0272257
2005-03-14,11.0193,11.1279,10.7891,10.8987,6260160.8259422
2005-03-15,10.9828,10.9876,10.473,10.6854,8097439.5352153
2005-03-16,10.6508,10.8257,10.4563,10.5106,7004669.751684
2005-03-17,10.4869,10.4869,10.071,10.4059,8217433.3770714
2005-03-18,10.3673,10.4236,10.2538,10.3722,4850471.3535284
2005-03-21,10.3772,10.5017,10.2351,10.4513,4478162.7267354
2005-03-22,10.6804,10.7635,10.5106,10.6321,6796383.6547527
2005-03-23,10.6172,10.803,10.4563,10.7852,5590640.0786337
2005-03-24,10.7852,10.9076,10.7131,10.8257,4785349.1081958
2005-03-28,10.9126,10.9353,10.5066,10.6222,6647274.9330496
2005-03-29,10.6607,10.7802,10.3397,10.3722,7082395.4861054
2005-03-30,10.4148,10.6459,10.3673,10.5797,4552948.4232168
2005-03-31,10.6321,10.9126,10.5253,10.7595,5900574.1401798
2005-04-01,10.8751,10.9027,10.5106,10.7031,8828465.1877878
2005-04-04,10.6459,10.8899,10.6172,10.8168,3290923.9761898
2005-04-05,10.88,11.1862,10.8257,11.1674,6994878.7369056
2005-04-06,11.2208,11.2701,10.9926,11.0607,6221967.6677871
2005-04-07,11.119,11.119,10.9541,11.0697,4451322.7316166
2005-04-08,11.0508,11.0508,10.6459,10.6656,6048269.5378594
2005-04-11,10.7673,10.7852,10.5066,10.5155,4555297.2138575
2005-04-12,10.5066,10.794,10.4366,10.7031,4896843.7701257
2005-04-13,10.7446,10.7446,10.5066,10.5106,4183094.8900892
2005-04-14,10.1974,10.2162,9.56827,9.59789,27283230.135927
2005-04-15,9.47146,9.54752,9.10056,9.30028,25485241.024578
2005-04-18,9.24922,9.71049,9.20714,9.58802,9440050.7866423
2005-04-19,9.53862,9.66308,9.37101,9.55443,10455242.647577
2005-04-20,9.80532,9.82408,9.49616,9.55443,13020368.04278
2005-04-21,9.63642,9.81026,9.56332,9.78161,8895790.4367558
