Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.58756,0.599556,0.58756,0.599556,105306.25996737
1970-01-05,0.599556,0.612236,0.599556,0.605993,224376.60339198
1970-01-06,0.605993,0.605993,0.59351,0.59351,110753.4536663
1970-01-07,0.59351,0.599556,0.58756,0.59351,90263.680266437
1970-01-08,0.599556,0.612236,0.599556,0.605993,127072.47909567
1970-01-09,0.605993,0.605993,0.605993,0.605993,103069.14785535
1970-01-12,0.605993,0.612236,0.599556,0.605993,66896.008746303
1970-01-13,0.605993,0.605993,0.59351,0.59351,74578.264042036
1970-01-14,0.59351,0.59351,0.574685,0.581414,225023.54094591
1970-01-15,0.581414,0.581414,0.574685,0.581414,67214.86386401
1970-01-16,0.581414,0.581414,0.574685,0.581414,85144.569003713
1970-01-19,0.581414,0.581414,0.574685,0.574685,101790.65161168
1970-01-20,0.574685,0.574685,0.56854,0.56854,117791.84718095
1970-01-21,0.56854,0.574685,0.562297,0.56854,90908.567305142
1970-01-22,0.56854,0.574685,0.562297,0.56854,128038.27176731
1970-01-23,0.56854,0.56854,0.562297,0.562297,85465.474636645
1970-01-26,0.562297,0.562297,0.549716,0.562297,146602.61136958
1970-01-27,0.562297,0.562297,0.543376,0.562297,108186.20860285
1970-01-28,0.562297,0.562297,0.537231,0.537231,99865.217814089
1970-01-29,0.537231,0.543376,0.530989,0.537231,139238.18593394
1970-01-30,0.537231,0.543376,0.524843,0.530989,163560.37229197
1970-02-02,0.530989,0.537231,0.524843,0.530989,187572.93085081
1970-02-03,0.530989,0.530989,0.524843,0.524843,394348.93679693
1970-02-04,0.530989,0.537231,0.530989,0.537231,106905.66184395
1970-02-05,0.537231,0.537231,0.530989,0.537231,67540.895785008
1970-02-06,0.537231,0.537231,0.530989,0.537231,54412.472047936
1970-02-09,0.537231,0.537231,0.530989,0.530989,111711.04427705
1970-02-10,0.530989,0.537231,0.50602,0.50602,199411.58051047
1970-02-11,0.50602,0.5187,0.49968,0.5187,175726.07913025
1970-02-12,0.5187,0.524843,0.50602,0.50602,163241.51717426
1970-02-13,0.50602,0.5187,0.49968,0.50602,98582.620539971
1970-02-16,0.50602,0.512457,0.50602,0.512457,97627.080444465
1970-02-17,0.512457,0.5187,0.50602,0.512457,90263.680266437
1970-02-18,0.512457,0.524843,0.512457,0.524843,205814.31430493
1970-02-19,0.524843,0.537231,0.524843,0.530989,164845.02008131
1970-02-20,0.530989,0.537231,0.530989,0.537231,233339.4054466
