Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,3.02226,3.08421,3.02226,3.03261,616096.22674313
1977-01-04,3.03261,3.1044,2.98139,3.00208,728477.86942031
1977-01-05,3.00208,3.01252,2.93038,3.01252,862886.8461136
1977-01-06,2.98139,2.98139,2.94101,2.94101,516060.41029911
1977-01-07,2.94101,2.97174,2.93038,2.94101,375475.98207608
1977-01-10,2.94101,2.97174,2.93038,2.96159,831595.31943761
1977-01-11,2.96159,2.97174,2.87936,2.8897,841731.71085841
1977-01-12,2.87936,2.87936,2.83868,2.84843,661490.16155731
1977-01-13,2.84843,2.91009,2.84843,2.91009,609929.91350076
1977-01-14,2.91009,2.91009,2.86911,2.87936,401917.10889058
1977-01-17,2.87936,2.92091,2.86911,2.89994,478596.47818918
1977-01-18,2.89994,2.91009,2.83868,2.86911,791936.16762901
1977-01-19,2.86911,2.8897,2.86911,2.87936,933836.50923293
1977-01-20,2.87936,2.89994,2.8179,2.83868,598469.48577697
1977-01-21,2.83868,2.87936,2.82854,2.86911,521344.37112791
1977-01-24,2.86911,2.87936,2.82854,2.83868,676910.51380691
1977-01-25,2.8179,2.8179,2.73656,2.75734,1015370.3398541
1977-01-26,2.75734,2.75734,2.64476,2.69607,1245412.5092109
1977-01-27,2.69607,2.70602,2.62428,2.62428,694096.58624892
1977-01-28,2.64476,2.69607,2.64476,2.67549,699386.63926929
1977-01-31,2.67549,2.71586,2.67549,2.71586,512531.00064483
1977-02-01,2.71586,2.76748,2.71586,2.75734,793257.15783621
1977-02-02,2.75734,2.76748,2.73656,2.73656,435848.58525044
1977-02-03,2.73656,2.75734,2.67549,2.67549,980553.46498484
1977-02-04,2.67549,2.7464,2.67549,2.67549,573346.30307388
1977-02-07,2.67549,2.68515,2.64476,2.64476,1083237.3540349
1977-02-08,2.64476,2.67549,2.60429,2.62428,871256.50197674
1977-02-09,2.61403,2.61403,2.58341,2.59365,664128.08051065
1977-02-10,2.59365,2.62428,2.59365,2.61403,515618.72640969
1977-02-11,2.61403,2.61403,2.58341,2.60429,469786.15380189
1977-02-14,2.60429,2.64476,2.59365,2.60429,618299.5693639
1977-02-15,2.61403,2.64476,2.61403,2.64476,655761.47074331
1977-02-16,2.64476,2.7264,2.60429,2.69607,737728.86233175
1977-02-17,2.69607,2.70602,2.63472,2.66506,1072216.5794699
1977-02-18,2.66506,2.66506,2.61403,2.64476,701594.04335112
1977-02-22,2.64476,2.65491,2.62428,2.64476,499309.92955495
1977-02-23,2.64476,2.64476,2.60429,2.61403,619182.93714274
1977-02-24,2.61403,2.63472,2.60429,2.61403,345510.5224336
1977-02-25,2.61403,2.62428,2.59365,2.61403,556163.27672766
1977-02-28,2.61403,2.62428,2.60429,2.61403,552635.8978039
1977-03-01,2.61403,2.64476,2.60429,2.64476,1018895.6880473
1977-03-02,2.64476,2.66506,2.60429,2.60429,843494.38495503
1977-03-03,2.60429,2.62428,2.60429,2.60429,635930.37179111
1977-03-04,2.60429,2.63472,2.60429,2.61403,708201.02511764
1977-03-07,2.61403,2.62428,2.60429,2.61403,698949.01684093
1977-03-08,2.61403,2.65491,2.61403,2.62428,594501.43832905
1977-03-09,2.62428,2.64476,2.60429,2.64476,730677.15058002
1977-03-10,2.64476,2.66506,2.62428,2.66506,431444.94610469
1977-03-11,2.66506,2.69607,2.64476,2.69607,647825.37584749
1977-03-14,2.69607,2.80795,2.69607,2.80795,739932.20495252
1977-03-15,2.80795,2.8179,2.7978,2.7978,827188.63419607
1977-03-16,2.7978,2.80795,2.76748,2.78737,802066.46685824
1977-03-17,2.78737,2.78737,2.7464,2.77723,581280.36723917
1977-03-18,2.77723,2.78737,2.76748,2.77723,410291.84158004
1977-03-21,2.77723,2.77723,2.7464,2.75734,324795.04033731
1977-03-22,2.75734,2.76748,2.70602,2.7264,521344.37112791
1977-03-23,2.7264,2.73656,2.70602,2.73656,460533.13015991
1977-03-24,2.71586,2.71586,2.67549,2.69607,486972.22624389
1977-03-25,2.71586,2.71586,2.64476,2.69607,366219.91233832
1977-03-28,2.69607,2.70602,2.65491,2.68515,432764.92094663
1977-03-29,2.68515,2.73656,2.68515,2.7264,373712.2926142
1977-03-30,2.7264,2.7464,2.69607,2.69607,500191.26660325
1977-03-31,2.69607,2.71586,2.67549,2.68515,331405.06819963
1977-04-01,2.68515,2.71586,2.68515,2.70602,315982.68521949
1977-04-04,2.70602,2.71586,2.63472,2.64476,445106.68571873
1977-04-05,2.64476,2.66506,2.60429,2.66506,379882.66731762
1977-04-06,2.66506,2.66506,2.62428,2.66506,331405.06819963
1977-04-07,2.66506,2.66506,2.62428,2.62428,666776.15311664
1977-04-11,2.62428,2.65491,2.62428,2.64476,531041.10938982
1977-04-12,2.65491,2.69607,2.65491,2.69607,847905.13165763
1977-04-13,2.69607,2.69607,2.66506,2.69607,594062.80053543
1977-04-14,2.73656,2.76748,2.73656,2.7464,1167410.1189746
1977-04-15,2.7464,2.76748,2.73656,2.75734,527957.44508601
1977-04-18,2.73656,2.73656,2.71586,2.73656,393543.3915664
1977-04-19,2.73656,2.73656,2.71586,2.73656,393543.3915664
1977-04-20,2.73656,2.75734,2.70602,2.73656,587009.05805317
1977-04-21,2.73656,2.80795,2.7264,2.73656,608163.17794309
1977-04-22,2.7264,2.7264,2.68515,2.68515,525309.37248003
1977-04-25,2.66506,2.66506,2.58341,2.59365,789731.80964298
1977-04-26,2.59365,2.61403,2.55277,2.56331,612131.22539101
1977-04-27,2.56331,2.61403,2.55277,2.59365,644300.02765425
1977-04-28,2.59365,2.62428,2.57316,2.60429,479481.87669853
1977-04-29,2.60429,2.65491,2.60429,2.65491,376800.01837907
1977-05-02,2.65491,2.66506,2.60429,2.63472,414252.78147111
1977-05-03,2.64476,2.66506,2.64476,2.65491,263979.73790826
1977-05-04,2.65491,2.65491,2.61403,2.62428,412933.82199443
1977-05-05,2.62428,2.66506,2.60429,2.64476,370629.64367565
1977-05-06,2.63472,2.63472,2.61403,2.61403,355205.22996499
1977-05-09,2.61403,2.62428,2.58341,2.60429,369745.26053155
1977-05-10,2.60429,2.64476,2.59365,2.63472,358728.5474277
1977-05-11,2.63472,2.63472,2.59365,2.61403,377240.68690322
1977-05-12,2.60429,2.60429,2.57316,2.59365,516060.41029911
1977-05-13,2.59365,2.59365,2.58341,2.59365,336251.40660006
1977-05-16,2.59365,2.60429,2.55277,2.56331,540737.84765174
1977-05-17,2.56331,2.62428,2.55277,2.57316,520903.70260375
1977-05-18,2.58341,2.67549,2.58341,2.66506,795900.15361588
1977-05-19,2.66506,2.66506,2.61403,2.62428,425713.2091949
1977-05-20,2.61403,2.61403,2.57316,2.59365,387372.00149771
1977-05-23,2.57316,2.57316,2.53209,2.54262,343303.11835179
1977-05-24,2.54262,2.54262,2.50186,2.53209,534126.80442416
1977-05-25,2.53209,2.54262,2.50186,2.50186,682202.59755782
1977-05-26,2.50186,2.53209,2.49182,2.53209,761529.02409712
1977-05-27,2.53209,2.53209,2.49182,2.50186,335370.06955175
1977-05-31,2.50186,2.52215,2.48167,2.51221,405442.45708382
1977-06-01,2.51221,2.54262,2.50186,2.52215,349473.4930552
1977-06-02,2.52215,2.54262,2.48167,2.48167,1897645.5856652
1977-06-03,2.48167,2.48167,2.41981,2.45034,1190763.5200242
1977-06-06,2.45034,2.48167,2.41981,2.4407,375036.32891719
1977-06-07,2.4407,2.45034,2.41007,2.45034,884040.96600352
1977-06-08,2.45034,2.49182,2.45034,2.47084,602436.51785962
1977-06-09,2.47084,2.47084,2.4407,2.47084,352998.84124843
1977-06-10,2.47084,2.50186,2.45034,2.50186,339777.77015855
1977-06-13,2.50186,2.50186,2.47084,2.47084,316424.36910891
1977-06-14,2.47084,2.52215,2.46059,2.52215,572024.29750141
1977-06-15,2.52215,2.52215,2.47084,2.49182,402796.41520836
