Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-12-26,3.13456,3.15881,3.05438,3.05438,21452.433669672
1996-12-27,3.05438,3.05438,3.05438,3.05438,745.5917890279
1996-12-30,3.08615,3.08615,3.03845,3.03845,27690.955752663
1996-12-31,3.00647,3.03845,3.00647,3.03845,15219.973308544
1997-01-02,3.00647,3.00647,2.93412,2.93412,453289.49911965
1997-01-03,2.93412,3.03845,2.93412,3.00647,992141.21260863
1997-01-06,3.03845,3.05438,3.00647,3.03845,1557190.6776982
1997-01-07,3.05438,3.207,3.03845,3.207,400399.96558659
1997-01-08,3.25511,3.35944,3.23057,3.23057,215294.17537321
1997-01-09,3.23057,3.27907,3.23057,3.25511,293125.6737945
1997-01-10,3.27907,3.30293,3.25511,3.27907,511412.31919359
1997-01-13,3.27907,3.27907,3.207,3.25511,2105276.4141571
1997-01-14,3.383,3.55968,3.35944,3.55968,1264810.5956928
1997-01-15,3.45515,3.47951,3.27907,3.27907,1654732.8750409
1997-01-16,3.207,3.25511,3.18266,3.207,1826866.5804695
1997-01-17,3.207,3.25511,3.18266,3.23057,826741.06988167
1997-01-20,3.207,3.23057,3.18266,3.18266,1480103.760779
1997-01-21,3.207,3.23057,3.207,3.207,1473372.2186512
1997-01-22,3.23057,3.23057,3.207,3.207,1758014.5126998
1997-01-23,3.25511,3.33529,3.25511,3.27907,666834.86773566
1997-01-24,3.27907,3.4314,3.23057,3.23057,787824.81552753
1997-01-27,3.23057,3.27907,3.23057,3.23057,1040285.4282107
1997-01-28,3.23057,3.35944,3.207,3.207,629163.28693719
1997-01-29,3.207,3.27907,3.18266,3.207,954226.1526487
1997-01-30,3.207,3.25511,3.18266,3.207,1383061.65549
1997-01-31,3.15881,3.207,3.13456,3.15881,967943.82922244
1997-02-03,3.15881,3.25511,3.13456,3.25511,1181986.2590311
1997-02-04,3.25511,3.30293,3.23057,3.30293,1172505.7260389
1997-02-05,3.30293,3.33529,3.27907,3.33529,292378.06143152
1997-02-06,3.30293,3.33529,3.30293,3.30293,402641.79238856
1997-02-07,3.30293,3.383,3.27907,3.35944,1593862.0743895
1997-02-10,3.30293,3.33529,3.27907,3.30293,597231.14645507
1997-02-11,3.25511,3.33529,3.25511,3.30293,485716.6802205
1997-02-12,3.27907,3.30293,3.25511,3.27907,249970.25528486
1997-02-13,3.27907,3.4314,3.27907,3.383,753399.28678617
1997-02-14,3.383,3.383,3.27907,3.30293,758887.16564526
1997-02-18,3.25511,3.33529,3.25511,3.30293,1308218.5859467
1997-02-19,3.27907,3.35944,3.27907,3.33529,528878.16045201
1997-02-20,3.30293,3.51158,3.30293,3.383,681802.26929996
1997-02-21,3.383,3.4314,3.35944,3.40715,412127.37681564
1997-02-24,3.40715,3.53583,3.40715,3.53583,700761.31471039
1997-02-25,3.53583,3.58354,3.51158,3.55968,295872.64408498
1997-02-26,3.51158,3.53583,3.45515,3.47951,329795.04991179
1997-02-27,3.45515,3.55968,3.40715,3.4314,538355.66258327
1997-02-28,3.33529,3.4314,3.25511,3.383,332791.56108558
1997-03-03,3.33529,3.45515,3.33529,3.383,249467.13237032
1997-03-04,3.40715,3.40715,3.35944,3.383,502431.87825501
1997-03-05,3.35944,3.383,3.27907,3.33529,969437.03337445
1997-03-06,3.33529,3.33529,3.27907,3.30293,257951.52240318
1997-03-07,3.27907,3.30293,3.18266,3.25511,606958.18946965
1997-03-10,3.25511,3.30293,3.25511,3.27907,210550.87801617
1997-03-11,3.27907,3.33529,3.27907,3.27907,906318.34419923
1997-03-12,3.27907,3.30293,3.27907,3.30293,361233.16006216
1997-03-13,3.25511,3.27907,3.25511,3.25511,227266.07605069
1997-03-14,3.25511,3.30293,3.25511,3.27907,603465.62739015
1997-03-17,3.27907,3.27907,3.207,3.207,251465.48001083
1997-03-18,3.25511,3.25511,3.207,3.23057,197577.78294448
1997-03-19,3.23057,3.27907,3.23057,3.27907,1558685.9024242
1997-03-20,3.27907,3.27907,3.23057,3.25511,134967.26811871
1997-03-21,3.23057,3.27907,3.18266,3.207,504678.75649186
1997-03-24,3.18266,3.207,3.13456,3.13456,151677.41471833
1997-03-25,3.08615,3.15881,3.03845,3.05438,165645.64246237
1997-03-26,3.00647,3.03845,2.93412,3.03845,211303.54181405
1997-03-27,3.00647,3.08615,3.00647,3.05438,155168.96651085
1997-03-31,3.03845,3.08615,2.98242,2.98242,214296.01183993
1997-04-01,2.98242,3.00647,2.95827,2.95827,332791.56108558
1997-04-02,2.95827,2.98242,2.93412,2.93412,178867.2681304
1997-04-03,2.95827,2.98242,2.93412,2.95827,180115.98283397
1997-04-04,2.95827,2.98242,2.95827,2.95827,1384055.7778754
1997-04-07,2.95827,2.95827,2.90204,2.93412,101038.80057003
1997-04-08,2.90204,2.98242,2.85414,2.98242,180115.98283397
1997-04-09,2.95827,3.03845,2.93412,3.03845,250221.81674213
1997-04-10,3.00647,3.15881,3.00647,3.08615,106774.19973847
1997-04-11,3.00647,3.03845,2.93412,2.93412,341522.46114083
1997-04-14,2.93412,2.95827,2.88621,2.88621,253709.32738675
1997-04-15,2.88621,2.93412,2.88621,2.93412,185598.81025817
1997-04-16,2.90204,3.00647,2.90204,3.00647,157914.92651434
1997-04-17,3.13456,3.23057,3.13456,3.18266,1260572.4418242
1997-04-18,3.18266,3.207,3.18266,3.207,248970.07117763
1997-04-21,3.207,3.25511,3.18266,3.207,358240.69003628
1997-04-22,3.207,3.207,3.207,3.207,155918.59944779
1997-04-23,3.207,3.23057,3.207,3.207,99291.004099813
1997-04-24,3.207,3.23057,3.207,3.207,337532.83786865
1997-04-25,3.207,3.23057,3.207,3.207,94796.237339129
