Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,0.364065,0.374943,0.353253,0.367703,448329.70359123
1987-11-06,0.342443,0.378786,0.342443,0.374943,1007626.5176533
1987-11-09,0.345968,0.374943,0.345968,0.353253,585932.1987763
1987-11-10,0.342443,0.364065,0.331594,0.33885,785684.36557963
1987-11-11,0.342443,0.353253,0.342443,0.342443,581494.73046436
1987-11-12,0.356862,0.356862,0.345968,0.345968,836731.77435844
1987-11-13,0.353253,0.356862,0.345968,0.353253,694683.8797295
1987-11-16,0.345968,0.353253,0.33885,0.342443,543765.01404264
1987-11-17,0.331594,0.331594,0.306342,0.320746,865585.23230096
1987-11-18,0.320746,0.331594,0.320746,0.331594,363991.36855794
1987-11-19,0.33885,0.33885,0.32794,0.32794,284089.17998127
1987-11-20,0.320746,0.32794,0.320746,0.320746,239701.27830868
1987-11-23,0.32794,0.33885,0.320746,0.32794,774586.06830616
1987-11-24,0.33885,0.356862,0.313559,0.345968,2896370.067627
1987-11-25,0.353253,0.353253,0.342443,0.345968,798998.09237076
1987-11-27,0.353253,0.356862,0.353253,0.356862,179776.28919534
1987-11-30,0.345968,0.345968,0.320746,0.331594,994314.11271748
1987-12-01,0.33885,0.33885,0.32794,0.32794,315163.35486275
1987-12-02,0.32794,0.32794,0.306342,0.320746,319602.14503003
1987-12-03,0.313559,0.320746,0.306342,0.306342,1156328.6319672
1987-12-04,0.306342,0.306342,0.288239,0.288239,521569.74135102
1987-12-07,0.29184,0.295456,0.288239,0.29184,506033.9757656
1987-12-08,0.295456,0.320746,0.29184,0.313559,1014283.3810489
1987-12-09,0.320746,0.342443,0.313559,0.342443,905533.02195097
1987-12-10,0.320746,0.345968,0.320746,0.331594,4243578.5734842
1987-12-11,0.33885,0.342443,0.306342,0.313559,5162429.2877923
1987-12-14,0.33885,0.353253,0.33885,0.345968,1302811.3511974
1987-12-15,0.345968,0.385595,0.345968,0.385595,1260646.8101744
1987-12-16,0.38915,0.399968,0.385595,0.385595,1633510.4716456
1987-12-17,0.385595,0.399968,0.385595,0.385595,1218475.6598748
1987-12-18,0.38915,0.399968,0.38915,0.396261,696905.91852377
1987-12-21,0.396261,0.399968,0.385595,0.38915,437234.05002838
