Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.5021,0.5021,0.5021,0.5021,1242852.0
1970-01-05,0.5107,0.5195,0.5021,0.5021,1613525.0
1970-01-06,0.49311,0.49311,0.4843,0.49311,3924788.0
1970-01-07,0.49311,0.5021,0.49311,0.5021,6432293.0
1970-01-08,0.5021,0.5195,0.5021,0.5107,2594722.0
1970-01-09,0.5195,0.5283,0.5195,0.5283,2093220.0
1970-01-12,0.5283,0.5374,0.5283,0.5374,1482698.0
1970-01-13,0.546,0.5723,0.546,0.5636,3074418.0
1970-01-14,0.5636,0.5988,0.5636,0.5901,8612732.0
1970-01-15,0.5812,0.5812,0.5636,0.5723,5865379.0
1970-01-16,0.5723,0.5723,0.5374,0.5636,5385681.0
1970-01-19,0.5547,0.5547,0.5374,0.5547,4993205.0
1970-01-20,0.5547,0.5723,0.5547,0.5636,4230052.0
1970-01-21,0.5636,0.5723,0.5636,0.5636,3859377.0
1970-01-22,0.5636,0.5636,0.5547,0.5547,1853372.0
1970-01-23,0.5547,0.5547,0.5547,0.5547,2921788.0
1970-01-26,0.5547,0.5901,0.5547,0.5812,6301469.0
1970-01-27,0.5812,0.5901,0.5723,0.5723,8460100.0
1970-01-28,0.5723,0.5901,0.5723,0.5723,4753356.0
1970-01-29,0.5723,0.5723,0.5547,0.5547,4927790.0
1970-01-30,0.5547,0.5547,0.5374,0.546,4426290.0
1970-02-02,0.5547,0.5636,0.5547,0.5547,5560119.0
1970-02-03,0.5547,0.5636,0.546,0.5547,6214250.0
1970-02-04,0.5547,0.5636,0.5547,0.5636,5233051.0
1970-02-05,0.5547,0.5547,0.546,0.5547,5320270.0
1970-02-06,0.5547,0.5723,0.5547,0.5723,3423289.0
1970-02-09,0.5812,0.5901,0.5812,0.5812,3793964.0
1970-02-10,0.5812,0.5812,0.5723,0.5723,3772158.0
1970-02-11,0.5812,0.5988,0.5812,0.5988,3139832.0
1970-02-12,0.5988,0.5988,0.5812,0.5812,2442091.0
1970-02-13,0.5812,0.5901,0.5812,0.5901,2507504.0
1970-02-16,0.5901,0.5901,0.5812,0.5901,566915.0
1970-02-17,0.5901,0.5901,0.5901,0.5901,457892.0
1970-02-18,0.5988,0.6076,0.5988,0.6076,1809764.0
1970-02-19,0.6076,0.6076,0.5988,0.5988,1591721.0
1970-02-20,0.5901,0.5901,0.5901,0.5901,4622532.0
1970-02-24,0.5901,0.5988,0.5812,0.5812,1439090.0
1970-02-25,0.5812,0.5901,0.5723,0.5901,1504503.0
1970-02-26,0.5812,0.5812,0.5723,0.5812,2289458.0
1970-02-27,0.5812,0.5812,0.5723,0.5723,2485700.0
1970-03-02,0.5636,0.5636,0.5547,0.5547,6868380.0
1970-03-03,0.5547,0.5547,0.546,0.546,5952596.0
1970-03-04,0.546,0.546,0.5195,0.5283,13148043.0
1970-03-05,0.5283,0.5374,0.5283,0.5374,4164638.0
1970-03-06,0.5374,0.5374,0.5283,0.5283,2420285.0
1970-03-09,0.5283,0.5374,0.5021,0.5107,9136037.0
1970-03-10,0.5107,0.5107,0.5021,0.5021,3052615.0
1970-03-11,0.5021,0.5195,0.5021,0.5195,4230052.0
1970-03-12,0.5195,0.5283,0.5195,0.5283,3248855.0
1970-03-13,0.5283,0.5374,0.5195,0.5283,5145835.0
1970-03-16,0.5195,0.5195,0.5107,0.5195,4993205.0
1970-03-17,0.5195,0.5374,0.5195,0.5283,1962395.0
1970-03-18,0.5374,0.5547,0.5374,0.546,4622532.0
