Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-03-09,1.0934,1.12,1.0866,1.11,2101950
1995-03-10,1.1366,1.1866,1.11,1.16,2832468
1995-03-13,1.1866,1.1866,1.1534,1.1534,982630
1995-03-14,1.1866,1.2,1.1534,1.17,1029712
1995-03-15,1.17,1.2334,1.1366,1.2,4979980
1995-03-16,1.2334,1.25,1.17,1.17,900618
1995-03-17,1.17,1.2,1.17,1.17,1731376
1995-03-20,1.17,1.2066,1.17,1.17,1728336
1995-03-21,1.1934,1.2166,1.1766,1.1766,3614626
1995-03-22,1.1866,1.2166,1.1766,1.1866,3474900
1995-03-23,1.2,1.2,1.1766,1.1934,2789944
1995-03-24,1.2166,1.2166,1.1866,1.1934,536118
1995-03-27,1.2166,1.2834,1.1934,1.2666,773044
1995-03-28,1.2666,1.3334,1.2334,1.3334,1257526
1995-03-29,1.3334,1.3834,1.2334,1.2834,1635694
1995-03-30,1.2834,1.35,1.25,1.3167,1085904
1995-03-31,1.35,1.3834,1.3,1.35,552826
1995-04-03,1.3834,1.4966,1.3666,1.45,3178744
1995-04-04,1.45,1.48,1.3834,1.3834,1746562
1995-04-05,1.3834,1.45,1.3834,1.44,1278786
1995-04-06,1.44,1.44,1.4166,1.4166,1328904
1995-04-07,1.44,1.44,1.3734,1.4166,747226
1995-04-10,1.3734,1.4233,1.3734,1.4233,214144
1995-04-11,1.4233,1.4333,1.3834,1.4333,83530
1995-04-12,1.4,1.4333,1.4,1.4,1742004
1995-04-13,1.4,1.4333,1.4,1.4333,30376
1995-04-17,1.4333,1.44,1.4,1.4,200476
1995-04-18,1.4,1.4333,1.3834,1.3834,991744
1995-04-19,1.4333,1.4333,1.3834,1.4333,145800
1995-04-20,1.4066,1.4166,1.3734,1.3734,176176
1995-04-21,1.3734,1.4166,1.3734,1.3734,252112
1995-04-24,1.3734,1.3734,1.3734,1.3734,6076
1995-04-25,1.3666,1.39,1.34,1.35,911250
1995-04-26,1.34,1.3734,1.3334,1.34,352350
1995-04-27,1.34,1.4,1.34,1.4,1198294
1995-04-28,1.3834,1.4966,1.3666,1.48,850500
1995-05-01,1.45,1.5466,1.45,1.53,944662
1995-05-02,1.5466,1.63,1.53,1.58,1327386
1995-05-03,1.63,1.63,1.58,1.6134,280968
1995-05-04,1.58,1.6134,1.58,1.6134,59230
1995-05-05,1.58,1.6134,1.5634,1.6134,718368
1995-05-08,1.5634,1.6134,1.5634,1.59,133650
1995-05-09,1.6134,1.6134,1.5634,1.59,59230
1995-05-10,1.5634,1.6134,1.5634,1.6134,10630
1995-05-11,1.5634,1.5966,1.5634,1.5634,21262
1995-05-12,1.5634,1.6634,1.5634,1.6634,508780
1995-05-15,1.6466,1.7134,1.6466,1.6634,572568
1995-05-16,1.6966,1.7134,1.6634,1.6866,1142100
1995-05-17,1.68,1.6866,1.68,1.6866,739630
1995-05-18,1.6634,1.67,1.5134,1.5466,1240818
1995-05-19,1.58,1.58,1.5566,1.58,103276
1995-05-22,1.5634,1.58,1.53,1.53,156430
1995-05-23,1.53,1.58,1.53,1.58,205030
1995-05-24,1.58,1.58,1.4166,1.45,1000854
1995-05-25,1.4966,1.4966,1.45,1.45,18226
1995-05-26,1.4966,1.4966,1.45,1.4966,50118
1995-05-30,1.4666,1.4966,1.45,1.45,82012
1995-05-31,1.45,1.48,1.45,1.48,119980
