Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.8292,1.86083,1.8292,1.83938,118050.24290242
1985-07-02,1.83938,1.87111,1.82346,1.87111,755200.52620667
1985-07-03,1.87111,1.88208,1.86083,1.88208,556947.80839772
1985-07-05,1.88703,1.91887,1.88703,1.89781,199779.97942503
1985-07-08,1.89781,1.90829,1.89781,1.90829,594773.32489986
1985-07-09,1.90829,1.92974,1.90275,1.91887,573590.91428688
1985-07-10,1.91887,1.92974,1.88703,1.88703,682550.41056325
1985-07-11,1.89781,1.95565,1.89781,1.93982,696178.43905006
1985-07-12,1.93982,1.96099,1.90275,1.90829,1396891.1256663
1985-07-15,1.91887,1.93458,1.91887,1.93458,1148692.9072853
1985-07-16,1.93458,1.94526,1.92411,1.93982,1268253.2174678
1985-07-17,1.93982,1.96099,1.93458,1.93982,1018537.851786
1985-07-18,1.93982,1.94526,1.90829,1.91887,556947.80839772
1985-07-19,1.91887,1.92974,1.90275,1.90829,284524.79334999
1985-07-22,1.90275,1.90275,1.86587,1.88703,1351489.9869757
1985-07-23,1.88703,1.89781,1.88208,1.88208,662880.09009333
1985-07-24,1.88208,1.89237,1.85015,1.87111,688602.81686168
1985-07-25,1.88703,1.90829,1.88703,1.90275,361712.19085418
1985-07-26,1.90275,1.92411,1.88703,1.88703,205827.3285658
1985-07-29,1.88703,1.89781,1.86083,1.86083,357167.82897268
1985-07-30,1.86083,1.87111,1.85015,1.85015,980698.17524239
1985-07-31,1.85015,1.86083,1.84491,1.86083,1872108.1861099
1985-08-01,1.86083,1.86083,1.85015,1.85539,499423.65134271
1985-08-02,1.85539,1.86083,1.84491,1.86083,261818.15541553
1985-08-05,1.85539,1.85539,1.84491,1.85539,233065.17977182
1985-08-06,1.85539,1.85539,1.83938,1.83938,678019.19729169
1985-08-07,1.83938,1.85015,1.82346,1.8292,295110.43578305
1985-08-08,1.8292,1.85539,1.82346,1.85539,561482.05596388
1985-08-09,1.85539,1.88703,1.84491,1.84491,434354.21504533
1985-08-12,1.84491,1.84491,1.81842,1.81842,874758.81352604
1985-08-13,1.81842,1.8292,1.81842,1.82346,90806.323107197
1985-08-14,1.82346,1.83938,1.81317,1.81317,266366.56302316
1985-08-15,1.81317,1.81842,1.80249,1.80763,1477104.7263197
1985-08-16,1.80763,1.8292,1.80763,1.80763,258792.96369784
1985-08-19,1.80763,1.8292,1.80763,1.8292,281498.59020078
1985-08-20,1.8292,1.83938,1.81317,1.81842,214907.96087653
1985-08-21,1.82346,1.83938,1.82346,1.83938,160421.13271761
1985-08-22,1.85015,1.85539,1.8292,1.8292,463111.23641517
1985-08-23,1.8292,1.85015,1.81842,1.8292,360194.0321219
1985-08-26,1.8292,1.85539,1.81317,1.82346,172533.0253352
1985-08-27,1.82346,1.85539,1.82346,1.85015,523644.40228332
1985-08-28,1.85015,1.85015,1.83414,1.85015,581154.39929685
1985-08-29,1.85015,1.85015,1.83938,1.83938,605373.12737439
1985-08-30,1.83938,1.85539,1.83938,1.85015,597803.57377522
1985-09-03,1.85015,1.85015,1.8292,1.83938,169505.81075446
1985-09-04,1.83938,1.85015,1.83414,1.83938,263339.3484424
1985-09-05,1.83938,1.83938,1.82346,1.82346,111996.82517245
1985-09-06,1.82346,1.83414,1.81842,1.82346,279985.48862616
1985-09-09,1.82346,1.82346,1.81317,1.81842,329929.97776666
1985-09-10,1.81842,1.81842,1.76058,1.76058,2545586.0558147
1985-09-11,1.76058,1.7761,1.74979,1.7761,151337.46611228
1985-09-12,1.75514,1.75514,1.7234,1.7234,1869084.0058237
1985-09-13,1.7234,1.73902,1.71766,1.73902,526673.63972713
1985-09-16,1.73902,1.74979,1.71282,1.71282,367770.66574182
1985-09-17,1.71282,1.71282,1.66506,1.66506,2012854.9526314
1985-09-18,1.66506,1.67564,1.62789,1.63333,2144529.1782945
1985-09-19,1.63333,1.65468,1.63333,1.65468,694665.33747546
1985-09-20,1.65468,1.66506,1.64914,1.65468,602342.87849904
1985-09-23,1.65468,1.65468,1.63333,1.65468,500939.78721192
1985-09-24,1.65468,1.6702,1.64914,1.66506,649262.17592186
1985-09-25,1.65468,1.65468,1.63867,1.64914,750658.18718824
1985-09-26,1.64914,1.64914,1.58033,1.59101,382893.59003564
1985-09-30,1.59101,1.62789,1.59101,1.62789,1253118.1559955
