Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-05-17,4.16498,4.16498,4.01664,4.06625,1409101.5862908
1995-05-18,4.06625,4.16498,4.06625,4.11537,406001.15327218
1995-05-19,4.16498,4.16498,4.06625,4.11537,400328.89983571
1995-05-22,4.31253,4.51008,4.2635,4.41154,1240053.9497984
1995-05-23,4.36233,4.51008,4.31253,4.46076,1259016.8815801
1995-05-24,4.46076,4.46076,4.36233,4.36233,955930.25496252
1995-05-25,4.36233,4.36233,4.214,4.2635,493206.56732563
1995-05-26,4.31253,4.31253,4.2635,4.31253,592719.37392798
1995-05-30,4.2635,4.51008,4.16498,4.41154,1450269.0289622
1995-05-31,4.31253,4.46076,4.2635,4.36233,2119161.4319105
1995-06-01,4.31253,4.36233,4.214,4.31253,1453183.1861404
1995-06-02,4.2635,4.31253,4.214,4.2635,806170.93216991
1995-06-05,4.2635,4.41154,4.214,4.36233,3094702.3224728
1995-06-06,4.31253,4.41154,4.31253,4.36233,1946383.6334299
1995-06-07,4.36233,4.46076,4.31253,4.36233,1149454.9757409
1995-06-08,4.36233,4.51008,4.36233,4.41154,1398730.1651539
1995-06-09,4.36233,4.46076,4.36233,4.36233,1722066.971141
1995-06-12,4.41154,4.41154,4.36233,4.36233,2467463.9050639
1995-06-13,4.31253,4.41154,4.31253,4.41154,1675231.3550571
1995-06-14,4.36233,4.46076,4.36233,4.41154,1097421.4090164
1995-06-15,4.41154,4.55948,4.41154,4.46076,1685278.414282
1995-06-16,4.46076,4.51008,4.41154,4.41154,1203099.1319593
1995-06-19,4.41154,4.51008,4.36233,4.51008,1486569.0029412
1995-06-20,4.46076,4.55948,4.41154,4.46076,2210247.9688423
1995-06-21,4.46076,4.46076,4.31253,4.31253,1723363.3987832
1995-06-22,4.31253,4.36233,4.214,4.2635,2335533.2673668
1995-06-23,4.31253,4.46076,4.31253,4.31253,1223198.350439
1995-06-26,4.31253,4.41154,4.2635,4.2635,1381061.6210023
1995-06-27,4.2635,4.46076,4.2635,4.41154,1220761.5560748
1995-06-28,4.31253,4.46076,4.31253,4.46076,1894198.0858096
1995-06-29,4.36233,4.51008,4.36233,4.41154,1060633.8721634
1995-06-30,4.46076,4.46076,4.31253,4.31253,1064525.1951018
1995-07-03,4.2635,4.36233,4.2635,4.36233,289632.74731042
1995-07-05,4.31253,4.46076,4.31253,4.41154,906497.70357037
1995-07-06,4.41154,4.46076,4.31253,4.31253,1465337.5777874
1995-07-07,4.31253,4.46076,4.214,4.41154,1560641.8395815
1995-07-10,4.36233,4.41154,4.2635,4.2635,605846.85131107
1995-07-11,4.214,4.36233,4.214,4.2635,1312501.9168606
1995-07-12,4.2635,4.2635,4.16498,4.16498,995155.60618586
1995-07-13,4.11537,4.16498,4.01664,4.16498,2370052.3108476
1995-07-14,4.06625,4.16498,4.01664,4.16498,1110713.1073676
1995-07-17,4.16498,4.214,4.11537,4.11537,915086.15419708
1995-07-18,4.11537,4.214,4.11537,4.16498,3880938.257131
1995-07-19,4.16498,4.16498,4.06625,4.11537,1243779.0117568
1995-07-20,4.11537,4.16498,4.06625,4.11537,1059659.7664213
1995-07-21,4.11537,4.16498,4.06625,4.11537,927240.54584409
1995-07-24,4.06625,4.2635,4.06625,4.214,1549619.6546086
1995-07-25,4.16498,4.31253,4.16498,4.214,867435.55330906
1995-07-26,4.214,4.2635,4.16498,4.2635,1252050.2405135
1995-07-27,4.214,4.36233,4.214,4.31253,1587869.8800838
1995-07-28,4.2635,4.31253,4.214,4.214,629502.83075698
1995-07-31,4.214,4.31253,4.214,4.31253,706821.32652958
1995-08-01,4.2635,4.2635,4.16498,4.16498,974084.32197607
1995-08-02,4.16498,4.2635,4.16498,4.16498,1206827.2539357
1995-08-03,4.16498,4.214,4.16498,4.16498,946531.91956176
1995-08-04,4.16498,4.214,4.06625,4.06625,1034540.0783471
1995-08-07,4.06625,4.16498,4.06625,4.16498,1033570.0526292
1995-08-08,4.16498,4.2635,4.11537,4.16498,1548805.6898104
1995-08-09,4.16498,4.214,4.06625,4.06625,1470528.3883859
1995-08-10,4.06625,4.11537,3.91821,3.96714,1668258.5939545
1995-08-11,3.96714,4.06625,3.86831,3.91821,1109417.6997314
1995-08-14,3.91821,3.96714,3.86831,3.91821,957388.86356065
1995-08-15,3.91821,3.96714,3.86831,3.91821,1215251.4835943
1995-08-16,3.91821,4.01664,3.86831,3.96714,1630488.7913113
1995-08-17,3.96714,4.06625,3.96714,4.06625,1722393.3730651
1995-08-18,4.11537,4.2635,4.11537,4.214,1289647.6621406
1995-08-21,4.214,4.31253,4.06625,4.06625,1303744.1452358
1995-08-22,4.214,4.46076,4.214,4.36233,2624514.2308351
1995-08-23,4.31253,4.41154,4.214,4.214,979433.23350653
1995-08-24,4.214,4.2635,4.16498,4.16498,794665.26434696
1995-08-25,4.16498,4.214,4.11537,4.11537,1313316.9016647
1995-08-28,4.16498,4.16498,4.01664,4.11537,458194.86094063
1995-08-29,4.06625,4.11537,4.01664,4.06625,577803.82600467
1995-08-30,4.01664,4.11537,3.96714,4.01664,1001476.5834464
1995-08-31,4.01664,4.11537,4.01664,4.06625,1481063.0104848
1995-09-01,4.01664,4.06625,3.96714,3.96714,591575.94718777
1995-09-05,4.01664,4.06625,3.96714,4.01664,706332.74364951
1995-09-06,4.11537,4.41154,4.11537,4.31253,2545259.7636504
1995-09-07,4.2635,4.41154,4.2635,4.31253,853498.1911519
1995-09-08,4.31253,4.46076,4.31253,4.46076,875383.44015981
1995-09-11,4.46076,4.65841,4.46076,4.60909,1482030.9961909
1995-09-12,4.65841,4.65841,4.46076,4.60909,847665.79677144
1995-09-13,4.51008,4.60909,4.46076,4.55948,1037943.8384114
1995-09-14,4.46076,4.55948,4.46076,4.55948,513296.60575122
1995-09-15,4.60909,4.60909,4.31253,4.36233,897741.97195759
1995-09-18,4.36233,4.46076,4.31253,4.41154,852526.12542182
1995-09-19,4.41154,4.55948,4.41154,4.51008,833886.53554625
1995-09-20,4.51008,4.60909,4.36233,4.36233,1426765.0304122
1995-09-21,4.36233,4.36233,4.2635,4.36233,1459184.901519
1995-09-22,4.2635,4.41154,4.214,4.36233,801471.76446953
1995-09-25,4.36233,4.51008,4.31253,4.51008,536961.76525124
1995-09-26,4.46076,4.55948,4.46076,4.55948,857224.2731162
1995-09-27,4.46076,4.55948,4.46076,4.55948,801143.32253344
1995-09-28,4.51008,4.60909,4.46076,4.60909,730157.02408751
1995-09-29,4.55948,4.60909,4.51008,4.55948,607141.23894116
1995-10-02,4.51008,4.60909,4.46076,4.55948,1403747.5747303
1995-10-03,4.51008,4.55948,4.46076,4.55948,737450.06707811
1995-10-04,4.51008,4.55948,4.41154,4.41154,794017.56052891
1995-10-05,4.42997,4.5287,4.38057,4.5287,423024.03361767
1995-10-06,4.47948,4.5287,4.42997,4.5287,438423.06439099
1995-10-09,4.47948,4.57801,4.47948,4.57801,410373.9190485
1995-10-10,4.47948,4.62713,4.47948,4.62713,712006.017092
1995-10-11,4.57801,4.62713,4.57801,4.62713,442148.12634927
