Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.784821,0.811618,0.784821,0.811618,9700.7016033982
1970-01-05,0.811618,0.837925,0.811618,0.831373,6067.6676836266
1970-01-06,0.831373,0.844575,0.831373,0.831373,16820.548263508
1970-01-07,0.831373,0.844575,0.831373,0.831373,13034.135484191
1970-01-08,0.831373,0.844575,0.831373,0.844575,9249.767756334
1970-01-09,0.844575,0.851127,0.837925,0.844575,6067.6676836266
1970-01-12,0.844575,0.851127,0.831373,0.844575,9092.2987938672
1970-01-13,0.844575,0.851127,0.831373,0.844575,11974.798827595
1970-01-14,0.837925,0.837925,0.831373,0.831373,4997.0832439979
1970-01-15,0.831373,0.837925,0.82482,0.831373,11365.373492334
1970-01-16,0.82482,0.82482,0.811618,0.811618,7733.3620982925
1970-01-19,0.811618,0.811618,0.805066,0.805066,8487.9860872572
1970-01-20,0.805066,0.811618,0.791863,0.798415,10914.439645269
1970-01-21,0.798415,0.811618,0.798415,0.805066,6669.9353387759
1970-01-22,0.805066,0.811618,0.805066,0.805066,8182.2508938962
1970-01-23,0.805066,0.811618,0.784821,0.798415,8036.0297144626
1970-01-26,0.798415,0.798415,0.784821,0.784821,7884.6959063776
1970-01-27,0.784821,0.805066,0.784821,0.784821,9249.767756334
1970-01-28,0.784821,0.805066,0.784821,0.791863,8642.3874725332
1970-01-29,0.791863,0.798415,0.772108,0.77866,17123.215879678
1970-01-30,0.77866,0.784821,0.772108,0.784821,5604.4635277987
1970-02-02,0.784821,0.798415,0.77866,0.784821,10308.081887199
1970-02-03,0.784821,0.798415,0.784821,0.784821,7884.6959063776
1970-02-04,0.784821,0.805066,0.784821,0.798415,8791.6762291577
1970-02-05,0.798415,0.811618,0.791863,0.798415,6516.5564792303
1970-02-06,0.798415,0.798415,0.791863,0.798415,7273.2255196555
1970-02-09,0.798415,0.805066,0.791863,0.791863,6821.269146861
1970-02-10,0.791863,0.798415,0.784821,0.784821,8036.0297144626
1970-02-11,0.784821,0.798415,0.784821,0.798415,6067.6676836266
1970-02-12,0.798415,0.82482,0.784821,0.82482,10308.081887199
1970-02-13,0.811618,0.811618,0.791863,0.798415,13940.093281241
1970-02-16,0.798415,0.805066,0.791863,0.798415,5302.8184373589
1970-02-17,0.798415,0.811618,0.798415,0.805066,4395.8381145788
1970-02-18,0.811618,0.818464,0.811618,0.818464,2575.7423146369
1970-02-19,0.818464,0.82482,0.811618,0.811618,3640.1915998839
1970-02-20,0.811618,0.831373,0.811618,0.811618,8036.0297144626
1970-02-24,0.811618,0.818464,0.805066,0.811618,6214.9113887904
1970-02-25,0.811618,0.818464,0.805066,0.818464,12123.065058489
1970-02-26,0.818464,0.818464,0.811618,0.811618,8487.9860872572
1970-02-27,0.811618,0.831373,0.811618,0.831373,8182.2508938962
1970-03-02,0.831373,0.831373,0.811618,0.818464,10757.993208533
1970-03-03,0.82482,0.844575,0.82482,0.844575,12271.331289384
1970-03-04,0.844575,0.857779,0.831373,0.844575,11517.72982615
1970-03-05,0.844575,0.857779,0.844575,0.857779,8940.9649857821
1970-03-06,0.857779,0.857779,0.851127,0.857779,5909.1761954294
1970-03-09,0.857779,0.857779,0.837925,0.837925,7425.5818534709
1970-03-10,0.837925,0.851127,0.837925,0.844575,6669.9353387759
1970-03-11,0.844575,0.844575,0.805066,0.831373,53499.568735259
1970-03-12,0.82482,0.82482,0.805066,0.811618,4548.1944483942
1970-03-13,0.811618,0.818464,0.798415,0.811618,8182.2508938962
1970-03-16,0.811618,0.818464,0.798415,0.818464,6971.5804292157
1970-03-17,0.818464,0.818464,0.811618,0.811618,4698.5057307489
1970-03-18,0.811618,0.831373,0.805066,0.82482,11066.795979085
1970-03-19,0.818464,0.818464,0.811618,0.818464,6669.9353387759
1970-03-20,0.818464,0.818464,0.811618,0.811618,3640.1915998839
1970-03-23,0.811618,0.818464,0.811618,0.811618,5147.3945263526
1970-03-24,0.811618,0.82482,0.811618,0.82482,6366.2451968755
1970-03-25,0.82482,0.857779,0.818464,0.851127,12271.331289384
1970-03-26,0.851127,0.857779,0.844575,0.851127,6516.5564792303
1970-03-30,0.851127,0.851127,0.82482,0.82482,9700.7016033982
1970-03-31,0.82482,0.844575,0.82482,0.82482,7579.9832387469
1970-04-01,0.82482,0.844575,0.82482,0.82482,9401.1015644191
1970-04-02,0.82482,0.837925,0.82482,0.82482,5604.4635277987
1970-04-03,0.82482,0.844575,0.82482,0.831373,6516.5564792303
1970-04-06,0.831373,0.831373,0.811618,0.82482,18790.955345805
1970-04-07,0.82482,0.82482,0.811618,0.82482,7425.5818534709
1970-04-08,0.82482,0.831373,0.811618,0.831373,8332.5621762509
1970-04-09,0.831373,0.837925,0.82482,0.82482,6366.2451968755
1970-04-10,0.82482,0.844575,0.82482,0.844575,4698.5057307489
1970-04-13,0.844575,0.844575,0.82482,0.82482,6971.5804292157
1970-04-14,0.82482,0.831373,0.818464,0.818464,10156.748079114
1970-04-15,0.818464,0.837925,0.818464,0.82482,11365.373492334
1970-04-16,0.82482,0.831373,0.818464,0.818464,6516.5564792303
1970-04-17,0.818464,0.831373,0.811618,0.82482,6971.5804292157
1970-04-20,0.82482,0.82482,0.811618,0.82482,6516.5564792303
1970-04-21,0.82482,0.82482,0.811618,0.811618,4243.4817807635
1970-04-22,0.811618,0.811618,0.798415,0.811618,11218.12978717
1970-04-23,0.798415,0.798415,0.77866,0.791863,16521.970750259
1970-04-24,0.791863,0.798415,0.745605,0.765556,51678.450409586
1970-04-27,0.772108,0.784821,0.772108,0.77866,9092.2987938672
1970-04-28,0.77866,0.791863,0.758905,0.765556,12881.779150376
1970-04-29,0.765556,0.77866,0.752157,0.765556,24094.796308894
1970-04-30,0.765556,0.77866,0.765556,0.772108,9249.767756334
1970-05-01,0.772108,0.772108,0.765556,0.765556,5302.8184373589
1970-05-04,0.765556,0.77866,0.765556,0.765556,9852.0354114833
1970-05-05,0.765556,0.765556,0.758905,0.765556,6821.269146861
1970-05-06,0.765556,0.772108,0.765556,0.765556,6821.269146861
1970-05-07,0.765556,0.772108,0.758905,0.765556,16061.834171622
1970-05-08,0.765556,0.765556,0.745605,0.758905,8487.9860872572
1970-05-11,0.758905,0.758905,0.745605,0.758905,4698.5057307489
1970-05-12,0.758905,0.758905,0.745605,0.745605,14398.184808416
1970-05-13,0.745605,0.752157,0.745605,0.745605,11672.131211426
1970-05-14,0.745605,0.758905,0.745605,0.752157,9401.1015644191
1970-05-15,0.752157,0.758905,0.745605,0.752157,11974.798827595
1970-05-18,0.752157,0.765556,0.745605,0.745605,11066.795979085
1970-05-19,0.745605,0.752157,0.745605,0.745605,10459.415695285
1970-05-20,0.745605,0.745605,0.732402,0.738856,47739.681296454
1970-05-21,0.738856,0.738856,0.719199,0.732402,22737.90466478
1970-05-22,0.732402,0.732402,0.719199,0.725947,21068.120147193
1970-05-25,0.719199,0.719199,0.705606,0.712549,20911.673710456
1970-05-26,0.705606,0.705606,0.68634,0.705606,28340.323141118
1970-05-27,0.705606,0.719199,0.692892,0.712549,26069.293494112
1970-05-28,0.712549,0.732402,0.705606,0.719199,27132.720253628
1970-05-29,0.719199,0.738856,0.719199,0.738856,33794.475386562
1970-06-01,0.738856,0.745605,0.732402,0.745605,20761.362428101
1970-06-02,0.745605,0.752157,0.745605,0.745605,21974.077944242
1970-06-03,0.745605,0.745605,0.732402,0.738856,18943.31167962
1970-06-04,0.738856,0.738856,0.712549,0.719199,21671.410328073
1970-06-05,0.712549,0.712549,0.666292,0.68634,116239.70249528
1970-06-08,0.68634,0.692892,0.679689,0.68634,21371.810289093
1970-06-09,0.68634,0.68634,0.673039,0.679689,22431.146945689
1970-06-10,0.679689,0.679689,0.666292,0.673039,24549.820258879
1970-06-11,0.673039,0.673039,0.666292,0.673039,22584.525805234
1970-06-12,0.673039,0.673039,0.666292,0.673039,11974.798827595
1970-06-15,0.673039,0.679689,0.666292,0.679689,19549.66943769
1970-06-16,0.679689,0.68634,0.673039,0.679689,26372.983636012
1970-06-17,0.679689,0.68634,0.679689,0.68634,17887.042600216
1970-06-18,0.68634,0.68634,0.679689,0.68634,17578.239829664
1970-06-19,0.699249,0.699249,0.68634,0.692892,10609.726977638
1970-06-22,0.692892,0.699249,0.68634,0.692892,8642.3874725332
1970-06-23,0.692892,0.692892,0.68634,0.68634,9249.767756334
1970-06-24,0.68634,0.699249,0.68634,0.692892,9550.3903210435
1970-06-25,0.692892,0.692892,0.679689,0.68634,8791.6762291577
1970-06-26,0.68634,0.68634,0.679689,0.679689,18189.710216385
1970-06-29,0.679689,0.679689,0.666292,0.673039,10609.726977638
1970-06-30,0.673039,0.673039,0.666292,0.666292,10914.439645269
1970-07-01,0.666292,0.666292,0.659934,0.666292,17123.215879678
1970-07-02,0.666292,0.666292,0.659934,0.659934,12123.065058489
1970-07-06,0.659934,0.666292,0.653284,0.666292,18035.30883111
1970-07-07,0.666292,0.666292,0.647025,0.659934,13185.469292275
1970-07-08,0.659934,0.673039,0.653284,0.673039,21822.744136157
1970-07-09,0.673039,0.673039,0.666292,0.673039,28792.279513913
1970-07-10,0.673039,0.673039,0.666292,0.666292,36372.26275266
1970-07-13,0.666292,0.673039,0.659934,0.666292,56076.333575626
1970-07-14,0.666292,0.666292,0.653284,0.666292,85931.017323325
1970-07-15,0.666292,0.666292,0.659934,0.666292,146096.43129444
1970-07-16,0.666292,0.673039,0.666292,0.673039,68349.70991647
1970-07-17,0.673039,0.679689,0.666292,0.673039,72440.835363419
1970-07-20,0.673039,0.679689,0.666292,0.666292,75472.624153771
1970-07-21,0.666292,0.673039,0.666292,0.666292,38492.981117311
1970-07-22,0.666292,0.666292,0.659934,0.666292,50767.379983885
1970-07-23,0.666292,0.666292,0.659934,0.666292,24549.820258879
1970-07-24,0.666292,0.666292,0.653284,0.666292,37279.24307544
1970-07-27,0.666292,0.666292,0.659934,0.666292,22127.456803788
1970-07-28,0.666292,0.673039,0.666292,0.673039,18943.31167962
1970-07-29,0.673039,0.673039,0.666292,0.666292,23340.172319929
1970-07-30,0.666292,0.666292,0.666292,0.666292,11822.44249378
1970-07-31,0.666292,0.666292,0.666292,0.666292,18641.66658918
1970-08-03,0.666292,0.673039,0.666292,0.666292,13185.469292275
1970-08-04,0.666292,0.673039,0.659934,0.666292,22887.193421405
1970-08-05,0.666292,0.673039,0.666292,0.673039,7884.6959063776
1970-08-06,0.673039,0.673039,0.666292,0.666292,12733.512919481
1970-08-07,0.666292,0.673039,0.666292,0.666292,13034.135484191
1970-08-10,0.666292,0.673039,0.666292,0.673039,15153.831323112
1970-08-11,0.673039,0.673039,0.666292,0.666292,11365.373492334
1970-08-12,0.666292,0.673039,0.666292,0.666292,10609.726977638
1970-08-13,0.666292,0.673039,0.666292,0.666292,15762.234132643
1970-08-14,0.666292,0.666292,0.666292,0.666292,11517.72982615
1970-08-17,0.666292,0.673039,0.666292,0.666292,11974.798827595
1970-08-18,0.666292,0.673039,0.666292,0.666292,14696.762321666
1970-08-19,0.666292,0.673039,0.666292,0.666292,14092.449615056
1970-08-20,0.666292,0.679689,0.666292,0.666292,19250.069398712
1970-08-21,0.666292,0.673039,0.666292,0.666292,21068.120147193
1970-08-24,0.666292,0.679689,0.666292,0.679689,40314.099442983
1970-08-25,0.679689,0.679689,0.673039,0.679689,18641.66658918
1970-08-26,0.679689,0.679689,0.673039,0.679689,20612.073671477
1970-08-27,0.679689,0.679689,0.673039,0.679689,12425.73267466
1970-08-28,0.679689,0.679689,0.666292,0.679689,49256.086954495
1970-08-31,0.679689,0.679689,0.679689,0.679689,14696.762321666
1970-09-01,0.679689,0.679689,0.673039,0.673039,24853.51040078
1970-09-02,0.673039,0.679689,0.673039,0.679689,11365.373492334
1970-09-03,0.679689,0.679689,0.673039,0.679689,19094.645487706
1970-09-04,0.679689,0.679689,0.673039,0.673039,21068.120147193
1970-09-08,0.673039,0.679689,0.673039,0.679689,18490.332781095
1970-09-09,0.679689,0.68634,0.679689,0.679689,23340.172319929
1970-09-10,0.679689,0.68634,0.679689,0.679689,18943.31167962
1970-09-11,0.679689,0.692892,0.679689,0.692892,20157.049721492
1970-09-14,0.692892,0.692892,0.679689,0.692892,13940.093281241
1970-09-15,0.692892,0.692892,0.679689,0.679689,16671.259506884
1970-09-16,0.679689,0.68634,0.679689,0.68634,17578.239829664
1970-09-17,0.68634,0.699249,0.68634,0.699249,11365.373492334
1970-09-18,0.699249,0.699249,0.68634,0.699249,14696.762321666
1970-09-21,0.699249,0.699249,0.692892,0.699249,21371.810289093
1970-09-22,0.699249,0.699249,0.692892,0.692892,21371.810289093
1970-09-23,0.699249,0.705606,0.699249,0.699249,23795.196269915
1970-09-24,0.699249,0.712549,0.699249,0.712549,23795.196269915
1970-09-25,0.712549,0.712549,0.699249,0.712549,24399.508976524
1970-09-28,0.712549,0.712549,0.705606,0.705606,13637.42566507
1970-09-29,0.705606,0.712549,0.705606,0.712549,18035.30883111
1970-09-30,0.712549,0.712549,0.699249,0.712549,18035.30883111
1970-10-01,0.712549,0.712549,0.705606,0.705606,8940.9649857821
1970-10-02,0.705606,0.712549,0.692892,0.699249,30915.042930025
1970-10-05,0.699249,0.712549,0.699249,0.705606,33344.564065228
1970-10-06,0.705606,0.705606,0.692892,0.692892,19853.359579591
1970-10-07,0.692892,0.705606,0.692892,0.699249,15153.831323112
1970-10-08,0.699249,0.705606,0.699249,0.699249,13485.069331255
1970-10-09,0.699249,0.705606,0.699249,0.699249,11517.72982615
1970-10-12,0.699249,0.705606,0.699249,0.699249,14548.496090771
1970-10-13,0.699249,0.712549,0.699249,0.699249,10003.369219568
1970-10-14,0.699249,0.705606,0.699249,0.705606,5302.8184373589
1970-10-15,0.705606,0.705606,0.692892,0.692892,17276.594739224
1970-10-16,0.692892,0.705606,0.692892,0.692892,9401.1015644191
1970-10-19,0.692892,0.705606,0.692892,0.699249,20005.715913407
1970-10-20,0.699249,0.712549,0.692892,0.705606,14548.496090771
1970-10-21,0.705606,0.712549,0.699249,0.699249,11218.12978717
1970-10-22,0.699249,0.705606,0.692892,0.699249,12271.331289384
1970-10-23,0.699249,0.705606,0.692892,0.692892,10757.993208533
1970-10-26,0.692892,0.705606,0.692892,0.692892,18641.66658918
1970-10-27,0.692892,0.699249,0.692892,0.699249,19853.359579591
1970-10-28,0.699249,0.699249,0.692892,0.699249,34856.879620348
1970-10-29,0.699249,0.699249,0.692892,0.692892,11066.795979085
1970-10-30,0.692892,0.692892,0.68634,0.692892,11365.373492334
1970-11-02,0.692892,0.692892,0.692892,0.692892,11066.795979085
1970-11-03,0.692892,0.699249,0.692892,0.692892,7733.3620982925
1970-11-04,0.692892,0.699249,0.692892,0.692892,10156.748079114
1970-11-05,0.692892,0.692892,0.68634,0.692892,16061.834171622
1970-11-06,0.692892,0.692892,0.68634,0.692892,22431.146945689
1970-11-09,0.692892,0.699249,0.692892,0.692892,20911.673710456
1970-11-10,0.692892,0.699249,0.692892,0.692892,26522.272392637
1970-11-11,0.705606,0.712549,0.705606,0.705606,20308.383529577
1970-11-12,0.705606,0.712549,0.705606,0.705606,11365.373492334
1970-11-13,0.705606,0.712549,0.699249,0.705606,13034.135484191
1970-11-17,0.712549,0.712549,0.699249,0.705606,11218.12978717
1970-11-18,0.705606,0.712549,0.705606,0.712549,8642.3874725332
1970-11-19,0.712549,0.712549,0.705606,0.712549,8332.5621762509
1970-11-20,0.712549,0.712549,0.712549,0.712549,11974.798827595
1970-11-23,0.712549,0.719199,0.712549,0.719199,13637.42566507
1970-11-24,0.719199,0.732402,0.712549,0.725947,19702.025771506
1970-11-25,0.725947,0.745605,0.725947,0.738856,20157.049721492
1970-11-27,0.738856,0.765556,0.738856,0.765556,16367.569364983
1970-11-30,0.765556,0.798415,0.758905,0.784821,31669.666918989
1970-12-01,0.784821,0.791863,0.772108,0.784821,30612.375313854
1970-12-02,0.784821,0.784821,0.765556,0.784821,20612.073671477
1970-12-03,0.784821,0.784821,0.772108,0.784821,27737.032960239
1970-12-04,0.784821,0.784821,0.77866,0.784821,16367.569364983
1970-12-07,0.784821,0.798415,0.784821,0.798415,24701.154066964
1970-12-08,0.798415,0.805066,0.791863,0.805066,18189.710216385
1970-12-09,0.805066,0.805066,0.791863,0.798415,20308.383529577
1970-12-10,0.798415,0.805066,0.791863,0.791863,17731.61868921
1970-12-11,0.791863,0.791863,0.784821,0.784821,21371.810289093
1970-12-14,0.798415,0.798415,0.77866,0.784821,19853.359579591
1970-12-15,0.784821,0.784821,0.77866,0.77866,11974.798827595
1970-12-16,0.77866,0.784821,0.77866,0.77866,12123.065058489
1970-12-17,0.77866,0.784821,0.772108,0.77866,21068.120147193
1970-12-18,0.77866,0.784821,0.77866,0.77866,13185.469292275
1970-12-21,0.77866,0.784821,0.77866,0.77866,17123.215879678
1970-12-22,0.77866,0.784821,0.77866,0.77866,25920.004737487
1970-12-23,0.77866,0.791863,0.77866,0.791863,29094.947130083
1970-12-24,0.791863,0.798415,0.77866,0.798415,15153.831323112
1970-12-28,0.798415,0.798415,0.791863,0.798415,12582.179111396
1970-12-29,0.798415,0.818464,0.798415,0.811618,19853.359579591
1970-12-30,0.811618,0.837925,0.811618,0.831373,29703.349939614
1970-12-31,0.837925,0.88438,0.837925,0.88438,38342.669834956
1971-01-04,0.877631,0.877631,0.857779,0.877631,19549.66943769
1971-01-05,0.877631,0.877631,0.857779,0.877631,13034.135484191
1971-01-06,0.877631,0.877631,0.870882,0.877631,19549.66943769
1971-01-07,0.877631,0.877631,0.864624,0.877631,17123.215879678
1971-01-08,0.877631,0.877631,0.864624,0.870882,18340.02149874
1971-01-11,0.870882,0.877631,0.864624,0.877631,18189.710216385
1971-01-12,0.877631,0.88438,0.870882,0.88438,18340.02149874
1971-01-13,0.88438,0.89054,0.877631,0.89054,20157.049721492
1971-01-14,0.89054,0.897581,0.877631,0.88438,15003.520040757
1971-01-15,0.88438,0.897581,0.88438,0.88438,30305.617594764
1971-01-18,0.89054,0.897581,0.89054,0.897581,28491.656949203
1971-01-19,0.897581,0.917239,0.897581,0.910588,43494.15446423
1971-01-20,0.910588,0.917239,0.904134,0.910588,17578.239829664
1971-01-21,0.904134,0.904134,0.89054,0.904134,19549.66943769
1971-01-22,0.897581,0.897581,0.877631,0.877631,19094.645487706
1971-01-25,0.877631,0.877631,0.864624,0.877631,28941.568270537
1971-01-26,0.877631,0.877631,0.857779,0.864624,28340.323141118
1971-01-27,0.864624,0.877631,0.857779,0.857779,18035.30883111
1971-01-28,0.857779,0.870882,0.857779,0.864624,17578.239829664
1971-01-29,0.864624,0.870882,0.857779,0.857779,15762.234132643
1971-02-01,0.857779,0.870882,0.857779,0.857779,15456.498939282
1971-02-02,0.864624,0.877631,0.864624,0.870882,16367.569364983
1971-02-03,0.870882,0.870882,0.857779,0.864624,23340.172319929
1971-02-04,0.864624,0.877631,0.857779,0.870882,18340.02149874
1971-02-05,0.870882,0.870882,0.857779,0.864624,14092.449615056
1971-02-08,0.864624,0.877631,0.864624,0.877631,15608.855273097
1971-02-09,0.877631,0.877631,0.864624,0.870882,13786.714421695
1971-02-10,0.870882,0.88438,0.870882,0.88438,13185.469292275
1971-02-11,0.88438,0.88438,0.877631,0.877631,9700.7016033982
1971-02-12,0.877631,0.877631,0.877631,0.877631,8791.6762291577
1971-02-16,0.88438,0.897581,0.88438,0.897581,15153.831323112
1971-02-17,0.897581,0.917239,0.897581,0.917239,41673.036138557
1971-02-18,0.917239,0.917239,0.897581,0.897581,23795.196269915
1971-02-19,0.89054,0.89054,0.877631,0.877631,25156.17801695
1971-02-22,0.877631,0.877631,0.864624,0.864624,16671.259506884
1971-02-23,0.864624,0.870882,0.851127,0.857779,19853.359579591
1971-02-24,0.857779,0.857779,0.844575,0.857779,28491.656949203
1971-02-25,0.857779,0.857779,0.851127,0.857779,12881.779150376
