Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,2.32831,2.32831,2.32831,2.32831,258554.26939485
1983-04-07,2.34601,2.34601,2.30994,2.32831,694930.19135607
1983-04-08,2.32831,2.34601,2.32831,2.32831,329757.21698145
1983-04-11,2.32831,2.38235,2.32831,2.34601,581840.73601329
1983-04-12,2.38235,2.38235,2.34601,2.38235,399056.70007902
1983-04-13,2.34601,2.38235,2.34601,2.38235,1553984.2932554
1983-04-14,2.34601,2.38235,2.32831,2.38235,198385.24244636
1983-04-15,2.38235,2.38235,2.34601,2.38235,701790.89471441
1983-04-18,2.38235,2.38235,2.34601,2.38235,485497.6525752
1983-04-19,2.38235,2.38235,2.34601,2.34601,297396.26286828
1983-04-20,2.38235,2.40014,2.38235,2.40014,1010985.5507156
1983-04-21,2.40014,2.40014,2.34601,2.34601,642381.19576209
1983-04-22,2.34601,2.38235,2.32831,2.38235,1984649.8217496
1983-04-25,2.38235,2.38235,2.34601,2.38235,218573.28392717
1983-04-26,2.38235,2.38235,2.34601,2.38235,787463.25911691
1983-04-27,2.38235,2.40014,2.34601,2.34601,1210897.6803521
1983-04-28,2.34601,2.38235,2.32831,2.34601,2380284.4013472
1983-04-29,2.34601,2.34601,2.32831,2.32831,1438988.2867245
1983-05-02,2.32831,2.32831,2.30994,2.32831,800411.96214101
1983-05-03,2.32831,2.34601,2.32831,2.34601,1724194.145665
1983-05-04,2.34601,2.38235,2.34601,2.38235,289012.7879187
1983-05-05,2.38235,2.38235,2.34601,2.38235,1519707.5278566
1983-05-06,2.40014,2.40014,2.38235,2.40014,550610.54269658
1983-05-09,2.38235,2.40014,2.25591,2.38235,1173576.4006704
1983-05-10,2.38235,2.38235,2.34601,2.38235,1720385.1588875
1983-05-11,2.38235,2.40014,2.38235,2.38235,2643024.2348186
1983-05-12,2.38235,2.40014,2.34601,2.38235,915024.18907503
1983-05-13,2.38235,2.38235,2.34601,2.34601,3611740.5270806
1983-05-16,2.34601,2.34601,2.34601,2.34601,2759165.406742
